MAT.1.1	Jézi Kwi sé désandan Wa David épi désandan Abrahanm. Mi non jennenwasyonʼy:
MAT.1.2	Abrahanm sété papa Ayzak, èk Ayzak sété papa Jakòb. Jakòb sété papa Jouda èk sé fwèʼy-la. 
MAT.1.3	Jouda sété papa Pérèz épi Zéra — non manman yo sété Tama. Pérèz sété papa Hèzròn. Hèzròn sété papa Ranm. 
MAT.1.4	Ranm sété papa Aminadab. Aminadab sété papa Nachòn. Nachòn sété papa Salmòn. 
MAT.1.5	Salmòn sété papa Bowaz — non manmanʼy sété Rahab. Bowaz sété papa Obèd — non manmanʼy sété Rouf. Obèd sété papa Jèsi. 
MAT.1.6	Jèsi sété papa Wa David.
MAT.1.6	Wa David sété papa Sòlomonn — manman Sòlomonn sété madanm Ouraya avan i sété madanm David. 
MAT.1.7	Sòlomonn sété papa Réyobowanm. Réyobowanm sété papa Abija. Abija sété papa Asa. 
MAT.1.8	Asa sété papa Jéhòchafat. Jéhòchafat sété papa Joranm. Joranm sété papa Ouzaya. 
MAT.1.9	Ouzaya sété papa Jofanm. Jofanm sété papa Ahaz. Ahaz sété papa Hèzèkaya. 
MAT.1.10	Hèzèkaya sété papa Mannasa. Mannasa sété papa Amonn. Amonn sété papa Josaya. 
MAT.1.11	Josaya sété papa Jèkonnaya épi sé fwèʼy-la. I fè yo menm tan lèlmi-an té mennen sé jan Izwayèl-la vil Babilonn kon pwizonnyé.
MAT.1.12	Apwé yo mennen yo Babilonn: Jèkonnaya fè Chyèltyèl. Chyèltyèl sété papa Zèròbabèl. 
MAT.1.13	Zèròbabèl sété papa Abyoud. Abyoud sété papa Èlyakim. Èlyakim sété papa Azò. 
MAT.1.14	Azò sété papa Zadòk. Zadòk sété papa Akim. Akim sété papa Èlyoud. 
MAT.1.15	Èlyoud sété papa Éliyéza. Éliyéza sété papa Matan. Matan sété papa Jakòb. 
MAT.1.16	Jakòb sété papa Jozèf. Jozèf sété mawi Mari, ki sété manman Jézi Kwi, wa-a Bondyé té pwonmèt pou voyé-a.
MAT.1.17	La té ni katòz jennenwasyon sòti dépi Abrahanm pou wivé David, katòz sòti dépi David pou jis tan lèlmi-an té mennen yo alé Babilonn, épi dépi an tan Babilonn pou wivé an tan Jézi Kwi té ni katòz jennenwasyon.
MAT.1.18	Annou wè mannyè Jézi Kwi fèt. Manmanʼy, Mari, té fiyansé épi an nonm yo té ka kwiyé Jozèf, mé i té fi toujou lè i twouvé kòʼy ansent pa pouvwa Lèspwi Bondyé. 
MAT.1.19	Lè Jozèf vin konnèt Mari té gwo bouden, i té ka chaché an mannyè pouʼy pa té mayé fi-a. I té vlé fèʼy pou moun pa té konnèt, pou Mari pa té twapé kòʼy hont, paski i sété an nonm ki té dwèt an tout sa i ka fè.
