MAT.1.1	Jesu Krist lagŋɛl Abraham ɛm, lele David ɛm ab e mew.
MAT.1.2	Abraham ecʼalaw 
MAT.1.3	Juda lele lisijimɛl ab; Perɛs lele Zera ab (Tamar el ɛl lis), Ɛsrↄm, Aram, 
MAT.1.4	Aminadab, Nasↄn, Salmↄ, 
MAT.1.5	Boas (Rahab el lis), Obɛd (Rut el lis) 
MAT.1.6	Jese, lele jim ɛb ebu David ab. Salomↄ (lis el Uri e yↄw a); 
MAT.1.7	Roboam, Abia, Asaf, 
MAT.1.8	Josafat, Joram, Osias, 
MAT.1.9	Joatam, Akas, Esekias, 
MAT.1.10	Manase, Amↄ, Josias, 
MAT.1.11	Yekonia lele lisijimɛl ab. Lɛgŋ ab ɛm anake wɛl ot Israɛl ecʼey im madu ↄkr ɛm Babilↄn wus af a. 
MAT.1.12	Ca eke wɛl ot Israɛl ecʼey im Babilↄn a, ow e jam a, ow el Salatiɛl, Sorobabɛl, 
MAT.1.13	Abiud, Eliakim, Asↄr, 
MAT.1.14	Sadↄk, Akim, Eliud, 
MAT.1.15	Eleasar, Matan, Jakↄb, 
MAT.1.16	ɛtŋ Jakↄb ew Josɛf, Mari ɛc; Mari anake ew Jesu eke wɛl bʼɛsŋ 
MAT.1.17	Sica kʼigŋ Abraham toŋ David a, ow ij alaw sakp lɛw yar; David toŋ ke kʼok lɛgŋ ab ɛm a eke wɛl ot Israɛl ecʼey im Babilↄn wus af a, ow ij alaw sakp lɛw yar; sica aŋa toŋ ke ok Mesi e mew e lɛgŋ a, ow ij ɛmɛny alaw sakp lɛw yar.
MAT.1.18	Kin Jesu Krist eci mew owi ecʼelel eke ɛcr. Josɛf ɛsu Jesu lis Mari; gbɛkↄ gbuŋ ke -lʼuwarir any a, Abŋ Lala ecʼabusu ɛm, Mari anŋ nimamn. 
MAT.1.19	Ɛc Josɛf el ɛgŋ eke bʼɛlum Nyam ɛtŋ lʼerurm eke li kʼɛlu ow ↄkm dedeku fɛŋ ecʼany af; ow sosiɛm lʼɛgŋ lʼeb eke ew ew ɛm, li kʼɛlu ow es. 
MAT.1.20	Sica eke nʼam tutr low na a, Ɛs Kↄtↄkↄ ecʼ
MAT.1.21	Li bʼow lʼew iy, ŋ bʼow ɛsŋ iy a Jesu, 
MAT.1.22	Low na ɛy yecʼɛtŋ ke odad a eke Ɛs Kↄtↄkↄ dad 
MAT.1.23	Kin odad a: 
MAT.1.24	Eke Josɛf ufŋm es a, li kok ɛsɛ elel eke Ɛs Kↄtↄkↄ ecʼɛrm ɛs a dadʼr ab af, ɛtŋ lʼoc Mari ɛsɛ in e yↄw af. 
MAT.1.25	Gbɛkↄ nʼanm ow ab toŋ batŋ Mari ew iy igŋ eke Josɛf ɛw nin Jesu.
MAT.2.1	Lɛgŋ ab ɛm eke 
MAT.2.2	-Lʼibrm ninɛ: «Bogŋ iy a eke wɛl ew ke el Jwifɛl ecʼɛb ebu ab a ee? Sʼɛkn in eci lɛ́l a yogŋ a eke ligbn bʼanŋ igb a, ow sosiɛm anake sʼow eke si kʼusrʼr sos a.» 
