MAT.1.1	Yisas Karaisi maen Abaraamun nú Kin Devitin núi anan pintéi afoká ukhan mi ma ven anafuyan aví ino.
MAT.1.2	Abaraamu maen Aisakin kain baren
MAT.1.2	Aisaki ano Yekopun kaúdan
MAT.1.2	Yekopu ano Yudan má be afá aváeyan má kaen mino.
MAT.1.3	Yuda maen Peresin nú Seran nú afóe ifo míkan iyampon anóe maen Tamari ino. Peresi ano Esronin kain baren Esroni ano Ramun kaen mino.
MAT.1.4	Ramu ano Aminadapin kain baren Aminadapi ano Nasonin kaúdan Nasoni ano Sarmonin kaen mino.
MAT.1.6	inká Yesi ano Kin Devitin kaen mino. Deviti maen Soromonin afoén bákan be anóe maen Uraiyan aná ma varé ein nanin mino.
MAT.1.7	Soromoni ano Reoboamin kain baren Reoboami ano Abiyan kaúdan Abiya ano Asan kaen mino.
MAT.1.8	Asa ano Yeosafatin kain baren Yeosafati ano Yeoramin kaúdan Yeorami ano Usaiyan kaen mino.
MAT.1.9	Usaiya ano Yotamun kain baren Yotamu ano Easin kaúdan Easi ano Esékaiyan kaen mino.
MAT.1.10	Esékaiya ano Manasen kain baren
MAT.1.10	Manase ano Amonin kaúdan
MAT.1.10	Amoni
MAT.1.13	Serubaberi ano Abiudin kain baren
MAT.1.13	Abiudi ano Eriakimin kaúdan
MAT.1.13	Eriakimi ano Asorin kaen mino.
MAT.1.14	Asori ano Sadókin kain baren
MAT.1.14	Sadóki ano Akimin kaúdan
MAT.1.14	Akimi ano Eriutin kaen mino.
MAT.1.15	Eriuti ano Eriasarin kain baren
MAT.1.15	Eriasari ano Matanin kaúdan
MAT.1.15	Matani ano Yekopun kaúdan maen,
MAT.1.16	inká Yekopu ano Marian avafu Yosepin kaen mino. Maria anoi Tiyarafenu ano ma aní ukhein banta e sen ma ariyain banta Yisasin kaen mino.
MAT.1.17	Máan tukhan Abaraamun táké Devitimpin onóben Devitin táké Babironí ma karavusi fáken o varé ein damú onóben mai ráké Tiyarafenu ano ma aní ukhein banta Yisasintá ma o khanaí ukhein mai fotini (14) afóeyan mi mai aúbaná me yákó urú ukhen mino.
MAT.1.18	Máan tukhan Tiyarafenu ano ma aní ukhein banta Yisasin ma ve anóe ano kaein mai máan mi ukhen mino. Be anóe Maria maen Yosepin amiran bákan ínaimpáké iman amintéin Kantá Aunan mano véin arápin iyampon báuantan baréin Yosepi iniren afová en mino.
MAT.1.19	Afová uren mai van be avafu Yosepi maen puntákein banta váken banasi avorá Marian ída ayave ameno van aúpáké bei inimpin mai ma véin iman ameno van iyaré ein ifá ono van en mino.
MAT.1.20	Máan inin béi variyan baré íkan Bafani enisori ano véi vaintá kaimpin dákó uven temí, “Devitin anin Yosepi oe, éin ma Marian iman ameno van iyain ída vá ifá ono. Para vara seyo, mai ma véin amúpin báken ma yákó ono van iyain iyampon mai Kantá Aunani ákona anon mai yaná afoká ukhen mino. 
MAT.1.21	Béi afon iyampon mi kainten mifo Yisasin
MAT.1.22	Mai yanasinta ma yákó ein manon pura sen Bafan mano ma sakhanampa vanta finté uaren ma máa sikharé ein mi kanaíen mino. 
MAT.1.23	“Mana arinta ano amúbasí uven mana afon iyampon kaúdantin maen Imanuerin ne sinten mino.” 
MAT.1.23	Mai víi ana maen Tiyarafenu setin má ban mino.
MAT.1.24	Mai khain ma Yosepi ódaren maen orun mantaven mai ma Bafani enisori ano ma véin tiamein ánain bákuren Marian o aviren me ve anasí en mino. 
MAT.1.25	Be anasí ma ukhan maen béi ída ven má manafin baranton nentá bákan baren mana afon iyampon káudan béi ano Yisasi ne sen aví ten mino.
MAT.2.1	Yudiá barafin ma Eroti kiní ukhein damú Betariamú barufá Maria ano Yisasin kain bákan áau e uní páké manáa afova vanta kéká ano Yerusaremí barurá eriven 
MAT.2.2	máa sen inaemí, “Mana iyampon ma Yutan kayoi kin afoká ukhein mai intefasá ban nafino. Tetí ankan áau e uní páké onékun béin ma aníin ofu édaví ódaréi ventá monó teno van eriyá tiféuno.”
MAT.2.3	Máa sen ina íkan Erotin má minó Yerusaremí barurá ma varé ein nanin banta vá ano mai vaya iníden maen kokhon ineine en oreraen mino. 
MAT.2.4	Máan tiyákan Eroti ano vanasii monó ánon banta vá man baya ma afová ukhein banta kayo vá aran e átaru uvin betí ankan inaemí, “Mai ma Tiyarafenu ano ma aní ukhein banta inte varurasá afoká intéin ná sakhanampa vanta kayo ano sikharen nafino.” 
MAT.2.5	Máa síkan betí ankan evaránen béin tiamemí, “Béi Betariamú barurái Yudiá barafá afoká inten ne,” sikharen mino. Para vara seyo, sakhanampa vanta ano máa sen Tiyarafenui vompon dókifin uvantaren mino,
MAT.2.6	“‘Yudiá bara fintena varu Betariamu oe,
MAT.2.6	Yudiá barafin ma aví bain baru kayoi oyampá éi ída va ono.
MAT.2.6	Mai fara vara seyo, éin pinté mana ánon banta e afoká uven maen
MAT.2.6	béi anon tenti Isareri nanin bantai yafisiní inten mino.’”
MAT.2.7	Máa sen tiamin Eroti iníden áau e uní páké ma afova vanta kéká erikhá ein aúpáké aran béi vaintá eríkan mai ofu ma afoká ein damusan betí ankampin avovéen ina uren afova varen mino. 
MAT.2.8	Afová uren betí ankan tiantan Betariamú oriyákan temí, “Tiretí ankan ore vá mai iyampon nan mo kamaeya yosire ma véin ódante vá ovaráne séin me sisimesirá ten má dere oresá mo ventá monó teno.”
MAT.2.9	Máa síkan betí ankan kini vaya iníden mairá me ampen oriyan maen mai ma áau e uní páke ma onein ofu ano vetin an uanten oriyaren mai iyampon ma vain namun amontá o kharemen mino. 
MAT.2.10	O kharemíkan betí ankan mai ofu oniyáken moéken amusin en mino. 
MAT.2.11	Máan turen mai afova vanta kéká ano mai namumpin un pében onákan mai iyampon mano ve anóe Marian má baréin betí ankan mun aron kan durafúden barará mátimen mai iyampontá monó tiren betíi unan máden oté uren kori vá kama auna iyain uveri vá irafin ma sádan kama aunka iyain uveri vá máden mai iyampon amusin amen mino.
MAT.2.12	Amiren bakháin Tiyarafenu ano kaimpin betí ankan tiamen ída vá evaráne Eroti vaintá orono síkan betí ankan iniren mai aa me ifá uren ena aa sáké betíi varufá oren mino.
MAT.2.13	Afova vanta kayo ma orivíkan maen Bafani enisori ano kaimpin Yosepin avorá afoká uven máa semí, “E mantaveya iyampon má be anóen má avíare Isipí karan ore o varé esí ma séi siamenuna yamusá ovaráneya ereno. Mai fara vara seyo, Eroti ano mai iyampon dosiré arono van iyan mino.”
MAT.2.14	Máa siran Yosepi e mantaaren iyampon má be anóen má avíaren mai inuran mana Isipí oren mino. 
MAT.2.15	O van baren Eroti ma fúbíkan Bafan mano ma sakhanampa vanta oo ráké uaren tiyáken, “Isipíkena se sanin aré uno,” ma sikhá ein baya fura sen afoká en mino. 
MAT.2.16	Eroti ma afová en áau e uní páke afova vanta kéká ano semi mákasen mino siren moéken aranan en mino. Máan turen afova vanta kéká ano ma siamiyan ofu ma afokáí oné tiferuna mai kan oranan orikhen mino ma sikhá ein nan bei aruvin banta kayo siantan Betariamú baru akhempá ma kákan baru vá tító baru vá ma vain pimpá oriyáken kan orana aránaópá ma vain ain iyampon kayo máa minó aruan puren mino. 
MAT.2.17	Minó ma yanasinta ma afoká ein mai Tiyarafenu anon sakhanampa vanta Yeremaiyan pinté uaren máa sikharéin mino:
MAT.2.18	“Ifí baya Ramá barufin inékun
MAT.2.18	ifisana yariyan kákan arun bariyá iné uno.
MAT.2.18	Resori maen be akhafana van arunaná bariyan
MAT.2.18	ará kusiantan baya ma siyain ída inen mino.
MAT.2.18	Para va ino, minó iyampon mi fúan kípakhan mino.”
MAT.2.19	Eroti ma fúbin maen Bafani enisori ano kaimpin Yosepin avorá Isipí afoká uven máa sen 
MAT.2.20	béin tiamemí, “Éi e mantaveya iyampon má be anóen má aviare evaráne Isarerí barafá orono. Mai iyampon ma aruan purono van iyaré ein banta kayo inka furen mino.”
