LUK.1.1	Гьал ппараттар алучӀуная ахъакьас че мисаъ хьуна, ккеттушу курарихъас. 
LUK.1.2	Час ге курарикес хабарди аяфе Аллагьдин гаф файде инсанарикес, ге курар чиппин уларилди ке цӀае кӀилиас мич агуна. 
LUK.1.3	Зунна кьастт акьуная, кӀилди ке удигьас ягӀар акьуна, садпеттилас мич вас ликӀенас, хӀуьлматлу Феафил, 
LUK.1.4	вас агурай пуна, те вас ягӀар акьунаттар дуз идеф.
LUK.1.5	Ягьудея агъа дерейин хӀавелдиъ Ирод агъа паччагь ая вахттуни, ахьуная тисаъ ешемиш вей Захария агъа са малла, Абияйин инсанарикес. Захарияйин хьир хьуная Арунан тухумдиас, агъай хьуная гис Элизаветта. 
LUK.1.6	Ӏудара Аллагьдин юлайиъ ая инсанар хьуная гебур, дузди аркьай кӀилди Аллагьди пунаттара, ликӀинаттара. 
LUK.1.7	Элизаветта шиниккв кидаф идехӀела, шиникквар хъахьуна адава гебурихъ. Ӏудара хӀа яшариъ ахьуная гебур.
LUK.1.8	Захарияйихъай ая маллабурин нубатиъ ай вахтт хъучадиная чиппил але фарз акьас Аллагьдис. 
LUK.1.9	Маллабурин арайиъ ая гӀедатилди, ихьуная кӀур. Захарияйис агъдиная ге кӀур: батӀар ниъ хъая шамар кикӀас 
LUK.1.10	Ги Аллагьдин хулаъ батӀар ниъ хъая шамар кикӀа вахттуни, кӀилди халкь гъузуна ахьуная хӀеятиъ дуьгӀебур аркьай.
LUK.1.11	Гисаъ, шамар кикӀа усан хӀурджал багулихъ, малайик гъузуна агуная Захарияйис. 
LUK.1.12	Малайик агуф, фиркьайчира дагӀай, гучӀ хьуна гъузуная Захария. 
LUK.1.13	Малайикди пуная гис:
LUK.1.13	– ГучӀ мева, Захария, ве дуьгӀе унихьуная. Хьира ве Элизаветтайи хасе вас кӀиркӀ, вун алихьуна кканхьасе гил ттур ЯхӀъя. 
LUK.1.14	Вас ппара хӀа шадвел гъасе ги, ацӀунттар шад хьасе ге хегуна. 
LUK.1.15	Аллагьдин улиъ ахьасе ге зурба инсан суман, ухай ахьасттава ги я чехир, я джуьре ухаттар, Аллагьдин РуьхӀ ахьасе гихъай уч хуру ягъанилас мич. 
LUK.1.16	Ппараттар Ӏизраилдин халкьдигӀас алдаркас акьасе ги Аллагьдилди. 
LUK.1.17	Ге вей ахьасе Аллагьдин удигь, 
LUK.1.18	Захарияйи хабар гъушуная малайикдифас:
LUK.1.18	– Фиштти ягӀархьасе зас ле дуз идеф? Зун гьал Ӏуьссеф э, хьира зе джигьилф дава.
LUK.1.19	Малайикди пуная гис:
LUK.1.19	– Зун Джабрагьил э, зун Аллагьдин удигь гъузунаф э. Ли зун гьикунафе вас гьеме пас, вас идже хабар акьас. 
LUK.1.20	Зун вас пеф аларкьвасе учин вахттуни, амма агьал вун Ӏебаб хьасе, зе чӀаларихъ хъудугъухӀела. Вун Ӏебаб хьуна гъургъас девей ахьасе джалла зун петтар аларкьвасттегьен.
LUK.1.21	Халкь гъузуна ахьуная Захарияйихъ, муьхӀтал хьуна, фас гин кьана хьефегьан агъай аттес Аллагьдин хулаас. 
LUK.1.22	Захария аттиная, амма гъургъас вей хьуна адава гифас. Гебур гъавурдиъ архьуная Аллагьдин хулаъ гис фиичира агвар акьуф. Ӏебаб хьуна, инсанарихъай ишаратарилди гъургъай хьуная ге. 
LUK.1.23	Аллагьдин хулаъ кар ккиркӀуна, ушуная ге учин хулади.
LUK.1.24	Са чӀукь вахттунилас гин хьир Элизаветта хьуная фуниъ. ГӀифу ваз хьасттегьен уч фуниъ аяф джин аркьай, ги агъай хьуная: 
LUK.1.25	Аллагьди йинаф э зас ме, Учи амур акьугуна, заалас инсанарин чӀаларин къакъ алттивуна.
LUK.1.26	Ерхьидпе ваз хьегуна Элизаветта фуни ай, Аллагьди гьикуная малайик Джабрагьил Галилея дерейин Назарет агъа хӀуриди, 
LUK.1.27	Юсуф агъа инсандис хъаттийина са рушалди. Юсуф хьуная Давудан тухумдиас. Ге рушас агъай хьуная Майрам. 
LUK.1.28	Малайикди адина пуная Майрамас:
LUK.1.28	– Салам! Шад ухь, Аллагьдин иджвеликк кичархьуна дишагьли! Аллагь ая вахъай.
LUK.1.29	Майрам муьхӀтал хьуная ге чӀаларил, ги фикир аркьай хьуная, фас гишттин салам ефегьан агъай малайикди.
LUK.1.30	Малайикди пуная гис:
LUK.1.30	– ГучӀ мева, Майрам! Вун Аллагьдин иджвеликк кичархьуная. 
LUK.1.31	Вун фуни хьуна, хасе вас кӀиркӀ, алихьасе вун гил ттур Ӏиса. 
LUK.1.32	Зурба хьасе Ге, Гис Аллагьдин КӀиркӀ агъай ахьасе. Аллагьди Гис есе Гин дадарин, Давудан тахтт. 
LUK.1.33	Ги гьемишанди паччагьвел аркьай ахьасе Якьубан халкьдил, Гин Паччагьвелдин ахир хьасттава.
LUK.1.34	Майрама пуная малайикдис:
LUK.1.34	– Зун шувас душунагуна, Фиштти э ле вереф?!
LUK.1.35	Малайикди джуваб йиная:
LUK.1.35	– Аллагьдин РуьхӀ аладесе ваалди, Аллагьдин кьуватра архьасе ваъ, дехӀела, вас хуру 
LUK.1.36	Тагьа Элизаветтара, ве багунф, шиниккв кидаваф э агъаф, фуниъ ая учин хӀа яшариъ ай магьа ерхьидпе ваз э, кӀиркӀ э тинфра. 
LUK.1.37	Аллагьдифас агъдарукьаф фера афттава.
LUK.1.38	Майрама пуная:
LUK.1.38	– Зун Аллагьдин гъиликк ккеяфе. КӀилди гьеле вун пегъилди хьурай. Хуппай малайик ушуная гигьас.
LUK.1.39	Са чӀукь гагьдилас Майрам тегӀди кей ушуная Ягьудеяйин сувари ая хӀуриди. 
LUK.1.40	Адина Захарияйин хулади, салам йиная ги Элизаветтайис. 
LUK.1.41	Майраман салам унихьугуна, Элизаветтайин фуниъ тӀушуная шиниккв. Аллагьдин РуьхӀ архьуная Элизаветтайиъ. 
LUK.1.42	Элизаветтайи гьавайикес гъургъуна пуная:
LUK.1.42	– Вун хумбаригӀас, Аллагьдин иджвел але дишагьли! Аллагьдин иджвел алдея ве шиникквдилла! 
LUK.1.43	Зун фуше, заалди зе ХӀаттин баб адесттегьен? 
LUK.1.44	Ве джил зе ибурихъди ахъадегуна, шиниккв ишине зе гӀанаъ шад хьуна. 
LUK.1.45	Бахттлу э Аллагьдихъ хъугъу дишагьли, Аллагьди гис педегьенттар аларкьвасе.
LUK.1.46	Майрама пуная:
LUK.1.46	– Шукур аркьая зе руьхӀди Аллагьдис,
LUK.1.47	Бахилдея зе руьхӀ Аллагьдил, зун УхӀуттил,
LUK.1.48	заал, учин лукӀул, ул алчихьухӀела, Ли зун хӀисабикк акьуна.
LUK.1.48	Магьа гьалдихъас хаб бахттлу агъай ахьасе зас кӀилди джилилас алавередегьен инсанари,
LUK.1.49	зас хӀа зурба иджвел акьухӀела Гуджлуйи. Лин Ттур – гирами э!
LUK.1.50	Лин иджвел алдея дуьнйайилас алавередегьен инсанарил, Лигьас гучӀаттарил.
LUK.1.51	Ли дагъуна Учин гуджлу гъил, далгъванас акьуне дамакъар кеяттар, кӀилди гебурин фикирара хъай.
LUK.1.52	Кьуват хъаяттар алайкуна тахттарилас, Ли кегъдивуне уджуз акьунаттар,
LUK.1.53	гашила аяттарис Ли иджвелар йине, девлетлубур фера фадавай гьикуне.
LUK.1.54	Адине кумакис Ӏизраилдис, учин лукӀус, кӀвал хьуна
LUK.1.55	иджвел акьасе пуна гаф йинаеф хье дадарис, Ибригьимасра гин халкьдисра гьемишанди.
LUK.1.56	Са хьибу вазала дегьен Элизаветтайихъай экьуна, хаб адиная Майрам учин хулади.
LUK.1.57	Вахтт хъучадегуна, хуная Элизаветтайис кӀиркӀ. 
LUK.1.58	Элизаветтайис Аллагьди йина иджвелихъас унихьугуна, Элизаветтайин къуншибура, багунттара шад хьуная.
LUK.1.59	Муядпе ягъа адиная гебур шиникквдин 
LUK.1.60	Баб рази хьуна адава:
LUK.1.60	– Ваъ, гил алихьасе ЯхӀъя, – пуная баба.
LUK.1.61	– Ве тухумди фушра лишттин ттур алеф адава! – пуная гебури Элизаветтайис.
LUK.1.62	Ишаратарилди хабар гъушуная шиникквдин дадафас, ттур фуш алихьас кканде вас пуна.
LUK.1.63	Захарияйи, нан пуна тахтта, ликӀиная: «Гин ттур ЯхӀъя э». Джалла муьхӀтал хьуная. 
LUK.1.64	Гьеге сеӀетти чӀал агьадиная Захарияйин, учифас гъургъас хьегъилди, шукур акьуная ги Аллагьдис. 
LUK.1.65	Джаллабурис гучӀ хьуная. КӀилди Ягьудеяйин сувариъ Ӏаре гьеге Ӏеламатихъас хьуная ахттилат аяф. 
LUK.1.66	КӀилдибури, гихъас унихьуттари, хияликк кичушуна, агъай хьуная чаб чиппикди: «Фуш хьасегьан ге шиникквдикес?» ХӀекьданди, Аллагьдин гъил алхьуная ге шиникквдил.
LUK.1.67	Шиникквдин дад, Захария, Аллагьдин РуьхӀ архьуна, гъургъуная пайгъамбар суман:
LUK.1.68	– Шукур хьурай Аллагьдис, Аллагь адина Учин Ӏизраилдин халкьдилди азадвел йине Учин халкьдис.
LUK.1.69+LUK.1.70	Дагь заманайилас мич Учин пайгъамбарарилас хабар акьуна, хьес пунаф суман, Ли гьикуне Учин лукӀ Давудан тухумдиас, Кьудратлу хьин УхӀаф.
LUK.1.71	Ли хьин ухӀасе хье душманариккесра, кӀилди хьяъ хъел аттариккесра.
LUK.1.72	Ли гаф йинафи, иджвелар акьасе пуна хье дадарис, юркӀуралла атасе пуна Учин гирами китабиъ ликӀина,
LUK.1.73	Хье дад Ибригьимас йина гаф, хьин душманарин гъиликкес Учи ккеттивасе пуна.
LUK.1.74	Сайигьасра дагучӀай, хьин Лин лукӀвел аркьай ахьасе,
LUK.1.75	ХӀекьди Гирами хьас Лин удигь кӀилди хье Ӏуьмурди.
LUK.1.76	Вас, зе шиниккв, агъай ахьасе Аллагьдин пайгъамбар, вун Аллагьдин удигь ушуна кканеф идехӀела, Гис рекъ хӀезур акьас.
LUK.1.77	ЯгӀар акьас Гин халкьдис, чве гунагьарилас гъил гъушуна, чун Аллагьди ухӀасе пуна.
LUK.1.78	Аллагьди, Учин кканевелдина иджевелди, гьикасе хьес заварин нур,
LUK.1.79	мучӀаъ ешемиш вей, Ӏеджаликк ккеяттарис, хьес маслихӀетин рекъ агвар акьас.
LUK.1.80	БицӀи ЯхӀъя хӀа вей, фагьумра ппара хьуная. Ге ешемиш вей ахьуная къумариъ, учин вахтт хъучадесттегьен Ӏизраилдин халкьдигьди айчӀвас.
LUK.2.1	Те вахттуни Август агъа паччагьди буюрмиш акьуная, сан аркьай ликӀен пуна джалла учин джилил ешемиш веядегьен инсанар. 
LUK.2.2	Гиштти сан аркьаяф инсанарин садпегелай хьуная Сирия агъа хӀуькуматтин хӀаф Квириний идегуна. 
LUK.2.3	Джаллабур ушуная чаб учётариъ ихьас чиппин шагьурариди, хӀурариди, гьерф учин дадарин ватандилди.
LUK.2.4	Юсуфра ушуная Галилея дерейин Назарет агъа хӀуриас Ягьудеяйиди, Вифлеем агъа Давудан хӀуриди, Юсуф уч Давудан тухумдиас идехӀела. 
LUK.2.5	Юсуфахъай ушуная гин фуни ая хьир Майрамра. 
LUK.2.6	Са чӀукь гагьдилас Вифлеемдиъ хъучадиная хьиран руха вахттар. 
LUK.2.7	Хуная Майрамас садпе шиниккв – кӀиркӀ. ГӀадиджина чаппаригӀ, икӀуная ги шиниккв тӀунаъ, гӀалашувар гъурзан хулаъ мукь ахьуна адава гебурис.
LUK.2.8	Майрамна Юсуф ая мукьуйигьас Ӏайи варха давай хӀуьппехъенар алхьуная чӀирил Ӏуьшан къаравулдиъ. 
LUK.2.9	Сад пуна, заварин нур ичай, бадил хьуная гебурин удигьди малайик. ГучӀ хьуна тӀушас девей гъузуная хӀуьппехъенар.
LUK.2.10	– Чвас гучӀ мева, – пуная гебурис малайикди. – Зун кӀилди инсанарис, идже хабар фай адинафе. 
LUK.2.11	ЯгӀа Давудан хӀуриъ Вифлеемдиъ хуная 
LUK.2.12	Чвас те Шиниккв магьмилди ягӀархьасе: чаппаригӀ гӀадиджина тӀунаъ ахьасе Те.
LUK.2.13	Садпуна ге малайикдин багуливди бадил хьуная хъара ппара малайикар, дуьгӀебура аркьай:
LUK.2.14	– Шукур варттал але Аллагьдис.
LUK.2.14	Дуьхьуьвелна нуьхӀуьбат Аллагь рази ая джилил аледегьен инсанарис.
LUK.2.15	Малайикар уларигьас гулугуна, хӀуьппехъенари пуная:
LUK.2.15	– Див хьин, хьес Аллагьди акьуна хабарихъди Вифлеемдиди вес, агвас тисаъ хьунаеф.
