MAT.1.1	Sanqbof heu-aq, 
MAT.1.2	Aqbyaqhaq-euq zaqyo-aq, Irtsav mae. Irtsav-euq zaqyo-aq, Yaqkov mae. Yaqkov-euq zaqyo-aq, Yurdav hawr-eu aqyawf-euq maernmr deuq mae. 
MAT.1.3	Yurdav-euq zaqyo-aq, Taqmaq ovnae daefle-euq Peqlev hawr-eu Zeqlar mae. Peqlev-euq zaqyo-aq, Heqzaqloq mae. Heqzaqloq-euq zaqyo-aq, Lamq mae. 
MAT.1.4	Lamq-euq zaqyo-aq, Aqmiqnaqdar mae. Aqmiqnaqdar-euq zaqyo-aq, Naqshoq mae. Naqshoq-euq zaqyo-aq, Saqlaqmor mae. 
MAT.1.5	Saqlaqmor-euq zaqyo-aq, Laqhar ovnae daefle-euq Borzav mae. Borzav-euq zaqyo-aq, Lurta ovnae daefle-euq Orbaev mae. Orbaev-euq zaqyo-aq, Yeqshaer mae. 
MAT.1.6	Yeqshaer-euq zaqyo-aq, sanqpaq Daqbir mae.
MAT.1.6	Sanqpaq Daqbir-euq zaqyo-aq, 
MAT.1.7	Sorlaqmoq-euq zaqyo-aq, Leqhorbamq mae. Leqhorbamq-euq zaqyo-aq, Aqbiryav mae. Aqbiryav-euq zaqyo-aq, Aqsar mae. 
MAT.1.8	Aqsar-euq zaqyo-aq, Yeqhorshaqpar mae. Yeqhorshaqpar-euq zaqyo-aq, Yorlamq mae. Yorlamq-euq zaqyo-aq, Urzir mae. 
MAT.1.9	Urzir-euq zaqyo-aq, Yordamq mae. Yordamq-euq zaqyo-aq, Aqgav mae. Aqgav-euq zaqyo-aq, Heqzeqgir mae. 
MAT.1.10	Heqzeqgir-euq zaqyo-aq, Maqnaqseq mae. Maqnaqseq-euq zaqyo-aq, Aqmoq mae. Aqmoq-euq zaqyo-aq, Yorsiv mae. 
MAT.1.11	Baqburloq mirkhanq-anr bi nyaefghae ngae, Yorsiv-euq zaqyo-aq, Yeqkornir hawr-eu aqyawf-euq maernmr deuq daefle-euq mae.
MAT.1.12	Baqburloq mirkhanq-anr bi nyaefghae ghaq-awr nae, Yeqkornir-euq zaqyo-aq, Shaqtirlav mae. Shaqtirlav-euq zaqyo-aq, Zeqlurbaqbeqlar mae. 
MAT.1.13	Zeqlurbaqbeqlar-euq zaqyo-aq, Aqbiruv mae. Aqbiruv-euq zaqyo-aq, Erlirkmq mae. Erlirkmq-euq zaqyo-aq, Aqzor mae. 
MAT.1.14	Aqzor-euq zaqyo-aq, Zaqdov mae. Zaqdov-euq zaqyo-aq, Aqcmq mae. Aqcmq-euq zaqyo-aq, Erliruv mae. 
MAT.1.15	Erliruv-euq zaqyo-aq, Erlaqzaq mae. Erlaqzaq-euq zaqyo-aq, Maqtaq mae. Maqtaq-euq zaqyo-aq, Yaqkov mae. 
MAT.1.16	Yaqkov-euq zaqyo-aq, Maqliv-euq khaqdzerzaq Yorsaev mae. Kali laer kur-eu Yeqsur-aq, Maqliv-anr nae daefle-euq mae.
MAT.1.17	Khoermirnae, Aqbyaqhaq-anr nae Daqbir-anr keuvni 14 tsuif byan-eu mae. Daqbir-anr nae Baqburloq mirkhanq-anr bi nyaefghae ngae keuvni 14 tsuif, Baqburloq mirkhanq-anr bi nyaefghae-euq ngae-anr nae Kali-anr keuvni khawf 14 tsuif-eu byan mae.
MAT.1.18	Yeqsur Kali daefle-euq garkawv-aq heulof-aer mae. Aqyawf-euq aqma Maqliv-aq, Yorsaev-anr danqdzaq-ir ma laer aertsaev taq-euq mae. Aqyawfnyaf maq sheuqdanq dzaq-euq minav-aer, Maqliv, Yawshawr Saflar-euq baqda’nae zaq tsaevler-euq mae. 
MAT.1.19	Aqyawf-euq yoshuif Yorsaev-aq, tsaq-awr dawr-eu tsawrhaq mae. Aqyawf, Maqliv-anr aqcawq-euq maeqshi myavpyawq narmaer maqbi cawv-ir mawf-eu mirnae, aqcawq-anr maqbi siqni ghawq ma laer noeqtaq-euq mae. 
MAT.1.20	Yorsaev khoerlof-aer sharnoeqluf ngae, aqyawf yufmav mav-eu lafkhoer, 
MAT.1.21	Aqyawf, zaqyo tiq ghaq ciq taef-a. Nawr, aqyawf-anr Yeqsur laer ya myanrnaeq-eu mae. Aqjeq mirnae aernar-aq, aqyawf, aqyawf-euq tsawrjeuq tsawrca-anr iqbax-euq lafkhoer nae kakhofdov naeq taef-a.”
MAT.1.22	Heudeuq dawqtawvluf pyeuflar-euq-aq, Sanqpaq Miqyaer, aqyawf-euq gharduq ngaeqdan-eu tsawrhaq-anr ghoe-awr aertaq-euq dawq heudawq byanlar-euq mae:
MAT.1.23	“Ermaqnoeqlar” laer aer-eu-aq, “Miqyaer, aqdui naeq-aer jawr mae” laer aermawf-eu mae.
MAT.1.24	Yorsaev noeqlar-awr tur-euq nar-aq, Sanqpaq Miqyaer-euq mqtav ghaqkhaer nae aqyawf-anr aernaeq-euq lof-aer Maqliv-anr sheuqdav-euq mae. 
MAT.1.25	Aerkhawf, zaq khoerghaq maqciq-euq khoerkeuvni, Maqliv naeq-aer maq yuftaf-aq. Huqbaw zaqyo khoerghaq daefle-awr, aqyawf-anr Yeqsur laer myanrnaeq-euq mae.
