MAT.1.1	Abraham poho ne Dabid koro poho Yesu Kiristo ekashi shinrit ikiri anuye kambi.
MAT.1.2	Abraham anak ne Isaak sangere; Isaak anak ne Yakob sangere; Yakob anak ne Yuda newa Yuda koro akutari sangere; 
MAT.1.3	Yuda anak ne Tamara tura Perez newa Zera sangere; Perez anak ne Ezrom sangere; 
MAT.1.4	Ezrom auak ne Aram sangere; Aram anak ne Aminadab sangere; Aminadab anak ne Naasson sangere; Naasson anak ne Saramon sangere; Saramon anak ne Rakab tura Booz sangere; 
MAT.1.5	Booz anak ne Rut tura Obeed sangere; Obeed anak ne Yessai sangere; 
MAT.1.6	Yessai anak ne moshiri esapane guru Dabid sangere nisa ruwe ne.
MAT.1.6	Dabid anak ne hoshiki no an Uria koro machi tura Soromon sangere; 
MAT.1.7	Soromon anak ne Roboam sangere; Roboam anak ne Abia sangere; Abia anak ne Asa sangere; 
MAT.1.8	Asa anak ne Yosapat sangere; Yosapat anak ne Yoram sangere; Yoram anak ne Ozia sangere; 
MAT.1.9	Ozia anak ne Yoatam sangere; Yoatam anak ne Akaz sangere; Akaz anak ne Ezekia sangere; 
MAT.1.10	Ezekia anak ne Manasse sangere; Manasse anak ne Amon sangere; Amon anak ne Yosia sangere; 
MAT.1.11	Babironia moshiri orota teke apashte wa atura ita, Yosia anak ne Yekonia newa Yekonia koro akutari sangere nisa ruwe ne.
MAT.1.12	Babironia moshirʼotta teke apashte wa atura okaketa, Yekonia anak ne Saratiru sangere; Saratiru anak ne Zorobaberu sangere; 
MAT.1.13	Zorobaberu anak ne Abiod sangere; Abiod anak ne Eriakeim sangere; 
MAT.1.14	Eriakeim anak ne Azoro sangere; Azoro anak ne Sadok sangere; Sadok anak ne Akeim sangere; 
MAT.1.15	Akeim anak ne Eriod sangere; Eriod anak ne Ereazar sangere; Ereazar anak ne Mattan sangere; 
MAT.1.16	Mattan anak ne Yakob sangere; Yakob anak ne Maria koro hoku Yosep sangere; tan Maria orowa Yesu ani aye Kiristo hekatu nisa ruwe ne na.
MAT.1.17	Tambe gusu, aukotama chiki Abraham orowa no Dabid pakno ine ainu ikiri ikashima wan ainu ikiri an; Dabid orowa no Babironia moshiri orota teke apashte wa atura pakno ne yakka ine ainu ikiri ikashima wan ainu ikiri an ruwe ne; shui, Babironia moshiri orota teke apashte wa atura orowa no Kiristo pakno ine ainu ikiri ikashima wan ainu ikiri an ruwe tapan na.
MAT.1.18	Yesu Kiristo hekatu katuhu anak ne tapne ne ruwe ne: Koro habo Maria anak ne Yosep otta akopakashnu wa an rapoketa, naa shomo uorepa ita, Ashkanne Ramat gusu honkoro wa an-i anukan ruwe ne. 
MAT.1.19	Koro hoku Yosep anak ne oupeka ainu ne, awa, moshima guru tek samata nei shiwentep yainikoroshmare niukesh, tambe gusu, nuina no uosuruba ani yainu nisa ruwe ne. 
MAT.1.20	Aige, tap ambe eyaikoshiramse rapoketa heta, ingarʼan Utarapa uitekbe wendarap ani Yosep orota ek hine ene itak-hi;—Dabid sanike ne Yosep, e kon machi honkoro katuhu anak ne Ashkanne Ramat an ambe ne gusu, e koro machi koro kuni iteki ishitoma. 
MAT.1.21	Nei shiwentep anak ne okkai po hekature kusu ne na; orowa, Shinuma anak ne koro utara koro katpak isamka kuni gusu ne aiai ne gusu, Yesu ani an reihei ani kore yan, sekoro itak. 
MAT.1.22	Tap ambe an katu anak ne,
MAT.1.22	Okkai eramushkare shiwentep honkoro wa okkai aiai hekature,
MAT.1.22	Reihei anak ne Immanueru sekon reihei ani areikore kusu ne,
MAT.1.22	sekoro Utarapa orowa no uweingara guru aitakte hawehe auweomare kuni gusu an ambe ne ruwe ne; 
MAT.1.23	Immanueru sekoro an itak ibehe anak ne, Kamui un tura no an ruwe ne ani an itak ibehe ne ruwe ne. 
MAT.1.24	Orowa, Yosep mosh, aige, hopuni wa Utarapa uitekbe ikashpaotte nei no ki wa koro machi kon ruwe ne; 
MAT.1.25	awa, po koro pakno samata hotke shomoki ruwe ne: nei hekature poho YESU ani an reihei ani reikore nisa ruwe ne na.
MAT.2.1	Moshiri esapane guru Herod shiknu wa an rapoketa, Yesu Yudea moshiri ta an Betrehem kotan ta hekatu nisa ruwe ne; awa, ingarʼan, moshiripa wano pawetok koro utara Yerusarem kotan ta araki wa ene hawe okai-hi:— 
MAT.2.2	Yudea moshirʼun utara esapane gusu hekatu gurʼanak ne hunakta an ruwe he an? Moshiripa ta koro nochiu chi nukara, awa, ongami kuni gusu chi araki ash ruwe ne, sekoro itak. 
MAT.2.3	Moshiri esapane guru Herod anak ne tan orushpe nu ohiki, Yerusarem kotan ta okai utara tura shineikinne keutura chiukopoye nisa ruwe ne. 
MAT.2.4	Aige, Herod anak ne Kamui kora kenru esapane utara obitta, kambi-nuye utara tura uwekarire wa Kiristo hunakta an kotan ta hekatu kusu ne ya, sekoro shinuma uwepekennu nisa ruwe ne. 
MAT.2.5	Nei utara ese wa ene hawe okai-hi:—
MAT.2.5	Yudea moshirʼun Betrehem kotan,
MAT.2.5	Ku goro Israeru un utara epungine kuni gusu an ap
MAT.2.5	Eani orowa no hekatu kusu ne gusu,
MAT.2.5	Aokai anak ne Yudea un esapane guru tumugeta iyotta koshnep shomo e ne ruwe ne;
MAT.2.6	sekorʼan itak uweingara guru nuye kambi-sosh kashiketa anuye wa an gusu, Yudea moshirʼun Betrehem kotan ta hekatu kusu ne, sekoro nei utara ese nisa ruwe ne na. 
MAT.2.7	Orowa, Herod anak ne nuina no pawetok koro utara hotuyepakara wa nei nochiu hembarata anukarape an sekoro usa pishkani uwepekere nu. 
MAT.2.8	Aige, Betrehem kotan orun payere wa ene itak-hi:—Echi paye wa pon aiai orushpe tomte no hunara wa nu yan. Aine, echi pa chiki kanna-shui hoshippa wa en nure wa en kore yan, orota kuani ne yakka ku oman wa ongami ku ki gusu ne na, sekoro itak. 
MAT.2.9	Orowa, nei utara moshiri esapane guru ye itak nu okere koro paye: aige, ingarʼan, moshiripa ta anukara nochiu shui anukara, awa, nei nochiu shinuma utara kotchaot oman hine aiai an 
MAT.2.10	ushike kashikegeta an wa an pakno ki nisa ruwe ne. 
MAT.2.11	Nei nochiu nukara chiki shi no ara enupetne ruwe ne. Orowa, chisei orun ahup wa aiai koro habo Maria tura no an wa nukara, aige, hepokichiu wa Shinuma ongami, samata, ikoro o shuop maka hine tongani, senko, motsuyaku sapte wa, orota yange nisa ruwe ne. 
MAT.2.12	Koroka, iteki Herod otta hoshippa yan, sekoro wendarap ani akashpaotte wa gusu, nei utara oya ru kari koro kotan un hekomba nisa ruwe ne na.
MAT.2.13	Nei utara paye wa isam okaketa, ingarʼan, Kamui uitekbe wendarap ani Yosep orota ek hine ene itak-hi:—Herod anak ne aiai raige kuni ne hunara kusu ne gusu, hopuni wa aiai unuhu tura Echipt moshirʼotta ekira, Kuani Ku yep e nure kuni pakno nei kotan ta okai yan, sekoro itak. 
MAT.2.14	Orowa, Yosep hopuni wa, aiai unuhu tura wa anchikara ta Echipt 
MAT.2.15	moshiri orun paye ruwe ne; awa, Herod rai wa isam pakno nei moshirʼotta okai: tap ambe anak ne, Utarapa orowa no uweingara guru chiitakte hawe-he:—Echipt moshiri orowa Ku Poho Ku hotuyekara na, sekoro aye itak auweomare kuni gusu an okaibe ne ruwe ne. 
MAT.2.16	Pawetok koro utara orowa no akokandama a an sekoro Herod eramu an koro, shi no irushka, aige, nei pawetok koro utara otta usa pishkani anu pakihi esanniyo hine ipawetenge sange wa Betrehem kotan ebitta okari tu pa tukariketa an okkai aiai obitta ronnu yara nisa ruwe ne. 
MAT.2.17	Tambe gusu, uweingara guru Yerimia ye itak,
MAT.2.18	Rama kotan ta hawe anu,
MAT.2.18	Chish ambe newa poro yaituwashkarap an,
MAT.2.18	Rakeru anak ne koro poho gusu chish;
MAT.2.18	Aige isam wa gusu aratchire eaikap,—
MAT.2.18	sekorʼan itak auweomare ruwe ne. 
