MAT.1.1	Abraham po aso, Dabhit po agijing, anang so Jisu Khristo asar-lar alekha alo bangpo lo.
MAT.1.2	Abraham po asoke Aijak po; Aijak po asoke Jakup po aro Jakup po asoke Judap po pen anang penso akorte-musohel; 
MAT.1.3	Tamarpe aso ke Perej po pen Jerap po anangpa ke Judap po; Perej po asoke Hejron po, Hejron po asoke Aram po. 
MAT.1.4	Aram po asoke Aminadap po, Aminadap po asoke Nason po; Nason po asoke Salmon po; 
MAT.1.5	aro Rahap pe para Salmon po aso Buwaj po plango; Buwaj po asoke Obet po plango; Obet po asoke Jesi po; 
MAT.1.6	Jesi po aso ke Dabhit Rechopo. Aro Dabhit po aso Solomon po plango, anang aike akithi Uriya po apiso kido; 
MAT.1.7	Solomon po asoke Rehobowam po; Rehobowam po asoke Abija po; Abija po asoke Asap po; 
MAT.1.8	Asap po asoke Jehosaphat po; Jehosaphat po asoke Joram po; Joram po asoke Ujiya po; 
MAT.1.9	Ujiya po asoke Jotham po, Jotham po asoke Ahas po, Ahas po asoke Hejekiya po; 
MAT.1.10	Hejekiya po asoke Mannase po, Mannase po asoke Amos po, Amos po asoke Josiya po; 
MAT.1.11	aro Bebilon alongri yok kinep pon amun Josiya po aso Jesoniya; aro anang penso akortehel plango. 
MAT.1.12	Aro Bebilon alongriyok kinep pon aphel chingthurne kiwang aphel Jesoniya po aso Seyeltiyel po plango; aro Seyeltiyel po asoke Jerubabel po kido. 
MAT.1.13	Jerubabel po asoke Abiyut po, Abiyut po asoke Eliyakim po; Eliyakim po asoke Ajor po, 
MAT.1.14	Ajor po asoke Jado po, Jado po asoke Asim po; Asim po asoke Eliyut po; 
MAT.1.15	Eliyut po asoke Eliyajar po; Eliyajar po asoke Mathan po; Mathan po aso ke Jakup po; 
MAT.1.16	Jakup po asoke Jusep po; anang Mary pe apihan; aro inghoyok Khristo ta puman, labang Jisu labang Mary pe para plango. 
MAT.1.17	Ladisi Abraham po para Dabhit po ayok ahuwit pachiloksi owe kerephili chokngo; aro Dabhit po para Bebilon alongriyok kinep pon ayok owe kere phili chokman; aro Bebilon alongri yok kinep pon para Khristo yok ta owe kere-phili chokngo.
MAT.1.18	Jisu Khristo kiplang atomo ladi kido. Anang ai Mary peyok Jusep poyok lam-athip pilo apot, anali bang-hini kachi-en-eh ango si, anangyok Jiuli-Kangthir para agat kido pahlongo. 
MAT.1.19	La-amun anang apihan Jusep po dhorom kangthir arleng kido apotsi, Mary pe yok rat ango amahang kapatharak ahisa wesi katikang jolyok angthin long chirono. 
MAT.1.20	Manta langot, anang lamehel alam chironsi kido amunsi, Hemphu atharlon ihut anangyok pharlo long chiklangsi pulo, “O Dabhit po agijing nang Jusep po, nang piso Mary peyok kachi-en yok phere yek; piyok pu tene anang agat kido ke Jiuli-Kangthir parasi chok do. 
MAT.1.21	Anang ihut So penso paplang nge, aro nang anangmen ke Jisu binot. Piyok pu tene anangsi abithang arleng hel yok pap hel para pajok nge; 
MAT.1.22	Hemphu pot alam turki po parasi kapathan, lake, 
MAT.1.23	“Langot, labang so-arlope agat dosi, So penso paplange, aro arleng hel anang men Immanuwel biye;” [labang alam acho ke “Arnam ili pen do”] labang alam kichok aphan ladisi chiplang ngo. 
MAT.1.24	Konam Jusep po amek-kijang para thursi, Hemphu atharlon po anangyok kithan badisi, Mary pe pen chi-eno; 
MAT.1.25	manta penso oso-so plangple lengyok ke, anang Mary pe ape-rik dong dunde yongot; la-aphel anang labang Oso so amen Jisu bilo.
MAT.2.1	Herod rechopo kido apor Judiya ahol long kido Bethlehem rongso along Jisu plango; langot, ni-hang aga para angkhan kithek-kire abang Jerusalem rongpe yok wangsi arjulo, 
MAT.2.2	“Jihudi hel aphan recho kiplang, Oso so dak longte do? Piyok pu tene hali anang chiklo-langso ni-hang agak ka-ole theksi, anangyok kachirdom yok wang ngo.” 
MAT.2.3	Herod recho po labang alam arjusi, anang pen Jerusalem kido ahuwit ta angthin ihik-bihiksi do detno. 
MAT.2.4	La-amun anang ahuwit bor-bangthe pen arleng hel kanong paklang helyok pangrumsi arjulo, “Khristo daklong te wang plange?” 
MAT.2.5	Anali anangyok pulo, “Judiya ahol Bethlehem rongso along hali labangpo thek hlongo, piyok pu tene turkipo parasi labadi kiwi do, 
MAT.2.6	Juda alongri Bethlehem abang, Juda rongpe hel adak nali bekchot kalek, piyok pu tene nali sitem para ihut kapangdom po ole ye, anangsi ne Israyel arlengyok al-en pone.” 
MAT.2.7	La-amun Herod po kithek-kire abangyok taram jolsi, labang chiklolangso kachiklang konbak adin chokdo, bangpo apor pangtheksi anali para arjulo. 
MAT.2.8	Aro analiyok Bethlehem yok tolsi pulo, “Nali, damne labang oso soyok me-atne chilangdam; aro anangyok thekngo tene neyok ta wangthanot, la tangsi ne ta damsi chirdom dam une.” 
MAT.2.9	Anali Herod recho po alamthe arjusi damjongo; la-amun langot, labang chiklo-langso anali ni-hang aga kithek, labang chiklolangso anali kidam ango-ango damsi, Oso so kido athem hlongsi, anang aphuthaksi ri-dam kukngo. 
MAT.2.10	Labang chiklo langso kiridamkuk theksi anali aneng arong ongo. 
MAT.2.11	Aro hem arlo lut damsi, anang ai Mary pe pen kachikso yok theksi, anangyok tarhuksi chirdomo; aro anali ador-ong abihini chulpo para ser, hujung aro kanempru ajangthu olesi anangyok banta pilo. 
MAT.2.12	Aro Herod po adung kipadam phakphe yok anali apharlo long Arnam para kithan hlong si, prek aduwarsi abithang alongriyok dam phakngo.
MAT.2.13	Laparake langot, kithek-kire abang kachikak aphel, Hemphu tharlon ihut Jusep poyok apharlo chihomansi pulo, “Thurnot, Oso so aro anang aipe yok ensi, Ijip alongriyok kak-hrol not, aro ne nangyok nangthanthe lengke lalong donot; piyok pu tene Oso soyok kamari ayok, Herod po kapasandi damwor yok arleng toldo.” 
MAT.2.14	Aro Jusep po thursi, Oso so yok aro anang aipe yok anuwepesi ensi, Ijip alongri ayok chipon detno; 
MAT.2.15	aro Herod po thitheleng ke lalong si dolo; “Ne Ijip longri para neso yok chitaramo,” labang alam turki po parasi Hemphu kipathan, alamthe chokplengyok ladisi chiplango.
MAT.2.16	La-amun Herod po kithek-kire abang nichobel peno pusi chithan unsi, anang nengkang halo, aro kithek-kire abang para me-at arjusi kiplang apor atengsi, Bethlehem aro adung arel kido nengkan hini abo oso aro layok kibek chot penso oso majit, arleng tolsi pamari det no. 
MAT.2.17	Latengsi Jeremiya turkipo yok Arnam kapathan alamthe hel chok penno, lake, 
MAT.2.18	“Rama rongso long kasurujo aro nengduk kiwangjin arju hlongo, Rachelpe asomar anat suru-surusi, anali kangwedet theksi, nengpangsam hlongyok, aneng wedet no.”
MAT.2.19	Manta langot, Herod po thilo apot, Hemphu atharlon ihut Ijip alongri long Jusep poyok apharlo long chiklangsi pulo, 
MAT.2.20	“Thurnot, Oso so pen aro anang ai yok en-ne Israyel alongri yok dam phak ngot; piyok pu tene Oso so yok kamariyok kiron, labang arleng hel thidet no.” 
MAT.2.21	La-amun anang thursi, Oso so aro anang ai yok ensi, Israyel alongri ayok wango. 
MAT.2.22	Manta Judiya along Arkhelayus po anangpa Herod po kithitang aphel recho kachiplang arjusi, anang lalong kidamyok chiphere lo; laparake apharlo long Arnam para kithan hlongsi, Galili aholyok damphakngo. 
MAT.2.23	Aro Najaret rongso long damsi pahem-paretsi dolo; “Anang yok ke Najaret abang pusi taramme,” pune turkihel parasi kipathan, alamthepo kichok ayok ladisi chiplang peno.
MAT.3.1	Labang adin Johon Baptist po wangsi, Judiya angnam aju Arnam alam paharsi pulo, 
MAT.3.2	“Pap aneng chipharlep mot, piyok pu tene ethakpe-alongri adung hetno.” 
MAT.3.3	Piyok pu tene, ingho alam Jisoya turki po parasi ladi kipathan, lake, “Ingnam aju kihang ihut asi lalo, nali Hemphu aduwarpo chihonjok, aro anang duwarsone chipakengot.” labangke anango. 
MAT.3.4	Johon po mihonghang areng apesi kachi-ik, areng pensi amicheng kachikok; aro anang long-chupur pen ingnam apiyo alangsi kicho. 
MAT.3.5	La-amun Jerusalem pen Judiya ahol aro Jordan langjon pe dung ahuwit arleng anang dung yok damsi, 
MAT.3.6	anali abithang pap katikihel hoi chosi, Johon po parasi Jordan langjonpe long baptist chiplango. 
