MAT.1.1	Иисус Христостыҥ ада-ӧбӧкӧлӧри. Ол Давид ле Авраамныҥ калдыгы.
MAT.1.2	Авраамнаҥ Исаак туулган, Исаактаҥ Иаков туулган, Иаковтоҥ Иуда ла оныҥ карындаштары туулган;
MAT.1.3	Иуданыҥ ӱйи болгон Фамарьдаҥ Фарес ле Зара туулган, Фарестеҥ Есром туулган, Есромноҥ Арам туулган;
MAT.1.4	Арамнаҥ Аминадав туулган, Аминадавтаҥ Наассон туулган, Наассонноҥ Салмон туулган;
MAT.1.5	Салмонныҥ ӱйинеҥ, Рахавтаҥ, Вооз туулган, Воозтыҥ эмеени Руфьтаҥ Овид туулган, Овидтеҥ Иессей туулган;
MAT.1.6	Иессейдеҥ Давид-каан туулган, Давид-кааннаҥ Соломон туулган, Соломонныҥ энези дезе Урияныҥ башкыдагы ӱйи болгон;
MAT.1.7	Соломонноҥ Ровоам туулган, Ровоамнаҥ Авия туулган, Авиядаҥ Асаф туулган;
MAT.1.8	Асафтаҥ Иосафат туулган, Иосафаттаҥ Иорам туулган, Иорамнаҥ Озия туулган;
MAT.1.9	Озиядаҥ Иоафам туулган, Иоафамнаҥ Ахаз туулган, Ахазтаҥ Езекия туулган;
MAT.1.10	Езекиядаҥ Манассия туулган, Манассиядаҥ Амон туулган, Амонноҥ Иосия туулган;
MAT.1.11	Иосиядаҥ Иоаким туулган, Вавилон јерине кӧчӱрердеҥ озо Иоакимнеҥ Иехония ла оныҥ карындаштары туулган;
MAT.1.12	Вавилонго кӧчӱрген соҥында Иехониядаҥ Салафиил туулган, Салафиилдеҥ Зоровавел туулган;
MAT.1.13	Зоровавелдеҥ Авиуд туулган, Авиудтаҥ Елиаким туулган, Елиакимнеҥ Азор туулган;
MAT.1.14	Азордоҥ Садок туулган, Садоктоҥ Ахим туулган, Ахимнеҥ Елиуд туулган;
MAT.1.15	Елиудтаҥ Елеазар туулган, Елеазардаҥ Матфан туулган, Матфаннаҥ Иаков туулган;
