MAT.1.2	Abraham Isak ka abatii, ho Isak Jakob ka aba, ho Jakob Juda la mohka anuabañ atañka aba, 
MAT.1.3	ho Juda Perej la Jera nyika aba Tamar ka buniiñ, ho Perej Hejron ka aba, ho Hejron Ram ka aba, 
MAT.1.4	ho Ram Aminadab ka aba, ho Aminadab Nason ka aba, ho Nason Salmon ka aba, 
MAT.1.5	ho Salmon Boaj ka aba Rahab ka buniiñ, ho Boaj Obed ka aba Ruth ka buniiñ, ho obed Jesse ka aba, 
MAT.1.6	ho Jesse David radde ka aba.
MAT.1.6	Ho David Solomon ka aba, mohka mihie Uria ka buniiñ, 
MAT.1.7	ho Solomon rehoboam ka aba, ho Rehoboam Abija ka aba, ho Abija Asa ka aba, 
MAT.1.8	ho Asa Jehosapat ka aba, ho Jehosapat Joram ka aba, ho Joram Ujjia ka aba, 
MAT.1.9	ho Ujjia Jotam ka aba, ho Jotam Ahaj ka aba, ho Ahaj Hejekia ka aba, 
MAT.1.10	ho Hejekia Manase ka aba, ho Manase Amos ka aba, ho Amos Josia ka aba, 
MAT.1.11	ho Josia Jekoria la mohka anuabañ atañka aba, Babilon hoka dorlyi myodu ho.
MAT.1.12	Ho Babilon ho dorku lala: Jekoria Salatiel ka aba tii, ho Salatiel Zerubabel ka aba, 
MAT.1.13	ho Zerubabel Abiud ka aba, ho Abiud Eliakim ka aba, ho Eliakim Ajor ka aba, 
MAT.1.14	ho Ajor Jadok ka aba, ho Jadok Achim ka aba, ho Achim Eliud ka aba, 
MAT.1.15	ho Eliud Eleajar ka aba, ho Eleajar Matan ka aba, ho Matan Jakob ka aba, 
MAT.1.16	ho Jakob Josep ka aba Mary ka millo, hulona Jisu bukotiinii, humina Kristo hiila lutii nii.
MAT.1.17	Hopa hikha aba-apa khiila Abraham kokiila David lohepa alyañhela piilye; ho David kokii la Babilon hoka dorlyi lohe pa alyañhela piilye aba-apa dutii; ho Babilon hoka dorlyi hokii la Kristo lohepa alyañhela piilye aba-apa dutii.
MAT.1.19	ho mohka millo Josep, lotii miyu lyinii ho mohmi hiinyañ mohi mupyu namapa, chomyopa byasu dupa miitii. 
MAT.1.20	Hojalopa mohka hiila hendalyi, kato, Attoh ka miidopopi mohka emmako ahtii, lubiidola, “Josep, David ka oho, no biisoyo Mary mi niika mihie paka biisa niimi, mohka wiinga giiniiñsi Darii Yajiyallo loke; 
MAT.1.21	 mo milobo oho kone bukiñ do, ho nunu mohka armyañ mi Jisu hiila gyokiñ do, niimpalukoda mo miyu atañmi mohluka ingyamiigya hokii lyangur kendo”. 
MAT.1.22	Hikha siika lyiniiñ si Attoh ka nyibuhenii atañ mika luna nala luniiñmi miipe kiine dupa lyitii:
MAT.1.23	“Kato, dokasanka manii kone wiinga giikiñ do ho milobo oho bukiñdo,
MAT.1.23	ho mohka armyañ mi Emmanuel hiila gyokiñ do”
MAT.1.23	(siika luniiñsi, Pinii ngunu agiñho daboda). 
MAT.1.24	Josep eminii guri bukula, mo Attoh ka miidopopi ka mohmika luniiñ chulipa miitii; mo mohka mihie pa biitii, 
MAT.1.25	hojalopa mohka oho bumiñ rañhemi doba siila lyimatii; ho mo Jisu hiila mohmi armyañ tii.
MAT.2.2	“Nohna Jew atañ paka Radde lyisa bomi butiinii? Niimpalukoda ngunu mohka takḛr mi danyichaggo ho kappa to, ho ngunu mohmi herii dupa ahdu.” 
MAT.2.3	Hiimi Radde Herod tapa lala, mo ano henga henkhatii, ho hikha Jerusalem miilañ mohmi hembotii; 
MAT.2.4	ho hikha nyibu burii atañmi ho miyuatañ paka pagenii atañmi gyokuñtii, mo tahii biido nohyu Kristo mi bukiñ doniiñ. 
MAT.2.5	Mohlu mohmi lukotii, Judia ka Betlehem ho yuke; niimpalukoda siikasi nyibuhenii ka keniiñ:
MAT.2.6	Ho no, Betlehem, Juda ka kiiddi ho,
MAT.2.6	Juda hoka donii khiima niija lemba kone make;
MAT.2.6	niimpalukoda niiko hokiike akhoja kone
MAT.2.6	ngiika Isrel miyu atañmi sangii niipa ahkiñ donii.
