MAT.1.1	Xesosi Teoso mereẽkiti itxaua. Uai aua Xesosi apika atokiriakorini uãka. Xosee inakori Xesosi iri atoko ĩkorapokoriti. Apraãoni, Taviini pakini Xesosi apika atokiriakorini atoko. Ininiã Xesosi Taviini, Apraãoni pakini imi atoko itxa.
MAT.1.2	Ininiã ia atoko itxa:
MAT.1.2	Kitxakapirĩka Apraão, Isaki iri.
MAT.1.2	Isaki, Xakoo iri.
MAT.1.2	Xakoo, Xotaa itariakorikata iri.
MAT.1.3	Xotaa, Péresi, Sera pakini iri. Inorona Tamara.
MAT.1.3	Péresi, Ésirõ iri.
MAT.1.3	Ésirõ, Arão iri.
MAT.1.4	Arão, Aminatapi iri.
MAT.1.4	Aminatapi, Nasoõ iri.
MAT.1.4	Nasoõ, Sáomõ iri.
MAT.1.5	Sáomõ, Póasi iri. Póasi inoro Haapi.
MAT.1.5	Póasi, Opetxi iri. Opetxi inoro Hotxi.
MAT.1.5	Opetxi, Xesee iri.
MAT.1.6	Xesee, Tavii iri. Tavii Isaeokini auĩte itxaua.
MAT.1.6	Tavii, Saromão iri. Saromão inoro mitxi Oria ĩtanoro. Eereka Tavii takaro oa.
MAT.1.7	Saromão, Hopoão iri.
MAT.1.7	Hopoão, Apia iri.
MAT.1.7	Apia, Asa iri.
MAT.1.8	Asa, Xosapaa iri.
MAT.1.8	Xosapaa, Xorão iri.
MAT.1.8	Xorão, Osia iri.
MAT.1.9	Osia, Xotão iri.
MAT.1.9	Xotão, Akasi iri.
MAT.1.9	Akasi, Esekia iri.
MAT.1.10	Esekia, Manasee iri.
MAT.1.10	Manasee, Amõ iri.
MAT.1.10	Amõ, Xosia iri.
MAT.1.11	Xosia, Xekonia itariakorikata iri. Iuasaaki ĩkorakanani kãkiti Isaeokini maĩkaãka. Papirónia tixinimoni anikaãkana.
MAT.1.12	Papirónia anikikona atoko,
MAT.1.12	Xekonia, Saratxieo iri.
MAT.1.12	Saratxieo, Soropapeo iri.
MAT.1.13	Soropapeo, Apiotxi iri.
MAT.1.13	Apiotxi, Eriakiĩ iri.
MAT.1.13	Eriakiĩ, Asoo iri.
MAT.1.14	Asoo, Satoki iri.
MAT.1.14	Satoki, Akĩ iri.
MAT.1.14	Akĩ, Eriotxi iri.
MAT.1.15	Eriotxi, Ereasa iri.
MAT.1.15	Ereasa, Mataã iri.
MAT.1.15	Mataã, Xakoo iri.
MAT.1.16	Xakoo, Xosee iri. Iua Xosee, Maria ĩtaniri. Xesosi, iuara Teoso Mereẽkiti itxaua. Inoro Maria.
MAT.1.17	Apraão, iua ãkiri, imekaniri, apika mekaniri, apika mekaniri ãkiri, apika mekaniri apika mekaniri, apiko itxaãpota. Tavii auakasaaki, katosipeka pakini ninoa uãka. Eereka aua Tavii, Tavii ãkiri, imekaniri, apika mekaniri, apiko itxaãpota. Katosipeka pakini ninoa uãka. Iuasaakiika Xoteoakori anikaãka Papirónia tixinimoni. Ninoa mekaniriakori katosipeka inakasaaki, Xesosi iponaniãpeka.
MAT.1.18	Ia atoko itxapaniko Xesosi. Teoso mereẽkiti iponaniãkasaaki, Maria ominapatari Xosee. Oĩtaniriuatini apisapanika, omotokiãri amarini Erekari Matamatakoti sikakiti. 
