MAT.1.1	Tüfa Jesucristo tañi kuyfike tuwün pu che em, David em ka Abraam em tañi pu yomel ürke:
MAT.1.2	Abraam em yallfi ta Isaak,
MAT.1.2	Isaak em yallfi ta Jakob.
MAT.1.2	Jakob em yallfi ta Juda ka tañi pu peñi.
MAT.1.3	Juda em Tamar mew yallfi ta Fares ka Sara.
MAT.1.3	Fares em yallfi ta Esrom.
MAT.1.3	Esrom em yallfi ta Aram.
MAT.1.4	Aram em yallfi ta Aminadab,
MAT.1.4	Aminadab em ta Nason,
MAT.1.4	Nason em ta Salmon.
MAT.1.5	Salmon em ta Raab mew yallfi ta Boos,
MAT.1.5	Boos em Rut mew yallfi ta Obed,
MAT.1.5	Obed em ta Isay.
MAT.1.6	Isay em yallfi tati longko ülmen David.
MAT.1.6	Tati longko ülmen David Uria em ñi kure mew yallfi ta Salomon.
MAT.1.7	Salomon em yallfi ta Roboam,
MAT.1.7	Roboam em ta Abia,
MAT.1.7	Abia em yallfi ta Asa.
MAT.1.8	Asa em yallfi ta Josafat,
MAT.1.8	Josafat em ta Joram,
MAT.1.8	Joram em yallfi ta Usia.
MAT.1.9	Usia em yallfi ta Jotam,
MAT.1.9	Jotam em ta Akas,
MAT.1.9	Akas em yallfi ta Esekias.
MAT.1.10	Esekias em yallfi ta Manase,
MAT.1.10	Manase em ta Amon,
MAT.1.10	Amon em yallfi ta Josias.
MAT.1.11	Josia em yallfi ta Jekonia ka tañi pu peñi, feychi tripantu mew püresukonayengelu tati pu israelche Babilonia trokiñ mapu mew.
MAT.1.12	Dew rupalu ti tripantu ñi püresukonalepun engün,
MAT.1.12	Jekonias em yallfi ta Salatiel,
MAT.1.12	Salatiel em yallfi ta Sorobabel.
MAT.1.13	Sorobabel em yallfi ta Abiud,
MAT.1.13	Abiud em ta Eliakim,
MAT.1.13	Eliakim em yallfi ta Asor.
MAT.1.14	Asor em yallfi ta Sadok,
MAT.1.14	Sadok em ta Akim,
MAT.1.14	Akim em yallfi ta Eliud.
MAT.1.15	Eliud em yallfi ta Eleasar,
MAT.1.15	Eleasar em ta Matan,
MAT.1.15	Matan em ta Jakob.
MAT.1.16	Jakob em yallfi ta Jose, Maria tañi füta,
MAT.1.16	Maria em choyüfi ta Jesus iñchiñ taiñ Cristo pikeel.
MAT.1.17	Femngechi ta kom tati mülekechi pu che, llitulu ta Abraam mew ka David mew, fentepulu mari meli tuwünche em ürke: llitulu ta David mew ka tunteñma ñi püresukonalepun ti pu israelche ta Babilonia trokiñ mapu mew ka femngechi rupay ta mari meli tuwünche. Ka femngechi mari meli tuwünche ta rupay dew lifreletulu engün tañi püresuyengefel tati israelche Babilonia trokiñ mapu mew ka puwi mari meli tuwünche feychi choyüngelu ta Jesus tati Cristo.
MAT.1.18	Fey famngechi choyüngey ta Jesucristo: Maria, Jesus tañi ñuke, Jose engu dew eludunguniewürkey tañi kureyewael,
MAT.1.19	Fey Jose, Maria tañi fütayeaelchi wentru kiñe rume nor piwke wentrurke, fey ayülay tañi yewelkayafiel ta Maria, feymew rakiduami tañi ellka elkünutuafiel. 
MAT.1.20	Fey Jose dew rakiduamlu tañi femngechi femael, feymew Ñidol tañi kiñe werken püllü pewfaluweyew ta pewma mew, ka feypieyew: “Jose, David tañi yomelche, ngünewkilnge tami kureyeafiel ta Maria, tati Lif Küme Püllü ñi pepiluwün mew nieay tañi püñeñ. 
MAT.1.21	Maria ta nieay kiñe wentru püñeñ, fey Jesus
MAT.1.22	Kom tüfachi dungu ta femngechi feley tañi mupiael kom tañi feypikünuel ta Ñidol ñi pu pelon wentru mew:
MAT.1.23	“Niepüñeñay ta kiñe üllchadomo petu fütangenolu, fey nieay ta kiñe wentru püñeñ.
MAT.1.23	Emanuel pintukulelngeay tañi üy” (tüfa ta feypin ürke: “Ngünechen müley ta iñchiñ mew”).
MAT.1.24	Feymew Jose trepelu tañi pewma mew, kom femi chumngechi tañi feypietew tati werken püllü, fey kureyefi ta Maria. 
MAT.1.25	Welu kurewen reke kudulay engu dew nielu wüla ñi wünen
MAT.2.1	Jesus choyüngey ta Belen waria mew, kiñe waria mülelu Judea trokiñ mapu mew, feychi mew ta Erode longko ülmenkülerkey Judea trokiñ mapu mew. Feychi küpay kiñe mufü kimke wentru
MAT.2.2	Fey akulu ta Jerusalen waria mew, famngechi ramtuyawi engün:
MAT.2.2	—¿Chew anta müley tati pu judiu tuwünche tañi longko ülmen, tati we choyüngelu? Pefiyiñ ti wangülen ñi küdetunagkülen chew ñi choyüngemum ti Cristo, feymew küpaiñ taiñ püramyeafiel ngillatun mew ―pi engün.
MAT.2.3	Fey tati longko ülmen Erode rume wesa duami allkülu tüfachi dungu. Ka femngechi femi kom tati waria che mülelu ta Jerusalen. 
MAT.2.4	Feymew ti longko ülmen werküy ñi mütrümngeael kom tati longkolelu ti pu saserdote mew ka tati pu kimeltukelu Moyse ñi ley dungu, fey ramtufi chew müngell ñi choyüngeael tati Cristo. 
MAT.2.5	Fey kisu engün feypi:
MAT.2.5	—Belen waria mew Judea trokiñ mapu mew, chumngechi tañi wirikünuel ti pelon wentru:
MAT.2.6	‘Belen waria, mülelu ta Judea mapu mew,
MAT.2.6	doy falintufal-lay tati kakelu fütrake waria mew müleyelu Judea trokiñ mapu mew.
MAT.2.6	Belen mew am choyüngealu kiñe longko ülmen,
MAT.2.6	fey kisu ngülamtunieafi tati Israel trokiñche’ pi.
MAT.2.7	Feymew Erode ellka mütrümfi tati pu kimke wentru, fey ramtufi chumül müngell tañi pewfaluwün tati wangülen. 
MAT.2.8	Feymew werküfi ñi amuael engün ta Belen, fey ka feypifi:
MAT.2.8	—Amumün üyew, ka küme inaramtupuafimün ñi chumngechi pichichengen tati püñeñ, fey pefilmün, kimelelmupatuan, tañi amuael kay ta iñche ñi püramyeafiel ngillatun mew ti pichiche ―pi.
MAT.2.9	Fey kisu engün, dew allküñmafilu ñi pietew tati longko ülmen, amuy engün. Fey ti wangülen tañi peel engün tripawe antü püle wüneluwküley kisu engün mew, fey puwlu wüla elkünuwpuy üngküpüra chew tañi mülemum tati püñeñ. 
MAT.2.10	Fey tati pu kimke wentru, pefilu engün ti wangülen, rumeñma ayüwi. 
MAT.2.11	Feymew konpuy engün tati ruka mew, fey pefi engün ta Maria ñi püñeñ engu, fey lukutupuy engün ka püramyefi engün ngillatun mew. Fey nentupuy engün tañi yewün, fey elufi engün oro, insienso
MAT.2.12	Welu kimelngey engün ta pewma mew ñi rumetunoael engün ta Erode mew. Fey wiñotualu ñi mapu mew engün, amutuy kangelu rüpü mew.
MAT.2.13	Fey dew amutulu tati pu kimke wentru, Ñidol tañi kiñe werken püllü pewfaluwfi ta Jose pewma mew, fey feypifi: “¡Pepikawnge! Fey yefinge tati pichiche ka tañi ñuke Egipto mapu mew. Mülepuaymün ta üyew, fey iñche kimeluwayiñ wüla chumül tamün wiñometuael, Erode am ayülelu ñi kintuafiel tati püñeñ ñi langümafiel” pi.
MAT.2.14	Feymew Jose pepikawlu, pun tripay ti pichiche ka tañi ñuke engün ñi amuael ta Egipto, 
MAT.2.15	fey üyew mülepuy engün. Fey lalu wüla Erode, wiñometuy engün. Fey femngechi rupay tüfachi dungu ñi mupiael ñi feypikünuel ta Ñidol feychi dungulu tati pelon wentru mew:
