MAT.1.1	Yesu Kirisiti† Kishi wu uta̱ ta̱ a kpaꞋa ki Ibrahim† m kpaꞋa ku Mogono Dawuda. Na va ɗaɗa ula a tsukaya† ci ni:
MAT.1.2	Ibrahim ɗa esheku a Ishaku.†
MAT.1.2	Ishaku ɗa esheku a Yakubu.†
MAT.1.2	Yakubu ɗa esheku a Yahuza† n olobo o yoku.
MAT.1.3	Yahuza a̱yi ɗa esheku e mpeshe Farisa n Zara (a̱na̱ku e le a ɗa Tamaru.)
MAT.1.3	Farisa ɗa esheku a Hasuruna.
MAT.1.3	Hasuruna ɗa esheku a Aram.
MAT.1.4	Aram ɗa esheku a Aminadaba.
MAT.1.4	Aminadaba ɗa esheku a Nasham.
MAT.1.4	Nasham ɗa esheku a Salumuna.
MAT.1.5	Salumuna ɗa esheku a Buwaza.
MAT.1.5	(A̱na̱ku a Buwaza a̱yi ɗa Rahapu).
MAT.1.5	Buwaza ɗa esheku a Abida. (A̱na̱ku a Abida a̱yi ɗa Ruti).
MAT.1.5	Abida ɗa esheku a Yasa.†
MAT.1.6	Yasa ɗa esheku o Mogono Dawuda.†
MAT.1.6	Dawuda ɗa esheku e Sulemanu.† (A̱na̱ku e Sulemanu a̱yi ɗa Bashaba. A̱yi ɗa vuka vu Uriya vu na Dawuda u ronoi.)
MAT.1.7	Sulemanu ɗa esheku e Rehobawa.
MAT.1.7	Rehobawa ɗa esheku a Abija.
MAT.1.7	Abija ɗa esheku a Asa.
MAT.1.8	Asa ɗa esheku o Johoshafatu.
MAT.1.8	Johoshafatu ɗa esheku o Joram.
MAT.1.8	Joram ɗa esheku a Azariya.
MAT.1.9	Azariya ɗa esheku o Jotamu.
MAT.1.9	Jotamu ɗa esheku a Ahazu.
MAT.1.9	Ahazu ɗa esheku e Hezikaya.
MAT.1.10	Hezikaya ɗa esheku a Manasa.
MAT.1.10	Manasa ɗa esheku a Amon.
MAT.1.10	Amon ɗa esheku o Josiya.
MAT.1.11	Josiya ɗa esheku o Jokoniya n olobo o yoku.
MAT.1.11	(Ayin a nam pa a ɗaɗa a ɗikai uma a bankai a ugbashi a iɗika i Babila.)†
MAT.1.12	Ana a bankai le a iɗika i Babila:
MAT.1.12	Jokoniya ɗa esheku a Shayatiya.
MAT.1.12	Shayatiya ɗa esheku e Zerubabe.
MAT.1.13	Zerubabe ɗa esheku a Abihudu.
MAT.1.13	Abihudu ɗa esheku a Iliyakima.
MAT.1.13	Iliyakima ɗa esheku a Azuro.
MAT.1.14	Azuro ɗa esheku a Saduku.
MAT.1.14	Saduku ɗa esheku a Akimu.
MAT.1.14	Akimu ɗa esheku a Aliyudu.
MAT.1.15	Aliyudu ɗa esheku a Iliyazara.
MAT.1.15	Iliyazara ɗa esheku a Matan.
MAT.1.15	Matan ɗa esheku a Yakubu.
MAT.1.16	Yakubu ɗa esheku a̱ Isuhu.
MAT.1.16	Isuhu† ɗa vali vi Meri.
MAT.1.16	Meri† va kpamu a̱yi ɗa a̱na̱ku e Yesu vuza na e ci ɗeke Kirisiti Kishi.†
MAT.1.17	Aza a na e kecei na va ra̱ka̱ vi le, ele ɗa tsukaya kupa n tsu na̱shi a̱ gita̱ ta̱ a ayin a Ibrahim a kubana a ayin o Mogono Dawuda. Tsukaya tsu ɗa kpamu kupa n tsu na̱shi a̱ gita̱ ta̱ a ayin a Dawuda a kubana a ayin a na a ɗikai le a kubana a iɗika i Babila. Tsukaya tsu ɗa kpamu kupa n tsu na̱shi a̱ gita̱ ta̱ a ayin a na a bankai le a iɗika i Babila a kubana a ayin a Kishi.
MAT.1.18	Gogo na uteku u na a matsai Yesu Kishi u ɗa na: A̱na̱ku a̱ ni, Meri, a̱ ka̱na̱ka̱ yi ta̱ kamana ka na u kolo Isuhu, amma a̱yi mekere maꞋa biꞋi, ka̱ta̱ u yeve vali ba. Ɗa u yaꞋin ka̱tsuma̱ n utsura wa Ayinviki a̱ Ka̱shile.† 
MAT.1.19	Isuhu vuma ɗa vu na ayin tutu u ci yaꞋan ili i na yi derere, amma u ciga kutsunku Meri wono e keteshe ba, ɗa u sheshei ku ka̱sa̱kpa̱ mazama ma n ka̱bini.
MAT.1.20	A̱yi biꞋi o kugoɗumo kakuna ka nam pa, ɗa kalingata ka̱ Ka̱shile ka̱ ta̱wa̱i wa̱ ni tsa alatani, ɗa ka danai, “Isuhu, matsukaya ma Dawuda, ka̱ta̱ vu pana wovon u kolo Meri ba, adama a na Ayinviki a̱ Ka̱shile a ɗa a zuwai ni u yaꞋan ka̱tsuma̱ ka. 
MAT.1.21	Wi ta̱ a kumatsa maku mo kolobo, ka̱ta̱ vi neꞋe yi kula Yesu,
MAT.1.22	A yaꞋin ili i nam pa adama a na uzuwakpani u Ka̱shile u shana, uteku u na keneki† Ishaya u danai mani-mani ɗe:
MAT.1.23	“Mekere ma na me yevei vali ba, mi ta̱ a kuyaꞋan ka̱tsuma̱.
MAT.1.23	Wi ta̱ a kumatsa maku mo kolobo,
MAT.1.23	ka̱ta̱ e neꞋe yi kula Imanuwelu.”
MAT.1.23	Ɗaɗa “Ka̱shile n a̱tsu.”
MAT.1.24	Ana Isuhu u jimgbai, ɗa u yaꞋin ili i na kalingata ka ka danai ni. U ɗikai Meri u bankai a kpaꞋa ku ni, ɗa wo okpoi vuka vi ni. 
