MAT.1.1	Tã âfõ-âfõ Yésũ Krístõ rî ạ́ꞌbı̣́yạ́ yí kâ rî rĩꞌá nõô. Yésũ rĩꞌá kúmú Dạ̃wúdı̣̃ rî ózõwá ꞌî. Gõꞌdá Dạ̃wúdı̣̃ íyíkâ Ãbãrãyámã rî ózõwá ꞌî. Ózõwá gólĩyî îtõlé bê Ãbãrãyámã rú sĩ cãlé bũúũ kúmú Dạ̃wúdı̣̃ rú rî rĩꞌá ĩyî õzõ nõô ꞌbá yí kâtí.
MAT.1.2	Ãbãrãyámã tı̣̂ Ĩsákã.
MAT.1.2	Gõꞌdá Ĩsákã tı̣̂ íyíkâ Yãkóbã.
MAT.1.2	Gõꞌdá Yãkóbã tı̣̂ íyíkâ Yúdạ̃ yî ậdrúpı̣̃ lâ yí bê.
MAT.1.3	Gõꞌdá Yúdạ̃ tı̣̂ Pẽrézẽ yî Zérã bê, gõꞌdá ândrê lâ yî Támã ĩꞌdî.
MAT.1.3	Gõꞌdá Pẽrézẽ tı̣̂ íyíkâ Ẽzẽrónẽ.
MAT.1.3	Gõꞌdá Ẽzẽrónẽ tı̣̂ íyíkâ Rámã.
MAT.1.4	Gõꞌdá Rámã tı̣̂ íyíkâ Ãmĩnãdábã.
MAT.1.4	Gõꞌdá Ãmĩnãdábã tı̣̂ íyíkâ Nãsónõ.
MAT.1.4	Gõꞌdá Nãsónõ tı̣̂ íyíkâ Sãlãmónã.
MAT.1.5	Gõꞌdá Sãlãmónã tı̣̂ íyíkâ Bõꞌázã. Gõꞌdá Bõꞌázã rî ândré íyíkâ Rãhábã.
MAT.1.5	Gõꞌdá Bõꞌázã tı̣̂ íyíkâ Óbẽdẽ. Gõꞌdá Óbẽdẽ rî ândré íyíkâ Rútạ̃.
MAT.1.5	Gõꞌdá Óbẽdẽ tı̣̂ íyíkâ Yésẽ.
MAT.1.6	Gõꞌdá Yésẽ tı̣̂ íyíkâ kúmú Dạ̃wúdı̣̃.
MAT.1.6	Gõꞌdá nĩngá sĩ, ózõwá gólĩyî îtõlé bê kúmú Dạ̃wúdı̣̃ rú sĩ cãlé bũúũ kậyı̣̂ gólâ õjílã Ĩsĩrãꞌélẽ kâ trõzó âjílí ꞌbạ̃drı̣̃ lídí ꞌá Bãbĩlónã ꞌálâ rî sĩ rî rĩꞌá õzõ nõô rî ꞌbá yî tí.
MAT.1.6	Kúmú Dạ̃wúdı̣̃ tı̣̂ Sólõmõ. Gõꞌdá Sólõmõ rî ândré íyíkâ Ũrı̣́yạ̃ rî ạ̃yı̣́zı̣́ rú bê Bãtẽsébã rî ĩꞌdî.
MAT.1.7	Gõꞌdá Sólõmõ tı̣̂ íyíkâ Rẽhõbówã.
MAT.1.7	Gõꞌdá Rẽhõbówã tı̣̂ íyíkâ Ãbíjã.
MAT.1.7	Gõꞌdá Ãbíjã tı̣̂ íyíkâ Ásã.
MAT.1.8	Gõꞌdá Ásã tı̣̂ íyíkâ Yõsãpátã.
MAT.1.8	Gõꞌdá Yõsãpátã tı̣̂ íyíkâ Yẽhõrámã.
MAT.1.8	Gõꞌdá Yẽhõrámã tı̣̂ íyíkâ Ũzı̣́yạ̃.
MAT.1.9	Gõꞌdá Ũzı̣́yạ̃ lôfõ íyíkâ Yõtámã.
MAT.1.9	Gõꞌdá Yõtámã tı̣̂ íyíkâ Ãházã.
MAT.1.9	Gõꞌdá Ãházã tı̣̂ íyíkâ Ẽzẽkíyã.
MAT.1.10	Gõꞌdá Ẽzẽkíyã tı̣̂ íyíkâ Mãnásẽ.
MAT.1.10	Mãnásẽ gõ tı̣̂ íyíkâ Ãmónã.
MAT.1.10	Gõꞌdá Ãmónã tı̣̂ íyíkâ Yõsíyã.
MAT.1.11	Gõꞌdá Yõsíyã tı̣̂ íyíkâ Yẽhõyãkínĩ yî ậdrúpı̣̃ lâ yí bê.
MAT.1.11	Ótrõ gólĩyî trá ndrô gólâ õjílã ãwã drí õjílã Ĩsĩrãꞌélẽ kâ ûrúzó ạ̃jú ꞌásĩ âjílí ꞌbạ̃drı̣̃ lídí ꞌá Bãbĩlónã ꞌálâ rĩlí tólâ ndrô dũû sĩ rî ꞌá.
MAT.1.12	Gõꞌdá ózõwá gólĩyî îtõlé ndrô gólâ õjílã Ĩsĩrãꞌélẽ kâ rũzó âjílí Bãbĩlónã ꞌálâ rî vósĩ rî cãlé bũúũ ndrô Yésũ rî tı̣̃zó rî ꞌá rî rĩꞌá ĩyî õzõ nõô rî ꞌbá yî tí.
MAT.1.12	Yẽhõyãkínĩ tı̣̂ Sẽyãlẽtélẽ.
MAT.1.12	Gõꞌdá Sẽyãlẽtélẽ tı̣̂ íyíkâ Zãrãbãbálã.
MAT.1.13	Gõꞌdá Zãrãbãbálã tı̣̂ íyíkâ Ạ̃bı̣̃yúdạ̃.
MAT.1.13	Gõꞌdá Ạ̃bı̣̃yúdạ̃ tı̣̂ íyíkâ Ẽlĩyãkímõ.
MAT.1.13	Gõꞌdá Ẽlĩyãkímõ tı̣̂ íyíkâ Ãzórã.
MAT.1.14	Gõꞌdá Ãzórã tı̣̂ íyíkâ Zãdókã.
MAT.1.14	Gõꞌdá Zãdókã tı̣̂ íyíkâ Ãkímã.
