MAT.1.1	Lùu ŋwaꞌlə kɔ̀ŋ ŋiꞌ ŋii Yeso Kristo, wee Deyvid, wee Abraham. 
MAT.1.2	Abraham nə bì Isak, Isak bi Jeykob, Jeykob bi Juda ghɔ vaŋ-nshwi vi. 
MAT.1.3	Juda ghɔ Tamar bi Perez ghɔ Zera, Perez bi Hezrɔn, Hezrɔn bi Ram. 
MAT.1.4	Ram bi Aminadab, Aminadab bi Nashɔn, Nashɔn bi Salmɔn. 
MAT.1.5	Salmɔn ghɔ Rahab bi Boaz, Boaz ghɔ Rut bi Obed, Obed bi Jesse. 
MAT.1.6	Jesse bi fwàŋ Deyvid, Deyvid ghɔ zu Uria (Batseba), bi Solomon, 
MAT.1.7	Solomon bi Rehoboam, Rehoboam bi Abia, Abia bi Asa, 
MAT.1.8	Asa bi Jehoshafat, Jehoshafat bi Jehoram, Jehoram bi Osias. 
MAT.1.9	Osias bi Jotam, Jotam bi Ahas, Ahas bi Hetsekia. 
MAT.1.10	Hetsekia bi Manase, Manase bi Amɔn, Amɔn bi Josia. 
MAT.1.11	Josia bi Jehoyakin ghɔ vaŋ-nshwi vi maa yighee njyə faŋ vɨ nə jìa vɨɨ Isirayl, gə̀ nə vəŋ shɨ Babilɔn nə.
MAT.1.12	Vəŋ kɨ ziꞌ Babilɔn, Jehoyakin bi Salatiel, Salatiel bi Zerubabel. 
MAT.1.13	Zerubabel bi Abiud, Abiud bi Eliakim, Eliakim bi Azor. 
MAT.1.14	Azor bi Zadok, Zadok bi Akim, Akim bi Eliud. 
MAT.1.15	Eliud bi Eleasar, Eleasar bi Matan, Matan bi Jeykob. 
MAT.1.16	Jeykob bi Josef, ndəə Meri, faŋ ŋwə nə bì Yeso, faŋ vɨ nəə tii ŋwə nə Kristo nə.
MAT.1.17	Yiŋiꞌ yiŋii faŋ nyə tey fɨ maa yighee Abraham, gə kɔ maa yighee fwàŋ Deyvid luu njɔsə-yishwe. Zì fɨ maa yighee Deyvid, gə kɔ maa yighee njyə faŋ vɨ nə jìa vɨɨ Isirayl, gə̀ nə vəŋ shɨ Babilɔn, baa luu yiŋiꞌ yiŋii njɔsə-yishwe. Shù fɨ faŋ vɨ nə gə̀ nə vəŋ Babilɔn, gə̀ kɔ̀ maa yighee Kristo baa kɨ luu yiŋiꞌ yiŋii njɔsə-yishwe.
MAT.1.18	Ŋiꞌ məbi faŋ vɨ nə bì Yeso, nə luu nee: Yighee njyə faŋ Josef nə gə ŋìi ŋii maa məndaa Meri, nshu Yeso, Meri kee ta kɨ̀ɨ nə wəndɔŋ me, vɨ kɨ ye Meri luu gɔsə. Məgɔ wi ghɔ́ nə yɨ̀sə Zwitə Ley Nwi. 
MAT.1.19	Ndəə wi Josef nə luu wuu njyoꞌ yijəə, kee kaw kwaŋ tɔ dɨɨ maa Meri me, kəə sheꞌ laa yi tɨꞌ ŋwə fɨ taa bwaŋnə. 
MAT.1.20	Faŋ ŋwə nə bɨꞌtə nɨniŋ, njyəə shi ŋwə, nshiiŋii Nwi jwi maa ŋwə taa njyəə, gì laa, «Josef, wuu ŋiinə Deyvid, kɨ ghɔ fee maa məndi Meri maa zu wə me. Məgɔ ŋwə̀ faŋ ŋwə gɔ̀ nə, yɨ̀sə Zwitə Ley Nwi. 
MAT.1.21	Ŋwə taa bi wee-wəndɔŋ, a shu yizii yi laa Yeso, buꞌ laa ŋwə ndɔ bweysə vɨɨ vi fɨ ghɔ vənu vəbwəvə faŋ mbə lùu maa vəŋ.»
MAT.1.22	Vənu vɔ́ vənshə nə gày, fàynə maa nu ŋkɨə faŋ tɨta Nwi nə yɨ̀sə nshiiŋii-sɔghɔ nə nàysə fɨshi. 
MAT.1.23	Ŋwə nə nàysə laa lee,
MAT.1.23	«Viŋ zɔ! Ŋgwaŋ wəzwi ndɔ gɔ, bi wee-wəndɔŋ,
MAT.1.23	vɨ shu yizii yi nə Immanuel.» 
MAT.1.23	Ŋiꞌ yizii yɔ́ lùu laa, «Nwi taa ŋwaa nsiŋ.»
MAT.1.24	Faŋ Josef yènə fɨ mbweysə, yɨ sheꞌ faŋ nshiiŋii Nwi yɔ́ nii nàysə tɨ́ ŋwə. 
MAT.1.25	Ŋwə ndi zu wi, ghɔ ŋwə kee shə̀ŋtə fwaŋ me, kɔ tɨ́ yighee njyə faŋ ŋwə nə bì wee-wəndɔŋ. Ŋwə kɨ nii shù yizii yi laa Yeso.
MAT.2.1	Yighee njyə faŋ vɨ nə bì Yeso ntɨꞌ Betelehem, shɨ Judia, maa yighee fwàŋ Herod, vɨɨ məkɨɨ nə məjwiŋ ndɔ fɨ kwiŋ ntɔŋ-shɨshwi, jwi Jerusalem, 
MAT.2.2	jwi bìtə laa, «Wee ŋgwə faŋ vɨ bì ŋwə maa fwàŋ vɨɨ Jus nə bə? Yia nə yè fəjwiŋ fi fuu faŋ yia nə luu ntɔŋ-shɨshwi. Yia jwi laa yia jwi shɔ̀ꞌtə ŋwə.» 
MAT.2.3	Fwàŋ Herod zɔ nu kɔ́, gwəkə, fèe ghɔ vɨ ntɨꞌ Jerusalem yinshə. 
MAT.2.4	Ŋwə baytə vɨɨ kwalə məfeꞌ Nwi nə vɨɨ mədeesə ŋwaꞌlə Nwi faŋ vəŋ nə luu shɨ ŋwə vənshə, bìtə tɨ́ vəŋ laa vɨ ndɔ bi Kristo, wuu məbweysə vɨɨ Nwi fə? 
MAT.2.5	Vəŋ bəŋsə tɨ́ ŋwə laa, «Ntɨꞌ Betelehem fɨ shɨ Judia. Lùu nɨniŋ buꞌ laa nshiiŋii-sɔghɔ nə ŋwàꞌlə laa,
MAT.2.6	«Aŋ ghɔ, ntɨꞌ Betelehem fɨ shɨ Judia,
MAT.2.6	a kee bee luu tɨtiꞌ fɨ maa ntɨꞌsə Judia me,
MAT.2.6	buꞌlaa tɨɨ məsɔꞌ vɨɨ ndɔ fuu fɨ ghɔ ghɔ,
MAT.2.6	kɨ shiinə ŋgwisə vɨɨ Isirayl.» 
