MAT.1.1	Okoro Jisas Krais* nukan askanai akan enmaka, Jisas ko Devit nukan kinjauk ko Apraham nukan askanai.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Apraham ko akan momonaka pakas pote Devit kamwareäwon ro, akan enmak okoro jer we moin, rau:
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	kiro Apraham,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Apraham nukan mokoi Aisak,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Aisak nukan mokoi Jekob,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Jekob nukan mokoi Juda, kon amakut pak,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Juda nukan mokoi Peres, ko Sera ori awan aninawa Tamar,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Peres nukan mokoi Hesron,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Hesron nukan mokoi Ram,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Ram nukan mokoi Aminarap,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Aminarap nukan mokoi Nason,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Nason nukan mokoi Salmon,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Salmon nukan mokoi Boas, kon anak Rehab,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Boas nukan mokoi Obet, kon anak Rut,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Obet nukan mokoi Jesi,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Jesi nukan mokoi, kamwareäwon ro king Devit.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Devit rawon ses opok Israel roasiret Babilon mena karapus imware manoin, okoro askanai akan enmaka:
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	kiro Devit,
