GEN.1.1	Sa kapinonan, kan lalangon nin Dios an kalangitan asin an daga, 
GEN.1.2	an kinaban mayo nin ano man na porma saka laog. An nag-aalimbukay na kadagatan na minatahob kaini napapatos nin kadikloman asin an espiritu nin Dios
GEN.1.3	Nagboot an Dios, “Magkaigwa nin liwanag,” asin nagkaigwa nin liwanag. 
GEN.1.4	Nahiling nin Dios na marahay an liwanag. Isinuhay niya an liwanag sa kadikloman 
GEN.1.5	dangan inapod niyang “Aldaw” an liwanag, asin an kadikloman inapod niyang “Banggi.” Nagkahapon dangan nagkaaga: an enot na aldaw.
GEN.1.6	Dangan nagboot an Dios, “Magkaigwa nin kahiwasan na masuhay kan katubigan tanganing mamugtak ini sa duwang lugar.” 
GEN.1.7	Nangyari ini. Ginibo nin Dios an kahiwasan na nagsuhay kan tubig na nasa irarom sa tubig na nasa ibabaw. 
GEN.1.8	An kahiwasan inapod niyang “Kalangitan.” Nagkahapon dangan nagkaaga: an ikaduwang aldaw.
GEN.1.9	Dangan nagboot an Dios, “Magkatiripon sa saro sanang lugar an katubigan sa irarom kan kalangitan tanganing mahiling an mamarang kadagaan,” asin ini nangyari. 
GEN.1.10	An mamarang kadagaan inapod niyang “Daga,” asin an nagkatiripon na katubigan inapod niyang “Dagat.” Nahiling nin Dios na ini marahay. 
GEN.1.11	Dangan nagboot siya, “Magkaigwa sa daga kan gabos na klase nin tinanom na nagtatao nin banhi asin nin kahoy na nagtatao nin bunga.” Nangyari ini. 
GEN.1.12	Kaya nagtaralubo sa daga an gabos na klase nin tinanom asin kahoy, saka nahiling nin Dios na ini marahay. 
GEN.1.13	Nagkahapon dangan nagkaaga: an ikatolong aldaw.
GEN.1.14	Dangan nagboot an Dios, “Magtunga sa kalangitan an mga ilaw tanganing masuhay an aldaw sa banggi, asin tanganing maaraman kun nuarin mapoon an mga aldaw, an mga taon patin an mga panahon. 
GEN.1.15	Magliliwanag an mga ini sa kalangitan tanganing magtao nin liwanag sa daga.” Nangyari ini. 
GEN.1.16	Kaya ginibo nin Dios an duwang darakulang ilaw: an aldaw na masakop kan bilog na maghapon asin an bulan na masakop kan bilog na banggi; ginibo man niya an mga bitoon. 
GEN.1.17	Ibinugtak niya sa kalangitan an mga ilaw tanganing magtao nin liwanag sa daga, 
GEN.1.18	magsakop kan aldaw saka banggi, asin magsuhay kan liwanag sa kadikloman. Nahiling nin Dios na ini marahay. 
GEN.1.19	Nagkahapon dangan nagkaaga: an ikaapat na aldaw.
GEN.1.20	Dangan nagboot an Dios, “Magkaigwa nin manlaen-laen na may buhay an katubigan asin nin manlaen-laen na gamgam an kaitaasan.” 
GEN.1.21	Kaya linalang nin Dios an mga darakula saka makangirhat na linalang sa katubigan, an gabos na nabubuhay diyan asin an gabos na klase nin gamgam. Nahiling nin Dios na ini marahay. 
GEN.1.22	Benendisyonan niya ini gabos asin tinaraman, “Magdakul kamo asin panoon nindo an kadagatan asin magdakul man an mga gamgam sa daga.” 
GEN.1.23	Nagkahapon dangan nagkaaga: an ikalimang aldaw.
GEN.1.24	Dangan nagboot an Dios, “Magkaigwa sa daga kan gabos na hayop: manso asin lalaw, dakula saka sadit,”—asin nangyari ini. 
GEN.1.25	Kaya ginibo nin Dios ini gabos asin nahiling niya na ini marahay.
GEN.1.26	Dangan nagtaram an Dios, “Ngunyan gibohon ta an katawohan sa satong ladawan; gibohon ta sindang arog sato. Magkakaigwa sinda nin kapangyarihan sa mga sira, sa mga gamgam, asin sa gabos na hayop, manso man o lalaw,
GEN.1.27	Kaya linalang nin Dios an katawohan siring sa saiyang ladawan; linalang niya sindang lalaki asin babae. 
GEN.1.28	Benendisyonan niya sinda dangan tinaraman, “Magmabinunga asin magdakul kamo; panoon nindo an bilog na kinaban asin pamahalaan iyan. Magkaigwa kamo nin kapangyarihan sa mga sira, sa mga gamgam asin sa gabos na hayop. 
GEN.1.29	Itinatao ko saindo an gabos na klase nin tinanom na nagtatao nin banhi asin nin mga kahoy na nagtatao nin bunga; iyan an saindong magigin pagkakan. 
GEN.1.30	Sa gabos na hayop asin gamgam, itinatao ko an mga doot saka an mga madahon na tinanom, bilang pagkakan.” Nangyari ini. 
GEN.1.31	Nahiling nin Dios na an gabos niyang ginibo orog karahay. Nag-aga dangan naghapon—iyo idto an ikaanom na aldaw.
GEN.2.1	Kaya nahaman an kalangitan asin an daga. 
GEN.2.2	Kan matapos nin Dios an gabos niyang gibo, nagpahingalo siya sa ikapitong aldaw. 
GEN.2.3	Kaya benendisyonan niya asin pinabanal an ikapitong aldaw, huli ta sa aldaw na iyan nagpahingalo siya sa gabos niyang gibo nin paglalang. 
GEN.2.4	Siring kaini an pagkalalang kan kalangitan asin kan daga.
GEN.2.4	Kan gibohon nin 
GEN.2.5	mayo nin ano man na tinanom asin banhi na nagtalubo sa ibabaw nin daga, huli ta dai pa niya pinapauran asin mayo pa nin mag-aataman; 
GEN.2.6	alagad an tubig hale sa irarom kan daga iyo an nakakadumog sa daga.
GEN.2.7	Dangan nagkua nin kabokabo hale sa daga an 
GEN.2.8	Dangan nagbugtak an 
GEN.2.9	Pinatalubo niya duman an manlaen-laen na kahoy na magayon paghilingon asin nagtatao nin masiram na bunga. Sa tahaw kan tatamnan idtoon an kahoy na nagtatao nin buhay, saka an kahoy na nagtatao nin pakaaram kan marahay asin kan maraot.
GEN.2.10	May sarong salog na nagbubulos sa Eden asin nagpapatubig kan tatamnan; pakaluwas sa Eden minasanga ini asin nagigin apat na salog. 
GEN.2.11	An enot iyo an Pison; minabulos ini sa palibot kan daga nin Havila. 
GEN.2.12	Digdi makukua an purong bulawan, an mga pambihirang pahamot asin mga batong oniks. 
GEN.2.13	An ikaduwa iyo an Gihon na minabulos sa palibot kan daga nin Cus
GEN.2.14	An ikatolo iyo an Tigris na minabulos sa sirangan kan Asiria asin an ikaapat iyo an Eufrates.
GEN.2.15	Dangan ibinugtak nin 
GEN.2.16	Tinaraman niya an tawo, “Pwede mong kakanon an bunga kan arin man na kahoy digdi 
GEN.2.17	alagad dai ka nanggad magkakan kan bunga kan kahoy nin pakaaram kan marahay asin maraot;
GEN.2.18	Dangan nagtaram an 
GEN.2.19	Hale sa daga ginibo nin 
GEN.2.20	Kaya nginaranan kan tawo an gabos na gamgam asin hayop alagad dai siya nakakua nin sarong maninigong kaibahan na makakatabang saiya.
GEN.2.21	Kaya pinatorog nin 
GEN.2.22	Guminibo siya nin sarong babae hale sa gusok asin dinara niya ini sa lalaki. 
GEN.2.23	Dangan nagsabi an lalaki,
GEN.2.23	“Ini nanggad an tolang kan sakong tolang asin an laman kan sakong laman.
GEN.2.23	Aapodon siyang ‘Babae’ huli ta kinua siya hale sa lalaki.”
GEN.2.24	Kaya babayaan nin lalaki an saiyang ama saka ina dangan masaro sa saiyang agom na babae, asin sindang duwa magigin saro. 
GEN.2.25	An lalaki asin babae parehong huba, alagad dai sinda nasopog.
GEN.3.1	Sa gabos na hayop na ginibo nin 
GEN.3.2	Nagsimbag an babae, “Pwede ming kakanon an bunga kan arin man na kahoy sa laog kan tatamnan 
GEN.3.3	alagad tinaraman kami nin Dios na dai nanggad kami magkakan o magdotdot kan bunga kan kahoy sa tahaw kan tatamnan; kun gibohon mi iyan, magagadan kami.”
