PRO.1.1	 Прыповесьці Салямона, сына Давіда, валадара Ізраіля,
PRO.1.2	 каб спазнаць мудрасьць і настаўленьне, зразумець словы розуму,
PRO.1.3	 каб атрымаць настаўленьні ў разважлівасьці, праведнасьці, судзе і справядлівасьці.
PRO.1.4	 каб неразумным даць разумнасьць, юнаку — веды і разважлівасьць.
PRO.1.5	 Мудры няхай слухае і павялічвае веды, а разумны няхай прыдбае мудрыя думкі,
PRO.1.6	 каб зразумець выслоўе і прыповесьць, словы мудрых і загадкі іхнія.
PRO.1.7	 Страх перад ГОСПАДАМ — пачатак веданьня. Неразумныя пагарджаюць мудрасьцю і настаўленьнем.
PRO.1.8	 Сыне мой, паслухай перасьцярогаў бацькі свайго і не адкідай павучаньняў маці сваёй,
PRO.1.9	 бо яны — прывабны вянок на галаве тваёй і каштоўныя каралі на шыі тваёй.
PRO.1.10	 Сыне мой, калі б цябе намаўлялі грэшнікі, не далучайся да іх.
PRO.1.11	 Калі яны скажуць: «Хадзем з намі! Зробім засаду дзеля праліцьця крыві; наставім без прычыны пастку на нявіннага;
PRO.1.12	 праглынем іх жыўцом, як пекла, і цалкам, як тых, што зыходзяць у магілу;
PRO.1.13	 знойдзем усялякія каштоўнасьці, напоўнім дамы свае здабычаю.
PRO.1.14	 Жэрабя сваё кідай разам з намі, няхай адзін мех будзе для нас усіх».
PRO.1.15	 Сыне мой, не хадзі з імі, устрымай нагу сваю ад сьцежкі іхняй,
PRO.1.16	 бо ногі іхнія бягуць да злачынства і сьпяшаюцца на праліцьцё крыві.
PRO.1.17	 Бо надарэмна настаўляецца сетка на вачах усяго птаства.
PRO.1.18	 А яны цікуюць на ўласную кроў, робяць засаду супраць душы? сваёй.
PRO.1.19	 Такія вось сьцежкі кожнага, хто прагне чужога даброцьця; яно забірае душу таго, хто завалодае ім.
PRO.1.20	 Мудрасьць гукае на вуліцах, на плошчах узьнімае голас свой,
PRO.1.21	 на скрыжаваньнях шумлівых дарог кліча, у брамах гарадзкіх гучаць яе словы:
PRO.1.22	 «Дакуль, неразумныя, будзеце любіць неразумнасьць; дакуль, насьмешнікі, будзеце захапляцца насьмешкамі сваімі, а невукі — пагарджаць веданьнем?
PRO.1.23	 Зьвярніцеся да настаўленьня майго, і я выльлю на вас духа майго, і абвяшчу вам словы мае.
PRO.1.24	 Вось жа я клікала, але вы адмаўляліся, працягвала руку сваю, але ніхто не зьвярнуў увагі.
PRO.1.25	 Вы ўзгардзілі радай маёю і адкінулі дакараньні мае.
PRO.1.26	 Дык і я буду сьмяяцца з вашага падзеньня, і насьмяхацца буду, калі прыйдзе на вас жах.
PRO.1.27	 Калі нахлыне жах, як бура, і загуба ваша, быццам віхор, калі прыйдуць на вас трывога і гора,
PRO.1.28	 тады будуць клікаць мяне, але я не адкажу, шукаць мяне будуць, і ня знойдуць мяне.
PRO.1.29	 Бо яны зьненавідзелі веданьне і ня выбралі для сябе страху ГОСПАДАВА,
PRO.1.30	 і не пайшлі за маімі парадамі, і ўзгардзілі маімі перасьцярогамі.
PRO.1.31	 Дык няхай ядуць яны плады шляху свайго і насыцяцца намерамі сваімі.
PRO.1.32	 Бо адступніцтва неразумных заб’е іх, бяздумнасьць дурняў загубіць іх.
PRO.1.33	 А хто слухае мяне, будзе жыць бясьпечна, будзе спакойны, не баючыся зла».
PRO.2.1	 Сыне мой, калі ты прыймеш словы мае і захаваеш у сябе прыказаньні мае,
PRO.2.2	 прыхіляючы вуха сваё да мудрасьці і схіляючы сэрца сваё да разважлівасьці,
PRO.2.3	 калі вось клікаць будзеш розум і голас свой уздымеш, заклікаючы развагу,
PRO.2.4	 калі шукаць яе будзеш як срэбра, і прагнуць яе будзеш як багацьця,
PRO.2.5	 тады зразумееш страх перад ГОСПАДАМ і знойдзеш пазнаньне Бога.
PRO.2.6	 Бо ГОСПАД дае мудрасьць, і з вуснаў Ягоных — веданьне і разуменьне.
PRO.2.7	 Ён захоўвае цьвярозы розум правым, Ён — шчыт для тых, якія ходзяць беззаганна.
PRO.2.8	 Ён пільнуе сьцежкі правасудзьдзя, захоўвае шляхі багабойных Сваіх.
PRO.2.9	 Тады зразумееш праведнасьць, суд і справядлівасьць, і кожны добры шлях,
PRO.2.10	 калі ўвойдзе мудрасьць у сэрца тваё, і веданьне ўсьцешыць душу тваю.
PRO.2.11	 Разважлівасьць будзе пільнаваць цябе, і розум будзе захоўваць цябе,
PRO.2.12	 каб выратаваць цябе ад шляху ліхога і ад чалавека, які гаворыць хлусьліва,
PRO.2.13	 ад тых, якія пакідаюць шлях просты, каб хадзіць сьцежкамі цемры,
PRO.2.14	 якія цешацца, робячы злое, і радуюцца з ліхіх учынкаў,
PRO.2.15	 у якіх шляхі крывыя і якія блукаюцца на сьцежках сваіх,
PRO.2.16	 каб выратаваць цябе ад чужой жанчыны і ад чужаніцы, што лісьліва гаворыць,
PRO.2.17	 якая пакінула сябра маладосьці сваёй і забылася на запавет Бога свайго.
PRO.2.18	 Бо дом яе нахіліўся да сьмерці, і шлях ейны — да мёртвых;
PRO.2.19	 усе, хто да яе ўваходзяць, назад не вяртаюцца і не знаходзяць сьцежак жыцьця.
PRO.2.20	 Дык хадзі ж ты шляхам добрых і трымайся сьцежкі праведнікаў,
PRO.2.21	 бо правыя будуць жыць на зямлі, і беззаганныя застануцца на ёй.
