MAT.1.1	Bɨ səŋ bɨ̂tà bɨ atsə bɨ Yesu Kristo, yìi mə à lɛ mfɛ̀'ɛ̀ a atsə David, mu Abraham aa mə:
MAT.1.2	Abraham à lɛ mbə ta bɨ̀ Isaac,
MAT.1.2	Isaac a bə ta bɨ̀ Yakob,
MAT.1.2	Yakob a bə ta bɨ̀ Yuda bo bɨ̀ bɔɔ bɨ maà bi bi mbâŋnə̀,
MAT.1.3	Yuda a bə ta bɨ̀ Perez bo Zerah yìi ǹdè wàà à lɛ mbə Tamar aa,
MAT.1.3	Perez a tɨgə̀ m̀bə ta bɨ̀ Hezron,
MAT.1.3	Hezron a tɨgə̀ m̀bə ta bɨ̀ Ram,
MAT.1.4	Ram a bə ta bɨ̀ Amminadab,
MAT.1.4	Amminadab a bə ta bɨ̀ Nashshon,
MAT.1.4	Nahshon, abə ta bɨ̀ salmon,
MAT.1.5	Salmon a bə ta bɨ̀ Boaz, yìi mə ǹdè yì à lɛ mbə Rahab aa,
MAT.1.5	Boaz a bə ta bɨ̀ Obed yìi ǹdè yì à lɛ mbə Ruth, mbə ta bɨ̀ Jesse, 
MAT.1.6	Jesse tɨgə̀ mbə ta bɨ̀ M̀fɔ̀ David.
MAT.1.6	David, yìi mə à lɛ mbə ta bɨ̀ Solomon yìi ǹdè yì à lɛ mbə ŋgwɛ Uriah aà,
MAT.1.7	Solomon a bə ta bɨ̀ Rehoboam,
MAT.1.7	Rehoboam a bə ta bɨ̀ Abijah,
MAT.1.7	Abijah a bə ta bɨ̀ Asa,
MAT.1.8	Asa a bə ta bɨ̀ Jehoshaphat,
MAT.1.8	Jehoshaphat a bə ta bɨ̀ Joram,
MAT.1.8	Joram a bə ta bɨ̀ Uzziah,
MAT.1.9	Uzziah a bə ta bɨ̀ Jotham,
MAT.1.9	Jotham a bə ta bɨ Ahaz,
MAT.1.9	Ahaz a bə ta bɨ̀ Hezikiah,
MAT.1.10	Hezekiah a bə ta bɨ̀ Manasseh,
MAT.1.10	Manasseh a bə ta bɨ̀ Amos,
MAT.1.10	Amos a bə ta bɨ̀ Josiah,
MAT.1.11	Josiah a bə ta bɨ̀ Jechoniah, yìi mə à lɛ njwe waa bɨ̀ bɔɔ bɨ maà bi fyâ noò mə bɨ lɛ nlɔ̀gə̀ baYuda ŋghɛɛ nɨ bu a ala'a Babylon tsǒ ɨbù'u ntsò aà.
MAT.1.12	Bo ghɛ̀ɛ̀ mə̂ ǹtswe a ala'a Babylon aa,
MAT.1.12	Jechoniah a bə ta bɨ̀ Shealtiel,
MAT.1.12	Shealtiel a bə ta bɨ̀ Zerubabel,
MAT.1.13	Zerubabel a bə ta bɨ̀ Abiud,
MAT.1.13	Abiud a bə ta bɨ̀ Eliakim,
MAT.1.13	Eliakim a bə ta bɨ̀ Azor,
MAT.1.14	Azor a bə ta bɨ̀ Zadok,
MAT.1.14	Zadok a bə ta bɨ̀ Achin,
MAT.1.14	Achin a bə ta bɨ̀ Eliud,
MAT.1.15	Eliud a bə ta bɨ̀ Eleazar,
MAT.1.15	Eleazar a bə ta bɨ̀ Matthan,
MAT.1.15	Matthan a bə ta bɨ̀ Yakob,
MAT.1.16	Yakob a bə ta bɨ̀ Joseph, yìi à lɛ mbə ndoo Mary, Mary mə à lɛ njwe Yesu yìi bɨ twoŋə nɨ Kristo aà.
MAT.1.17	Ma la a bə mə bɨ̀ta bɨ atsə bɨ Yesu, ǹlɔgɨnə a nu Abraham ŋkɔ'ɔ nywe'e a nu David, bɨ lɛ mbə nɨghûm ǹtsò nɨ̀kwà, m̀bu nlò a nu David ŋkɔ'ɔ nywe'e fyâ noò mə bɨ lɛ nlɔ̀gə̀ waa ŋghɛɛ nɨ bu a ala'a Babylon tsǒ ɨbù'u ntsò aa, bo kɨ̂ m̀bə nɨghûm ǹtsò nɨkwà, ŋ̀kɨ mbu nlɔ̀gɨ̀nə̀ wa noò ɨ̀bù'u ntsò ŋ̀kɔ'ɔ nywe'e a nu Kristo bo kɨ̂ m̀bə nɨghûm ǹtsò nɨ̀ kwà.
MAT.1.18	Bɨ lɛ njwe Yesu Kristo aa laà mə: Joseph à lɛ kosə Mary, ǹdè bɨ̀ Yesu nɨ̂ ŋ̀gwɛ̂ yì, lâ m̀bɔŋ tâ nòò nɨ̀yɔ'ɔ̀ yì à ku'u, Mary a yə mə Àzwì Nwî a bàŋnə̀ mə̂ ŋ̀ghɨrə yu tswe nɨ̀ mû! 
MAT.1.19	Tsǒ mə Joseph à lɛ mbə ŋû yìi mɨ̀nnù mi mɨ tsinə aa, kaa à lɛ ŋwa'à kɔ̀ŋ mə yu dɨ̀rɨ̀sə̌ atu Mary a nsi bə̀. À lɛ ntɨgə nlɔɔ nɨ mânjì yìi mə yu ka ŋe'esə tuu Mary ghu. 
MAT.1.20	À kà mə̂ aa kwa'atə nɨ̂ àtu nɨ ma yû ànnù, Angel M̀mà'àmbi a zî ghu mbo nɨ a njə̀ə̀, ǹswoŋ mə: “Joseph, mû m̀fɔ David, tsuu lǒ bɔ'ɔ a lɔ̀gə Mary nɨ̂ ŋ̀gwɛ̂ ghò bə̂, ǹloŋ mə mu wa mə à tswe nɨ ghu aa a fâ Àzwì Nwî yìi mə a laa màŋsə̀ aà. 
MAT.1.21	À ka jwe mûmbâŋnə̀ tâ ò tswe ɨkûm yi nɨ Yesu
MAT.1.22	Ma yû ànnù a lɛ mfɛ̀'ɛ̀ tsi'ì tsɨ̀m ma mùu ajàŋ aa, tâ ànnù yìi mə M̀mà'àmbî à lɛ ghɨ̀rə̀ ŋ̀gàŋntoò yì a swoŋ aa, tâ à fɛ'ɛ mbòòntə̀ tsi'ì maa ajàŋ mə:
MAT.1.23	“Yə̂ nɨ̀, Mûŋgɔ̀ɔ̀ màŋgyɛ̀ à ka yǐ tswe nɨ mu, ɨ jwe mûmbâŋnə̀,
MAT.1.23	tâ bɨ̀ tswe ɨkûm yi nɨ Emmanuel”
MAT.1.23	(ǹji'ì ɨ̀kùm ma ghû ɨ bə mə, “Nwì à tswe bi'inə̀”).
MAT.1.24	Joseph à bɨ̀ɨ̀nə̀ mə̂ wa njə̀ə̀, ǹyɔ'ɔ Mary tsi'ì wa ajàŋ mə Angel M̀mà'àmbi wa à lɛ nswoŋ ghu mbo mə tâ à ghɨrə aà. 
MAT.1.25	Lâ kaa à lɛ ŋwa'à nɨ ghu nɔ̂ŋ ǹywe'e a noò yìi mə Mary à lɛ njwe mû yì yî m̀bâŋnə̀ wa aà. À jwè mə̂ aa Joseph a tswê ɨ̀kûm yi nɨ Yesu.
MAT.2.1	Bɨ lɛ njwe Yesu aa a ala'a Bethlehem a mbù'ù Yudea, wa noò wa yìi mə Herod à lɛ mbə Mfɔ̀ aà. Ma mùu noò, bə̀ bî mɔ'ɔ bìi mə bɨ lɛ sɨ lìì nɨ mɨ̀njɔ̀ŋ aa, bɨ lɛ nlò a mbɨ nsa'a nòò, ǹzi a Yerusalem. 
MAT.2.2	Bo zì mə̂ aa, m̀betə mə: “Bɨ jwe mu wa mə à ka yǐ bə Mfɔ̀ baYuda aa fə aa ɛ? Bì'i lɛ nyə fɨ̂njɔ̀ŋ fi a ajàŋ yìi mə fɨ lɛ mfɛ̀'ɛ̀ a mbɨ̌ nsa'a nòò wa nòò yìi bɨ lɛ njwe yi aà. Bì'ì zi aa a mmiì yi.”
MAT.2.3	Mfɔ̀ Herod à yù'ù mə̂ laà, ǹtɔ̂ŋ yi ɨ lwî, nû yì ɨ tsɨgɨ̀nə̀, ɨ̀dɨ̀gə̀ ɨ kɨɨ̀ ǹtɨgə ntsɨgɨnə tsi'ì tsɨ̀gɨ̀nə̀ a Yerusalem. 
MAT.2.4	À lɛ ntwoŋ bɨlɨɨ bɨ ŋgǎŋmaa'anwì bɨ tsɨ̀m bo bɨ ŋgǎŋndɨ̀'ɨndɨ'ɨ Nwî tsɨ̀m bɨ zî a betə̀ a mbo bo mə: “Bɨ lɛ ntswe nɨ̂ ǹjwe Àyɔ'ɔ̀ Nwì wa aa a fə ɛ?” 
MAT.2.5	Bo kwi'i mə, “A njɔ̀'ɔ̀ àla'a Bethlehem a mbù'ù Yudea. Yulà à nɨ̂ ànnù yìi mə ŋ̀gàŋtoò Nwì à lɛ ŋŋwà'ànə̀ aà:
MAT.2.6	‘Wò, àla'a Bethlehem, a mbù'u Yudea,
MAT.2.6	wò, kaa ò sɨ̀ kə'ətə̀ bə̂, a tɨtɨ̀ɨ ɨla'a jì wè jìi mə ɨ tswe a mbù'ù Yudea aà;
MAT.2.6	ǹloŋ mə ǹtsyàsə̀ bə̀ à ka yǐ fɛ̀'ɛ̀ a tɨtɨ̀ɨ wò;
MAT.2.6	ŋù yìi mə à ka yǐ kɨ tsisə nɨ̂ bə̂ bâ, baIsrael aà.’”
MAT.2.7	Herod à yù'ù mə̂ lâlà, ǹtwoŋ ŋgǎŋnlii mɨ̀njɔ̀ŋ jya bo bo tswê ŋ̀ŋe'esə ŋghaanə, a betə̀ waa bo naŋsə̀ ǹswoŋə noò wa yìi mə bo lɛ nyə fɨ̂njɔ̀ŋ fya ghu aà. 
MAT.2.8	À yù'ù mə̂, ǹtɨgə ntoo waa a wa Bethlehem ǹswoŋ mə: “Nɨ̀ ghɛɛ naŋsə nlɔɔ mu wa; bɛɛ nɨ̀ lɔɔ nyə, nɨ̀ tɨgə̀ m̀bu mbɨ̀ɨ̀ nswoŋə a mbo mə̀, ta mə̀ kɨ ŋghɛɛ mmii yi.” 
MAT.2.9	Bo yù'ùtə̀ mə̂ ànnù ya mə mfɔ̀ wa à swòŋ aa, ntɨgə mfɛ'ɛ ŋghɛ̀ɛ̀ waa. Fɨ̀njɔ̀ŋ fya mə bo lɛ nyə a mbɨ̌ nsà'a nòò aa, fɨ tɨgə̀ ŋ̀ghɛɛ nɨ mbii bo, ŋ̀ghɛɛ ntəə wa adɨgə yìi mə bɨ lɛ njwe mu wa a tswe ghu aà. 
MAT.2.10	Bo yə̀ mə̂ fɨ̂njɔ̀ŋ fya m̀burə ndorɨtə tsi'ì a mbə̂ ànnù. 
MAT.2.11	Bo ghɛɛ̀ ŋ̀kuu wa nda, ǹyə mu wa bo ǹdè yi Mary, ŋ̀wo ghu nsi, m̀mii yi. Bo mìì mə̂ yi, ŋ̀ŋa'a ɨbàâ jyaa m̀fi'i njoo jìi mə bo lɛ nzì a ntsà'àtə mu wa nɨ̀ jù aa, mfa ntɨŋə yi ghu; bo lɛ mfa aa gold, nɨ frankinsense a bɔ̀'ɔ nɨ məə̀ ghu mbô. 
