GEN.1.1	Tô tigkanayan ka langun, igimu ka Manama tô langit
GEN.1.2	Ándà pa bónnóng asta dalám katô banuwa. Mangittáng tô kaluwagan katô dagat, asta inalayun igpabówwó tô Ugis Espiritu tun ta dagat.
GEN.1.3	Igkagi tô Manama, na mà din, “Duwán kappawaan.” Purisu duwán dán kappawaan. 
GEN.1.4	Igkita ka Manama na madigár tô kappawaan, asta igássa din tô kappawaan tikud tun ta kangittángngan. 
GEN.1.5	Tô kappawaan, tô gó é igngadanan din na álló. Tô kangittángngan, tô gó é igngadanan din na dukilám. Igdukilám asta igsállám. Tô gó ipángnga tô una álló.
GEN.1.6	Igkagi tô Manama, na mà din, “Massa tô wayig tun datas ka tanà asta tô wayig tun ta bówwó ka tanà.” 
GEN.1.7	Purisu inému dán ni. Igássa ka Manama tô wayig, su duwán sagulapun tun datas ka tanà, asta duwán wayig tun ta bówwó ka tanà. 
GEN.1.8	Tô dadan tun datas ka tanà, tô gó é igngadanan ka Manama na langit. Igdukilám asta igsállám. Tô gó ipángnga tô ikaduwa álló.
GEN.1.9	Igkagi tô Manama, na mà din, “Malimud tô wayig tun ta bówwó ka tanà ébô duwán matákkang lugar.” Inému dán ni. 
GEN.1.10	Tô matákkang lugar, tô gó é igngadanan ka Manama na tanà. Tô wayig na ilimud, tô gó é igngadanan din na dagat. Igkita ka Manama na madigár tô igimu din.
GEN.1.11	Na, igkagi tô Manama, na mà din, “Duwán marapung klasi ka pamulanán tun ta tanà, asta marapung klasi ka kayu. Duwán buuy na duwán lisu ébô tumubù yan puman.” Inému dán ni. 
GEN.1.12	Purisu igtubù dán tô marapung klasi ka pamulanán na duwán lisu, asta marapung tô klasi ka kayu na duwán buuy. Igkita ka Manama na madigár tô igimu din. 
GEN.1.13	Igdukilám asta igsállám. Tô gó ipángnga tô ikatállu álló.
GEN.1.14	Igkagi tô Manama, na mà din, “Duwán tun ta langit na giló ébô massa tô álló asta tô dukilám. Tô gó é pató ka mga timpo, mga bulan, mga álló, asta mga ámmé. 
GEN.1.15	Duwán tun ta langit na ágsánnang ébô mappawà tô tanà.” Inému dán ni. 
GEN.1.16	Purisu duwa tô dakál giló na igimu ka Manama. Álló tô ágsánnang ka álló, asta bulan tô giló ka dukilám. Igimu din pagsik tô mga karani. 
GEN.1.17	Tô gó é igtagù ka Manama tun ta langit ébô mappawà tô tanà. 
GEN.1.18	Tô gó é igsánnang ka álló asta igiló ka dukilám ébô massa tô kappawaan asta tô kangittángngan. Igkita ka Manama na madigár tô igimu din. 
GEN.1.19	Igdukilám asta igsállám. Tô gó ipángnga tô ikappat álló.
GEN.1.20	Igkagi tô Manama, na mà din, “Duwán marapung klasi na manté tun ta wayig asta dagat, asta duwán marapung klasi na lumayang tun datas ka tanà.” 
GEN.1.21	Purisu igimu ka Manama tô langun ka magdakál mga mannanap ka dagat, langun klasi na ágkanté tun ta wayig asta dagat, asta langun klasi ka manuk na áglayang. Igkita ka Manama na madigár tô igimu din. 
