MAT.1.1	Yeezuu yaabɔɔ wɔɔ ba n nɩ: Yeezuu ɩ yɩrɛ ɩ ʊ, cir *Davɩd Nyɩ m, Abraham do gʊaa m sɔ.
MAT.1.2	Abraham n Izakkɩ yɩ,
MAT.1.2	Izakkɩ n Zakɔɔb yɩ,
MAT.1.2	Zakɔɔb n Ziida kan a dannɔ kɩ yɩ,
MAT.1.3	Ziida n Farɛɛs kan Zaaraa kɩ yɩ,
MAT.1.3	ŋ da m Tamaar m,
MAT.1.3	Farɛɛs n Ɛsrɔm yɩ,
MAT.1.3	Ɛsrɔm n Aram yɩ,
MAT.1.4	Aram n Aminadaab yɩ,
MAT.1.4	Aminadaab n Naasɔɔn yɩ,
MAT.1.4	Naasɔɔn n Salmɔɔn yɩ,
MAT.1.5	Salmɔɔn n Boozɩ yɩ,
MAT.1.5	a da m Rahab m,
MAT.1.5	Boozɩ n Zobɛɛd yɩ,
MAT.1.5	a da m Rutɩ m,
MAT.1.5	Zobɛɛd n Yesee yɩ,
MAT.1.6	Yesee n cir Davɩd yɩ,
MAT.1.6	Davɩd n Salomɔɔn yɩ,
MAT.1.6	a da nyɩnta Iirii lʊ,
MAT.1.7	Salomɔɔn n Roboam yɩ,
MAT.1.7	Roboam n Abɩya yɩ,
MAT.1.7	Abɩya n Azaa yɩ,
MAT.1.8	Azaa n Zozafat yɩ,
MAT.1.8	Zozafat n Zooram yɩ,
MAT.1.8	Zooram n Ozɩyas yɩ,
MAT.1.9	Ozɩyas n Zowatan yɩ,
MAT.1.9	Zowatan n Akaazɩ yɩ,
MAT.1.9	Akaazɩ n Ezekɩyas yɩ,
MAT.1.10	Ezekɩyas n Manase yɩ,
MAT.1.10	Manase n Amɔɔn yɩ,
MAT.1.10	Amɔɔn n Zozɩyas yɩ,
MAT.1.11	Zozɩyas n Zekonɩyas kan a dannɔ kɩ yɩ.
MAT.1.11	A n a ga kʊ ʊ kan *Babɩlɔnnɩ lɔmbaa tarɛ dɔmɩm bɩ kɩ.
MAT.1.12	Babɩlɔnnɩ lɔmbaa bɩ jɛ ʊ bɩ,
MAT.1.12	Zekonɩyas Salatɩyɛl yɩ,
MAT.1.12	Salatɩyɛl n Zorobabɛl yɩ,
MAT.1.13	Zorobabɛl n Abiyud yɩ,
MAT.1.13	Abiyud n Eliyakim yɩ,
MAT.1.13	Eliyakim n Azɔɔr yɩ,
MAT.1.14	Azɔɔr n Sadɔk yɩ,
MAT.1.14	Sadɔk n Akim yɩ,
MAT.1.14	Akim n Eliyud yɩ,
