MAT.1.1	E Yesus Kristus gonugau asagul bagegul goagal wanimag, go Yesus go Devit nugau ug, go han Abraham nugau ug.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Abraham go agal memeag eiman betei Devit gumaraneun du, goagal wanimag sikut e wai memen, dareu:
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	go Abraham,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Abraham nugau nag Aisak,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Aisak nugau nag Zekop,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Zekop nugau nag Zuda, gonugau amagul abai,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Zuda nugau nag Peres, go Sera dual goagal anaiag Tamar,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Peres nugau nag Hesron,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Hesron nugau nag Ram,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Ram nugau nag Aminadap,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Aminadap nugau nag Nason,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Nason nugau nag Salmon,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Salmon nugau nag Boas, gonugau anag Rahap,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Boas nugau nag Obet, gonugau anag Rut,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Obet nugau nag Zesi,
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Zesi nugau nag, gumaraneun du King Devit.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Devit dareun ziwas ebu, Israel duailel Babilon uzan hiacaranem imarai wanemen, go asagul bagegul goagal wanimag:
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	go Devit,
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Devit nugau nag Solomon, go Uria nugau wau nugau nag,
