MAT.1.1	Yisu †Kilisi ndê apai si ŋadênaŋ dindec. Iŋ sa akêŋ Dawid ndê, ma Dawid sa akêŋ Abraham ndê.
MAT.1.2	Abraham ndê atu iŋ Aisak. Ma Aisak ndê atu iŋ Jakob. Jakob ndê atui †Juda ti iŋ ndê asidôwai. 
MAT.1.3	Juda gêm Tama ma iŋlu sêkwê balê lu asê, naŋ Peres lu Sera. Peres ndê atu iŋ Hesron, ma Hesron ndê atu iŋ Ram. 
MAT.1.4	Ram ndê atu iŋ Aminadab. Aminadab ndê atu iŋ Nason, ma Nason ndê atu iŋ Salmon. 
MAT.1.5	Salmon gêm Rahab, ma iŋlu sêkwê Boas asê. Boas gêm Rut, ma iŋlu sêkwê Obed asê. Ma Obed iŋ Jessi damba. 
MAT.1.6	Ma Jessi ndê atu iŋ Kiŋ Dawid.
MAT.1.6	Dawid gêm Betsiba, naŋ muŋŋga ti Uria ndê awhê, ma Dawid lu Betsiba sêkwê Solomon asê. 
MAT.1.7	Solomon ndê atu iŋ Rehoboam. Ma Rehoboam ndê atu iŋ Abaisa. Abaisa ndê atu iŋ Asa. 
MAT.1.8	Asa ndê atu Yehosapat, ma Yehosapat ndê atu iŋ Yehoram. Yehoram ndê atu iŋ Usiah. 
MAT.1.9	Usiah ndê atu Yotam, ma Yotam ndê atu Ahas. Ahas ndê atu iŋ Hesekaya. 
MAT.1.10	Hesekaya ndê atu iŋ Manase, ma Manase ndê atu Amon. Amon ndê atu iŋ Josaya. 
MAT.1.11	Ma Josaya ndê atui, naŋ Yekonaya ti ndê asii. Têŋ Josaya ndê têm lau Babilon-ŋga sêŋgaho lau †Israelŋga su, ma sêkôc ŋac sa si sêndöc gameŋ apa Babilon-ŋga gitôm lau gapocwalô-ŋga.
MAT.1.12	Têŋ ndoc lau Israel-ŋga sêmbo gameŋ Babilon-ŋga, naŋ Yekonaya kwê Sealtial asê. Tiŋambu lau Israelŋga sêmbu akêŋ gameŋ Babilon-ŋga sêmeŋ, ma Sealtial kwê Serubabel asê. 
MAT.1.13	Serubabel ndê atu iŋ Abiud, ma Abiud ndê atu Eliakim. Eliakim ndê atu iŋ Aso. 
MAT.1.14	Ma Aso ndê atu Sadok. Sadok ndê atu iŋ Akim, ma Akim ndê atu iŋ Eliud. 
MAT.1.15	Eliud ndê atu iŋ Eleasa, ma Eleasa ndê atu Matan. Matan ndê atu iŋ Jakob, 
MAT.1.16	ma Jakob ndê atu iŋ Josep. Josep gêm Maria naŋ kôc Yisu, ŋgac naŋ sêsam bu Kilisi.
MAT.1.17	Bocdinaŋ, têŋ Abraham ndê têm ma meŋ têŋ Kiŋ Dawid ndê têm, Yisu ndê apaŋgaci 14 sêmbo. Ma têŋ Dawid ndê têm ma meŋ têŋ ndoc lau Israel-ŋga sêndöc Babilon, naŋ iŋ ndê apai 14 tiyham sêmbo. Ma têŋ ndoc lau Israel-ŋga sêndöc Babilon, e meŋ têŋ ndoc Maria kôc Kilisi, naŋ apai 14 tiyham sêmbo.
MAT.1.18	Yisu Kilisi dinda kôc iŋ ŋamiŋ dau dec. Ŋac sêhê iŋ dinda Maria têŋ Josep su, magoc iŋlu sêmbo sêwhiŋ dau dom, ma sêlic bu Maria daê. Iŋ daê akêŋ Ŋalau Dabuŋ ndê. 
MAT.1.19	Josep, naŋ sêmasaŋ yom bu nem Maria, naŋ ŋgac gitêŋ, ma bu kôm iŋ maya sa dom, dec gauc gêm bu hu iŋ siŋ gelec.
MAT.1.20	Iŋ kôc gauc dinaŋ su, goc Pômdau ndê aŋela daŋ hoc dau asê têŋ iŋ ŋa mbê, ma sôm, “Josep, Dawid ndê apaŋgac, töc daôm dom bu kôc Maria sa ti am nem awhê, bu Ŋalau Dabuŋ dau kêŋ balêkoc naŋ mbo iŋ ŋatac ŋalôm. 
MAT.1.21	Maria oc kôc balê daŋ, ma am oc sam iŋ ndê ŋaê bu †Yisu, ŋahu bu iŋ oc nem iŋ ndê lau si yêc ŋac si sac ŋagêyô.”
MAT.1.22	Gêŋ hoŋ dinaŋ hôc asê ma bocdinaŋ Pômdau ndê yom naŋ propet Aisaya hoc asê muŋ su, naŋ ŋandô sa. Iŋ hoc yom dau asê bocdec bu:
MAT.1.23	Alic su naŋ. Awhê akiŋ daŋ oc daê e kôc balêkoc ŋgac daŋ, ma ŋac oc sêsam iŋ ndê ŋaê bu Imanuel. 
MAT.1.23	(Ŋaê ‘Imanuel’ dau ŋahu bu ‘Anötö mbo whiŋ yac.’ )
MAT.1.24	Têŋ ndoc Josep tapo sa, naŋ iŋ kôm gitôm Pômdau ndê aŋela gic atu iŋ, ma kôc Maria sa meŋ mbo iŋ ndê andu ti iŋ ndê awhê. 
MAT.1.25	Iŋlu sêmbo sêwhiŋ dandi, magoc Josep gic ahê Maria mbo e gitôm iŋ kôc balêkoc dau su. Ma iŋ sam iŋ ndê ŋaê bu Yisu.
MAT.2.1	Yisu dinda kôc iŋ yêc malac Betlehem yêc gameŋ Judia-ŋga, têŋ têm Kiŋ †Herod gêm gôliŋ mbo. Tiŋambu lau apa ŋatô sêhôc asê Jerusalem. Ŋac lau tigauc tu sêŋyalê tata-ŋga, ma sêmeŋ akêŋ gameŋ ac pi-ŋga. 
MAT.2.2	Sêhôc asê ma sêndac, “Balêkoc naŋ bu ti lau Israel si kiŋ, naŋ dinda kôc iŋ yêc nde? Yac alic tata wakuc daŋ pô yac mba gameŋ dec kêŋ puc yac bu iŋ hôc asê su. Ma yac ameŋ bu atoc iŋ sa ti apôŋ haŋduc têŋ iŋ.”
MAT.2.3	Ŋac si yom dinaŋ kôm Kiŋ Herod sö ma gauc gêm yom daêsam. Ma lau Jerusalem-ŋga hoŋ boc-dinaŋ. 
MAT.2.4	Goc Herod kêgalêm lau Israel si †dabuŋsiga atu-tu ti lau naŋ sêndôhôŋ yomsu, naŋ sa sêpitigeŋ, ma ndac ŋac, “Mac nem †Mesaya dinda oc kôc iŋ yêc malac bocke?” 
MAT.2.5	Ma sêô iŋ ndê yom ma sêsôm, “Iŋ dinda oc kôc iŋ yêc malac Betlehem yêc gameŋ Judia-ŋga. Propet akwa daŋ to yom pi iŋ muŋ su bocdec bu:
MAT.2.6	O malac Betlehem yêc gameŋ naŋ †Juda ndê toŋ sêwêkaiŋ. Malac atu-tu hoŋ naŋ sêyêc Juda ndê gameŋ, naŋ ŋadaŋ hôc gêlêc am su dom, ŋahu bu gôliŋwaga naŋ oc sa yêc am, naŋ oc ti ŋgac atu tu yob aneŋ lau Israel-ŋga.” 
MAT.2.7	Herod ŋgô yom hoŋ dinaŋ su, ma kêŋ ŋac sêsa si. Goc iŋ gic lau tigauc dinaŋ sa tiyham gelec, ma kip yom sa yêc ŋac, bu bêc bocke tata dau meŋ hôc asê ma ŋac sêlic. Ŋac sic miŋ yom hoŋ têŋ iŋ su, 
MAT.2.8	ma iŋ kêkiŋ ŋac bu sêtêŋ malac Betlehem sêndi, ma sôm têŋ ŋac, “Andi aŋsalê balêkoc dau, ma têŋ ndoc mac atap iŋ sa, naŋ goc ambu ameŋ akêŋ ŋawaê têŋ aö bu aö dauŋ waloc, ma watoc iŋ sa.”
