MAT.1.1	Yesu Kerisi yi degwa lo sënë: Yesu saga sën Davit yi mewis, geDavit saga sën Abraham yi mewis.
MAT.1.2	Abraham ḳo Isaak, gIsaak ḳo Yakop, geYakop saga sën ḳo Yuda losho ari lo.
MAT.1.3	GeYuda ḳo Peres luho avëhnö Sera, geluho ataj Tamar.
MAT.1.3	GePeres ḳo Hesron.
MAT.1.3	Ga, Hesron ḳo Ram.
MAT.1.4	Ga, Ram ḳo Aminadap, gAminadap ḳo Nason, geNason ḳo Salmon.
MAT.1.5	GeSalmon ḳo Boas, gata Rahap.
MAT.1.5	GeBoas ḳo Obet, gata Rut.
MAT.1.5	Ga, Obet ḳo Yese, 
MAT.1.6	geYese ḳo Mehö-los-bengö Davit, geDavit ḳo Solomon, gata sën Uria venë wirek lo.
MAT.1.7	Loga, Solomon ḳo Rehoboam, geRehoboam ḳo Abiya, gAbiya ḳo Asa.
MAT.1.8	Ga, Asa ḳo Yosapat, geYosapat ḳo Yoram, geYoram ḳo Usia.
MAT.1.9	Ga, Usia ḳo Yotam, geYotam ḳo Ahas ga, Ahas ḳo Hesekia.
MAT.1.10	Ga, Hesekia ḳo Manase, geManase ḳo Amos, gAmos ḳo Yosia.
MAT.1.11	GeYosia ḳo Yekonia losho ari lo, lob loḳ buk saga alam Babulon deduu alam Israel vahi medeḳo sir ya denedo hir nyëġ.
MAT.1.12	Deya denedo nyëġ böp Babulon lom Yekonia ḳo nalu Sealtiel.
MAT.1.12	Lob Sealtiel ḳo Serubabel, 
MAT.1.13	lob Serubabel ḳo Abiut, gAbiut ḳo Eliakim, gEliakim ḳo Asor.
MAT.1.14	GAsor ḳo Sadok, geSadok ḳo Akim, gAkim ḳo Eliut.
MAT.1.15	GEliut ḳo Eleasar, gEleasar ḳo Matan, geMatan ḳo Yakop ngwë.
MAT.1.16	GeYakop sënë ḳo Yosep sën Maria regga, lob Maria saga sën ḳo Yesu, sën denenër bë Kerisi lo.
MAT.1.17	Nebë saga lob sir pin Abraham yi mewis sir, beyam verup loḳ Davit saga, besir yu nemadluho-bevidek-lubeluu. Gevu Davit beyam verup loḳ buk sën deḳo sir ya denedo nyëġ böp Babulon, saga sir yu nemadluho-bevidek-lubeluu. Lob vu buk sën deḳo sir ya denedo nyëġ böp Babulon beverup loḳ Kerisi, og sir yu nemadluho-bevidek-lubeluu nebë saga ving.
MAT.1.18	Yesu ata ḳo yi lo degwa nebë sënë: Deggooin ata Maria raḳ in jaḳ vu Yosep, rëḳ luho yö nahën denedo, log Maria nalu loḳ raḳ Anon Vabuung. 
MAT.1.19	Yosep sën deggooin raḳ bë natu regga lo, yi mehö netetuu aggata niröp, lob su bë rëḳ nanër avëh yi ġaġek nimumsën ranġah vu alam pin rë. Gaḳ vonġin bë bepul Maria vunsën. 
