MAT.1.1	Chupan ri vuj re' tz'iban-vi can quibi' ri ojer tak rati't-rumama' ri Jesucristo. Rija' riy-rumam can ri rey David, y riy-rumam can ri Abraham.
MAT.1.2	Ri Abraham jari' rutata' ri Isaac;
MAT.1.2	ri Isaac jari' rutata' ri Jacob;
MAT.1.2	ri Jacob xec'uje' eq'uiy ralc'ua'l, y jun chique ri ralc'ua'l xubinaj Judá.
MAT.1.3	Ri Judá xec'uje' ca'i' ralc'ua'l riq'uin ri ixok Tamar, y ri alabo ri' Fares
MAT.1.3	Ri Fares jari' rutata' ri Esrom;
MAT.1.3	ri Esrom jari' rutata' ri Aram.
MAT.1.4	Ri Aram jari' rutata' ri Aminadab;
MAT.1.4	ri Aminadab jari' rutata' ri Naasón;
MAT.1.4	ri Naasón jari' rutata' ri Salmón.
MAT.1.5	Ri Salmón jari' rutata' ri Booz,
MAT.1.5	ri Booz jari' rutata' ri Obed, y ri rute' ri Obed ja ri Rut;
MAT.1.5	ri Obed jari' rutata' ri Isaí.
MAT.1.6	Ri Isaí jari' rutata' ri David ri xoc rey.
MAT.1.6	Ri rey David jari' rutata' ri Salomón ri xalex chuk'a' ri ixok Betsabé, ri rixayil can ri Urías.
MAT.1.7	Ri Salomón jari' rutata' ri Roboam;
MAT.1.7	ri Roboam jari' rutata' ri Abías;
MAT.1.7	ri Abías jari' rutata' ri Asa.
MAT.1.8	Ri Asa jari' rutata' ri Josafat;
MAT.1.8	ri Josafat jari' rutata' ri Joram;
MAT.1.8	ri Joram jari' rutata' ri Uzías.
MAT.1.9	Ri Uzías jari' rutata' ri Jotam;
MAT.1.9	ri Jotam jari' rutata' ri Acaz;
MAT.1.9	ri Acaz jari' rutata' ri Ezequías.
MAT.1.10	Ri Ezequías jari' rutata' ri Manasés;
MAT.1.10	ri Manasés jari' rutata' ri Amón;
MAT.1.10	ri Amón jari' rutata' ri Josías.
MAT.1.11	Ri Josías xec'uje' eq'uiy ralc'ua'l, y jun chique ri ralc'ua'l xubinaj Jeconías. Jari' tiempo tok ri israelitas xe'uc'uax pa roch'ulef Babilonia.
MAT.1.12	Tok ec'o chic quila' pa Babilonia, ri Jeconías xc'uje' jun ralc'ua'l ri xubinaj Salatiel;
MAT.1.12	ri Salatiel jari' rutata' ri Zorobabel.
MAT.1.13	Ri Zorobabel jari' rutata' ri Abiud;
MAT.1.13	ri Abiud jari' rutata' ri Eliaquim;
MAT.1.13	ri Eliaquim jari' rutata' ri Azor.
MAT.1.14	Ri Azor jari' rutata' ri Sadoc;
MAT.1.14	ri Sadoc jari' rutata' ri Aquim;
MAT.1.14	ri Aquim jari' rutata' ri Eliud.
MAT.1.15	Ri Eliud jari' rutata' ri Eleazar;
MAT.1.15	ri Eleazar jari' rutata' ri Matán;
MAT.1.15	ri Matán jari' rutata' ri Jacob.
MAT.1.16	Ri Jacob jari' rutata' ri José;
MAT.1.16	y ri José jari' xoc rachijil ri María, ri achok chuk'a' xalex-vi ri Jesús. Y ri Jesús, jari' ri Jun ri takon-pe roma ri Dios chucolic ri rutinamit.
MAT.1.17	Chuvech re roch'ulef xek'ax-e catorce solaj vinak ri nitiquer-pe riq'uin ri Abraham c'a riq'uin ri rey David. Catorce chic solaj xek'ax-e chuvech re roch'ulef ri nitiquer-pe riq'uin ri rey David c'a chupan ri tiempo tok ri israelitas xe'uc'uax pa roch'ulef Babilonia. Y catorce chic solaj xek'ax-e chuvech re roch'ulef ri nitiquer-pe riq'uin ri tiempo tok ri israelitas xe'uc'uax pa Babilonia c'a chupan ri tiempo tok xalex ri Jesucristo choch'ulef.
MAT.1.18	Tok xalex ri Jesucristo,
MAT.1.19	Jac'a ri José ri ne'oc rachijil, jun achi choj ruc'aslen chuvech ri Dios, y xa nupokonaj nuya' chi q'uix ri María chiquivech ri vinak,
