GEN.1.1	Naa tiba jutyunu uwanun, Dios tiba deke' faawaandu, selu bain, tu bain dekemi. 
GEN.1.2	Tsenñu tu naa ti muuteba jutyu', tsaa juwan juruu ju' yapijurunami, tsenmin lamaa tene ne juuwaami. Tsanandala Diosa' Espírituya pi kai'tala ne neintsumuwaami.
GEN.1.3	Tsenñu Dios: Danguisa, tinmalan, dandakemi. 
GEN.1.4	Tsangue' dangueñu Dios yuj urañu katatu, dishkejtsa bain, danda bain junuu tiremi. 
GEN.1.5	Tsejtu Dios dandanuya “mandala” mumu pumi, tsenmin dishkejtsanuya “kepe” mumu pumi. Tsanguiñu juntsa ajke' malunu kepe bain, mandala bain tiya' puimi.
GEN.1.6	Bene Dios manen tsandimi: Pitalan manbela aa ba'kara jusa, tsenmalaa pi maali maali develanutsu, timi.
GEN.1.7	Tsanditu Dios manbela tsamantsa aa ba'kara kemi, tsenñu juntsa aa ba'kara pi develekemi. Tsenñu manbaateya juntsa aa ba'kara pandainsha shuwanmala, kamanbaateya kai'sha deshuwami. 
GEN.1.8	Tsenñu juntsa aa ba'karanu “selu” mumu pumi. Tsanguiñu entsaba pai malunu kepe bain, mandala bain tiya' puimi.
GEN.1.9	Tsenñu Dios tsandimi: Selu pandainsha pumu piya manbelaa wakudisa, tsenmalaa ejke tena faanutsu, timi. Tsandiñu ya naati pañuba juntsaimi.
GEN.1.10	Tsejtu Dios ejke tenanuya “tu” mumu pumi, tsenmin selu pandainsha wa'dimu pinuya “lamaa” mumu pumi.
GEN.1.10	Tsejtu kumuinchi ura deeñu katatu, 
GEN.1.11	Dios tsandimi: Tunu ti kiya'baasa de-awasa: naa fikenuu ñi iimu chi juula bain, naa pu'chi juula bain, timi. Tsandiñu Dios naatiñuba juntsaimi. 
GEN.1.12	Tsenñu tunu naa ti kiya juula bain awala, naa fikenuu ñi kuwakemu chi juula bain, naa pu'chi juula bain awala. Tsanguetu Dios juntsa ura deeñu katami. 
GEN.1.13	Tsanguiñu entsaba pen malunu kepe bain, mandala bain tiya' puimi.
GEN.1.14+GEN.1.15	Tsenñu Dios tsandimi: Selusha ñillu cha'jelei detiyasa tsai' tusha dangaapunu, tsenmalaa mandala bain tiya', kepe bain tiya tiyainutsu, tsenmin selusha chumu ñillu jumulan naamaa ma malu tiyañu bain, naamaa ma añu tiyañu bain, naamaa bale malu chayañu bain mijakaanu detsuve, timi. Tsandiñu Dios naatiñu bain juntsaimi. 
GEN.1.16	Tsejtu Dios pai ñillu kemi: mandala dangaamu ñillunuya daran danmu kemi, tsenmala kepe dangaanu ñillunuya mikaka danguikemu kemi. Tsenmin naa makara juula bain dekemi. 
GEN.1.17+GEN.1.18	Tsejtu Dios juntsa ñillulanu selu kai'sha deke' chujtimi, tsenmalaa naa mandala bain, naa kepe bain tusha danbu', naa kepe bain jayu ñillu jusa tyatu, tsenmin mandala bain danbusa tyatu. Tsanguetu Dios juntsa ura deeñu katami. 
GEN.1.19	Tsanguiñu entsaba taapai malunu kepe bain, mandala bain tiya' puimi.
GEN.1.20	Tsejtu bene Dios tsandimi: Pisha pumu animaala bain pure' tiya deisa, tsenmin naa tusha jeke' nemu pishkula bain dejusa tenve, timi.
GEN.1.21	Entsanguitaa Dios pisha pumu aa alla bain dekemi, tsenmin pi tainsha nemu animaala bain naaju'baasa deke', naa pishkula bain naaju'baasa dekemi.
GEN.1.21	Entsangue' dya' Dios ura deeñu katatu, juntsa animaalanu 
GEN.1.22	mika ura' idei titu entsandimi: Pure' na kike' lamaa tyuwakidei; tsenmin naa tusha bain pishku pure' seraidei, timi. 
GEN.1.23	Tsanguiñu entsaba man malunu kepe bain, mandala bain tiya' puimi.
GEN.1.24	Tsejtu Dios manen tsandimi: Tu kuraa animaa de-awasa tenve, naa chachilla' miyandinu animaa juula bain, naa jeenbaasha chumu ajara animaa juula bain, tsenmin naa tunu ajkachi shilla' neimu animaa juula bain de-awasa tenve, timi. Tsandiñu Dios naatiñuba juntsaimi. 
GEN.1.25	Tsejtu Dios entsa animaalanu naaju'baasa deketu, ura deeñu katami.
GEN.1.26	Tsejtu umaa Dios tsandimi: Umaya lala naadejuñuba tsaa chachi
GEN.1.27	Tsejtu Dios, ya naaju'ba juntsa keraa chachi ke' kujtemi. Tsejtu unbee ruku bain, supu bain kikemi. 
GEN.1.28	Tsejtu Dios yalanu: Mika ura' idei, titu tsandimi: Na demiyandi' pure' serai' entsa tu tyuwai seradei, tsenmin naa pisha pumu allalanu bain, naa pishkulanu bain, naa naaju animaalanu bain, naa tusha ajkachi shilla' neimu animaalanu bain ñulla mandanguen chudei, timi.
GEN.1.29	Tsejtu bene yalanu tsandimi: Ñi fainuu iimu kaa chi juula bain, kayu naa vee pu'chi juula bain iya ñullanu kuwantsuyu, tsenmalaa ñulla pu'chitala puka ka' finudetsu. 
GEN.1.30	Tsaaren jeenbaasha chumu animaalanu bain, tusha ajkachi shilla' neimu animaalanu bain, naa pishkulanu bain naaju tape'baasa yaichi fikenuu detiwaayu, timi. Tsandiñu uwain juntsaimi. 
GEN.1.31	Tsejtu Dios kumuinchi entsangue deketu ura deeñu katami. Tsanguiñu entsaba mandishmain malunu kepe bain, mandala bain tiya' puimi.
GEN.2.1	Entsaitaa naa selu bain, naa tu bain, tsenmin naa selusha tiba katawamula bain, naa tusha tiba katawamula bain millai ila. 
GEN.2.2	Dios entsangue taawasha deke' dyatu, umaa mandishpai malusha lekami. 
GEN.2.3	Tsejtu Dios entsa mandishpai malunu mika ura' isa titu, bale malu kure' shuikemi, matyu juntsa malunaa tiba deke' faawaatu leka' mitya. 
GEN.2.4	Entsa kuindaa, naa-itaa selu bain, naa tu bain de-i' faamu deeñuba juntsa kuindave.
GEN.2.4	Yavé Dios naa selu bain, naa tu bain dekiñu, 
GEN.2.5	kayu naa ti kiya juuba chutyumi, tsenmin naa ti tape juu bain kayu falendyumi, matyu Yavé Dios kayu shuwa jakaakaindyuñu' mitya, tsenmin muba taawasha kikenuu dejutyuñu' mitya. 
GEN.2.6	Tsaanun tu tainshaa pi fale' kumuinchi tu ajta ajtakemi.
GEN.2.7	Yavé Dios chachi ketu tu llujpepechiren ke', ya' kijkapanu juipu', aama pu' kujtemuwaami. Tsenñaa umaa chachi tiya' chumi.
GEN.2.8	Tsejtu bene Yavé Dios pajlanu pasha Edén mumu puu vijtya main ke' chujtitu, jungaa ya' keñu chachinu pumi. 
GEN.2.9	Tsejtu naaju chi'baasa awakare', uukerai katawamu tire', famu puka imu tene awakaami. Tsejtu juntsa vijtya kejtala naa chuwaanu tiremu chi bain, naa main main tyee keñu urañu bain, tyee keñu urajtuñu bain mijakaakaa kemu chi bain awakaami.
