GEN.1.1	Apanll chtakchu, kanindaatstam, tsapootstam tinarangiya. 
GEN.1.2	Anpur zar tsap izuuru ndunarimuna; kurimunazimuna. Ichingaru kungunandamuna. Mishat, izuuru tápimuna. Itaru, kungumunsha iwaz Apanll wani mangamangtar ashishtar ashku ksutarangiya.
GEN.1.3	Mang Apanll tárangiya, 'Sineem taachpa, táyaru, 'sineerangiya. 
GEN.1.4	Sheeru, Apanll nap ashku, Kizpurcha wanasiri, tárangiya. 
GEN.1.5	'Sin kaschireem waani taachpa, mishat tapi waani psaanaam taachpa, mang tárangiya. Anush zar minumtarini tapitaranll ashirangiya.
GEN.1.6	Apanll mangush chinarangu, Waani íwar kung msas tamapari ashiru taachpa; tsapushsha kung waanitam taachpa, mang tárangiya.
GEN.1.7	Sheeru, tsapushsha kungunand taarangiya. Kanindapshat arang kungutam taarangiya. Apusashsha kurimunazeem kasarangiya. 
GEN.1.8	Anush tsimbunarini zar tapitaranll mang ashirangiya.
GEN.1.9	Apanll tárangiya; Kungoo piyam waanitam wayachima. Puzaatssha waanitam wayachima, táyaru, 
GEN.1.10	puzaa tsapu átu ísamarangiya. Itaru, kungootssha mar átu ísamarangiya. Ashiramchu, Apanll tsapoo, mishat kungoo kis naparangiya. Kizpurcha wanasiri, tárangiya. 
GEN.1.11	Waanitam tsapumun mangina kxoonachpa; chirichir waanitam kxoonachpa. Mangintam wanus waani yusiyustanllpa; aranginasha pzapanichpa. Chirichirtam wach arang pzapanichtampa, tárangiya. 
GEN.1.12	Amb mangin sheeru taachpa; ichingaru kxoonachpa. Wanus waanitam yusiyku, ashiru taachpa, tárangiya. Sheeru anoo Apanll kis naparangu, Kizpurcha wanasiri, mang tárangiya. 
GEN.1.13	Anush tuchparini zar tapitaranll ashirangiya.
GEN.1.14+GEN.1.15+GEN.1.16	Apanll tárangiya; Tsapoom tuwasineemaam zareewa wayachima. Waani kanindap zar, tsup, tsangach ashiru taachpa. Zar waani kaschireem 'sineemaam taachpa. Tsupsha psaanaam 'sineemaam achim taachpa, mang tárangiya. Ashkachu, tputssha: Na zar tatsameenlltanda, táchpasinaya. Na in tsup tatsumamaam waritayanlltanda. Kanusamaamtam tatsameenlltanda. Na in masach amb ashtachinipa, tputs ayam ántanchinaya, tárangu, Apanll anoom zareewa wayarangiya. Ashchiri ztaru kanindamand tsapurunasish tuwasineemaam wayarangiya. 
GEN.1.17+GEN.1.18	Apanll napku, Kizpurcha wanasiri, mang tárangiya. 
GEN.1.19	Anush ipunpunarini zar tapitaranll mang ashirangiya.
GEN.1.20	Ashiriya, Apanll waani kayupcheewaa kungush taaratartanllpa. Kpurangamashsha waani yuwar mangamangtanllpa. 
GEN.1.21+GEN.1.22	Kungushuch waani watareew taaratartanllpa, tárangiya. Sheeru napku, kungush kayupich kuringkuringtangat, yuwarsha nap ashku, ichingaru kpurangamash mangarurtangat ashirangiya. Apanllsha naparangu, Kizpurcha wanasiri, tárangiya. Waani kungushuch kpukchu, kayupchirtatam ichingaroom tsapurunas pzapanintanllpa. Zamizsha waani wayangchirtatam ituwartakchu zamzeem pzapanintanlltampa ichingaroom tsapurnasi, tárangiya Apanlli. 
GEN.1.23	Anush zar zameetpatarini tapitaranll mang ashirangiya.
GEN.1.24	Apanll tárangiya; Waanitam maachi kayustaneew tsapush taachpa. Chinuzeetssha waani tputs ksutku taachpa. Mishat, tsapumun pshiyrataru an waanitam taachtampa, tárangiya. 
GEN.1.25	Sheeru Apanll napku, Kizpurcha wanasiri, tárangiya.
GEN.1.26	Maacheetsi tinamaam iwatsparamchu, anush Apanll mangush chinarangu, Na tputseemsha yaana tamapari ashiritam tinayani, tárangiya. Waamari tputsimari kurak tamapari ashiru ichingaroo kasiru taachiya. Kungushcheetstamta, manginshucheetstam, chinuzee chinutarich anootstam, misha tsapush pshiyrataru anootstam tputsimari kasiru taachiya. Waamari tputs mangurir kasikastachpa, tárangiya Apanlli. 
GEN.1.27	Tárangu, tputseemshat tinarangiya. Chtaru kamuzaatsima tinarangu, anumunshat wipunasheemsha kizaatssha tinarangitamta.
GEN.1.28	Tinaramchu, tputsee tárangiya; Mangis kis taangtsa. Aranginasha iparis pzapaneengtsa. Tsapurnasish ashchiri shuneeyarus tatsitangtsa. Sheerus, siyamari ichingaroo kasitssa, tárangiya. 
GEN.1.29	Táyaru, arangeem yusur kamachtarangiya. Manginshucheetstam wanus ktungangtsa. Mishat, wanuseetstam wach katungchitamsa. Mishat, tsapushtam yutataru anootstam katungchitamsa, tárangiya. 
GEN.1.30	Ashiriya, zamzeetssha manginaa wanus katungku taachiya, misha tsiripcheetstam karutaa wach katungkusin taachinllinaya, tárangiya Apanlli.
GEN.1.31	Ashiriya, Apanlli amb ashiramchu, napku, Ichingaru kizpurcha wanasirinanda, tárangiya. Anush, minamtarini matayaru zar tapitaranllu, tinamaam iwatsparangiya. Putam tarasitaranll mang ashirangiya.
GEN.2.1	Ashiriya, na yuwaa Apanlli tinamaa iwatsparangu anootsi kamaneena. 
GEN.2.2	Tinamaa iwatsparamchu, arangich tsimbun matayaru zar tatsamooramchu anush Apanll kanusarangiya.
GEN.2.3	Ashiriya, Apanll tárangiya; Zar arangich tsimbun matayaru maats tatsamkachu anush kanusish urutamari taachpa, watam anush nuw kanusaranginawa, tárangiya Apanlli.
GEN.2.3	Ashiriya, na kamaneena yuwaa Apanlli ichtakachuri arangich tsimbun matayaru zar tinarangu anootsi.
GEN.2.4	Apanlli kanindaa misha tsapootstam tinarangiya. 
GEN.2.5	Anpur mzats ndunarimuncha, mishat tatsumshishtam ndunarimunatamcha, watam tputs tarawaztamaam ndunarimunatamtawa, sin ndunarimuntamta. Nda sinatariya. 
GEN.2.6	Anpur Apanll msas ashiru zanganirangiya.
GEN.2.7	Ashiriya, Apanllsha tsapupa tputseem tinarangiya. Tsapupa wayapur tinaramchu, mang shipashsha tapus ashirangiya. Ashkachu, taarashee panarangu, tputseemsha kamuzaamsha kinarangiya. 
GEN.2.8	Tinaramchu, anumunsha, yap zar yaku amb Edengap arangeema, Apanll tipuranlliz mzatseem ashiru wanasireew wayarangu, anushsha tputsee wayarangiya. 
GEN.2.9	Mzatsushshat kizpur wanasireew tatsumim wanus zapan katungamaam taarangitamta. Anushshat Apanll mzats apusanand tsimbun yasin tatsumirangiya. Min tatsumim kizpur wanasirimshi. Tputsich anoo wanus katungkachuch, urutamari taachinllinaya. Minungichichsha tatsumim wayarangitamta. Tputsich katungkachuch, chínash wanasirimshee yasachchee, mishat yutaritamashee yasachtamchee.
GEN.2.10	Anushsha Edenganung kung naantar ashirangiya. Arangeemsha muchup ipunpunar kung pzeenarangiya. 
GEN.2.11	Kung Pisonga, misha kung Guiyona, misha kung Tigirisa, misha kung Eufratisa, aship kung pzeenaru taarangiya.
GEN.2.11	Ichtakachuri, kung Pisonga tushaparangiya. Ambiri muchup tsap suru Hapira taarangiya. Anush maachi kizpur wanasirimash zapan taarangiya; oroo, 
GEN.2.12	misha patumbich kurakurtangatu, misha yasin kzammashi antam, aship maachi kungup much taarangiya.
GEN.2.13	Mishat, arangeem kung tsimbunarini sur Guiyona tushaparangitamta. Muchup tsap sur Kusa taarangiya. 
