GEN.1.1	Sa pagsugod sa Dios pagbuhat sa kalibotan ug sa tanang butang sa kalangitan,
GEN.1.2	ang kalibotan haw-ang ug walay hitsura. Ang kadagatan gitabonan sa kangitngit ug ang Espiritu sa Dios
GEN.1.3	Unya
GEN.1.4	Nahimuot ang Dios sa kahayag nga iyang nakita ug gilain niya kini gikan sa kangitngit. 
GEN.1.5	Ginganlan niyag “Adlaw” ang kahayag ug ang kangitngit ginganlan niyag “Gabii.” Milabay ang kagabhion ug miabot ang kabuntagon. Mao kadto ang unang adlaw.
GEN.1.6	Unya
GEN.1.7	Pinaagi sa gibuhat niyang wanang, gilain sa Dios ang tubig nga didto sa ibabaw gikan sa tubig nga dinhi sa ubos ug nahimo kini. 
GEN.1.8	Ginganlan niyag “Langit” ang wanang. Milabay na usab ang kagabhion ug miabot ang kabuntagon. Mao kadto ang ikaduhang adlaw.
GEN.1.9	Unya miingon ang Dios, “Matingob sa usa lamang ka dapit ang tubig ubos sa langit aron motungha ang yutang mala.” Ug nahimo kini. 
GEN.1.10	Ginganlan sa Dios ug “Yuta” ang mala ug ang tubig nga nalain ginganlan niyag “Dagat.” Nakita sa Dios nga maayo ang iyang gibuhat. 
GEN.1.11	Unya miingon siya, “Moturok sa yuta ang nagkalainlaing mga tanom: kadtong may binhi ug kadtong mga kahoy nga mamunga.” Ug nahimo kini. 
GEN.1.12	Busa miturok sa yuta ang tanang matang sa tanom. Nakita sa Dios nga maayo ang iyang gibuhat. 
GEN.1.13	Milabay na usab ang kagabhion ug miabot ang kabuntagon. Kadto mao ang ikatulong adlaw.
GEN.1.14	Unya miingon na usab ang Dios, “Motungha ang mga iwag diha sa langit nga maoy magbulag sa adlaw gikan sa gabii ug magpaila sa pagsugod sa mga adlaw ug sa mga tuig ug sa mahinungdanong mga panahon. 
GEN.1.15	Modan-ag kini sila sa kalangitan aron paghatag ug kahayag sa kalibotan.” Ug nahimo kini. 
GEN.1.16	Busa gibuhat sa Dios ang duha ka dagkong iwag: ang adlaw nga maoy maghatag ug kahayag sa panahon sa adlaw ug ang bulan sa panahon sa gabii. Gibuhat usab niya ang mga bituon. 
GEN.1.17	Gipahimutang sa Dios ang mga iwag diha sa langit aron magdan-ag sa kalibotan 
GEN.1.18	ug maghatag ug kahayag sa adlaw ug sa gabii ug maglain sa kahayag gikan sa kangitngit. Nakita sa Dios nga maayo ang iyang gibuhat. 
GEN.1.19	Unya milabay na usab ang kagabhion ug miabot ang kabuntagon. Kadto mao ang ikaupat nga adlaw.
GEN.1.20	Miingon na usab ang Dios, “Mapuno ang katubigan sa nagkalainlaing mga buhing mananap ug mapuno usab sa mga langgam ang kahanginan.” Ug nahimo kini. 
GEN.1.21	Busa gibuhat sa Dios ang mga dagkong mananap sa kadagatan ug ang tanang matang sa mananap sa katubigan ug ang tanang matang sa langgam. Nakita sa Dios nga maayo ang iyang gibuhat. 
GEN.1.22	Unya gipanalanginan sa Dios ang mga mananap sa kadagatan ug giingnan, “Sanay kamo ug lukpa ninyo ang kadagatan!” Ngadto sa mga langgam miingon siya, “Sanay kamo!” 
GEN.1.23	Ug milabay ang kagabhion ug miabot ang kabuntagon. Kadto mao ang ikalimang adlaw.
GEN.1.24	Unya miingon ang Dios, “Motungha sa kalibotan ang nagkalainlaing mga mananap: mga kahayopan ug tanang matang sa mga ihalas nga mananap.” Ug nahimo kini. 
GEN.1.25	Busa gibuhat niya ang tanang matang sa mga kahayopan ug mga ihalas nga mananap. Nakita sa Dios nga maayo ang iyang gibuhat ug nalipay siya.
GEN.1.26	Unya
GEN.1.27	Busa
GEN.1.28	Ug gipanalanginan sila sa Dios nga nag-ingon, “Panganak kamog daghan ug lukpa ang kalibotan sa inyong mga liwat ug dumalaha ang kalibotan. Kamoy magbuot sa mga isda ug sa mga langgam ug sa tanang ihalas nga mananap.” 
GEN.1.29	Unya miingon ang Dios, “Gihatag ko kaninyo ang tanang matang sa tanom nga may binhi ug ang tanang bunga sa kahoy aron inyong kan-on. 
GEN.1.30	Gihatag ko usab sa tanang ihalas nga mananap ug sa kalanggaman ang mga tanom nga lunhaw aron ilang kan-on.” Ug nahimo kini. 
GEN.1.31	Nakita sa Dios nga maayo gayod ang tanan nga iyang gibuhat ug nalipay kaayo siya. Milabay na usab ang kagabhion ug miabot ang kabuntagon. Ug kadto mao ang ikaunom nga adlaw.
GEN.2.1	Nahuman pagbuhat ang langit ug ang yuta ug ang tanang butang nga anaa niini. 
GEN.2.2	Sa
GEN.2.3	Gipanalanginan sa Dios ang ikapitong adlaw ug gibalaan niya kini kay sa maong adlaw natapos niya ang iyang pagpamuhat ug mipahulay siya gikan sa tanan niyang gibuhat.
GEN.2.4	Ingon niini ang pagbuhat sa kalibotan ug sa tanan nga anaa sa langit.
GEN.2.4	Sa pagbuhat sa 
GEN.2.5	wala pay mga tanom nga mitubo ug mga binhi nga miturok sa yuta kay wala pa man niya kini paulani ug wala pa may tawo nga makauma niini. 
GEN.2.6	Apan bisag walay ulan, diha nay tubig nga mitungha gikan sa ilalom sa yuta ug mipatubig niini.
GEN.2.7	Unya
GEN.2.8	Unya naghimo ang 
GEN.2.9	Gipatubo
GEN.2.10	Gikan sa Eden midagayday ang usa ka suba nga maoy mipatubig sa tanaman, ug sa nasaylo na kini sa tanaman, ang suba nabahin sa upat. 
GEN.2.11	Ang unang suba ginganlag Pison ug midagayday kini libot sa kayutaan sa Habila. 
GEN.2.12	Makaplagan niining dapita ang lunsayng bulawan ingon man ang mga bato nga bedelyo ug sardonika nga pula. 
GEN.2.13	Ang ngalan sa ikaduhang suba Gihon ug midagayday kini libot sa kayutaan sa Cus. 
GEN.2.14	Ang ikatulong suba mao ang Tigris nga nagdagayday sa silangan sa Asiria. Ang ikaupat nga suba mao ang Eufrates.
GEN.2.15	Unya gibutang sa 
GEN.2.16	Giingnan niya ang tawo, “Makahimo ka pagkaon sa mga bunga sa tanang kahoy sa tanaman 
