MAT.1.1	Dja nau nkoch yao u che Brah Yêsu Krist
MAT.1.2	Abrahăm i bơ̆ Isăk, Isăk i bơ̆ Yakôp, Yakôp i bơ̆ Yuđa, ndrel ma oh nô păng đŏng.
MAT.1.3	Yuđa sŏ ur rnha păng Tamar bă kon bu klô rnha Pêrês, ndrel ma oh păng rnha Seras, Pêrês i bơ̆ Hesrŭn, Hesrŭn i bơ̆ Aram,
MAT.1.4	Aram i bơ̆ Aminađăp, Aminađăp i bơ̆ Nahsôn, Nahsôn i bơ̆ Salmôn, 
MAT.1.5	Salmôn sŏ ur rnha păng Rahap bă kon bu klô rnha păng Bôas, Bôas sŏ ur rnha păng Rut bă kon bu klô rnha păng Ôƀêt, Ôƀêt i bơ̆ Yêsê,
MAT.1.6	Yêsê i bơ̆ kađăch Đavid.
MAT.1.6	Kađăch Đavid sŏ pit ur bu, bă kađăch Salômôn, rnha sai i ur kađăch Đavid pit nây Uri.
MAT.1.7	Kađăch Salômôn i bơ̆ kađăch Rêhôbam, kađăch Rêhôbam i bơ̆ kađăch Abia, kađăch Abia i bơ̆ kađăch Asa,
MAT.1.8	kađăch Asa i bơ̆ kađăch Yôsaphat, kađăch Yôsaphat i bơ̆ kađăch Yôram, kađăch Yôram i bơ̆ kađăch Ôsia, 
MAT.1.9	kađăch Ôsia i bơ̆ kađăch Yôtham, kađăch Yôtham i bơ̆ kađăch Ahas, kađăch Ahas i bơ̆ kađăch Hêsêkia, 
MAT.1.10	kađăch Hêsêkia i bơ̆ kađăch Manasê, kađăch Manasê i bơ̆ kađăch Amôn, kađăch Amôn i bơ̆ kađăch Yôsia, 
MAT.1.11	kađăch Yôsia i bơ̆ kađăch Yêkônis, ndrel ma oh oh păng đŏng. Dôl nây bu veng gro ƀon lan Israel gŭ jât bri Ƀaƀilôn.
MAT.1.12	Jêh bu veng gro ƀon lan Israel gŭ ta bri Ƀaƀilôn kađăch Yêkônis bă Salathil, Salathil i bơ̆ Sôrôƀaƀel,
MAT.1.13	Sôrôƀaƀel i bơ̆ Abiut, Abiut i bơ̆ Êliakim, Êliakim i bơ̆ Asôr, 
MAT.1.14	Asôr i bơ̆ Sadôk, Sadôk i bơ̆ Akim, Akim i bơ̆ Êliut, 
MAT.1.15	Êliut i bơ̆ Êlêasar, Êlêasar i bơ̆ Mathan, Mathan i bơ̆ Yakôp, 
MAT.1.16	Yakôp i bơ̆ Yôsep i sai Mari. Mari i nây bă Brah Yêsu bu kuăl lah Brah Krist i nơm rklaih tă bơh Kôranh Brah de njuăl.
MAT.1.17	Kơt ndri, ntơm bơh Abrahăm tât ma kađăch Đavid păng geh 14 bông bunuyh. Ntơm bơh kađăch Đavid tât ma rnôk bu veng gro ƀon lan Israel gŭ ta bri Ƀaƀilôn, geh 14 bông bunuyh. Ntơm bơh rnôk bu veng gro ƀon lan Israel gŭ ta bri Ƀaƀilôn tât ma Brah Yêsu i Brah Krist geh 14 bông bunuyh đŏng.
MAT.1.18	Bơh dŏng dja nkoch bri nau deh Brah Yêsu Krist. Geh du huê bu ur rnha păng Mari, păng i ndrôi Yôsep. Ê lor khân păng tâm gŭ ndrel, Mari lĕ ơm ntreo Brah Yêsu yor ma nau dơi Brah Huêng Ueh i kloh ueh ăn ma păng.
MAT.1.19	Yôsep i ndrôi Mari nây, yor ma păng bunuyh sŏng bunuyh ueh, jêh say ndrôi păng lĕ ntreo, păng ŭch ntlơi ndrôi păng nơm mâu ôh ăn bu gĭt, păng mâu ŭch ăn ndrôi păng đit prêng bu, kơt ndri păng ŭch ntlơi ăn ndŏp ndŏp.
