MAT.1.1	Abraham Fapa, David Fapa, Jesuh Krih hringtu hna ṭialnâk cauk: 
MAT.1.2	Abraham nih Isak a hrin, Isak nih Jakob a hrin, Jakob nih Judah le a unau a hrin hna. 
MAT.1.3	Judah nih Tamar sinin Perez le Zerah a hrin hna; Perez nih Hezron a hrin; Hezron nihRâm a hrin; 
MAT.1.4	Râm nih Aminnadad a hrin, Aminadad nih Nason a hrin, Nason nih Salmon a hrin. 
MAT.1.5	Salmon nih Rahab sin in Boaz a hrin, Boaz nih Ruth sinin Obed a hrin, Obed nih Jessi a hrin. 
MAT.1.6	Jessi nih David a hrin; David nih Uriah nupi sinin Solomon a hrin. 
MAT.1.7	Solomon nih Rehoboam a hrin, Rehoboam nih Abijah a hrin, Abijah nih Asa a hrin. 
MAT.1.8	Asa nih Jehosafat a hrin, Jebosafat nih Joram a hrin, Joram nih Uziah a hrin. 
MAT.1.9	Uziah nih Jotham a hrin, Jotham nih Ahaz a hrin, Ahaz nih Hezekiah a hrin. 
MAT.1.10	Hezekiah nih Manase a hrin, Manase nih Amon a hrin, Amon nih Josiah a hrin. 
MAT.1.11	Babilon i sal an tân lio ah Josiah nih Jekoniah le a nau a hrin hna. 
MAT.1.12	Babilon saltân hnu ah Jekoniah nih Shealtiel a hrin i Shealtiel nih Zerubabel a hrin. 
MAT.1.13	Zerubabel nih Abiud a hrin, Abiud nih Eliakim a hrin, Eliakim nih Azor a hrin, 
MAT.1.14	Azor nih Zadok a hrin, Zadok nih Akim a hrin, Akim nih Eliud a hrin. 
MAT.1.15	Eliud nih Eleazar a hrin, Eleazar nih Mathan a hrin, Mathan nih Jakob a hrin. 
MAT.1.16	Jokob nih Josef, Mary va cu a hrin i cu Mary sin in Jesuh, Krih timi cu a chuak. 
MAT.1.17	Abraham in David tiang chan 14 a si i David in Babilon saltan tiang chan 14 a si ṭhân, Babilon saltan in Krih tiang chan 14 a si. 
MAT.1.18	Jesuh Krih chuah ning cu hitihin a si: Anu Mary cu Josef he an i ham i an i umh hlanah, Thiang thlarau nih nau a pawiter tiah hngalh a si. 
MAT.1.19	Ava Josef, miding a simi nih mualphoter a duh lo i a thli tein an i hamnâk kha lêt a timh. 
MAT.1.20	Asinain cu kong a ruah lio ah ngaihmanh, Bawipa vancungmi a mangah â lang i, “Josef, David fapa, Mary hi na nupi ca i ṭhit awkah ṭih hlah, zeicatiah fa a pawimi hi Thiang thlarau sinin a si. 
MAT.1.21	Fapa a hrin lai i a mi hna an sualnâk chungin a khamh hna lai caah a min ah 
MAT.1.22	Hi thil vialte hi 
MAT.1.23	“Ngaihmanh, ngaknu thiang fa a pawi lai i Fapa a hrin lai, A min ah Immanuel an ti lai,” timi a tlin nâkhnga ca-ah a si. Immanuel ti cu, “Kan sinah Pathian a um” tinâk a si. 
MAT.1.24	Josef cu â hlau i 
MAT.1.25	Fapa hmaisa bik a hrin hlan pauh cu a ihpi lo. Cun amin ah JESUH tiah a sak.
MAT.2.1	Herod siangpahrang a ṭuan lio ah Judia ram Bethlehem khua i Jesuh a chuah tikah, ngaihmanh, nichuahlei in mifim Jerusalem khua ah an ra, 
MAT.2.2	“Judah Siangpahrang a chuakmi cu khuazeiahdah a um? Nichuahlei ah a arfi kan hmuh i Amah biak awkah kan ra” tiah an ti. 
MAT.2.3	Cucu Herod nih a theih tikah, amah le Jerusalem i a ummi vialte an awlok a chong. 
MAT.2.4	Tlângbawi upa le phungbia cawnpiaktu kha a kawh hna i Krih chuahnâk kong kha a hal hna. 
MAT.2.5	Annih nih, “Judia ram Bethlehem khua ah, profet nih hitihin a rak ṭial: 
MAT.2.6	‘Nang, Bethlehem, Judia ram chungmi, Judia khuapi hna lakah na hmebik naisai lo; zeitintiah na chungin ka mi Israel hna kilvengtu ding Uktu kha a chuak lai,” tiah an ti. 
MAT.2.7	Cuhnuah Herod nih mifim kha a thli tein a kawh hna i arfi a chuah cân kha ṭha tein a hal hna. 
MAT.2.8	Bethlehem khua ah a kalter hna i, “Vakal u law, Ngakchia cu ṭha tein va kawl law nan hmuh tikah, kei zong nih ra in ka biak khawh ve nâkhnga, thawng rak ka thanh te u,” tiah a ti hna. 
MAT.2.9	Siangpahrang bia an theih hnuah, an kal i zohhmanh, nichuahlei i an hmuhmi arfi kha, Naute umnâk cung a phanh i a dir hlan lo an hmaiah a kal. 
MAT.2.10	Arfi an hmuh tikah an i lawm ngai ngai. 
MAT.2.11	Cubangin inn chung an luh tikah, Naute cu a nu Mary he an hmuh, cun an bawk i an biak. Cuticun an robawm kha ong in Sui, Frankinsen le Mura kha laksawng an pêk. 
MAT.2.12	Herod sinah kir ti lo dingin Pathian nih an mangah ralrin a pêk hna caah lam dangin an ram lei ah an kal. 
MAT.2.13	An kal hnu ah, ngaihmanh, Bawipa vancungmi pakhat Josef sinah â lang i, “Naute le anu kha hruai hna law, Ezip ramah zâm, kan chimh ṭhân hlantiang cuka ah um, zeicatiah Herod nih Naute thah awkah a kawl,” tiah a ti. 
MAT.2.14	Cuticun a tho i cu zan lila ah Naute le a nu cu hruai in Ezip ramah a kal, 
MAT.2.15	Herod a thih hlantiang cuka ah an um, Bawipa nih profet hmangin, “Ka Fapa cu Ezip ram in ka auh,” tiah a rak chimmi a tlin nâkhnga caah a si. 
MAT.2.16	Cuticun mifim hna nih an hlen ti kha Herod nih a hngalh tikah a thin a hung ngai ngai; a cân kong mifim hna sinin a rak theih cang bangin, Bethlehem khua le a pawngkam vialte i pa ngakchia kum hnih tanglei pauh that dingin ralkap kha a thlah hna. 
MAT.2.17	Profet Jeremiah nih: 
MAT.2.18	Ramah khua ah thawng a thang, ṭah le aihramnâk thawng a si; Rachel nih a fale a ṭah hna i an um ti lo caah hnemh khawh a si ti lo,” tiah a rak chimmi a tlin nâkhnga caah a si. 
MAT.2.19	Herod a thih hnu ah, ngaihmanh, Bawipa vancungmi pakhat Ezip i a ummi Josef mangah â lang, 
MAT.2.20	“Tho law, Naute le anu kha hruai hna law, Israel ramah kal, zeitintiah Ngakchia pa thah a timtu kha a thi cang,” tiah a ti. 
MAT.2.21	A tho i Naute le anu kha hruai in Israel ram kha an phân. 
MAT.2.22	Asinain Arkelau nih apa Herod chângin Judia ramah Siangpahrang a ṭuan ti kha Josef nih a theih tikah, cuka i kal kha a ṭih, Pathian nih mangin ralrin a rak pêk cang bangin Galili ramah a kal. 
MAT.2.23	Nazaret khua ah an um i profet nih, “Nazaret khuami ti a si lai” tiah a rak chim chungmi a tlin nâkhnga caah a si.
MAT.3.1	Cu cân ah Baptisma petu Johan cu phung chim in Judia ramcar ah a rak phân, 
MAT.3.2	“I ngaihchih u, zeicatiah vanbawi pennâk cu a nai cang,” tiah a ti. 
MAT.3.3	Zeitintiah hihi profet Isaiah nih a rak chim chungmi, “Ramcar i au thawng nih, 
MAT.3.4	Johan cu kalauk hmul in â thuam i a taisawm cu saphaw a si; a rawl cu khaubawk le ram khuaihliti a si. 
MAT.3.5	Cuticun Jerusalem, Judia ram vialte le Jordan tiva pawngkam mi vialte kha Johan sinah an kal; 
MAT.3.6	an sualnâk i phuangin Jordan tiva ah Baptisma a rak pêk hna. 
MAT.3.7	Asinain Johan nih Farasih le Sadusih mi baptisma ing ding i an rat kha a hmuh tikah, “Rul fale hna! A ra laimi thinhunnâk zâmtâk dingin ahonihdah ralrin an pêk hna? 
MAT.3.8	Cucaah theitlai chuah lak in i ngaihchih u, 
MAT.3.9	‘Abraham tefa kan si tiah i ruat hlah u.’ Zeitintiah Pathian nih hi lung hna hmanh hi Abraham tefa ah a canter khawh ko, tiah kan chimh hna. 
MAT.3.10	Atu zongah thingkung hram kipah hreitlung an chiah cang. Theiṭha a tlai lomi pauh cu an hau lai i meiphu ah hlawnh a si lai. 
MAT.3.11	Kei nih ngaihchih hmelchunhnâk caah ti in baptisma kan pêk hna, ka hnu i a ra laimi cu keimah nâkin a ngan deuh, a kedan putu hmanh ah kâ tlâk lo. Amah nih Thiang Thlarau le mei in baptisma an pêk hna lai. 
MAT.3.12	A kut in sisiap â put i hrih ah facang kha a zah lai, a fangṭha kha bukah a khumh hna lai, asinain a hi vialte cu a mit kho lomi mei ah khangh an si dih lai,” tiah a ti hna. 
MAT.3.13	Cuhnuah Jesuh cu Galili ram in Jordan tiva ah baptisma ing dingin Johan sinah a ra. 
MAT.3.14	Johan nih, “Nangmah nih baptima naka pêk ka herh lio ah, ka sin tu ah na ratmi cu a si kho lai lo,” tiah el a rak timh. 
MAT.3.15	Asinain Jesuh nih, “Atu ah rem ti ko, dinnâk vialte zulh dih hi kan caah â tlakmi a si,” tiah a ti i Johan nih rem a ti. 
MAT.3.16	Baptisma a in dih in, Jesuh cu ti chungin a hung chuah le cângkâ, ngaihmanh a caah van â ong, Pathian Thlarau ṭhuro bangin a rung ṭum i a cungah â fut kha a hmuh. 
MAT.3.17	Cun ngaihmanh, van in aw a rung chuak i, “Hihi ka Fapa dawt, ka lawmh tukmi a si,” tiah a ti.
MAT.4.1	Cuhnuah Jesuh cu khuachia nih rak tukforh dingin Thlarau nih ramcar ah a hruai. 
MAT.4.2	Ni sawmli le zan sawmli rawl a ulh hnu ah a rawl a ṭâm. 
MAT.4.3	Tukforhtu cu a ra i, “Pathian Fapa na si ahcun, hi lung hi changreu i cang dingin nawl pe hna ngat,” tiah a ti. 
MAT.4.4	Anih nih, “Minung hi rawl lawngin a nung lai lo, Pathian kâ in a chuakmi bia in a nung deuh lai, tiah ṭial a si,” tiah a leh. 
MAT.4.5	Cu hnu ah khuachia nih khawthiang chungah a kalpi, ṭempal zimah a chiah i 
MAT.4.6	A sinah, “Pathian Fapa na si ahcun vung zuang tuah, “Zeitintiah nangmah kongah a vanmi a thlah hna lai i na ke lungah nâ khawn nâkhnga lo an kutin an in cawi lai,’ tiah ṭial a si,” tiah a ti. 
MAT.4.7	Jesuh nih, “
