GEN.1.1	Me'ttia'ye Chigaja sefacco, andeve'qque agattoen. 
GEN.1.2	Me'ttia'ye agattoensi andeja ñotssimbiqquia'caen jincho. Nane pa'cco sinttiopa tsu na'enca'en jincho. Tsa'ma Chiga Qquendya'paja tsambe ombani can'jemba pa'cco tsama zivaen'jen. 
GEN.1.3	Tsa'caen ñoñamba Chigaja su: “A'tatssia've daja.”
GEN.1.3	Chiga tsa'caen su'ninda pa'cco a'tatssia've da. 
GEN.1.4	Pa'cco a'tatssia've dapa ñotssisi Chigaja attepa in'jamba avujatssi. Avujatssipa Chigaja a'tatssia'ma attufaen sinttia'ye. 
GEN.1.5	Sinttia'ye attufaemba a'tatssia'ma a'tave inisian. Toya'caen sinttiamajan coseve inisian. Tsa'caen inisiansi cosepa a'tapa primer a'ta tsu.
GEN.1.6	Tsonsi Chigaja su: “Sefacco'su qquendya'pave attianjan na'en'su tsa'ccuma unjimba'ye attufaeñe.”
GEN.1.7	Tsa'caen supa Chigaja sefacco'su qquendya'pave ñoña. Ñoñasi tsa'caen tsu da. Sefacco'su qquendya'pambe ombani tsu unjimbaja jin. Sefacco'su qquendya'pambe tsosiccuni tsu na'en'su tsa'ccuja jin. 
GEN.1.8	Tsonsi tsu Chigaja qquendya'pama sefaccove inisian. Nane cosepa a'tapa segundo a'ta tsu.
GEN.1.9	Tsonsi Chigaja su: “Na'en'su shave'pa fae'ttinga bosi san'ame attianjan.”
GEN.1.9	Tsa'caen susi tsa'caen tsu da. 
GEN.1.10	Tsa'caen dasi Chigaja san'ama andeve inisian. Tsa'caen na'en fa'enga bo'choma'qque marve inisian.
GEN.1.10	Inisiamba pa'ccoma camba ñotssisi attepa avujatssi. Avujatssipa 
GEN.1.11	su: “Ande'ye shoshovive sho'yoja. Toya'caen te'ta tise'pa chove'qque sho'yoja. Nane anqque'su teta'cho'qque sho'yopa tise'pa naqque'suve tsu naña'cho. Nane nanda tsu chove an'biaña'cho tsai'ccu atapaye.”
GEN.1.11	Tsa'caen susi tsa'caen tsu da. 
GEN.1.12	Nane shoshovi ande'ye sho'yosi te'ta tise'pa chove'qque sho'yo'fa. Anqque'su teta'cho'qque tise'pa naqque'suve tsu na'fa. Na tsu chove an'bian tsai'ccu atapaye. Tsa'caen dasi Chigaja attepa avujatssi. 
GEN.1.13	Cosepa a'tasi tercer a'ta tsu.
GEN.1.14	Tsonsi Chigaja su: “Sefaccone chanjunqque'su a'tatssia've chanjunjan cuintsu a'taja cose'ye joqquitssiye. Tsa'caen chanjumba tsu a'tave, canqque'fave'qque canjaeña. Osha'cho naiteve'qque tsu canjaeña. 
GEN.1.15	Toya'caen tsa'caen sefacconi chanjumba tsu andema attiaña.”
GEN.1.15	Tsa'caen susi tsa'caen tsu da. 
GEN.1.16	Nane Chigaja dos rande chanjunqque'suve agattoemba ti'tsse randemajan coe'jeve ancaen cuintsu a'tave attiañe. Bove'ccoa'ma tsu ancaen cuintsu coseve attiañe. Toya'caen o'feve'qque agattoemba ancan'caen. 
GEN.1.17	Tsa'caen agattoemba sefacconga ancaen cuintsu andenga attiamba 
GEN.1.18	a'ta, cosema'qque canjaeñe. Tsa'caen canjaemba tsu a'ta, cose'ye joqquitssi'choma canjaen. Tsa'caen dasi Chigaja attepa avujatssi. 
GEN.1.19	Cosepa a'tasi cuarto a'ta tsu.
GEN.1.20	Tsonsi Chigaja su: “Na'eñe osha'cho cansian jincho'chove attianjan. Toya'caen sefacconi'su qquendya'pa'ye osha'cho chhiririave attianjan cuintsu ande omba'ye chhaje'faye.”
GEN.1.21	Tsa'caen supa Chigaja osha'cho rande na'en'su cansian jincho'chove agattoen. Nane osha'cho na'eni canse'pa jacanqque'suma ccaningandeqquiave agattoen. Toya'caen osha'cho sefacconi chhajeqque'su chhiririama'qque ccaningandeqquiave agattoen. Chigaja tsa'caen agattoemba attepa avujatssi. 
GEN.1.22	Avujatssipa tise'pama ñotsse afapa su: “Ñotsse canse'pa atapa'faja cuintsu na'en on'batssiye. Chhiriria'qque atapapa poi andeni can'jen'faja.” 
GEN.1.23	Tsa'caen susi cosepa a'tasi quinto a'ta tsu.
GEN.1.24	Tsonsi Chigaja su: “Andeni osha'cho cansian jincho'cho ccaningandeqquiave attianjan. Nane aiña'cho vaura'can, andenga manguqque'su, tsampini canseqque'su'qque ccaningandeqquiave attianjan.”
GEN.1.24	Tsa'caen susi tsu tsa'caen da. 
GEN.1.25	Nane Chigaja osha'cho tsampini canseqque'suma ccaningandeqquiave agattoemba osha'cho aiña'cho vaura'can'ma ccaningandeqquiave agattoen. Osha'cho andeni manguqque'suma'qque ccaningandeqquiave agattoen. Tsama agattoemba attepa avujatssi. 
GEN.1.26	Avujatssipa su: “Jinge a'ive agattoeñe. Nane ingi'caeñi agattoeña'cho cuintsu tiseja na'en'su avuma, sefani'su chhiririama, aiña'cho vaura'can'ma'qque mandaye. Nane pa'cco andema, osha'cho andeni manguqque'suma'qque mandaye.”
GEN.1.27	Chigaja tisu'caeñi a'ive agattoen.
GEN.1.27	Nane Chiga'caeñi tsu Chigaja a'ive agattoen.
GEN.1.27	Tsandie, pushesuve tsu a'ive agattoen.
GEN.1.28	Agattoemba tise'pama ñotsse afapa su:
GEN.1.28	“Ñotsse canse'pa atapa'faja cuintsu pa'cco ande on'batssiye.
GEN.1.28	Nane pa'cco andeni can'jemba osha'choma patsupa manda'faja.
GEN.1.28	Na'en'su avu, sefani'su chhiriria, osha'cho andeni canseqque'suma'qque patsupa manda'faja.”
GEN.1.29	Toya'caen tsu Chigaja su: “Que canjan, tayo gi que'inga pa'cco teta'choma afe. Pa'cco tsu tise'pa choma an'bian tsai'ccu atapaye. Poi quini'ccoma'qque tise'pa nanga atapoenqque'su choi'ccu gi tayo afe. Tise'pa najan que'i anqque'su tsu. 
GEN.1.30	Toya'caen poiyi'cco va andeni cansian jincho'chonga gi inzia shoshovima afe tise'pa anqque'suve. Nane sefani'su chhiririanga, andenga manguqque'sunga osha'cho majan qquendya'jeqque'sunga'qque gi inzia shoshovima afe tise'pa anqque'suve.”
GEN.1.30	Tsa'caen susi tsu tsa'caen da. 
GEN.1.31	Chigaja osha'choma attepa avujatssi. Cosepa a'tasi sexto a'ta tsu.
GEN.2.1	Tsa'caen tsu Chigaja pa'cco sefacco andeve'qque agattoemba osha'cho tsani jincho'chove nanitsse agattoen. 
GEN.2.2	Nanimba septimo a'tave dasi tsequi a'ta pa'cco tise sema'bama nanimba ño'fa. 
GEN.2.3	Tsa'camba “Septimo a'taja ña ñotssi a'ta tsu” qquen supa Chigaja “Tsa a'taja sema'ma'quia a'ta tsu” qquen su. Nane tsequi a'ta Chigaja osha'cho agattoen'cho sema'bama nanimba ño'fapa tsa'caen su.
GEN.2.4	Qquen tsu Chiga agattoen'choja, ma'caen tiseja ande sefaccoma'qque agattoen:
GEN.2.4	Na'su Chiga tsa'caen ande, sefaccove'qque agattointeja 
GEN.2.5	toya tsu ande'su te'ta, ande'su shoshovi'qque sho'yombi. Nane Na'su Chiga toya unjima moembisi tsu toya sho'yombi. Toya'caen a'i'qque toya can'jembi andema semañe. 
GEN.2.6	Tsa'ma ccuttopa'si ande'ye sombopa ansundepa surunome dapa pa'cco andema tssipoen. 
GEN.2.7	Tsa'caen tssipoensi Na'su Chigaja andema mandyiccoemba a'ive ñoña. Ñoñamba tsofatunga tise qquendya'pama ufapa tisema qquendyaen. Tsa'caen qquendyaen a'imajan.
GEN.2.8	Tsomba Na'su Chigaja coejechiga sombo'jeni Edén andenga osha'cho ñotssiama jombachoccunga jon. Jomba tseni tsu Tise agattoen'cho a'ima ccutsian. 
GEN.2.9	Tsomba ande'ye Chigaja osha'choma shoyo'yaen. Nane osha'cho ñotsse atteqque'su quini'cco majama ñotssia anqque'suma shoyo'yaen. Toya'caen jombachoccumbe enttingenga tsu tiseja Cansiaña'cho Quini'ccoma sho'yaen. Faesu quini'ccoma'qque tseni sho'yaen. Tsa quini'ccoma an'da majan ñotssia, majan egave atesuya'cho.
GEN.2.10	Edén andene tsu na'enjan sombo jombachoccuma tssipoeñe. Sombopa tsu cuatro na'eme da. 
GEN.2.11	Fae'ccoma tsu Pisónme inisian. Tsaja pa'cco Havila andema shoquendí ja'je'cho. Cori tsu jin tsa andeni. 
GEN.2.12	Tsa corija ñotssi tsu. Toya'caen bedelio patu, ónice patu'qque tseni jin. 
GEN.2.13	Faesu na'emanda tsu Gihónme inisian. Tsaja pa'cco Cus andema shoquendí ja'je'cho. 
