MAT.1.1	Imaicaquea nontioncacoguequeroqueate ipajiguetagueti paesatinipaequitica choviquijianaquerica Jesoquirishito, ichoviquini Taavini aisa ichoviquini Averaameni.
MAT.1.2	Iriraquea Averaameni irijanincari Ishaaco.
MAT.1.2	Irira Ishaaconi irijanincari Jacovo.
MAT.1.2	Irira Jacovoni irijanincari Joraa aisa iriguentijeguijiate.
MAT.1.3	Irira Joraani yoacaaquero Tamare, irijanintacari Parese aisa Tsara.
MAT.1.3	Irira Pareseni irijanincari Eserome.
MAT.1.3	Irira Eseromeni irijanincari Arame.
MAT.1.4	Irira Arameni irijanincari Aminaravo.
MAT.1.4	Irira Aminaravoni irijanincari Naasone.
MAT.1.4	Irira Naasoneni irijanincari Saramoni.
MAT.1.5	Irira Saramonini irijanincari Voose. Oratica iriniro opajita Iraava.
MAT.1.5	Irira Vooseni irijanincari Overi. Oratica iriniro opajita Iroti.
MAT.1.5	Irira Overini irijanincari Isai.
MAT.1.6	Irira Isaini irijanincari majirontatsica Taavi.
MAT.1.6	Irira majirontatsica Taavini irijanincari Saromoni. Oratica iriniro Saromonini iroguenti imanquigavetanica Oriashi.
MAT.1.7	Irira Saromonini irijanincari Irovoame.
MAT.1.7	Irira Irovoameni irijanincari Aviashi.
MAT.1.7	Irira Aviashini irijanincari Asa.
MAT.1.8	Irira Asani irijanincari Josapate.
MAT.1.8	Irira Josapateni irijanincari Jorame.
MAT.1.8	Irira Jorameni ichoviquivaetanaqueri Oshiashi.
MAT.1.9	Irira Oshiashini irijanincari Jotame.
MAT.1.9	Irira Jotameni irijanincari Acashi.
MAT.1.9	Irira Acashini irijanincari Esequia.
MAT.1.10	Irira Esequiani irijanincari Manaseshi.
MAT.1.10	Irira Manaseshini irijanincari Amoni.
MAT.1.10	Irira Amonini irijanincari Joshiashi.
MAT.1.11	Irira Joshiashini ichoviquivaetanaqueri Jeconiashi
MAT.1.12	Iroompa iriraquea Jeconiashini irijanincari Saratieri.
MAT.1.12	Irira Saratierini ichoviquivaetanaqueri Sorovaveri.
MAT.1.13	Irira Sorovaverini irijanincari Aviote.
MAT.1.13	Irira Avioteni irijanincari Eriaquime.
MAT.1.13	Irira Eriaquimeni irijanincari Asoro.
MAT.1.14	Irira Asoroni irijanincari Saroco.
MAT.1.14	Irira Saroconi irijanincari Aquimo.
MAT.1.14	Irira Aquimoni irijanincari Eriote.
MAT.1.15	Irira Erioteni irijanincari Eriasare.
MAT.1.15	Irira Eriasareni irijanincari Matani.
MAT.1.15	Irira Matanini irijanincari Jacovo.
MAT.1.16	Irira Jacovoni irijanincari Jose manquigataroca Maria. Iroatimpa iroguenti iriniro Jesoshi icantajiqueca aisa Quirishito.
MAT.1.17	Maasano tioncacojianquitsica ipajiguetagueti ocaniqui icaravaeque 14 ipariapanajanta ichoocaquegueti Averaameni yarejevaecaroquea ichoocaquegueti Taavini. Ariquea iquempejiaca aisa icarajiaque 14 maasano tioncacojianquitsica ipajiguetagueti ipariapanajantaroquea ichoocaquegueti Taavini icaravaeque yaajitanaquerigueti Vavironiaqui. Iroompaquea ari iquempejiaca aisa icarajiaque 14 maasano tioncacojianquitsica ipajiguetagueti ipariapanajantaroquea yaajitanaquerigueti Vavironiaqui icaravaeque ichoocaquegueti Quirishito.
MAT.1.18	Imaicaquea nontsavetacotantaqueriqueate Jesoquirishito queroca ocotacani iroaqueragueti ivoaquegueti. Coramaniquea ochoocaque manquigarentsi pajitatsica Maria. Iriguentiquea cashiacaro shirampari pajitatsica Jose. Iroompaquea tequeratatirajatari quisho irogueroji ichoocatashica irijanite, iriguentiquea choocatacaaqueri Ishire Aapani Irioshi. 
MAT.1.19	Iriraquea Jose inintaveca irovashiantajerome, iriguentiquea comajamajatanquitsica, cotanquitsiquea ipintsatacocaroquea jero teeca irinintantempaji inquenquetsatacoqueroquea iroguipashiventajaquero, manaqueate iquenquejavetanacaquea irovashiantashitajemparo intati, aatoqueate icanti taa opajita irovashiantantanajemparoca. 
