GEN.1.1	Soo 'udechoo whe'whudit'en whe Yak'usda (Elohim)
GEN.1.2	Yun, ba ndo hoonli lhiloh 'ink'ez 'aw ook'ut 'et hooloh inle', yatoo k'ut tsaholhgus za hoonli inle'. Yak'usda (Elohim) ooyughi too k'ut nudults'ut.
GEN.1.3	'Et Yak'usda (Elohim) 'en 'utni, “'Et njan be hoot'en-i hole'.” 'Et hoot'en whuzdli'.
GEN.1.4	'Ink'ez Yak'usda (Elohim) be hoot'en-i yunilh'en, unzoo whe 'unt'oh 'ink'ez be hoot'en-i 'ink'ez tsaholhgus bulh lhulcho 'uyinla.
GEN.1.5	Yak'usda (Elohim) ndi be hoot'en 'i dzin yulhni, 'ink'ez ndi tsalhgus, 'i 'ulhdzis yulhni, 'et whe hulhgha 'ink'ez bundada' 'et soo 'udechoo dzin whuzdli'.
GEN.1.6	'Et Yak'usda (Elohim) ndutni, “Too toh yat hole' 'ink'ez ndo whutoo' 'ink'ez yun k'ut too cha lhulcho oole'.”
GEN.1.7	'Et Yak'usda (Elohim) yat 'uhoonla, 'ink'ez ndi too lhk'eyalhdzo njan too 'ink'ez ndo yat cha, 'et ndúhooja.
GEN.1.8	'Ink'ez Yak'usda (Elohim) ndo yat 'et yak'uz whulhni. 'Et hulhgha 'ink'ez bundada' 'et whulh nat dzin whuzdli'.
GEN.1.9	'Et Yak'usda (Elohim) 'utni, “Ndi too yak'uz ba nyo 'i 'ilho oole', 'ink'ez 'et yun dizgi hahoolts'it.” 'Et nduhóoja.
GEN.1.10	'Ink'ez Yak'usda (Elohim) ndi yun dizgi 'i yun k'ut whulhni, 'ink'ez ndi too 'ilhoh nedimbun 'i yatoo' yulhni. 'Et Yak'usda (Elohim) ooba hoonzoo.
GEN.1.11	'Et Yak'usda (Elohim) 'utni, “Ndi yun k'ut 'et tl'o, ndai 'ut'an hanuyeh ootse whulih. Mai chun oomai' whulih ts'iyawh dich'oh ooch'e' nawhudlih, 'i oole',” ni 'et whe nduhóoja.
GEN.1.12	'Et ndi yun k'ut tl'o, ndai 'ut'an hanuyeh ootse whulih whuk'un'a, 'ink'ez mai chun oomai' whulih ts'iyawh dich'oh ootse nawhudlih. 'Et Yak'usda (Elohim) ooba hoonzoo.
GEN.1.13	'Et hulhgha 'ink'ez bundada' 'et whulh tat dzin.
GEN.1.14	'Et Yak'usda (Elohim) 'utni, “Ndo yak'uz hoot'en oole', 'i be lhulhcho lhts'e hozit whe dzin 'ink'ez 'ulhdzis, 'i be nts'oh hoozulh, dzin 'ink'ez naoodizulh 'et cha.
GEN.1.15	'Ink'ez 'et ndi yak'uz be hoot'en, 'i yun k'ut be hoot'en oole',” 'et nduhóoja.
GEN.1.16	'Et Yak'usda (Elohim) 'en nanki be hoot'en-i cho whulhtsi. 'Et ndi tube be hoot'en-i, 'i dzin huba suli' 'ink'ez dzohyaz be hoot'en-i, 'i 'ulhdzis huba suli'. 'Ink'ez ndi sum 'i cha 'uyinla.
