MAT.1.1	Chitabu cha welesi wa Yesu Chilisito, mzukulu wa Daudi, mzukulu wa Bulahimu.
MAT.1.2	Bulahimu kamweleka Isaka, Isaka kamweleka Yakobo, Yakobo kamweleka Yuda, na wandugu zake. 
MAT.1.3	Yuda kamweleka Pelesi na Zela, mami yawo yotangigwa Tamali, Pelesi kamweleka Esilomu, Esilomu kamweleka Alamu, 
MAT.1.4	Alamu kamweleka Aminadabu, Aminadabu kamweleka Nashoni, Nashoni kamweleka Salimoni, 
MAT.1.5	Salimoni kamweleka Boazi mami yake Boazi yotangigwa Lahabu, Boazi kamweleka Obedi mami yake Obedi yotangigwa Lusu, Obedi kamweleka Yese,
MAT.1.6	Yese kamweleka Mfalume Daudi, Mfalume Daudi kamweleka Solomoni, mami yake niiyo yoyakalile muke wa Uliya. 
MAT.1.7	Solomoni kamweleka Lehoboamu, Lehoboamu kamweleka Abiya, Abiya kamweleka Asa. 
MAT.1.8	Asa kamweleka Yehoshafati, Yehoshafati kamweleka Yolamu, na Yolamu kamweleka Uzia, 
MAT.1.9	Uzia kamweleka Yoshamu, Yoshamu kamweleka Ahazi, Ahazi kamweleka Hezekiya. 
MAT.1.10	Hezekia kamweleka Manase, Manase kamweleka Amoni, Amoni kamweleka Yosia. 
MAT.1.11	Yosia kamweleka Yekoniya, na wawo wandugu zake viikalile uhami wa kugaligwa kwiisi itangigwe Babeli.
MAT.1.12	Viumalile uhami wa Babeli, Yekonia kamweleka Shealitieli, Shealitieli kamweleka Zelubabeli. 
MAT.1.13	Zelubabeli kamweleka Abihudi, Abihudi kamweleka Eliyakimu, Eliyakimu kamweleka Azoli, 
MAT.1.14	Azoli kamweleka Sadoki, Sadoki kamweleka Akimu, Akimu kamweleka Eliudi. 
MAT.1.15	Eliudi kamweleka Eliyazali, Eliyazali kamweleka Matani, Matani kamweleka Yakobo, 
MAT.1.16	Yakobo kamweleka Yosefu, mmhale wa Maliya, mami yake Yesu yoyatangigwe Chilisito Mkombola.
MAT.1.17	Zikala nyelesi longo na nne kulawa Bulahimu mbaka viifikile Daudi, welesi longo na nne kulawa Daudi mbaka uhami wa Babeli, na welesi longo na nne kulawa uhami wa Babeli mbaka viifikile kwelekigwa kwa Chilisito.
MAT.1.18	Kwelekigwa kwake Yesu Chilisito Mulopozi kukala vino, Maliya mami yake viyakalile yafudikiligwe na Yosefu, wang'hali hawanaibandama, Maliya kawonigwa kana wimo kwa udahi wa Muhe Yelile. 
MAT.1.19	Kwaviya Yosefu mwenyewo kakala munhu goya, mbali halondile bule kumwing'ha chinyala Maliya muumwingi, ivo kalamula kuubena ufudikilwa chinyelenyele. 
MAT.1.20	Viyakalile yogesa yayo, msenga wa kuulanga wa Mndewa kamulawilila muna zinzozi, kamulongela, “Weye Yosefu, welesi wa Daudi, sekeudumbe kumsola Maliya yawe muke wako. Kwaviya kana wimo kwa Muhe Yelile, 
MAT.1.21	nayo kezaibasula mwana wa chilume. Na weye kwizamtanga zina jake Yesu, kwaviya kezawalopola wanhu kulawa muna uuhasanyi.”
MAT.1.22	Yayo yose yalawilila yapate kufika yaja yalongigwe na Mndewa kufosela mulotezi wake kuwa kweli.
MAT.1.23	“Lola, mhambe kezakuwa na wimo,
MAT.1.23	nayo kezaibasula na mwana wa chilume,
MAT.1.23	na mwana iyo kezatangigwa Imanueli,” fambulo jake, “Mulungu kahamwe na cheye.”
MAT.1.24	Yosefu viyalamuke muna zinhongo, kamsola Maliya fana viya msenga wa kuulanga wa Mndewa viyamulongele yatende. 
MAT.1.25	Mbali hawaibandame bule mbaka Maliya viyaibasule mwana wa chilume. Na Yosefu kamwing'ha zina Yesu.
MAT.2.1	Yesu kavumbuka muna dibululu da Betelehemu muna isi ya Yudeya, chipindi Helode viyakalile mfalume. Lusita ulo nyamiloto wa nhondo wafika Yelusalemu kulawa ulawilo wa zuwa, 
MAT.2.2	wauza, “Kakulihi mwana wa chilume yelekwe yondayawe mfalume wa Wayahudi? Kwaviya chiiwona nhondo yake ima ubanzi wa ulawilo wa zuwa, na cheye chiza kumtosela.”
MAT.2.3	Mfalume Helode viyahulike ivo, kengilwa na luholozi hamwe na wanhu wose wa Yelusalemu. 
MAT.2.4	Kawatanga hamwe wakulu wa nhambiko na wafundiza Malagilizo, kawauza, “Vino Chilisito Mkombola kezakwelekigwa kulihi?”
MAT.2.5	Wamwidika, “Betelehemu muna isi ya Yudeya. Kwaviya niivo viyandikigwe na mulotezi wa Mulungu.
MAT.2.6	‘Weye Betelehemu uli muna isi ya Yudeya,
MAT.2.6	huli mdodo bule muna iwalangulizi wa Yuda.
MAT.2.6	Kwaviya kezalawa munhu yondayawadime wanhu wangu wa Isilaeli.’ ”
MAT.2.7	Maabaho Helode kawatanga waja nyamiloto wa nhondo chinyelenyele waiting'hane, kalonda yavimanye siku nhondo ija viiwalawilile. 
MAT.2.8	Kawatuma Betelehemu, kawalongela, “Hiteni mukamzahile imwana vinogile. Muhamvika, izoni munilongele muladi na niye nimtosele.”
MAT.2.9	Nawo viwakomeleze kumtegeleza mfalume, wasegela, na nhondo yowaiwone ubanzi wa ulawilo wa zuwa iwalongolela mbaka viimile uchanyha ya hanhu hayelekigwe imwana ija. 
MAT.2.10	Viwaiwone inhondo iyo, wadeng'helela ng'hani. 
