MAT.1.1	LLYVER 
MAT.1.2	Abraham a 
MAT.1.3	Ac Iudas a genetloedd Phares, a’ Zara o Thamar. A’ Phares a genetlawdd Esrom. Ac Esrom a genetlawdd Aram. 
MAT.1.4	Ac Aram a genetlodd Aminadab. Ac Aminadab a genetlodd Naasson. A’ Naasson a genetlawdd Salmon. 
MAT.1.5	A’ Salmon a genetlodd Booz o Rachab. A’ Booz a genetlawdd Obed o Ruth. Ac Obed a genetlawdd Iesse. 
MAT.1.6	Ac Iesse a genetlawdd Dauid Vrenhin. A’ Dauid Vrenhin a genetlawdd 
MAT.1.7	A’ Solomon a genetlawdd Roboam. A’ Roboam a genetlodd Abia. Ac Abia a genetloedd Asa. 
MAT.1.8	Ac Asa a genetlawdd Iosaphat. Ac Iosaphat a genetlawdd Ioram. Ac Ioram a genetlawdd Ozias. 
MAT.1.9	Ac Ozias a genetlawdd Ioatham. Ac Ioatham a genetlawdd Achaz. Ac Achaz a genetlawdd Ezecias. 
MAT.1.10	Ac Ezecias a genetlawdd Manasses. A’ Manasses a genetlawdd Amon. Ac Amon a genetlawdd Iosias. 
MAT.1.11	Ac Iosias a genetlawdd Iacim. Ac Iacim a genetlawdd Iechonias, a’ ei vroder yn‐cylch amser ei 
MAT.1.12	Ac yn ol ei treiglo hwy i Vabylon, Iechonias a genetloedd Salathiel. A’ Salathiel a genetlawdd Zorababel. 
MAT.1.13	A’ Zorobabel a genetlawdd Abiud. Ac Abiud a genetlawdd Eliacim. Ac Eliacim a genetlawdd Azor. 
MAT.1.14	Ac Azor a genetlawdd Sadoc. A’ Sadoc a genetloedd Achim. Ac Achim a genetlawdd Eliud. 
MAT.1.15	Ac Eliud a genetlawdd Eleazar. Ac Eleazar a genetlawdd Matthan. A’ Matthan a genetlawdd 
MAT.1.16	Ac Iacob a genetlawdd Ioseph, gwr Mair, o’r hon y ganet Iesu yr hwn a elwir Christ. 
MAT.1.17	A’r oll 
MAT.1.18	A’ genedigaeth Iesu Christ oedd val hyn, wedy dyweddio Mair ei vam ac Ioseph, cyn na ei dyvot wy ynghyt, hi a gahat yn veichioc o’r Yspryt glan. 
MAT.1.19	Ac Ioseph y gwr hi can ei vot yn gyfion, ac nad ewyllysei y 
MAT.1.20	A’ thra ytoedd ef yn bwriady hynn, 
MAT.1.21	A’ hi a 
MAT.1.22	A’ hyn oll a wnaethpwyt er cyflawny, yr hyn addywetpwyt gan yr Arglwydd twy’r Propwyt, can ddywedyt, 
MAT.1.23	Nycha, 
MAT.1.24	Ac Ioseph, pan 
MAT.1.25	Ac nyd adnabu, ef yhi, yd pan escorawdd hi ar hei map 
MAT.2.1	YNO pan anet yr Iesu ym Beth‐lehem 
MAT.2.2	can ddywedyt, P’le mae Brenhin yr Iuddeon y aned? can ys gwelsam y seren ef yn y Dwyrain, a’ daetham y addoly ef. 
MAT.2.3	Pan glywodd Herod vrenhin 
MAT.2.4	Ac ef a alwodd ynghyt yr oll archoffeiriait, ac 
MAT.2.5	Ac wynt a ddywedysont wrthaw, Ym Beth‐lem 
MAT.2.6	Tithae Beth‐lem yn tir Iudah nid y lleiaf wyt ymplith Tywysogion Iudah: can ys o hanat ti y daw y tywysawc a byrth vy‐popul Israel. 
MAT.2.7	Yno Herod 
MAT.2.8	ac ef y danvones wynt i Veth‐lehem, can ddywedyt, Ewch, ac ymovynwch yn ddiyscaelus am y map‐bychan, a gwedy ychwi y gaffael ef, manegwch i mi drachefyn, mal y gallwyf vinae ddyvot a’i addoli ef. 
MAT.2.9	A’ gwedy yddynt glywet y Brenhin, wy a ymadawsont: 
MAT.2.10	A’ phan welsant y seren, llawenhay a wnethan a llawenydd mawr dros pen, 
MAT.2.11	ac aethont ir tuy, ac a gawsont y dyn‐bychan gyd a Mair ei vam, ac a gwympesont ir llawr, ac y addolesont ef, ac a egoresont ei tresawr, ac a offrymesont iddaw anregion, ysef aur, a’ 
MAT.2.12	A’ gwedy y rhubyddio wy can Dduw trwy hun, nad 
MAT.2.12	Yr Euangel ar ddiegwyl y meibion gwirion.
MAT.2.13	¶ A’ gwedy yddynt ymado, wely Angel yr Arglwydd a ymddangosodd i Ioseph trwy 
MAT.2.14	Ac ef pan gyvodawdd, a gymerth y Map, aei vam 
MAT.2.15	ac yno y bu, hyd varwolaeth Herod, 
MAT.2.16	Yno Herod, pan weles ei 
MAT.2.17	Yno y cyflawnwyt yr hynn a ddywetsit can Ieremias y Prophwyt, gan ddywedyt, 
MAT.2.18	Llef a glywet yn Rhama, galar, ac wylofain 
MAT.2.19	Yno gwedy marw Herod, wele, Angel yr Arglwydd a ymddangoses i Ioseph trwy hun yn yr 
MAT.2.20	can ddywedyt, Cyvot, a’ chymer y bachcen ai vam, a’ dos i dir Israel: can varw yr ei oedd yn caisiaw 
MAT.2.21	A’ gwedy iddo 
MAT.2.22	Eithyr pan glybu af vot Archilaus yn gwladychy yn Iudea yn lle ei dat Herod, e ofnodd vyned ynow: anid gwedy ei rybyddyo gan Dduw trwy 
MAT.2.23	ac aeth ac a drigawdd mewn dinas a elwit Nazaret, 
MAT.3.1	AC yn y dyddiae hyny, y daeth Ioan Vatyddiwr ac a precethawdd yn‐diffaith Iudaea, 
MAT.3.2	ac a ddyvot, Edifarewch: can vot teyrnas nef yn gyfagos. 
MAT.3.3	Can ys hwn yw ef am bwy vn y dywetwyt gan y Prophwyt Esaias, gan ddywedyt, Llef 
MAT.3.4	A’r Ioan hwnaw oedd ai ddillat o vlew camel, a gwregis o groen yn‐cylch ei 
MAT.3.5	Yno ydd aeth allan atto Gaerusalem ac oll Iudaea, a’r oll wlat 
MAT.3.6	Ac ei batyddiwyt wy ganthaw yn Iorddonen, gan 
MAT.3.7	A’ phan welawdd ef lawer o’r Pharisaiait ac or Sadduceit yn dywot y’w vetydd ef, y dyvot wrthynt, A genedleth 
MAT.3.8	Can hynny dygwch ffrwythae teilwng i 
MAT.3.9	Ac na veddyliwch ddywedyt ynoch eich unain, Y mae genym ni Abraham yn dat i ni: can ys dyweddaf ychwi, y 
MAT.3.10	Ac yr awrhon hefyt y gosodwyt y vwyall ar wreiddyn y preniae: can hyny pop pren, ar ny ddwc ffrwyth da, a 
MAT.3.11	Myvi yn ddiau ach betyddiaf a dwfyr er 
MAT.3.12	Yr hwn ’sydd aei 
MAT.3.13	¶ Yno y daeth yr Iesu o’r Galilaea i Iorddanen at Ioan, yw vetyddio y ganthaw. 
MAT.3.14	Eithr Ioan y 
MAT.3.15	Yno ’r Iesu gan atep, a ddyvot wrthaw, Gad yr awrhon: can val hyn y gwedda y ni gyflawni pop cyfiawnder. Yno y gadawodd yddaw. 
MAT.3.16	A’r Iesu wedi ei vetyddio, a ddaeth yn y van i vyny
MAT.3.17	A’ nycha, llef o’r nefoedd yn dywedyt, Hwn yw vy caredic Vap, yn yr hwn im boddlonir.
MAT.4.1	YNO yr aethpwyt a’r Iesu i vyny ir 
MAT.4.2	A gwedy iddaw 
MAT.4.3	Yno y daeth y 
MAT.4.4	Ac yntef atepawdd ac a ddyuod, Mae yn escrivenedic, Nid 
MAT.4.5	Yno y cymerth diavol ef ir dinas sanctaidd, ac ei gossodes ar binnacul y templ, 
MAT.4.6	ac addyvot wrthaw, A’s Map Duw wyt, bwrw dy hun i lawr: can ys yscrivenedic yw, Y rhydd ef orchymyn yw Angelion am danat, ac wy ath 
MAT.4.7	Yr Iesu a ddyvot wrthaw, Y mae yn escrivenedic trachefyn, Na themptia yr Arglwydd dy Dduw. 
MAT.4.8	Trachefyn y cymerth diavol ef i vynyth tra vchel, ac a ddangosodd iddaw oll deyrnasoedd y byt, a’ ei gogoniant, 
MAT.4.9	ac a ddyvot wrthaw, Hynn oll a roddaf y ty, a’s cwympy i lawr, a’m addoli i. 
MAT.4.10	Yno y dyvot yr Iesu wrthaw, 
MAT.4.11	Yno y gadawdd diavol ef: 
MAT.4.12	A’ phan glybu ’r Iesu 
MAT.4.13	ac a adawodd Nazaret, ac aeth ac a drigodd yn‐Capernaum, yr hon ’sydd wrth y mor yn cyffinydd Zabulon a’ Nephthalim: 
MAT.4.14	yn y chyflawnit hyn a ddywetpwyt trwy Esaias brophwyt, gan ddywedyt, 
MAT.4.15	Tir Zabulon, a’ thir Nephthalim 
MAT.4.16	Y popul a oedd yn eistedd yn‐tywyllwch, a welawdd oleuni mawr: ac ir ei a eisteddent 
MAT.4.17	O’r pryd hyny y dechreuawdd yr Iesu precethy, a dywedyt, Gwellewch eich bychedd: erwydd bot teyrnas nefoedd yn 
MAT.4.18	Mal ydd oedd yr Iesu yn rhodiaw wrth vor Galilea, e ganvu ddau vroder, Simon, yr hwn a elwir Petr, ac Andreas ei vrawt, yn bwrw rhwyt i’r mor (can ys pyscotwyr oeddent) 
MAT.4.19	ac ef a ddyvot wrthwynt, 
MAT.4.20	Ac wy yn y van gan ady y rhwytae, y dilynesont ef. 
MAT.4.21	A gwedy y vynet ef o ddynaw, ef a welawdd ddau vroder ereill, Iaco 
MAT.4.22	Ac wy eb ohir gan adael y llong a’ ei tat, y 
MAT.4.23	Ac yno ydd aeth yr Iesu o amgylch oll Galilaea, gan 
MAT.4.24	Ac aeth 
MAT.4.25	Ac y canlynawdd ef dyrva vawr o Galilea, ac 
MAT.5.1	A’PHAN welawdd 
MAT.5.2	Ac ef agorawdd ei enae ac ei dyscawdd can ddywedyt, 
MAT.5.3	Gwyn ei byt y tlotion yn yspryt: can ys eiddynt teyrnas nefoedd. 
MAT.5.4	Gwyn ei byt yr ei galarus, can ys wynt a ddiddenir. 
MAT.5.5	Gwyn ei byt yr ei 
MAT.5.6	Gwyn ei byt yr ei ’sy arnwynt newyn a’ sychet am gyfionder: canys wy a 
MAT.5.7	Gwyn ei byt y trugarogion: can ys trugaredd a gaffant. 
MAT.5.8	Gwyn ei byt yr ei glan o galon: canys wy a welant Dduw. 
MAT.5.9	Gwyn ei byt yr ei tangneddefus: cans wy a elwir yn plant Duw. 
MAT.5.10	Gwyn ei byt yr ei a erlidir er mewn 
MAT.5.11	Gwyn eich byt pan ich 
MAT.5.12	Byddwch lawen a’ hyfryd, can ys mawr yw eich cyfloc yn y nevoedd: erwydd velly yr erlidiesont wy ’r Prophwyti yr ei vu o’ch blaen 
MAT.5.13	Chwychwi yw halen y ddayar: eithyr a chollawdd yr halen ei vlas, a pha peth yr helltire? Ny 
MAT.5.14	Chwychwi yw golauni ’r byd. Dinas a osodir ar 
MAT.5.15	Ac 
MAT.5.16	Llewyrchet velly eich goleuni garbron dynion, 
MAT.5.17	Na thybiwch vy‐dewot i y ddistrywo ’r 
MAT.5.18	Canys yn wir y dywedaf y chwi, Yn y ddarvo nef a’ dayar, ny 
MAT.5.19	Pwy pynac can hynny a doro ’r vn o’r gorchymynion lleiaf hyn, ac a ddysc ddynion velly, lleiaf y gelwir ef yn teyrnas nef: An’d pwy pynac a 
MAT.5.20	Can ys‐dywedaf ychwi, any bydd eich cyfiawnder yn ehelaethach na 
MAT.5.20	Yr Euangel y vi. Sul gwedy Trintot.
MAT.5.21	Clywsoch val y dywetpwyt wrth yr ei gynt, Na ladd: canys pwy pynac a ladd, euoc vydd o varn. 
MAT.5.22	Eithyr mi a ddywedaf wrthych, mae pwy pynac a ddigia wrth ei vrawt 
MAT.5.23	A’ chan hyny a’s dugy dy rodd i’r allor, ac ynow dyvot ith cof, vot gan dy vrawt ddim yn dy erbyn, 
MAT.5.24	gad yno dy offrwm geyr bron yr allor, a’ does ymaith: yn cyntaf 
MAT.5.25	Cytuna ath wrthnepwr yn gyflym, tra vych ar y ffordd gyd ac ef, rac ith wrthnepwr dy roi yn llaw’r 
MAT.5.26	Yn wir y doedaf yti, na ddauy allan o ddynow 
MAT.5.27	¶ 
MAT.5.28	Eithyr myvi a ddywedaf, ychwy, mai pwypynac a edrych ar wreic y’w chwenychy hi, e wnaeth eisioes odinep ac yhi yn ei galon. 
MAT.5.29	Can hynny a’s dy lygat deheu ath rwystra, tyn ef allan, a’ thavl ywrthyt: can 
MAT.5.30	Hefeit a’s dy law ddeheu ath rwystra, tor hi 
MAT.5.31	E a dywetpwyt hefyt, Pwy pynac a 
MAT.5.32	An’d myvi a ddywedaf ychwi, may pwy pynac a vaddeuo ei wraic (
MAT.5.33	Trachefyn, 
MAT.5.34	An’d mi a dywedaf y chwi, Na thwng 
MAT.5.35	nag 
MAT.5.36	Ac na thyng ith pen, can na elly wneythy ’r blewyn gwyn na duy. 
MAT.5.37	Eithyr 
MAT.5.38	Clywsoch mal y dywetpwyt, Llygat 
MAT.5.39	Eithyr mi‐a ddywedaf ychwi, Na 
MAT.5.40	Ac a’s 
MAT.5.41	A’ phwy pynac ath cympello 
MAT.5.42	Dyro i hwn a 
MAT.5.43	Ys clywsoch ddarvot dywedyt, 
MAT.5.44	Eithyr mi a ddywedaf y chwi, Cerwch eich gelynion: bendithiwch yr ei a’ch melltithiant: gwnewch dda ir sawl ach casaant, a’ gweddiwch dros yr ei a wnel 
MAT.5.45	yn y vyddoch blant i’ch Tad yr hwn ys y’n y nefoedd: can ys y mae ef yn peri yw haul godi ar yr ei drwc, a’r da, ac yn glawio ar y cyfiawnion a’r anghyfiawnion, 
MAT.5.46	O bleit a cherwch y sawl, ach caro, pa 
MAT.5.47	Ac a’s 
MAT.5.48	Byddwch chwi gan hyny yn perfeithion, val y mae eich Tad ysy yn y nefoedd, yn perfeith.
MAT.6.2	Erwydd paam pan roddych 
MAT.6.3	Eithyr pan wneych ti dy aluseni, na wypo dy law aswy pa 
MAT.6.4	yn y bo dy aluseni yn y 
MAT.6.5	A’ phan weddiych
MAT.6.6	Ti
MAT.6.7	Hefyt pan weddioch, na vyddwch 
MAT.6.8	Am hynny na thybygwch yddynt wy: can ys‐gwyr eich Tat, pa bethae ys ydd arnoch ey eisiae, cyn erchi o hanoch arno. 
MAT.6.9	Erwydd hyny gweddiwch chwi val hyn. Ein Tad yr hwn wyt yn y nefoedd, santeiddier dy Enw. 
MAT.6.10	Dauet dy deyrnas. Byddet dy ewyllys ys ar y ddaiar megis yn y nefoedd. 
MAT.6.11	Dyro y ni heddyw ein bara beunyddiol. 
MAT.6.12	A’ maddae i ni ein dledion, mal y maddeu ni
MAT.6.13	Ac na
MAT.6.14	O bleit a’s maddeuwch i ddynion ei 
MAT.6.15	Eithyr a ny uaddeuoch i ddynion ei sarhaedae, ac ny vadae eich Tad 
MAT.6.15	Yr Euangel y dydd cyntaf or Grawys.
MAT.6.16	¶ Hefyt pan vmprytioch, na vyddwch 
MAT.6.17	Eithr pan vmprytych ty, iir dy benn, a golch dy wynep, 
MAT.6.18	rac ymdangos i ddynion dy vot yn vmprytiaw, anid ith dat yr hwn ys yd yn y 
MAT.6.19	¶ Na chesclwch dresore y chwy ar y ddaear, lle mae yr 
MAT.6.20	Eithyr cesclwch yw’ ch tresore yn y nef, lle ny’s 
MAT.6.21	Can ys lle 
MAT.6.22	¶ 
MAT.6.23	Eithyr a’s bydd dy 
MAT.6.23	Yr Euangel y xv. Sul gvvedi Trintot.
MAT.6.24	¶ Ny ddychon 
MAT.6.25	Can hynny y dywedaf yw’ch, na ovelwch am eich 
MAT.6.26	Edrychwch ar 
MAT.6.27	A’ phwy o hanoch cyd govalo, a ddychon angwanegy vn cuvydd at ei 
MAT.6.28	A’ pha am y 
