GEN.1.1	Ar y dechrau cyntaf, dyma Duw yn creu y bydysawd a'r ddaear. 
GEN.1.2	Roedd y ddaear yn anhrefn gwag, ac roedd hi'n hollol dywyll dros y dŵr dwfn. Ond roedd Ysbryd Duw yn hofran dros wyneb y dŵr. 
GEN.1.3	A dwedodd Duw, “Dw i eisiau golau!” a daeth golau i fod. 
GEN.1.4	Roedd Duw yn gweld bod hyn yn dda, a dyma Duw yn gwahanu'r golau oddi wrth y tywyllwch. 
GEN.1.5	Rhoddodd Duw yr enw ‛dydd‛ i'r golau a'r enw ‛nos‛ i'r tywyllwch, ac roedd nos a dydd ar y diwrnod cyntaf.
GEN.1.6	Wedyn dwedodd Duw, “Dw i eisiau cromen o aer rhwng y dyfroedd, i wahanu'r dŵr yn ddau.” 
GEN.1.7	A dyna ddigwyddodd. Gwnaeth Duw gromen o aer, ac roedd yn gwahanu'r dŵr oddi tani oddi wrth y dŵr uwch ei phen. 
GEN.1.8	Rhoddodd Duw yr enw ‛awyr‛ iddi, ac roedd nos a dydd ar yr ail ddiwrnod.
GEN.1.9	Dwedodd Duw, “Dw i eisiau i'r dŵr sydd dan yr awyr gasglu i un lle, er mwyn i ddaear sych ddod i'r golwg.” A dyna ddigwyddodd. 
GEN.1.10	Rhoddodd Duw yr enw ‛tir‛ i'r ddaear, a ‛moroedd‛ i'r dŵr. Roedd Duw yn gweld bod hyn yn dda.
GEN.1.11	Yna dwedodd Duw, “Dw i eisiau i laswellt dyfu o'r tir, a phob math o blanhigion sydd â hadau ynddyn nhw, a choed ffrwythau. Bydd yr hadau ynddyn nhw yn gwneud i fwy a mwy o'r planhigion gwahanol hynny dyfu.” A dyna ddigwyddodd. 
GEN.1.12	Roedd y tir wedi'i orchuddio â glaswellt a phlanhigion a choed o bob math, a'u hadau eu hunain ynddyn nhw. Roedd Duw yn gweld bod hyn yn dda, 
GEN.1.13	ac roedd nos a dydd ar y trydydd diwrnod.
GEN.1.14	Dwedodd Duw, “Dw i eisiau goleuadau yn yr awyr i wahanu'r dydd a'r nos. Byddan nhw hefyd yn arwyddion i fesur y tymhorau, y dyddiau a'r blynyddoedd. 
GEN.1.15	Byddan nhw'n goleuo'r ddaear o'r awyr.” A dyna ddigwyddodd. 
GEN.1.16	Gwnaeth Duw ddau olau mawr – yr haul a'r lleuad. Roedd yr un mwya disglair, sef yr haul, i reoli'r dydd, a'r golau lleia, sef y lleuad, i reoli'r nos. Gwnaeth Duw y sêr hefyd. 
GEN.1.17	Gosododd nhw i gyd yn yr awyr i oleuo'r ddaear, 
GEN.1.18	i reoli dydd a nos, ac i wahanu'r golau oddi wrth y tywyllwch. Roedd Duw yn gweld bod hyn yn dda, 
GEN.1.19	ac roedd nos a dydd ar y pedwerydd diwrnod.
GEN.1.20	Dwedodd Duw, “Dw i eisiau i'r dyfroedd fod yn orlawn o bysgod a chreaduriaid byw eraill, a dw i eisiau i adar hedfan yn ôl ac ymlaen yn yr awyr uwchben y ddaear.” 
GEN.1.21	Felly dyma Duw yn creu y creaduriaid enfawr sydd yn y môr, a'r holl bethau byw eraill sydd ynddo, a'r holl wahanol fathau o adar hefyd. Roedd Duw yn gweld bod hyn yn dda. 
GEN.1.22	A dyma Duw yn eu bendithio nhw, a dweud, “Dw i eisiau i chi gael haid o rai bach, nes eich bod chi'n llenwi'r dŵr sydd yn y môr, a dw i eisiau llawer o adar ar y ddaear.” 
GEN.1.23	Ac roedd nos a dydd ar y pumed diwrnod.
GEN.1.24	Dwedodd Duw, “Dw i eisiau i greaduriaid byw o bob math lenwi'r ddaear: anifeiliaid, ymlusgiaid a phryfed, a bywyd gwyllt o bob math.” A dyna ddigwyddodd. 
GEN.1.25	Gwnaeth Duw bob math o greaduriaid gwyllt, pob math o anifeiliaid, ac ymlusgiaid a phryfed gwahanol i fyw ar y ddaear. Roedd Duw yn gweld bod hyn yn dda.
GEN.1.26	Yna dwedodd Duw, “Gadewch i ni wneud pobl yn ddelw ohonon ni'n hunain, i fod yn debyg i ni; i fod yn feistri sy'n gofalu am bopeth – y pysgod yn y môr, yr adar yn yr awyr, yr anifeiliaid, y ddaear gyfan a'r holl greaduriaid a phryfed sy'n byw arni.”
GEN.1.27	Felly dyma Duw yn creu pobl ar ei ddelw ei hun.
GEN.1.27	Yn ddelw ohono'i hun y creodd nhw.
GEN.1.27	Creodd nhw yn wryw ac yn fenyw.
GEN.1.28	A dyma Duw yn eu bendithio nhw, a dweud wrthyn nhw, “Dw i eisiau i chi gael plant, fel bod mwy a mwy ohonoch chi. Llanwch y ddaear a defnyddiwch ei photensial hi; a bod yn feistr i ofalu am y pysgod sydd yn y môr, yr adar sy'n hedfan yn yr awyr, a'r holl greaduriaid sy'n byw ar y ddaear.” 
GEN.1.29	Dwedodd Duw, “Edrychwch. Dw i wedi rhoi'r planhigion sydd â hadau a'r ffrwythau ar y coed i gyd, i fod yn fwyd i chi. 
GEN.1.30	A dw i wedi rhoi'r holl blanhigion yn fwyd i'r bywyd gwyllt a'r adar a'r holl greaduriaid bach eraill sydd ar y ddaear – ie, pob un creadur byw.” A dyna ddigwyddodd. 
GEN.1.31	Edrychodd Duw ar bopeth roedd wedi'i wneud, a gweld fod y cwbl yn dda iawn. Ac roedd nos a dydd ar y chweched diwrnod.
GEN.2.1	Felly gorffennodd Duw y gwaith o greu y bydysawd a phopeth sydd ynddo.
GEN.2.2	Ar y seithfed diwrnod dyma Duw yn gorffwys, am ei fod wedi gorffen ei holl waith. 
GEN.2.3	Bendithiodd Duw y seithfed diwrnod a'i wneud yn ddiwrnod arbennig, am mai dyna'r diwrnod roedd e wedi gorffwys ar ôl gorffen y gwaith o greu.
GEN.2.4	Dyma hanes y bydysawd yn cael ei greu:
GEN.2.4	Pan wnaeth Duw y bydysawd, 
GEN.2.5	doedd dim planhigion gwyllt na llysiau yn tyfu ar y tir. Doedd Duw ddim eto wedi gwneud iddi lawio, a doedd neb chwaith i weithio ar y tir. 
GEN.2.6	Ond roedd dŵr yn codi o'r ddaear ac yn dyfrio wyneb y tir.
GEN.2.7	Dyma'r 
GEN.2.8	Yna dyma'r 
GEN.2.9	Wedyn gwnaeth yr 
GEN.2.9	Yng nghanol yr ardd roedd y goeden sy'n rhoi bywyd a'r goeden sy'n rhoi gwybodaeth am bopeth – da a drwg.
GEN.2.10	Roedd afon yn tarddu yn Eden ac yn dyfrio'r ardd. Wedyn roedd yn rhannu'n bedair cangen. 
GEN.2.11	Pison ydy enw un. Mae hi'n llifo o gwmpas gwlad Hafila, lle mae aur 
GEN.2.12	– aur pur iawn, ac mae perlau ac onics yno hefyd. 
GEN.2.13	Gihon ydy enw'r ail afon. Mae hi yn llifo o gwmpas gwlad Cwsh. 
