MAT.1.1	Ŋuur-aŋ siŋ ku tamba ta Iisa Masi, roŋ ka Dawuud kaak roŋ ka Ibraayim. 
MAT.1.2	Ibraayim weetu Isaaka, Isaaka weetu Yakuub, Yakuub weetu Zuuda iŋ siŋtay 
MAT.1.3	ho Zuuda weetu Perees iŋ Zaara, ŋuur-aŋ yaaco siŋti Tamaar. Perees gay weetu Esroom, Esroom weetu Araam, 
MAT.1.4	Araam weetu Aminadaab, Aminadaab weetu Nasoon ho Nasoon weetu Salmoon. 
MAT.1.5	Salmoon weetu Booz, yaaco gay siŋti Raab. Booz gay weetu Obeed, roŋti ka Ruut. Obeed weetu Jeese, 
MAT.1.6	Jeese weetu sultan Dawuud.
MAT.1.6	Dawuud gay weetu Selemaan, atan̰ Selemaan awalle, ta daaciy ta gem rakki ŋu kolaag Uuri. 
MAT.1.7	Selemaan weetu Robowaam, Robowaam weetu Abiya, Abiya weetu Aza, 
MAT.1.8	Aza weetu Jozapaat, Jozapaat weetu Joraam ho Joraam weetu Oziyaas. 
MAT.1.9	Oziyaas gay weetu Jowataam, Jowataam weetu Akaaz ho Akaaz weetu Ezekiyaas. 
MAT.1.10	Ezekiyaas gay weetu Manaase, Manaase weetu Amoon ho Amoon weetu Zoziyaas. 
MAT.1.11	Zoziyaas gay weetu Jekoniyaas iŋ siŋtay ɗo wiktin taar-at ko gee ku Babiloon nosiriico ɗo gee ku Israyeel ho ŋu iyiig ɗo kiɗco.
MAT.1.12	Min ŋu iyiig Babiloon-ak, Jekoniyaas weeyiig Salatiyeel, Salatiyeel gay weetu Zorobabeel, 
MAT.1.13	Zorobabeel weetu Abiyuud, Abiyuud weetu Eliyakiim, Eliyakiim weetu Azoor, 
MAT.1.14	Azoor weetu Sadok, Sadok weetu Akiim ho Akiim weetu Eliyuud. 
MAT.1.15	Eliyuud gay weetu Eliyazaar, Eliyazaar weetu Mataan, Mataan weetu Yakuub 
MAT.1.16	ho Yakuub weetu Yuusup. Yuusup ko obit mic taat ŋu koliy Mariyam taat weeyig Iisa kaak ŋu koliy Masi.
MAT.1.17	Tamba okintit ko anta : min Ibraayim nam sultan Dawuud gin orok iŋ pooɗ tamba. Min sultan Dawuud nam wiktin taat ŋu iyiig gee ku Israyeel Babiloon gin orok iŋ pooɗ tamba, ho min wiktin taar-ata nam wiktin taat ŋu weeyig Masi gin orok iŋ pooɗ tamba.
MAT.1.18	Taloŋ maman ŋu weeyiig Iisa Masi. Yaaco Mariyam, taar kaawco mat ko iŋ Yuusup a ŋuu obe. Kar gay, min ŋa bal weƴe misa iŋ taar di, ta ictu adi iŋ gudurre ta Ruwwin ta Buŋdi. 
MAT.1.19	Yuusup ɗubilti, ŋaar gem sellen̰ ho ŋa rakaaɗo imilin oorinti kara. Paa ko, ŋa ictu niyine a ŋaa totirinti iŋ bugumiy. 
MAT.1.20	Min ŋa pakira misan di, ɗubil ka *Rabbin Buŋ bayniiji ɗo sooniikar ho ŋa kaawiiji aman : « Yuusup, roŋ ka Dawuud, dak ginenno kolaw. Icit Mariyam ɗo gerin̰ ar daaciŋ, asaan adti ŋaar asa min gudurre ta Ruwwin ta Buŋdi. 
MAT.1.21	Ta asa wee mico, ya ta wee kiiji diye siŋ Iisa
MAT.1.22	Maanna-ak kuuniytu ar taat Rabbin Buŋ kaawtu awalle iŋ bi ka nabiin̰cey aman : 
MAT.1.23	« Cokiyoŋ ! Gemso taat bal aawe mitko asa ice adi ho taa wee mico. Ya ta wee, mic-ak, ŋuu kolin̰ ‟ Emanuweel ”. »
MAT.1.24	Min Yuusup niintu, ŋa iciit Mariyam ar daaciy uudin taat ɗubil ka Rabbin Buŋ kaawiiji. 
MAT.1.25	Kar gay, ŋa bal weƴe iŋ taara nam ta weeyig roŋti. Hiyya, mic-ak, Yuusup diyiiji siŋ Iisa.
MAT.2.1	Ŋu weeyig Iisa ɗo hellin ta Beteleyem ɗo kiɗ ka Zuude ɗo wiktin taat sultan kaak ŋu koliy *Herood tiya misa meennuwiy. Min ŋu weeyiiga, gay ibine kaalnal uctu min coke ka pati ho ŋu ɓaawtu Zeruzaleem. 
MAT.2.2	Kar ŋu inditu aman : « Moo mic kaak ŋu weetu daaɓiney ho asa gine sultan ka *Yuudinnar-aka ? Ni talig kaaloy bayin min coke ka pati ho ni as abdiyin̰ji. » 
MAT.2.3	Min sultan Herood doriit kabarre-at, ŋa barjiltu yoo gee okin̰co ku Zeruzaleem oki. 
MAT.2.4	Ŋa n̰umiig agindaw ku gay satkiner okin̰co iŋ agindaw ku gaanuundi ho ŋa indiigu aman : « Momoŋ ga wer kaak ŋuu ween̰ji Masi kaak Buŋ doɓtu ? » 
MAT.2.5	Ŋuur gay telkiiji aman : « Ŋuu ween̰ji ɗo hellin ta Beteleyem ɗo kiɗ ka Zuude, asaan nabiin̰ce siirit awalle ɗo Kitamner aman :
MAT.2.6	‟ Kaŋke Beteleyem, ɗo kiɗ ka Zuude,
MAT.2.6	ka seener, min ɗo hellinnan ku Zuude-aŋ, ka kapakɗo tak-tak,
MAT.2.6	asaan min kaŋken di asa amile tatkaw
MAT.2.6	kaak asa tale kaaco ɗo gee ku Israyeel. ” »
MAT.2.7	Hiyya, min Herood doriit kaaw-at, ŋa koliig iŋ cigile gay ibine kaalnal-aku ho ŋa indiigu a ŋuuji gaare wiktin taat kaal-ak bayintu. 
MAT.2.8	Min ŋu gaariiji, ŋa n̰aamiig Beteleyem ho ŋa kaawiico aman : « Ɓaaŋ, indoŋ samaane ɗo bi ka mic-aka. Ya ku gas weriy di, ku asiidu kaawe. Paa kat, nun meendu sa yaa ɓaa abdiyin̰ji. » 
MAT.2.9	Min sultan kaawiico pa-ak, ŋu ictu botilco. Ɗo ɗeetin̰co, ŋu talig kaal kaak awalle ŋu taltu min coke ka pat-aka. Ŋaar gay sin̰ja sin̰jen di iŋ uŋji nam ŋa daktu pey ɗo wer kaak mic goyiyo. 
MAT.2.10	Min ŋu taliig kaal pey ɗo wer-aka, aditco miintu iŋ galal. 
MAT.2.11	Hiyya, ŋu un̰jitu geero ho ŋu gasiig mic-ak iŋ yaaco Mariyam. Ŋu dersitu ɗo uŋji ho ŋu abdiyiiga. Kar ŋu piliig gaminco ho ŋu beriiji gamin kuuk kaalne : daabne, *dokkanne ho iŋ itir kaak ŋu koliy miir. 
MAT.2.12	Min ŋaar-ak, Buŋ miniig gee-ak ɗo sooniikar a ŋu ɓaanno pey wer ka Herood. Hiyya, ŋu yeeptu ɗo darrico iŋ botol ta pey.
MAT.2.13	Min gay ibine kaalnal-ak yeeptu ɗo darrico, ɗubil ka *Rabbin Buŋ bayniiji ɗo Yuusup ɗo sooniikar ho ŋa kaawiiji aman : « Ucu, icig mico iŋ yaaco ho gaɗoŋ ɗo kiɗ ka Meser. Goyoŋ annere nam ƴiriy taat naan̰ kaawe ja kat kii yeepe. Yampa, Herood yaa bariyin̰ mico ŋaa deen̰ji. » 
MAT.2.14	Hiyya, iŋ aando-at di, Yuusup uctu, ŋa iciig mic-aka iŋ yaaco ho ŋu gaɗtu kaƴco Meser. 
MAT.2.15	Ŋu goytu anner kee nam sultan Herood mattu. Ta kuuniytu ampa-ak asaan kaaw taat Rabbin kaawtu iŋ bi ka nabiin̰cey yaa ase ɗo werti. Kaaw-at aman : « Nu kolig roŋdu a ŋaa amile min Meser. »
