GEN.1.2	Anu bangec kisic anu wiac mong imohai mi feec. Nga kundungngo doku keme kemea hedzickema feec. Anu Anutuac Asungo doku witiau sawau yerecgema nangkefec.
GEN.1.4	Fingeru kperagi henu ngereu kperagi nga kundung mendzicyuruec. 
GEN.1.5	Mendzicyuruma kperagiac kpara hadzing kparec nga kundunggac kpara tofocnac kparec. Anu ama toforema wereckenu uameme mocgu anec.
GEN.1.7	Ye ifi dema odatoa mong meu imocngo doku hendzicyuruu oda bageau yengena feec nga oda witiau yengena feec. Ye deu ifi fingerec. 
GEN.1.8	Fingeru oda imocac kpara sawa deec. Anu ama toforema wereckenu uameme yohockang anec.
GEN.1.10	Ifi fingeru ye gbangge gbanggea imocac kpara bangec kparec anu doku kpedzucnegec tembuha feu kpara kondung kparec. Ifi meficgema henu naric anec.
GEN.1.11	Anu yofi deec, “Bangecfunac wiac kekehagoc hania hania erebeso. Bangecfu dzaring nga kpindzing komohanginagoc siricngina arenga arenga fingecdacbeso nga ic forakomohanginagoc siricngina arenga arenga, ifi fingeru.” Ifi deu wiac imoc fingecdarec. 
GEN.1.12	Bangecfunac wiac kekehagoc hania hania ereec. Dzaring nga kpidzing siricngina arenga arenga komohanginagoc fingecgec nga ic siricngina arenga arenga forakomohanginagoc fingecgec. Ifi fingecdaru henu ngereec. 
GEN.1.13	Anu ama toforema wereckenu uameme harebec anec.
GEN.1.15	Anu kperagi imocngo sawau fingecma bangec kperagia mibisia.” Deu ifi fingecgec. 
GEN.1.16	Ifi negemma kperagitoa yohockang meficyuruec, kperagi kuneng imoc hadzing garenggeudeac faiec nga kapia imoc tofocnac garenggeudeac faiec. Amma asomeng momoc meficyunuec. 
GEN.1.17	Yeni bangec kperagi migecdeac sawau faiyunuu 
GEN.1.18	yeneng ama wereckenude nga toforeude imoc garenggegecdeac faiyunuec amma kperagi nga kundung mendzicyurugecdeac faiyunuec. Ye ifi fingeru henu ngereec. 
GEN.1.19	Anu ama toforema wereckenu uameme 4 anec.
GEN.1.20	Imocac ngadeau Anutungo yofi deec, “Wiac kekehagoc hania hania yeni kondunnu fingecma gurugoctoa kengha ambisia. Anu neng yeni fingecma sawau kpututuckema kengha ambisia.” 
GEN.1.21	Ye ifi dema kondunggac yangtoa toa meficyunuec. Amma kondunggac wiac hania hania gurugoc kengha amma kecandae yeni siricngina arenga arenga ifi meficyunudarec. Amma ye neng kpegangnginagoc hania hania sasawa siricngina arenga arenga ifingoc meficyunuec. Ifi meficyunudacma henu ngereedarec. 
GEN.1.22	Henu ngereu yofi dema kenecyunuec, “Ngeni fingecsahe amma seregurutoa amma doku nga kondung wakedacbisia amma neng yeni bangec witiau seregurutoa ambisia.” 
GEN.1.23	Anu ama toforema wereckenu uameme 5 anec.
GEN.1.24	Imocac ngadeau Anutungo yofi deec, “Bangecfunac wiac kekehagoc hania hania siricngina arenga arenga fingeru, imoc amaac yang nga bangecac kateyang amma wiac kekecnginagoc bangecgoc wegenac kengha amma kecgecde hania hania sasawa siricngina arenga arenga fingeru.” Ye deu ifi fingecdacgec. 
GEN.1.25	Ye bangecac kateyang hania hania siricngina arenga arenga amma ramaburumaka siricngina arenga arenga amma wiac sasawa kekecnginagoc bangecgoc wegenac kengha amma kecandae imoc ifingoc siricngina arenga arenga meficyunudacma henu ngereedarec.
GEN.1.28	Meficyuruma kenecyuruma yofi dema edeyuruec, “Ngeri fingecsahe amma seregurutoa amma kemma bangec sokoma kecma bangec mema henggareng amma kecbisia
GEN.1.29	Ifi dema torokpema yofi edeyuruec, “Ni bangecfu ic nga kpindzing hania hania sasawa forakomohanginagoc faingemmeduae imocngo yakangina ambeso. 
GEN.1.30	Anu bangecfu yang sasawa kecdacdae nga sawaac neng sasawa amma yang nga wiac sasawa kekecnginagoc bangecgoc wegenac kengha amma kecdae yeneac yaka imoc dzaring nga kpindzing sasawa faiduae.” Anu ye deec, ifi isoc fingecdarec. 
GEN.1.31	Fingecdaru ye wiac sasawa meficgeec imoc henu gombunga yombong andarec. Anu ama monggoc toforema wereckenu uameme siks anec.
GEN.2.1	Anutungo deu bangec nga kurumenga kurumenga amma wiac sasawa imohai fede imoc ifi fingecdarec. 
GEN.2.2	Fingecdaru uameme seweng anec. Uameme seweng ammanu ua sasawa fau taru tacnegenec. 
GEN.2.3	Ye wiac sasawa meficgedacma wenac imohai tacnegenecac uameme seweng imoc meisinggema keneheec.
GEN.2.5	Naso imohai icbarama nga kpindzing amma dzaring imoc bangecfunac mi erekefec. Imoc yofiac, ye kia kpeudeac mi deu kia mong bangecfu mi feec nga semeng ua memeac ngicngac ifingoc mi kecgec. 
GEN.2.6	Anu doku imoc ine bangecfunac erema bangec meu imoc dokuyagoc andarec.
GEN.2.8	Anu wenac ere ereaubigeng bangec kpara Eden imohai ic ua mong homecma ngic meecmoc ye imohai faiec. 
GEN.2.9	Faima deu bangecfunac ic siricngina gombunga sasawa nga fora nenea gombunga imohai ereec. Amma ua botuhau kekecac ic ereec nga ic ogea mong ifingoc ereec ic imoc gombunga nga manganaac hania negen negenggac ic.
GEN.2.10	Anu doku kiwa mong Edennu fingecma ua doku mima imohai tohoma doku 4 anec. 
GEN.2.11	Mong kpara Pison imocngo Hawila bangecfu yerecgema kenec. Bangec imohai gol fede. 
GEN.2.12	Anu bangec imocac gol imoc gombunga yombong. Imohai bedeli icsopea
GEN.2.13	Amma doku mong imocac kpara Gihon. Imocngo Kus bangec sasawa yerecgema kenec. 
GEN.2.14	Nga doku mong imocac kpara Hiddekel
