MRK.1.1	Dhaŋum ŋuwakurrun yana dhäwu. Ga dhäwum dhaŋu God-Waŋarrwuruy Gäthuꞌmiŋuwuruy,
MRK.1.2	Ŋangawul mu nhan banha Djesum ŋurruyirrꞌyuwanam djämam bitjuwayiŋ, ŋarru God-Waŋarryum banha ḻinygu yänguwan yolŋuny yäkuny Djonnha. Nhän banha Djondhu batjiwarrma nhangu Djesuwum yäkthuwan. Ga ŋätjil mu nhan banha ḻinygu gayŋan God-Waŋarryum bäki nhanguway djawarrkminy yolŋuny yäkuny Yitjayany. Ga bitjan nhan banha ŋätjilim wukirri gamꞌ:
MRK.1.2	“Ŋäka warra! Dhaŋu ŋaya gayŋa yänguman yolŋunhan dhäwuminhan nyäkuway. Nhan ŋarru batjiwarrnha yäkthun nhuŋgun.
MRK.1.3	Ga ŋarram nhan ŋarru banhayam yolŋu ŋunha wiraŋḻin waŋgalaḻ yolŋunharraḻin ga ŋunhalayan nhan barkthu gayŋi djawarrkthum,
MRK.1.3	‘Bukmak yolŋu bawalamiŋa, gatjuy ŋamaŋamayunmiyan nhangum Garraywum.
MRK.1.3	Batjiwarrma dhuṉḏaykuŋan, gumurr-ŋuwatjiyan nhangu.’ ”
MRK.1.4+MRK.1.5+MRK.1.6	Ga banhayam yolŋu yäku Djonnha banha Ḏämbu-ḻupthumandamin yolŋu. Ga nyenanam nhan gayŋan banha guŋnharran yana yolŋunharraŋan ŋirrimaŋa galki banha mayaŋꞌŋa yäkuŋa Djodannha. Ga girriꞌyum nhan bayiŋ gayŋarra dhaṯthunmiyarram gämuḻwuru bulkaꞌyu, ga biralma nhangu djämawuy warrakanꞌkuru barrwaṉdhu. Ga ŋatham nhan bayiŋ gayŋarra guwamarra ḏetjnha ga gukun. [Djonma gayŋan banha nyenan bitjan bitjuwayiŋ banha God-Waŋarrwu djawarrkmi yäku Yilaydja gayŋan nyenan ŋätjil.]
MRK.1.4+MRK.1.5+MRK.1.6	Ga bilanyamiyum guḻkun banha yolŋum warra ŋaykan dhawuru Djurutjalamŋurum ga bawalamiŋurun ŋirrimaŋuru bewaḻi Djudiyaŋurun makaŋuru, ŋarranam bitjuwayiŋ balayam Djongum waythuwan. Ga ŋirrimbuwanam dhanal banha, ḻinygu dhanal gayŋan djälmiyin dhanal ŋarru nhäma nhanany, ga ŋäma nhanguŋ dhäwu nhalpiyan nhan gayŋan marŋgikuwan. Ga bitjanan nhan gayŋan dhanaliny garruwanam, “Way, waraparra, rakaraŋan warraŋulkuŋan warra nhumaliŋguway barrakinyma mala, bala ŋanydjaḻaꞌyuwan, bala yana guŋnharruman, mä nhan ŋarru God-Waŋarryum nhumaliŋgu baya-rakaraman. Djalkthuwan warra dhuwan barrakinyma malany bala ḏämbu-ḻupthuwan mä ŋarru banha bayiŋuyam maŋutji-rakaraman banha nhumam ḻinygun bitjuwayiŋ ŋuwakurrun.”
MRK.1.4+MRK.1.5+MRK.1.6	Ga banha dhanal ŋarran barrakinyma dhanaliŋguway rakaran warraŋulkuwanam, bala nhan dhanaliny gayŋan ḏämbu-ḻupthumanan ŋunhalayan Djodannha mayaŋꞌŋam.
MRK.1.7	Ga bitjan nhan dhanaliŋgu garruwan, “Dhika gayŋa waripum yolŋu ŋarra bulun walꞌŋu djuḻkthumana gayŋa nhänanham. Ga ŋayapim dhaŋu ŋangawul bitjuwayiŋ ganaꞌ ŋunhukum nhangu djalkiriwuywum yapthumandawu, räywuy dhaŋu ŋayam yolŋu ŋangawul ŋurruwuŋmi.
MRK.1.8	Ŋayam gayŋa nhumaliny dhaŋu ḏämbu-ḻupthuman garmakthu yana waŋganydhu. Ŋarru, nhanmam ŋarru banha God-Waŋarrwun Dhuyu-Birrimbirrnhan nhumaliŋgum guŋan, banham gayŋa djuḻkthumana.”
MRK.1.9	Ga bilanyamiyum nhan Djesum ŋarranan bewaḻim Galaliŋurum makaŋuru ŋirrimaŋuru yäkuŋuru Nätjiritjŋurum, nhan ŋarru Djongun waythun. Bala nhan Djondhum nhanany Djesunham ḏämbu-ḻupthumanan banhalayan Djodannha mayaŋꞌŋam. 
