MAT.1.1	I oyo ay listahan ni kaapoapohan ni Hisu Kristo a ginumapo de Debid ta ginumapo eya de Abraham. 
MAT.1.2	Nano ay i Abraham ay ama ni Isak, ta i Isak ay ama ni Hakob, ta i Hakob ay ama ni Huda pati manga wele na a lalaki. 
MAT.1.3	Ta nagbebi i Huda a lalaki de Tamar ta napa ni anak na i Pares pati Sara, ta i Pares pan ay ama ni Esron, ta i Esron i ama ni Ram, 
MAT.1.4	ta i Ram i ama ni Aminadeb, ta i Aminadeb i ama ni Nason, ta i Nason i ama ni Salmon. 
MAT.1.5	Ta nagbebi i Salmon de Rehab, ta napa ni anak na i Boos. Nagbebi pan i Boos de Rut, ta napa ni anak na i Obid, ta i Obid i ama ni Hesse, 
MAT.1.6	ta i Hesse i ama ni Debid a Hari.
MAT.1.6	Nano ay nagbebi i Debid de bebi ni Urias, ta napa ni anak na i Solomon, 
MAT.1.7	ta i Solomon i ama ni Rehoboam, ta i Rehoboam i ama ni Abias, ta i Abias i ama ni Asa, 
MAT.1.8	ta i Asa i ama ni Dosapat, ta i Dosapat i ama ni Doram, ta i Doram i ama ni Osias, 
MAT.1.9	ta i Osias i ama ni Dotam, ta i Dotam i ama ni Akas, ta i Akas i ama ni Esekias, 
MAT.1.10	ta i Esekias i ama ni Manases, ta i Manases i ama ni Amos, ta i Amos i ama ni Hosias, 
MAT.1.11	ta i Hosias i ama ni Hekonias pati manga wele na a lalaki nun panahon a inikag ni tage Babalonia i manga Hudyo de bensa a Babalonia.
MAT.1.12	Ta nun maikag di ide a Hudyo de bensa a Babalonia ay napa ni ama ni Salatiel i Hekonias ta i Salatiel ay napa ni ama ni Sorobabel, 
MAT.1.13	ta i Sorobabel i ama ni Abiud, ta i Abiud i ama ni Eliakim, ta i Eliakim i ama ni Asor, 
MAT.1.14	ta i Asor i ama ni Sadok, ta i Sadok i ama ni Akim, ta i Akim i ama ni Eliud, 
MAT.1.15	ta i Eliud i ama ni Elieser, ta i Elieser i ama ni Matan, ta i Matan i ama ni Hakob, 
MAT.1.16	ta i Hakob i ama ni Hose a bebi ni Maria. I eya i ina ni Hisus a pengalanan a Kristo.
MAT.1.17	Kanya te duman a sangpuwu pati apat a kaapoapohan gepo de Abraham a sinumunudsunud hanggen de Debid pati sangpuwu pati apat a kaapoapohan gepo de Debid a sinumunudsunud hanggen de pag-ikag dide de bensa a Babilonia pati pan te duman a sangpuwu pati apat a kaapoapohan a sinumunudsunud gepo de pag-ikag dide de bensa a Babilonia hanggen de Kristo.
MAT.1.18	Magioyo i sinumapit nun pinanganak i Hisu Kristo. I Maria a ina na pati Hose ay magkásungdu di misan ay dingan ngona ide nagpakasal ay katinggesan ni Maria a gelihe di eya dehil de kapangyedihan ni Ispiritu nun Makedepat. 
