GEN.1.1	In the beginning
GEN.1.2	Now the earth was formless and empty,
GEN.1.3	Then God said, “Let there be light,”
GEN.1.4	God saw that the light was good, and God separated the light from the darkness. 
GEN.1.5	God called the light “day,” and the darkness he called “night.” There was an evening, and there was a morning: one day.
GEN.1.6	Then God said, “Let there be an expanse between the waters, separating water from water.”
GEN.1.7	So God made the expanse and separated the water under the expanse from the water above the expanse.
GEN.1.8	God called the expanse “sky.”
GEN.1.9	Then God said, “Let the water under the sky be gathered into one place,
GEN.1.10	God called the dry land “earth,” and the gathering of the water he called “seas.” And God saw that it was good. 
GEN.1.11	Then God said, “Let the earth produce vegetation: seed-bearing plants and fruit trees on the earth bearing fruit with seed in it according to their kinds.”
GEN.1.12	The earth produced vegetation: seed-bearing plants according to their kinds and trees bearing fruit with seed in it according to their kinds. And God saw that it was good. 
GEN.1.13	Evening came and then morning: the third day.
GEN.1.14	Then God said, “Let there be lights in the expanse of the sky to separate the day from the night. They will serve as signs
GEN.1.15	They will be lights in the expanse of the sky to provide light on the earth.” And it was so. 
GEN.1.16	God made the two great lights — the greater light to rule over the day and the lesser light to rule over the night — as well as the stars.
GEN.1.17	God placed them in the expanse of the sky to provide light on the earth, 
GEN.1.18	to rule the day and the night, and to separate light from darkness.
GEN.1.19	Evening came and then morning: the fourth day.
GEN.1.20	Then God said, “Let the water swarm with
GEN.1.21	So God created the large sea-creatures
GEN.1.22	God blessed them: “Be fruitful, multiply, and fill the waters of the seas, and let the birds multiply on the earth.”
GEN.1.23	Evening came and then morning: the fifth day.
GEN.1.24	Then God said, “Let the earth produce living creatures according to their kinds: livestock, creatures that crawl, and the wildlife of the earth according to their kinds.” And it was so. 
GEN.1.25	So God made the wildlife of the earth according to their kinds, the livestock according to their kinds, and all the creatures that crawl on the ground according to their kinds. And God saw that it was good.
GEN.1.26	Then God said, “Let us
GEN.1.27	So God created man
GEN.1.27	in his own image;
GEN.1.27	he created him in
GEN.1.27	he created them male and female.
GEN.1.28	God blessed them, and God said to them, “Be fruitful, multiply, fill the earth,
GEN.1.29	God also said, “Look, I have given you every seed-bearing plant on the surface of the entire earth and every tree whose fruit contains seed. This will be food for you,
GEN.1.30	for all the wildlife of the earth, for every bird of the sky, and for every creature that crawls on the earth — everything having the breath of life in it — I have given
GEN.1.31	God saw all that he had made, and it was very good indeed.
GEN.2.1	So the heavens and the earth and everything in them were completed.
GEN.2.2	On the seventh
GEN.2.3	God blessed the seventh day and declared it holy, for on it he rested
GEN.2.4	These are the records
GEN.2.5	no shrub of the field
GEN.2.6	But mist would come up from the earth and water all the ground. 
GEN.2.7	Then the 
GEN.2.8	The 
GEN.2.9	The 
GEN.2.10	A river went
GEN.2.11	The name of the first is Pishon, which flows through the entire land of Havilah,
GEN.2.12	Gold from that land is pure;
GEN.2.13	The name of the second river is Gihon, which flows through the entire land of Cush. 
GEN.2.14	The name of the third river is Tigris,
GEN.2.15	The 
GEN.2.16	And the 
GEN.2.17	but you must not eat from the tree of the knowledge of good and evil, for on the day you eat from it, you will certainly die.”
GEN.2.18	Then the 
GEN.2.19	The 
GEN.2.20	The man gave names to all the livestock, to the birds of the sky, and to every wild animal; but for the man
GEN.2.21	So the 
GEN.2.22	Then the 
GEN.2.23	And the man said:
GEN.2.23	This one, at last, is bone of my bone
GEN.2.23	and flesh of my flesh;
GEN.2.23	this one will be called “woman,”
GEN.2.23	for she was taken from man.
GEN.2.24	This is why a man leaves his father and mother and bonds with his wife, and they become one flesh.
GEN.2.25	Both the man and his wife were naked, yet felt no shame.
GEN.3.1	Now the serpent was the most cunning of all the wild animals that the 
GEN.3.2	The woman said to the serpent, “We may eat the fruit from the trees in the garden. 
GEN.3.3	But about the fruit of the tree in the middle of the garden, God said, ‘You must not eat it or touch it, or you will die.’”
GEN.3.4	“No! You will not die,” the serpent said to the woman.
GEN.3.5	“In fact, God knows that when
GEN.3.6	The woman saw that the tree was good for food and delightful to look at, and that it was desirable for obtaining wisdom. So she took some of its fruit and ate it; she also gave some to her husband, who was with her, and he ate it.
GEN.3.7	Then the eyes of both of them were opened, and they knew they were naked; so they sewed fig leaves together and made coverings for themselves.
GEN.3.8	Then the man and his wife heard the sound of the 
GEN.3.9	So the 
GEN.3.10	And he said, “I heard you
GEN.3.11	Then he asked, “Who told you that you were naked? Did you eat from the tree that I commanded you not to eat from?”
GEN.3.12	The man replied,
GEN.3.13	So the 
GEN.3.13	And the woman said, “The serpent deceived me, and I ate.”
GEN.3.14	So the 
GEN.3.14	Because you have done this,
GEN.3.14	you are cursed more than any livestock
GEN.3.14	and more than any wild animal.
GEN.3.14	You will move on your belly
GEN.3.14	and eat dust all the days of your life.
GEN.3.15	I will put hostility between you and the woman,
GEN.3.15	and between your offspring and her offspring.
GEN.3.15	He will strike your head,
GEN.3.15	and you will strike his heel.
GEN.3.16	He said to the woman:
GEN.3.16	I will intensify your labor pains;
GEN.3.16	you will bear children with painful effort.
GEN.3.16	Your desire
GEN.3.16	yet he will rule over you.
GEN.3.17	And he said to the man, “Because you listened to your wife and ate from the tree about which I commanded you, ‘Do not eat from it’:
GEN.3.17	The ground is cursed because of you.
GEN.3.17	You will eat from it by means of painful labor
GEN.3.17	all the days of your life.
GEN.3.18	It will produce thorns and thistles for you,
GEN.3.18	and you will eat the plants of the field.
GEN.3.19	You will eat bread
GEN.3.19	until you return to the ground,
GEN.3.19	since you were taken from it.
GEN.3.19	For you are dust,
GEN.3.19	and you will return to dust.”
GEN.3.20	The man named his wife Eve
GEN.3.21	The 
GEN.3.22	The 
GEN.3.23	So the 
GEN.3.24	He drove the man out and stationed the cherubim and the flaming, whirling sword east of the garden of Eden to guard the way to the tree of life.
GEN.4.1	The man was intimate with his wife Eve, and she conceived and gave birth to Cain. She said, “I have had a male child with the 
GEN.4.2	She also gave birth to his brother Abel. Now Abel became a shepherd of flocks, but Cain worked the ground. 
GEN.4.3	In the course of time Cain presented some of the land’s produce as an offering to the 
GEN.4.4	And Abel also presented an offering — some of the firstborn of his flock and their fat portions.
GEN.4.5	but he did not have regard for Cain and his offering. Cain was furious, and he looked despondent.
GEN.4.6	Then the 
GEN.4.7	If you do what is right, won’t you be accepted? But if you do not do what is right, sin is crouching at the door. Its desire is for you, but you must rule over it.”
GEN.4.8	Cain said to his brother Abel, “Let’s go out to the field.”
GEN.4.9	Then the 
GEN.4.9	“I don’t know,” he replied. “Am I my brother’s guardian?”
GEN.4.10	Then he said, “What have you done? Your brother’s blood cries out to me from the ground!
GEN.4.11	So now you are cursed, alienated from the ground that opened its mouth to receive your brother’s blood you have shed.
GEN.4.12	If you work the ground, it will never again give you its yield. You will be a restless wanderer on the earth.”
GEN.4.13	But Cain answered the 
GEN.4.14	Since you are banishing me today from the face of the earth, and I must hide from your presence and become a restless wanderer on the earth, whoever finds me will kill me.”
GEN.4.15	Then the 
GEN.4.16	Then Cain went out from the 
GEN.4.17	Cain was intimate with his wife, and she conceived and gave birth to Enoch. Then Cain became the builder of a city, and he named the city Enoch after his son. 
GEN.4.18	Irad was born to Enoch, Irad fathered Mehujael, Mehujael fathered Methushael, and Methushael fathered Lamech. 
GEN.4.19	Lamech took two wives for himself, one named Adah and the other named Zillah. 
GEN.4.20	Adah bore Jabal; he was the father of the nomadic herdsmen.
GEN.4.21	His brother was named Jubal; he was the father of all who play the lyre and the flute. 
GEN.4.22	Zillah bore Tubal-cain, who made all kinds of bronze and iron tools. Tubal-cain’s sister was Naamah.
GEN.4.23	Lamech said to his wives:
GEN.4.23	Adah and Zillah, hear my voice;
GEN.4.23	wives of Lamech, pay attention to my words.
GEN.4.23	For I killed a man for wounding me,
GEN.4.23	a young man for striking me.
GEN.4.24	If Cain is to be avenged seven times over,
GEN.4.24	then for Lamech it will be seventy-seven times!
GEN.4.25	Adam was intimate with his wife again, and she gave birth to a son and named him Seth, for she said, “God has given
GEN.4.26	A son was born to Seth
GEN.5.1	This is the document containing the family
GEN.5.2	he created them male and female. When they were created, he blessed them and called them mankind.
GEN.5.3	Adam was 130 years old when he fathered a son in his likeness, according to his image, and named him Seth. 
GEN.5.4	Adam lived 800 years after he fathered Seth, and he fathered other sons and daughters. 
GEN.5.5	So Adam’s life lasted 930 years; then he died.
GEN.5.6	Seth was 105 years old when he fathered Enosh. 
GEN.5.7	Seth lived 807 years after he fathered Enosh, and he fathered other sons and daughters. 
GEN.5.8	So Seth’s life lasted 912 years; then he died.
GEN.5.9	Enosh was 90 years old when he fathered Kenan. 
GEN.5.10	Enosh lived 815 years after he fathered Kenan, and he fathered other sons and daughters. 
GEN.5.11	So Enosh’s life lasted 905 years; then he died.
GEN.5.12	Kenan was 70 years old when he fathered Mahalalel. 
GEN.5.13	Kenan lived 840 years after he fathered Mahalalel, and he fathered other sons and daughters. 
GEN.5.14	So Kenan’s life lasted 910 years; then he died.
GEN.5.15	Mahalalel was 65 years old when he fathered Jared. 
GEN.5.16	Mahalalel lived 830 years after he fathered Jared, and he fathered other sons and daughters. 
GEN.5.17	So Mahalalel’s life lasted 895 years; then he died.
GEN.5.18	Jared was 162 years old when he fathered Enoch. 
GEN.5.19	Jared lived 800 years after he fathered Enoch, and he fathered other sons and daughters. 
GEN.5.20	So Jared’s life lasted 962 years; then he died.
GEN.5.21	Enoch was 65 years old when he fathered Methuselah. 
GEN.5.22	And after he fathered Methuselah, Enoch walked with God
GEN.5.23	So Enoch’s life lasted 365 years. 
GEN.5.24	Enoch walked with God; then he was not there because God took him.
GEN.5.25	Methuselah was 187 years old when he fathered Lamech. 
GEN.5.26	Methuselah lived 782 years after he fathered Lamech, and he fathered other sons and daughters. 
GEN.5.27	So Methuselah’s life lasted 969 years; then he died.
GEN.5.28	Lamech was 182 years old when he fathered a son. 
GEN.5.29	And he named him Noah,
GEN.5.30	Lamech lived 595 years after he fathered Noah, and he fathered other sons and daughters. 
GEN.5.31	So Lamech’s life lasted 777 years; then he died.
GEN.5.32	Noah was 500 years old, and he fathered Shem, Ham, and Japheth.
GEN.6.1	When mankind began to multiply on the earth and daughters were born to them, 
GEN.6.2	the sons of God
GEN.6.3	And the 
GEN.6.4	The Nephilim
GEN.6.5	When the 
GEN.6.6	the 
GEN.6.7	Then the 
GEN.6.8	Noah, however, found favor with the 
GEN.6.9	These are the family records
GEN.6.10	And Noah fathered three sons: Shem, Ham, and Japheth.
GEN.6.11	Now the earth was corrupt in God’s sight, and the earth was filled with wickedness.
GEN.6.12	God saw how corrupt the earth was, for every creature had corrupted its way on the earth.
GEN.6.13	Then God said to Noah, “I have decided to put an end to every creature, for the earth is filled with wickedness because of them; therefore I am going to destroy them along with the earth.
GEN.6.14	“Make yourself an ark of gopher
GEN.6.15	This is how you are to make it: The ark will be 450 feet long, 75 feet wide, and 45 feet high.
GEN.6.16	You are to make a roof,
GEN.6.17	“Understand that I am bringing a flood — floodwaters on the earth
GEN.6.18	But I will establish my covenant with you,
GEN.6.19	You are also to bring into the ark two of all the living creatures, male and female, to keep them alive with you. 
GEN.6.20	Two of everything — from the birds according to their kinds, from the livestock according to their kinds, and from the animals that crawl on the ground according to their kinds — will come to you so that you can keep them alive. 
GEN.6.21	Take with you every kind of food that is eaten; gather it as food for you and for them.” 
GEN.6.22	And Noah did this. He did everything that God had commanded him.
GEN.7.1	Then the 
GEN.7.2	You are to take with you seven pairs, a male and its female, of all the clean animals,
GEN.7.3	and seven pairs, male and female, of the birds of the sky — in order to keep offspring alive throughout the earth. 
GEN.7.4	Seven days from now I will make it rain on the earth forty days and forty nights, and every living thing I have made I will wipe off the face of the earth.” 
GEN.7.5	And Noah did everything that the 
GEN.7.6	Noah was six hundred years old when the flood came and water covered the earth. 
GEN.7.7	So Noah, his sons, his wife, and his sons’ wives entered the ark because of the floodwaters. 
GEN.7.8	From the clean animals, unclean animals, birds, and every creature that crawls on the ground, 
GEN.7.9	two of each, male and female, came to Noah and entered the ark, just as God had commanded him. 
GEN.7.10	Seven days later the floodwaters came on the earth.
GEN.7.11	In the six hundredth year of Noah’s life, in the second month, on the seventeenth day of the month, on that day all the sources of the vast watery depths burst open,
GEN.7.12	and the rain fell on the earth forty days and forty nights. 
GEN.7.13	On that same day Noah and his three sons, Shem, Ham, and Japheth, entered the ark, along with Noah’s wife and his three sons’ wives. 
GEN.7.14	They entered it with all the wildlife according to their kinds, all livestock according to their kinds, all the creatures that crawl on the earth according to their kinds, every flying creature — all the birds and every winged creature — according to their kinds. 
GEN.7.15	Two of every creature that has the breath of life in it came to Noah and entered the ark. 
GEN.7.16	Those that entered, male and female of every creature, entered just as God had commanded him. Then the 
GEN.7.17	The flood continued for forty days on the earth; the water increased and lifted up the ark so that it rose above the earth. 
GEN.7.18	The water surged and increased greatly on the earth, and the ark floated on the surface of the water. 
