PSA.1.1	What delight comes to the one who follows God’s ways!
PSA.1.1	He won’t walk in step with the wicked,
PSA.1.1	nor share the sinner’s way,
PSA.1.1	nor be found sitting in the scorner’s seat.
PSA.1.2	His pleasure and passion is remaining true to the Word of “I Am,”
PSA.1.2	meditating day and night in the true revelation of light.
PSA.1.3	He will be standing firm like a flourishing tree
PSA.1.3	planted by God’s design,
PSA.1.3	deeply rooted by the brooks of bliss,
PSA.1.3	bearing fruit in every season of his life.
PSA.1.3	He is never dry, never fainting,
PSA.1.3	ever blessed, ever prosperous.
PSA.1.4	But how different are the wicked.
PSA.1.4	All they are is dust in the wind—
PSA.1.4	driven away to destruction!
PSA.1.5	The wicked will not endure the day of judgment,
PSA.1.5	for God will not defend them.
PSA.1.5	Nothing they do will succeed or endure for long,
PSA.1.5	for they have no part with those who walk in truth.
PSA.1.6	But how different it is for the righteous!
PSA.1.6	The Lord embraces their paths as they move forward
PSA.1.6	while the way of the wicked leads only to doom.
PSA.2.1	How dare the nations plan a rebellion.
PSA.2.1	Their foolish plots are futile!
PSA.2.2	Look at how the power brokers of the world
PSA.2.2	rise up to hold their summit
PSA.2.2	as the rulers scheme and confer together
PSA.2.2	against Yahweh and his Anointed King, saying:
PSA.2.3	“Let’s come together and break away from the Creator.
PSA.2.3	Once and for all let’s cast off these controlling chains
PSA.2.3	of God and his Christ!”
PSA.2.4	God-Enthroned merely laughs at them;
PSA.2.4	the Sovereign One mocks their madness!
PSA.2.5	Then with the fierceness of his fiery anger
PSA.2.5	he settles the issue and terrifies them to death with these words:
PSA.2.6	“I myself have poured out my King on Zion, my holy mountain.
PSA.2.7	“I will reveal the eternal purpose of God.
PSA.2.7	For he has decreed over me, ‘You are my favored Son.
PSA.2.7	And as your Father I have crowned you as my King Eternal.
PSA.2.7	Today I became your Father.
PSA.2.8	Ask me to give you the nations and I will do it,
PSA.2.8	and they shall become your legacy.
PSA.2.8	Your domain will stretch to the ends of the earth.
PSA.2.9	And you will shepherd them with unlimited authority,
PSA.2.9	crushing their rebellion as an iron rod smashes jars of clay!’ ”
PSA.2.10	Listen to me, all you rebel-kings
PSA.2.10	and all you upstart judges of the earth.
PSA.2.10	Learn your lesson 
PSA.2.11	Serve and worship the awe-inspiring God.
PSA.2.11	Recognize his greatness and bow before him,
PSA.2.11	trembling with reverence in his presence.
PSA.2.12	Fall facedown before him and kiss the Son
PSA.2.12	before his anger is roused against you.
PSA.2.12	Remember that his wrath can be quickly kindled!
PSA.2.12	But many blessings are waiting for all
PSA.2.12	who turn aside to hide themselves in him!
PSA.3.1	Lord, I have so many enemies, so many who are against me.
PSA.3.2	Listen to how they whisper their slander against me, saying:
PSA.3.2	“Look! He’s hopeless! Even God can’t save him from this!”
PSA.3.2	Pause in his presence
PSA.3.3	But 
PSA.3.3	that you, Yahweh, have become my Shield;
PSA.3.3	You take me and surround me with yourself.
PSA.3.3	Your glory covers me continually.
PSA.3.3	You lift high my head when I bow low in shame.
PSA.3.4	I have cried out to you, Yahweh, from your holy presence.
PSA.3.4	You send me a Father’s help.
PSA.3.4	Pause in his presence
PSA.3.5	So now I’ll lie down and sleep like a baby—
PSA.3.5	then I’ll awake in safety, for you surround me with your glory.
PSA.3.6	Even though dark powers prowl around me,
PSA.3.6	I won’t be afraid.
PSA.3.7	:
PSA.3.7	“Rise up and help me, Lord! Come and save me!”
PSA.3.7	And you will slap them in the face,
PSA.3.7	breaking the power of their words to harm me.
PSA.3.8	,
PSA.3.8	for the Lord alone is my Savior.
PSA.3.8	What a feast of favor and bliss he gives his people!
PSA.3.8	Pause in his presence
PSA.4.1	God, you are my righteousness, my champion defender.
PSA.4.1	Answer me when I cry for help!
PSA.4.1	Whenever I was in distress, you enlarged me.
PSA.4.1	I’m being squeezed again—I need your kindness right away!
PSA.4.1	Grant me your grace, hear my prayer, and set me free!
PSA.4.2	Listen to me, you elite among men:
PSA.4.2	How long will you defame my honor
PSA.4.2	and drag it down into shame?
PSA.4.2	Will you ever stop insulting me?
PSA.4.2	How long will you set your heart on shadows,
PSA.4.2	chasing your lies and delusions?
PSA.4.2	Pause in his presence
PSA.4.3	May we never forget that the Lord works wonders
PSA.4.3	for every one of his devoted lovers.
PSA.4.3	And this is how I know that he will answer my every prayer.
PSA.4.4	Tremble in awe before the Lord, and do not sin against him.
PSA.4.4	Be still upon your bed and search your heart before him.
PSA.4.4	Pause in his presence
PSA.4.5	Bring to Yahweh the sacrifice of righteousness and put your trust in him.
