GEN.1.1	In the beginning God created the sky and the earth. 
GEN.1.2	The earth was empty and had no form. Darkness covered the ocean, and God’s Spirit was moving over the water.
GEN.1.3	Then God said, “Let there be light,” and there was light. 
GEN.1.4	God saw that the light was good, so he divided the light from the darkness. 
GEN.1.5	God named the light “day” and the darkness “night.” Evening passed, and morning came. This was the first day.
GEN.1.6	Then God said, “Let there be something to divide the water in two.” 
GEN.1.7	So God made the air and placed some of the water above the air and some below it. 
GEN.1.8	God named the air “sky.” Evening passed, and morning came. This was the second day.
GEN.1.9	Then God said, “Let the water under the sky be gathered together so the dry land will appear.” And it happened. 
GEN.1.10	God named the dry land “earth” and the water that was gathered together “seas.” God saw that this was good.
GEN.1.11	Then God said, “Let the earth produce plants—some to make grain for seeds and others to make fruits with seeds in them. Every seed will produce more of its own kind of plant.” And it happened. 
GEN.1.12	The earth produced plants with grain for seeds and trees that made fruits with seeds in them. Each seed grew its own kind of plant. God saw that all this was good. 
GEN.1.13	Evening passed, and morning came. This was the third day.
GEN.1.14	Then God said, “Let there be lights in the sky to separate day from night. These lights will be used for signs, seasons, days, and years. 
GEN.1.15	They will be in the sky to give light to the earth.” And it happened.
GEN.1.16	So God made the two large lights. He made the brighter light to rule the day and made the smaller light to rule the night. He also made the stars. 
GEN.1.17	God put all these in the sky to shine on the earth, 
GEN.1.18	to rule over the day and over the night, and to separate the light from the darkness. God saw that all these things were good. 
GEN.1.19	Evening passed, and morning came. This was the fourth day.
GEN.1.20	Then God said, “Let the water be filled with living things, and let birds fly in the air above the earth.”
GEN.1.21	So God created the large sea animals and every living thing that moves in the sea. The sea is filled with these living things, with each one producing more of its own kind. He also made every bird that flies, and each bird produced more of its own kind. God saw that this was good. 
GEN.1.22	God blessed them and said, “Have many young ones so that you may grow in number. Fill the water of the seas, and let the birds grow in number on the earth.” 
GEN.1.23	Evening passed, and morning came. This was the fifth day.
GEN.1.24	Then God said, “Let the earth be filled with animals, each producing more of its own kind. Let there be tame animals and small crawling animals and wild animals, and let each produce more of its kind.” And it happened.
GEN.1.25	So God made the wild animals, the tame animals, and all the small crawling animals to produce more of their own kind. God saw that this was good.
GEN.1.26	Then God said, “Let us make human beings in our image and likeness. And let them rule over the fish in the sea and the birds in the sky, over the tame animals, over all the earth, and over all the small crawling animals on the earth.”
GEN.1.27	So God created human beings in his image. In the image of God he created them. He created them male and female. 
GEN.1.28	God blessed them and said, “Have many children and grow in number. Fill the earth and be its master. Rule over the fish in the sea and over the birds in the sky and over every living thing that moves on the earth.”
GEN.1.29	God said, “Look, I have given you all the plants that have grain for seeds and all the trees whose fruits have seeds in them. They will be food for you. 
GEN.1.30	I have given all the green plants as food for every wild animal, every bird of the air, and every small crawling animal.” And it happened. 
GEN.1.31	God looked at everything he had made, and it was very good. Evening passed, and morning came. This was the sixth day.
GEN.2.1	So the sky, the earth, and all that filled them were finished. 
GEN.2.2	By the seventh day God finished the work he had been doing, so he rested from all his work. 
GEN.2.3	God blessed the seventh day and made it a holy day, because on that day he rested from all the work he had done in creating the world.
GEN.2.4	This is the story of the creation of the sky and the earth. When the L
GEN.2.5	there were still no plants on the earth. Nothing was growing in the fields because the L
GEN.2.6	but a mist would rise up from the earth and water all the ground.
GEN.2.7	Then the L
GEN.2.8	Then the L
GEN.2.9	The L
GEN.2.10	A river flowed through Eden and watered the garden. From there the river branched out to become four rivers. 
GEN.2.11	The first river, named Pishon, flows around the whole land of Havilah, where there is gold. 
GEN.2.12	The gold of that land is excellent. Bdellium and onyx are also found there. 
GEN.2.13	The second river, named Gihon, flows around the whole land of Cush. 
GEN.2.14	The third river, named Tigris, flows out of Assyria toward the east. The fourth river is the Euphrates.
GEN.2.15	The L
GEN.2.16	The L
GEN.2.17	but you must not eat the fruit from the tree which gives the knowledge of good and evil. If you ever eat fruit from that tree, you will die!”
GEN.2.18	Then the L
GEN.2.19	From the ground God formed every wild animal and every bird in the sky, and he brought them to the man so the man could name them. Whatever the man called each living thing, that became its name. 
GEN.2.20	The man gave names to all the tame animals, to the birds in the sky, and to all the wild animals. But Adam did not find a helper that was right for him. 
GEN.2.21	So the L
GEN.2.22	The L
GEN.2.23	And the man said,
GEN.2.23	“Now, this is someone whose bones came from my bones,
GEN.2.23	whose body came from my body.
GEN.2.23	I will call her ‘woman,’
GEN.2.23	because she was taken out of man.”
GEN.2.24	So a man will leave his father and mother and be united with his wife, and the two will become one body.
GEN.2.25	The man and his wife were naked, but they were not ashamed.
GEN.3.1	Now the snake was the most clever of all the wild animals the L
GEN.3.2	The woman answered the snake, “We may eat fruit from the trees in the garden. 
GEN.3.3	But God told us, ‘You must not eat fruit from the tree that is in the middle of the garden. You must not even touch it, or you will die.’ ”
GEN.3.4	But the snake said to the woman, “You will not die. 
