GEN.1.1	In the beginning God created the heavens and the earth.
GEN.1.2	And the earth was without order, and empty; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.
GEN.1.3	And God said, Let there be light, and there was light.
GEN.1.4	And God saw that the light was good, and God divided the light from the darkness.
GEN.1.5	And God called the light Day and the darkness he called Night. And the evening and the morning were the first day.
GEN.1.6	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
GEN.1.7	And God made a firmament and divided the waters which were under the firmament from the waters which were above the firmament; and it was so.
GEN.1.8	And God called the firmament Heavens. And the evening and the morning were the second day.
GEN.1.9	And God said, Let the waters under the heavens be gathered together unto one place, and let the dry land appear; and it was so.
GEN.1.10	And God called the dry land Earth, and the gathering together of the waters he called Seas; and God saw that it was good.
GEN.1.11	And God said, Let the earth bring forth green grass, herb yielding seed, and the fruit tree yielding fruit after its nature, whose seed is in itself upon the earth; and it was so.
GEN.1.12	And the earth brought forth green grass and herb yielding seed after its kind and the tree yielding fruit whose seed was in itself, according to its nature; and God saw that it was good.
GEN.1.13	And the evening and the morning were the third day.
GEN.1.14	And God said, Let there be lights in the firmament of the heavens to divide the day from the night; and let them be for signs and for appointed times and for days and years;
GEN.1.15	and let them be for lights in the firmament of the heavens to give light upon the earth; and it was so.
GEN.1.16	And God made two great lights: the greater light to rule the day, and the lesser light to rule the night; he made the stars also.
GEN.1.17	And God set them in the firmament of the heavens to give light upon the earth
GEN.1.18	and to rule over the day and over the night and to divide the light from the darkness; and God saw that it was good.
GEN.1.19	And the evening and the morning were the fourth day.
GEN.1.20	And God said, Let the waters bring forth great quantities of creatures with living souls and fowl that may fly above the earth upon the face of the firmament of the heavens.
GEN.1.21	And God created the great dragons and every living soul that moves, which the waters brought forth abundantly after their nature, and every winged fowl after its nature; and God saw that it was good.
GEN.1.22	And God blessed them, saying, Be fruitful and multiply and fill the waters in the seas, and let fowl multiply in the earth.
GEN.1.23	And the evening and the morning were the fifth day.
GEN.1.24	And God said, Let the earth bring forth the living soul after its nature, beasts and serpents and animals of the earth after its nature; and it was so.
GEN.1.25	And God made the beast of the earth after its kind and cattle after their kind and every thing that moves upon the earth after its kind; and God saw that it was good.
