GEN.1.1	In the beginning when God created
GEN.1.2	the earth was a formless void and darkness covered the face of the deep, while a wind from God
GEN.1.3	Then God said, “Let there be light”; and there was light. 
GEN.1.4	And God saw that the light was good; and God separated the light from the darkness. 
GEN.1.5	God called the light Day, and the darkness he called Night. And there was evening and there was morning, the first day.
GEN.1.6	And God said, “Let there be a dome in the midst of the waters, and let it separate the waters from the waters.” 
GEN.1.7	So God made the dome and separated the waters that were under the dome from the waters that were above the dome. And it was so. 
GEN.1.8	God called the dome Sky. And there was evening and there was morning, the second day.
GEN.1.9	And God said, “Let the waters under the sky be gathered together into one place, and let the dry land appear.” And it was so. 
GEN.1.10	God called the dry land Earth, and the waters that were gathered together he called Seas. And God saw that it was good. 
GEN.1.11	Then God said, “Let the earth put forth vegetation: plants yielding seed, and fruit trees of every kind on earth that bear fruit with the seed in it.” And it was so. 
GEN.1.12	The earth brought forth vegetation: plants yielding seed of every kind, and trees of every kind bearing fruit with the seed in it. And God saw that it was good. 
GEN.1.13	And there was evening and there was morning, the third day.
GEN.1.14	And God said, “Let there be lights in the dome of the sky to separate the day from the night; and let them be for signs and for seasons and for days and years, 
GEN.1.15	and let them be lights in the dome of the sky to give light upon the earth.” And it was so. 
GEN.1.16	God made the two great lights—the greater light to rule the day and the lesser light to rule the night—and the stars. 
GEN.1.17	God set them in the dome of the sky to give light upon the earth, 
GEN.1.18	to rule over the day and over the night, and to separate the light from the darkness. And God saw that it was good. 
GEN.1.19	And there was evening and there was morning, the fourth day.
GEN.1.20	And God said, “Let the waters bring forth swarms of living creatures, and let birds fly above the earth across the dome of the sky.” 
GEN.1.21	So God created the great sea monsters and every living creature that moves, of every kind, with which the waters swarm, and every winged bird of every kind. And God saw that it was good. 
GEN.1.22	God blessed them, saying, “Be fruitful and multiply and fill the waters in the seas, and let birds multiply on the earth.” 
GEN.1.23	And there was evening and there was morning, the fifth day.
GEN.1.24	And God said, “Let the earth bring forth living creatures of every kind: cattle and creeping things and wild animals of the earth of every kind.” And it was so. 
GEN.1.25	God made the wild animals of the earth of every kind, and the cattle of every kind, and everything that creeps upon the ground of every kind. And God saw that it was good.
GEN.1.26	Then God said, “Let us make humankind
GEN.1.27	So God created humankind
GEN.1.27	in the image of God he created them;
GEN.1.27	male and female he created them.
GEN.1.28	God blessed them, and God said to them, “Be fruitful and multiply, and fill the earth and subdue it; and have dominion over the fish of the sea and over the birds of the air and over every living thing that moves upon the earth.” 
GEN.1.29	God said, “See, I have given you every plant yielding seed that is upon the face of all the earth, and every tree with seed in its fruit; you shall have them for food. 
GEN.1.30	And to every beast of the earth, and to every bird of the air, and to everything that creeps on the earth, everything that has the breath of life, I have given every green plant for food.” And it was so. 
GEN.1.31	God saw everything that he had made, and indeed, it was very good. And there was evening and there was morning, the sixth day.
GEN.2.1	Thus the heavens and the earth were finished, and all their multitude. 
GEN.2.2	And on the seventh day God finished the work that he had done, and he rested on the seventh day from all the work that he had done. 
GEN.2.3	So God blessed the seventh day and hallowed it, because on it God rested from all the work that he had done in creation.
GEN.2.4	These are the generations of the heavens and the earth when they were created.
GEN.2.4	In the day that the 
GEN.2.5	when no plant of the field was yet in the earth and no herb of the field had yet sprung up—for the 
GEN.2.6	but a stream would rise from the earth, and water the whole face of the ground— 
GEN.2.7	then the 
GEN.2.8	And the 
GEN.2.9	Out of the ground the 
GEN.2.10	A river flows out of Eden to water the garden, and from there it divides and becomes four branches. 
GEN.2.11	The name of the first is Pishon; it is the one that flows around the whole land of Havilah, where there is gold; 
