LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
LKA.1.2	just as they were handed down to us by those who from the first were eyewitnesses and servants of the word. 
LKA.1.3	With this in mind, since I myself have carefully investigated everything from the beginning, I too decided to write an orderly account for you, most excellent Theophilus, 
LKA.1.4	so that you may know the certainty of the things you have been taught.
LKA.1.5	In the time of Herod king of Judea there was a priest named Zechariah, who belonged to the priestly division of Abijah; his wife Elizabeth was also a descendant of Aaron. 
LKA.1.6	Both of them were righteous in the sight of God, observing all the Lordʼs commands and decrees blamelessly. 
LKA.1.7	But they were childless because Elizabeth was not able to conceive, and they were both very old.
LKA.1.8	Once when Zechariahʼs division was on duty and he was serving as priest before God, 
LKA.1.9	he was chosen by lot, according to the custom of the priesthood, to go into the temple of the Lord and burn incense. 
LKA.1.10	And when the time for the burning of incense came, all the assembled worshipers were praying outside.
LKA.1.11	Then an angel of the Lord appeared to him, standing at the right side of the altar of incense. 
LKA.1.12	When Zechariah saw him, he was startled and was gripped with fear. 
LKA.1.13	But the angel said to him: “Do not be afraid, Zechariah; your prayer has been heard. Your wife Elizabeth will bear you a son, and you are to call him John. 
LKA.1.14	He will be a joy and delight to you, and many will rejoice because of his birth, 
LKA.1.15	for he will be great in the sight of the Lord. He is never to take wine or other fermented drink, and he will be filled with the Holy Spirit even before he is born. 
LKA.1.16	He will bring back many of the people of Israel to the Lord their God. 
LKA.1.17	And he will go on before the Lord, in the spirit and power of Elijah, to turn the hearts of the parents to their children and the disobedient to the wisdom of the righteous — to make ready a people prepared for the Lord.”
LKA.1.18	Zechariah asked the angel, “How can I be sure of this? I am an old man and my wife is well along in years.”
LKA.1.19	The angel said to him, “I am Gabriel. I stand in the presence of God, and I have been sent to speak to you and to tell you this good news. 
LKA.1.20	And now you will be silent and not able to speak until the day this happens, because you did not believe my words, which will come true at their appointed time.”
LKA.1.21	Meanwhile, the people were waiting for Zechariah and wondering why he stayed so long in the temple. 
LKA.1.22	When he came out, he could not speak to them. They realized he had seen a vision in the temple, for he kept making signs to them but remained unable to speak.
LKA.1.23	When his time of service was completed, he returned home. 
LKA.1.24	After this his wife Elizabeth became pregnant and for five months remained in seclusion. 
LKA.1.25	“The Lord has done this for me,” she said. “In these days he has shown his favor and taken away my disgrace among the people.”
LKA.1.26	In the sixth month of Elizabethʼs pregnancy, God sent the angel Gabriel to Nazareth, a town in Galilee, 
LKA.1.27	to a virgin pledged to be married to a man named Joseph, a descendant of David. The virginʼs name was Mary. 
LKA.1.28	The angel went to her and said, “Greetings, you who are highly favored! The Lord is with you.”
LKA.1.29	Mary was greatly troubled at his words and wondered what kind of greeting this might be. 
LKA.1.30	But the angel said to her, “Do not be afraid, Mary; you have found favor with God. 
LKA.1.31	You will conceive and give birth to a son, and you are to call him Jesus. 
LKA.1.32	He will be great and will be called the Son of the Most High. The Lord God will give him the throne of his father David, 
LKA.1.33	and he will reign over Jacobʼs descendants forever; his kingdom will never end.”
LKA.1.34	“How will this be,” Mary asked the angel, “since I am a virgin?”
LKA.1.35	The angel answered, “The Holy Spirit will come on you, and the power of the Most High will overshadow you. So the holy one to be born will be called
LKA.1.36	Even Elizabeth your relative is going to have a child in her old age, and she who was said to be unable to conceive is in her sixth month. 
LKA.1.37	For no word from God will ever fail.”
LKA.1.38	“I am the Lordʼs servant,” Mary answered. “May your word to me be fulfilled.” Then the angel left her.
LKA.1.39	At that time Mary got ready and hurried to a town in the hill country of Judea, 
LKA.1.40	where she entered Zechariahʼs home and greeted Elizabeth. 
LKA.1.41	When Elizabeth heard Maryʼs greeting, the baby leaped in her womb, and Elizabeth was filled with the Holy Spirit. 
LKA.1.42	In a loud voice she exclaimed: “Blessed are you among women, and blessed is the child you will bear! 
LKA.1.43	But why am I so favored, that the mother of my Lord should come to me? 
LKA.1.44	As soon as the sound of your greeting reached my ears, the baby in my womb leaped for joy. 
LKA.1.45	Blessed is she who has believed that the Lord would fulfill his promises to her!”
LKA.1.46	And Mary said:
LKA.1.46	“My soul glorifies the Lord
LKA.1.47	and my spirit rejoices in God my Savior,
LKA.1.48	for he has been mindful
LKA.1.48	of the humble state of his servant.
LKA.1.48	From now on all generations will call me blessed,
LKA.1.49	for the Mighty One has done great things for me —  
LKA.1.49	holy is his name.
LKA.1.50	His mercy extends to those who fear him,
LKA.1.50	from generation to generation.
LKA.1.51	He has performed mighty deeds with his arm;
LKA.1.51	he has scattered those who are proud in their inmost thoughts.
LKA.1.52	He has brought down rulers from their thrones
LKA.1.52	but has lifted up the humble.
LKA.1.53	He has filled the hungry with good things
LKA.1.53	but has sent the rich away empty.
LKA.1.54	He has helped his servant Israel,
LKA.1.54	remembering to be merciful
LKA.1.55	to Abraham and his descendants forever,
LKA.1.55	just as he promised our ancestors.”
LKA.1.56	Mary stayed with Elizabeth for about three months and then returned home.
LKA.1.57	When it was time for Elizabeth to have her baby, she gave birth to a son. 
LKA.1.58	Her neighbors and relatives heard that the Lord had shown her great mercy, and they shared her joy.
LKA.1.59	On the eighth day they came to circumcise the child, and they were going to name him after his father Zechariah, 
LKA.1.60	but his mother spoke up and said, “No! He is to be called John.”
LKA.1.61	They said to her, “There is no one among your relatives who has that name.”
LKA.1.62	Then they made signs to his father, to find out what he would like to name the child. 
LKA.1.63	He asked for a writing tablet, and to everyoneʼs astonishment he wrote, “His name is John.” 
LKA.1.64	Immediately his mouth was opened and his tongue set free, and he began to speak, praising God. 
LKA.1.65	All the neighbors were filled with awe, and throughout the hill country of Judea people were talking about all these things. 
LKA.1.66	Everyone who heard this wondered about it, asking, “What then is this child going to be?” For the Lordʼs hand was with him.
LKA.1.67	His father Zechariah was filled with the Holy Spirit and prophesied:
LKA.1.68	“Praise be to the Lord, the God of Israel,
LKA.1.68	because he has come to his people and redeemed them.
LKA.1.69	He has raised up a horn
LKA.1.69	in the house of his servant David
LKA.1.70	(as he said through his holy prophets of long ago),
LKA.1.71	salvation from our enemies
LKA.1.71	and from the hand of all who hate us —  
LKA.1.72	to show mercy to our ancestors
LKA.1.72	and to remember his holy covenant,
LKA.1.73	the oath he swore to our father Abraham:
LKA.1.74	to rescue us from the hand of our enemies,
LKA.1.74	and to enable us to serve him without fear
LKA.1.75	in holiness and righteousness before him all our days.
LKA.1.76	And you, my child, will be called a prophet of the Most High;
LKA.1.76	for you will go on before the Lord to prepare the way for him,
LKA.1.77	to give his people the knowledge of salvation
LKA.1.77	through the forgiveness of their sins,
LKA.1.78	because of the tender mercy of our God,
LKA.1.78	by which the rising sun will come to us from heaven
LKA.1.79	to shine on those living in darkness
LKA.1.79	and in the shadow of death,
LKA.1.79	to guide our feet into the path of peace.”
LKA.1.80	And the child grew and became strong in spirit
LKA.2.1	In those days Caesar Augustus issued a decree that a census should be taken of the entire Roman world. 
LKA.2.2	(This was the first census that took place while
LKA.2.3	And everyone went to their own town to register.
LKA.2.4	So Joseph also went up from the town of Nazareth in Galilee to Judea, to Bethlehem the town of David, because he belonged to the house and line of David. 
LKA.2.5	He went there to register with Mary, who was pledged to be married to him and was expecting a child. 
LKA.2.6	While they were there, the time came for the baby to be born, 
LKA.2.7	and she gave birth to her firstborn, a son. She wrapped him in cloths and placed him in a manger, because there was no guest room available for them.
LKA.2.8	And there were shepherds living out in the fields nearby, keeping watch over their flocks at night. 
LKA.2.9	An angel of the Lord appeared to them, and the glory of the Lord shone around them, and they were terrified. 
LKA.2.10	But the angel said to them, “Do not be afraid. I bring you good news that will cause great joy for all the people. 
LKA.2.11	Today in the town of David a Savior has been born to you; he is the Messiah, the Lord. 
LKA.2.12	This will be a sign to you: You will find a baby wrapped in cloths and lying in a manger.”
LKA.2.13	Suddenly a great company of the heavenly host appeared with the angel, praising God and saying,
