GEN.1.1	In the beginning God
GEN.1.1	created the heavens
GEN.1.1	and the earth.
GEN.1.2	The earth was barren,
GEN.1.2	with no form of life;
GEN.1.2	it was under a roaring ocean
GEN.1.2	covered with darkness.
GEN.1.2	But the Spirit of God
GEN.1.2	was moving over the water.
GEN.1.4	God looked at the light and saw that it was good. He separated light from darkness 
GEN.1.5	and named the light “Day” and the darkness “Night.” Evening came, then morning—that was the first day.
GEN.1.7	And that's what happened. God made the dome 
GEN.1.8	and named it “Sky.” Evening came, then morning—that was the second day.
GEN.1.9	God said, “I command the water under the sky to come together in one place, so there will be dry ground.” And that's what happened. 
GEN.1.10	God named the dry ground “Land,” and he named the water “Ocean.” God looked at what he had done and saw that it was good.
GEN.1.11	God said, “I command the earth to produce all kinds of plants, including fruit trees and grain.” And that's what happened. 
GEN.1.12	The earth produced all kinds of vegetation. God looked at what he had done, and it was good. 
GEN.1.13	Evening came, then morning—that was the third day.
GEN.1.14	God said, “I command lights to appear in the sky and to separate day from night and to show the time for seasons, special days, and years. 
GEN.1.15	I command them to shine on the earth.” And that's what happened. 
GEN.1.16	God made two powerful lights, the brighter one to rule the day and the other
GEN.1.17	Then God put these lights in the sky to shine on the earth, 
GEN.1.18	to rule day and night, and to separate light from darkness. God looked at what he had done, and it was good. 
GEN.1.19	Evening came, then morning—that was the fourth day.
GEN.1.20	God said, “I command the ocean to be full of living creatures, and I command birds to fly above the earth.” 
GEN.1.21	So God made the giant sea monsters and all the living creatures that swim in the ocean. He also made every kind of bird. God looked at what he had done, and it was good. 
GEN.1.22	Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth. 
GEN.1.23	Evening came, then morning—that was the fifth day.
GEN.1.24	God said, “I command the earth to give life to all kinds of tame animals, wild animals, and reptiles.” And that's what happened. 
GEN.1.25	God made every one of them. Then he looked at what he had done, and it was good.
GEN.1.28	God gave them his blessing and said:
GEN.1.28	Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.
GEN.1.29	I have provided all kinds of fruit and grain for you to eat. 
GEN.1.30	And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.
GEN.1.31	God looked at what he had done. All of it was very good! Evening came, then morning—that was the sixth day.
GEN.2.1	So the heavens and the earth and everything else were created.
GEN.2.3	God blessed the seventh day and made it special, because on that day he rested from his work.
GEN.2.4	That's how God created the heavens and the earth.
GEN.2.4	When the 
GEN.2.5	no grass or plants were growing anywhere. God had not yet sent any rain, and there was no one to work the land. 
GEN.2.6	But streams
GEN.2.8	The 
GEN.2.10	From Eden a river flowed out to water the garden, then it divided into four rivers. 
GEN.2.11	The first one is the Pishon River that flows through the land of Havilah, 
GEN.2.12	where pure gold, rare perfumes, and precious stones are found. 
GEN.2.13	The second is the Gihon River that winds through Ethiopia.
GEN.2.14	The Tigris River that flows east of Assyria is the third, and the fourth is the Euphrates River.
GEN.2.15	The 
GEN.2.16	But the 
GEN.2.17	except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”
GEN.2.18	The 
GEN.2.19+GEN.2.20	So the 
GEN.2.19+GEN.2.20	None of these was the right kind of partner for the man. 
GEN.2.21	So the 
GEN.2.22	the 
GEN.2.22	The 
GEN.2.23	and the man exclaimed,
GEN.2.23	“Here is someone like me!
GEN.2.23	She is part of my body,
GEN.2.23	my own flesh and bones.
GEN.2.23	She came from me, a man.
GEN.2.23	So I will name her Woman!”
GEN.2.25	Although the man and his wife were both naked, they were not ashamed.
GEN.3.2	The woman answered, “God said we could eat fruit from any tree in the garden, 
GEN.3.3	except the one in the middle. He told us not to eat fruit from that tree or even to touch it. If we do, we will die.”
GEN.3.4	“No, you won't!” the snake replied. 
GEN.3.5	“God understands what will happen on the day you eat fruit from that tree. You will see what you have done, and you will know the difference between right and wrong, just as God does.”
GEN.3.6	The woman stared at the fruit. It looked beautiful and tasty. She wanted the wisdom that it would give her, and she ate some of the fruit. Her husband was there with her, so she gave some to him, and he ate it too. 
GEN.3.7	At once they saw what they had done, and they realized they were naked. Then they sewed fig leaves together to cover themselves.
GEN.3.8	Late in the afternoon, when the breeze began to blow, the man and woman heard the 
GEN.3.9	The 
GEN.3.10	The man answered, “I was naked, and when I heard you walking through the garden, I was frightened and hid!”
GEN.3.11	“How did you know you were naked?” God asked. “Did you eat any fruit from that tree in the middle of the garden?”
GEN.3.12	“It was the woman you put here with me,” the man said. “She gave me some of the fruit, and I ate it.”
GEN.3.13	“The snake tricked me,” she answered, “and I ate some of that fruit.”
GEN.3.14	So the 
GEN.3.14	“Because of what you have done,
GEN.3.14	you will be the only animal
GEN.3.14	to suffer this curse—
GEN.3.14	For as long as you live,
GEN.3.14	you will crawl on your stomach
GEN.3.14	and eat dirt.
GEN.3.15	will hate each other;
GEN.3.15	your descendants and hers
GEN.3.15	will always be enemies.
GEN.3.15	One of hers will strike you
GEN.3.15	on the head,
GEN.3.15	and you will strike him
GEN.3.15	on the heel.”
GEN.3.16	Then the 
GEN.3.16	“You will suffer terribly
GEN.3.16	when you give birth.
GEN.3.16	But you will still desire
GEN.3.16	your husband,
GEN.3.16	and he will rule over you.”
GEN.3.17	“You listened to your wife
GEN.3.17	and ate the fruit
GEN.3.17	I told you not to eat.
GEN.3.17	And so, the ground
GEN.3.17	will be under a curse
GEN.3.17	because of what you did.
GEN.3.17	As long as you live,
GEN.3.17	you will have to struggle
GEN.3.17	to grow enough food.
GEN.3.18	Your food will be plants,
GEN.3.18	but the ground will produce
GEN.3.18	thorns and thistles.
GEN.3.19	You will sweat all your life
GEN.3.19	to earn a living;
GEN.3.19	you were made out of soil,
GEN.3.19	and you will once again
GEN.3.19	turn into soil.”
GEN.3.20	The man Adam
GEN.3.21	Then the 
GEN.3.23	So the 
GEN.3.24	Then God put winged creatures at the entrance to the garden and a flaming, flashing sword to guard the way to the life-giving tree.
GEN.4.1	Adam
GEN.4.2	Later she had another son and named him Abel.
GEN.4.2	Abel became a sheep farmer, but Cain farmed the land. 
GEN.4.3	One day, Cain gave part of his harvest to the 
GEN.4.4	 and Abel also gave an offering to the 
GEN.4.5	but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.
GEN.4.6	The 
GEN.4.6	What's wrong with you? Why do you look so angry? 
GEN.4.7	If you had done the right thing, you would be smiling.
GEN.4.9	Afterwards the 
GEN.4.9	“How should I know?” he answered. “Am I supposed to look after my brother?”
GEN.4.10	Why have you done this terrible thing? You killed your own brother, and his blood flowed onto the ground. Now his blood is calling out for me to punish you. 
GEN.4.11	And so, I'll put you under a curse. Because you killed Abel and made his blood run out on the ground, you will never be able to farm it again. 
GEN.4.12	When you try to farm the land, it won't produce anything for you. From now on, you'll be without a home, and you'll spend the rest of your life wandering from place to place.
GEN.4.13	“This punishment is too hard!” Cain said. 
GEN.4.14	“You're making me leave my home and live far from you.
GEN.4.15	“No!”
GEN.4.16	But Cain had to go far from the 
GEN.4.17	Later, Cain and his wife had a son named Enoch. At the time Cain was building a town, and so he named it Enoch after his son. 
GEN.4.18	Then Enoch had a son named Irad, who had a son named Mehujael, who had a son named Methushael, who had a son named Lamech.
GEN.4.19	Lamech married Adah, then Zillah. 
GEN.4.20+GEN.4.21	Lamech and Adah had two sons, Jabal and Jubal. Their son Jabal was the first to live in tents and raise sheep and goats. Jubal was the first to play harps and flutes.
GEN.4.22	Lamech and Zillah had a son named Tubal Cain who made tools out of bronze and iron. They also had a daughter, whose name was Naamah.
GEN.4.23	One day, Lamech said to his two wives, “A young man wounded me, and I killed him. 
GEN.4.24	Anyone who tries to get even with me will be punished ten times more than anyone who tries to get even with Cain.”
GEN.4.25	Adam and his wife had another son. They named him Seth, because they said, “God has given
GEN.4.26	Later, Seth had a son and named him Enosh.
GEN.4.26	About this time people started worshiping the 
GEN.5.3+GEN.5.4	When Adam was 130, he had a son who was just like him, and he named him Seth. Adam had more children 
GEN.5.5	and died at the age of 930.
GEN.5.6	When Seth was 105, he had a son named Enosh. 
GEN.5.7	Seth had more children 
GEN.5.8	and died at the age of 912.
GEN.5.9	When Enosh was 90, he had a son named Kenan. 
GEN.5.10	Enosh had more children 
GEN.5.11	and died at the age of 905.
GEN.5.12	When Kenan was 70, he had a son named Mahalalel. 
GEN.5.13	Kenan had more children 
GEN.5.14	and died at the age of 910.
GEN.5.15	When Mahalalel was 65, he had a son named Jared. 
GEN.5.16	Mahalalel had more children 
GEN.5.17	and died at the age of 895.
GEN.5.18	When Jared was 162, he had a son named Enoch. 
GEN.5.19	Jared had more children 
GEN.5.20	and died at the age of 962.
GEN.5.21	When Enoch was 65, he had a son named Methuselah, 
GEN.5.22	and during the next 300 years he had more children. Enoch truly loved God, 
GEN.5.23+GEN.5.24	 and God took him away at the age of 365.
GEN.5.25	When Methuselah was 187, he had a son named Lamech. 
GEN.5.26	Methuselah had more children 
GEN.5.27	and died at the age of 969.
GEN.5.28	When Lamech was one 182, he had a son. 
GEN.5.29	Lamech said, “I'll name him Noah because he will give us comfort,
GEN.5.30	Lamech had more children 
GEN.5.31	and died at the age of 777.
GEN.5.32	After Noah was 500 years old, he had three sons and named them Shem, Ham, and Japheth.
GEN.6.3	Then the 
GEN.6.6	He was sorry that he had made them, 
GEN.6.7	and he said, “I'm going to destroy every person on earth! I'll even wipe out animals, birds, and reptiles. I'm sorry I ever made them.”
GEN.6.8	But the 
GEN.6.9	 and this is the story about him. Noah was the only person who lived right and obeyed God. 
GEN.6.10	He had three sons: Shem, Ham, and Japheth.
GEN.6.11+GEN.6.12	God knew that everyone was terribly cruel and violent. 
GEN.6.13	So he told Noah:
GEN.6.13	Cruelty and violence have spread everywhere. Now I'm going to destroy the whole earth and all its people. 
GEN.6.14	Get some good lumber and build a boat. Put rooms in it and cover it with tar inside and out. 
GEN.6.15	Make it 133 meters long, 22 meters wide, and 13 meters high. 
GEN.6.16	Build a roof
GEN.6.17	I'm going to send a flood that will destroy everything that breathes! Nothing will be left alive. 
GEN.6.18	But I solemnly promise that you, your wife, your sons, and your daughters-in-law will be kept safe in the boat.
GEN.6.19+GEN.6.20	Take into the boat with you a male and a female of every kind of animal and bird, as well as a male and a female of every reptile. I don't want them to be destroyed. 
GEN.6.21	Store up enough food both for yourself and for them.
GEN.7.1	The 
GEN.7.1	Take your whole family with you into the boat, because you are the only one on this earth who pleases me. 
GEN.7.2	Take seven pairs of every kind of animal that can be used for sacrifice
GEN.7.3	Also take seven pairs of every kind of bird with you. Do this so there will always be animals and birds on the earth. 
GEN.7.4	Seven days from now I will send rain that will last for 40 days and nights, and I will destroy all other living creatures I have made.
GEN.7.8+GEN.7.9	He obeyed God and took a male and a female of each kind of animal and bird into the boat with him. 
GEN.7.10	Seven days later a flood began to cover the earth.
GEN.7.13	On that day Noah and his wife went into the boat with their three sons, Shem, Ham, and Japheth, and their wives. 
GEN.7.14	They took along every kind of animal, tame and wild, including the birds. 
GEN.7.15	Noah took a male and a female of every living creature with him, 
GEN.7.16	just as God had told him to do. And when they were all in the boat, the 
GEN.7.17+GEN.7.18	For 40 days the rain poured down without stopping. And the water became deeper and deeper, until the boat started floating high above the ground. 
GEN.7.19+GEN.7.20	Finally, the mighty flood was so deep that even the highest mountain peaks were about seven meters below the surface of the water. 
GEN.7.21	Not a bird, animal, reptile, or human was left alive anywhere on earth. 
GEN.7.22+GEN.7.23	 The 
GEN.7.24	A hundred fifty days later, the water started going down.
GEN.8.1	God did not forget about Noah and the animals with him in the boat. So God made a wind blow, and the water started going down. 
GEN.8.2	God stopped up the places where the water had been gushing out from under the earth. He also closed up the sky, and the rain stopped. 
GEN.8.3	For 150 days the water slowly went down. 
GEN.8.4	Then on the seventeenth day of the seventh month of the year, the boat came to rest somewhere in the Ararat mountains. 
GEN.8.5	The water kept going down, and the mountain tops could be seen on the first day of the tenth month.
GEN.8.6+GEN.8.7	Forty days later Noah opened a window to send out a raven, but it kept flying around until the water had dried up. 
GEN.8.8	Noah wanted to find out if the water had gone down, so he sent out a dove. 
GEN.8.9	Deep water was still everywhere, and when the dove could not find a place to land, it flew back to the boat. Then Noah held out his hand and helped it back in.
GEN.8.10	Seven days later Noah sent the dove out again. 
GEN.8.11	It returned in the evening, holding in its beak a green leaf from an olive tree. Noah knew the water was finally going down. 
GEN.8.12	He waited seven more days before sending the dove out again, and this time it did not return.
GEN.8.13	Noah was now 601 years old. And by the first day of that year, almost all the water had gone away. Noah made an opening in the roof of the boat
GEN.8.14	By the twenty-seventh day of the second month, the earth was completely dry.
GEN.8.15	God said to Noah, 
