GEN.1.1	In the beginning, when God created the universe,
GEN.1.2	the earth was formless and desolate. The raging ocean that covered everything was engulfed in total darkness, and the Spirit of God
GEN.1.3	 Then God commanded, “Let there be light”—and light appeared. 
GEN.1.4	God was pleased with what he saw. Then he separated the light from the darkness, 
GEN.1.5	and he named the light “Day” and the darkness “Night.” Evening passed and morning came—that was the first day.
GEN.1.8	He named the dome “Sky.” Evening passed and morning came—that was the second day.
GEN.1.9	Then God commanded, “Let the water below the sky come together in one place, so that the land will appear”—and it was done. 
GEN.1.10	He named the land “Earth,” and the water which had come together he named “Sea.” And God was pleased with what he saw. 
GEN.1.11	Then he commanded, “Let the earth produce all kinds of plants, those that bear grain and those that bear fruit”—and it was done. 
GEN.1.12	So the earth produced all kinds of plants, and God was pleased with what he saw. 
GEN.1.13	Evening passed and morning came—that was the third day.
GEN.1.14	Then God commanded, “Let lights appear in the sky to separate day from night and to show the time when days, years, and religious festivals
GEN.1.15	they will shine in the sky to give light to the earth”—and it was done. 
GEN.1.16	So God made the two larger lights, the sun to rule over the day and the moon to rule over the night; he also made the stars. 
GEN.1.17	He placed the lights in the sky to shine on the earth, 
GEN.1.18	to rule over the day and the night, and to separate light from darkness. And God was pleased with what he saw. 
GEN.1.19	Evening passed and morning came—that was the fourth day.
GEN.1.20	Then God commanded, “Let the water be filled with many kinds of living beings, and let the air be filled with birds.” 
GEN.1.21	So God created the great sea monsters, all kinds of creatures that live in the water, and all kinds of birds. And God was pleased with what he saw. 
GEN.1.22	He blessed them all and told the creatures that live in the water to reproduce and to fill the sea, and he told the birds to increase in number. 
GEN.1.23	Evening passed and morning came—that was the fifth day.
GEN.1.24	Then God commanded, “Let the earth produce all kinds of animal life: domestic and wild, large and small”—and it was done. 
GEN.1.25	So God made them all, and he was pleased with what he saw.
GEN.1.28	blessed them, and said, “Have many children, so that your descendants will live all over the earth and bring it under their control. I am putting you in charge of the fish, the birds, and all the wild animals. 
GEN.1.29	I have provided all kinds of grain and all kinds of fruit for you to eat; 
GEN.1.30	but for all the wild animals and for all the birds I have provided grass and leafy plants for food”—and it was done. 
GEN.1.31	God looked at everything he had made, and he was very pleased. Evening passed and morning came—that was the sixth day.
GEN.2.1	And so the whole universe was completed. 
GEN.2.3	He blessed the seventh day and set it apart as a special day, because by that day he had completed his creation
GEN.2.4	And that is how the universe was created.
GEN.2.4	When the 
GEN.2.5	there were no plants on the earth and no seeds had sprouted, because he had not sent any rain, and there was no one to cultivate the land; 
GEN.2.6	but water would come up from beneath the surface and water the ground.
GEN.2.8	Then the 
GEN.2.9	 He made all kinds of beautiful trees grow there and produce good fruit. In the middle of the garden stood the tree that gives life and the tree that gives knowledge of what is good and what is bad.
GEN.2.10	A stream flowed in Eden and watered the garden; beyond Eden it divided into four rivers. 
GEN.2.11	The first river is the Pishon; it flows around the country of Havilah. ( 
GEN.2.12	Pure gold is found there and also rare perfume and precious stones.) 
GEN.2.13	The second river is the Gihon; it flows around the country of Cush.
GEN.2.14	The third river is the Tigris, which flows east of Assyria, and the fourth river is the Euphrates.
GEN.2.15	Then the 
GEN.2.16	He told him, “You may eat the fruit of any tree in the garden, 
GEN.2.17	except the tree that gives knowledge of what is good and what is bad.
GEN.2.18	Then the 
GEN.2.19	So he took some soil from the ground and formed all the animals and all the birds. Then he brought them to the man to see what he would name them; and that is how they all got their names. 
GEN.2.20	So the man named all the birds and all the animals; but not one of them was a suitable companion to help him.
GEN.2.21	Then the 
GEN.2.22	He formed a woman out of the rib and brought her to him. 
GEN.2.23	Then the man said,
GEN.2.23	“At last, here is one of my own kind—
GEN.2.23	Bone taken from my bone, and flesh from my flesh.
GEN.2.23	‘Woman’ is her name because she was taken out of man.”
GEN.2.25	The man and the woman were both naked, but they were not embarrassed.
GEN.3.2	“We may eat the fruit of any tree in the garden,” the woman answered, 
GEN.3.3	“except the tree in the middle of it. God told us not to eat the fruit of that tree or even touch it; if we do, we will die.”
GEN.3.4	The snake replied, “That's not true; you will not die. 
GEN.3.5	God said that because he knows that when you eat it, you will be like God
GEN.3.6	The woman saw how beautiful the tree was and how good its fruit would be to eat, and she thought how wonderful it would be to become wise. So she took some of the fruit and ate it. Then she gave some to her husband, and he also ate it. 
GEN.3.7	As soon as they had eaten it, they were given understanding and realized that they were naked; so they sewed fig leaves together and covered themselves.
GEN.3.8	That evening they heard the 
GEN.3.9	But the 
GEN.3.10	He answered, “I heard you in the garden; I was afraid and hid from you, because I was naked.”
GEN.3.11	“Who told you that you were naked?” God asked. “Did you eat the fruit that I told you not to eat?”
GEN.3.12	The man answered, “The woman you put here with me gave me the fruit, and I ate it.”
GEN.3.13	She replied, “The snake tricked me into eating it.”
GEN.3.14	Then the 
GEN.3.15	 I will make you and the woman hate each other; her offspring and yours will always be enemies. Her offspring will crush your head, and you will bite her offspring's
GEN.3.16	And he said to the woman, “I will increase your trouble in pregnancy and your pain in giving birth. In spite of this, you will still have desire for your husband, yet you will be subject to him.”
GEN.3.18	It will produce weeds and thorns, and you will have to eat wild plants. 
GEN.3.19	You will have to work hard and sweat to make the soil produce anything, until you go back to the soil from which you were formed. You were made from soil, and you will become soil again.”
GEN.3.20	Adam
GEN.3.21	And the 
GEN.3.23	So the 
GEN.3.24	Then at the east side of the garden he put living creatures
GEN.4.1	Then Adam had intercourse with his wife, and she became pregnant. She bore a son and said, “By the 
GEN.4.2	Later she gave birth to another son, Abel. Abel became a shepherd, but Cain was a farmer. 
GEN.4.3	After some time Cain brought some of his harvest and gave it as an offering to the 
GEN.4.4	 Then Abel brought the first lamb born to one of his sheep, killed it, and gave the best parts of it as an offering. The 
GEN.4.5	but he rejected Cain and his offering. Cain became furious, and he scowled in anger. 
GEN.4.6	Then the 
GEN.4.7	If you had done the right thing, you would be smiling;
GEN.4.9	The 
GEN.4.9	He answered, “I don't know. Am I supposed to take care of my brother?”
GEN.4.11	You are placed under a curse and can no longer farm the soil. It has soaked up your brother's blood as if it had opened its mouth to receive it when you killed him. 
GEN.4.12	If you try to grow crops, the soil will not produce anything; you will be a homeless wanderer on the earth.”
GEN.4.13	And Cain said to the 
GEN.4.14	You are driving me off the land and away from your presence. I will be a homeless wanderer on the earth, and anyone who finds me will kill me.”
GEN.4.15	But the 
GEN.4.16	And Cain went away from the 
GEN.4.17	Cain and his wife had a son and named him Enoch. Then Cain built a city and named it after his son. 
GEN.4.18	Enoch had a son named Irad, who was the father of Mehujael, and Mehujael had a son named Methushael, who was the father of Lamech. 
GEN.4.19	Lamech had two wives, Adah and Zillah. 
GEN.4.20	Adah gave birth to Jabal, who was the ancestor of those who raise livestock and live in tents. 
GEN.4.21	His brother was Jubal, the ancestor of all musicians who play the harp and the flute. 
GEN.4.22	Zillah gave birth to Tubal Cain, who made all kinds of tools
GEN.4.23	Lamech said to his wives,
GEN.4.23	“Adah and Zillah, listen to me:
GEN.4.23	I have killed a young man because he struck me.
GEN.4.24	If seven lives are taken to pay for killing Cain,
GEN.4.24	Seventy-seven will be taken if anyone kills me.”
GEN.4.25	Adam and his wife had another son. She said, “God has given me a son to replace Abel, whom Cain killed.” So she named him Seth.
GEN.4.26	Seth had a son whom he named Enosh. It was then that people began using the 
GEN.5.2	 He created them male and female, blessed them, and named them “Human Beings.”) 
GEN.5.3	When Adam was 130 years old, he had a son who was like him, and he named him Seth. 
GEN.5.4	After that, Adam lived another 800 years. He had other children 
GEN.5.5	and died at the age of 930.
GEN.5.6	When Seth was 105, he had a son, Enosh, 
GEN.5.7	and then lived another 807 years. He had other children 
GEN.5.8	and died at the age of 912.
GEN.5.9	When Enosh was 90, he had a son, Kenan, 
GEN.5.10	and then lived another 815 years. He had other children 
GEN.5.11	and died at the age of 905.
GEN.5.12	When Kenan was 70, he had a son, Mahalalel, 
GEN.5.13	and then lived another 840 years. He had other children 
GEN.5.14	and died at the age of 910.
GEN.5.15	When Mahalalel was 65, he had a son, Jared, 
GEN.5.16	and then lived another 830 years. He had other children 
GEN.5.17	and died at the age of 895.
GEN.5.18	When Jared was 162, he had a son, Enoch, 
GEN.5.19	and then lived another 800 years. He had other children 
GEN.5.20	and died at the age of 962.
GEN.5.21	When Enoch was 65, he had a son, Methuselah. 
GEN.5.22	After that, Enoch lived in fellowship with God for 300 years and had other children. 
GEN.5.23	He lived to be 365 years old. 
GEN.5.24	 He spent his life in fellowship with God, and then he disappeared, because God took him away.
GEN.5.25	When Methuselah was 187, he had a son, Lamech, 
GEN.5.26	and then lived another 782 years. He had other children 
GEN.5.27	and died at the age of 969.
GEN.5.28	When Lamech was 182, he had a son 
GEN.5.29	and said, “From the very ground on which the 
GEN.5.30	Lamech lived another 595 years. He had other children 
GEN.5.31	and died at the age of 777.
GEN.5.32	After Noah was 500 years old, he had three sons, Shem, Ham, and Japheth.
GEN.6.2	some of the heavenly beings
GEN.6.3	Then the 
GEN.6.4	 In those days, and even later, there were giants on the earth who were descendants of human women and the heavenly beings. They were the great heroes and famous men of long ago.
GEN.6.6	he was sorry that he had ever made them and put them on the earth. He was so filled with regret 
GEN.6.7	that he said, “I will wipe out these people I have created, and also the animals and the birds, because I am sorry that I made any of them.” 
GEN.6.8	But the 
GEN.6.11	but everyone else was evil in God's sight, and violence had spread everywhere. 
GEN.6.12	God looked at the world and saw that it was evil, for the people were all living evil lives.
GEN.6.13	God said to Noah, “I have decided to put an end to all people. I will destroy them completely, because the world is full of their violent deeds. 
GEN.6.14	Build a boat for yourself out of good timber; make rooms in it and cover it with tar inside and out. 
GEN.6.15	Make it 450 feet long, 75 feet wide, and 45 feet high. 
GEN.6.16	Make a roof
GEN.6.17	I am going to send a flood on the earth to destroy every living being. Everything on the earth will die, 
GEN.6.18	but I will make a covenant with you. Go into the boat with your wife, your sons, and their wives. 
GEN.6.19+GEN.6.20	Take into the boat with you a male and a female of every kind of animal and of every kind of bird, in order to keep them alive. 
GEN.6.21	Take along all kinds of food for you and for them.” 
GEN.6.22	 Noah did everything that God commanded.
GEN.7.1	The 
GEN.7.2	Take with you seven pairs of each kind of ritually clean animal, but only one pair of each kind of unclean animal. 
GEN.7.3	Take also seven pairs of each kind of bird. Do this so that every kind of animal and bird will be kept alive to reproduce again on the earth. 
GEN.7.4	Seven days from now I am going to send rain that will fall for forty days and nights, in order to destroy all the living beings that I have made.” 
GEN.7.5	And Noah did everything that the 
GEN.7.6	Noah was six hundred years old when the flood came on the earth. 
GEN.7.7	 He and his wife, and his sons and their wives, went into the boat to escape the flood. 
GEN.7.8	A male and a female of every kind of animal and bird, whether ritually clean or unclean, 
GEN.7.9	went into the boat with Noah, as God had commanded. 
GEN.7.10	Seven days later the flood came.
GEN.7.12	and rain fell on the earth for forty days and nights. 
GEN.7.13	On that same day Noah and his wife went into the boat with their three sons, Shem, Ham, and Japheth, and their wives. 
GEN.7.14	With them went every kind of animal, domestic and wild, large and small, and every kind of bird. 
GEN.7.15	A male and a female of each kind of living being went into the boat with Noah, 
GEN.7.16	as God had commanded. Then the 
GEN.7.17	The flood continued for forty days, and the water became deep enough for the boat to float. 
GEN.7.18	The water became deeper, and the boat drifted on the surface. 
GEN.7.19	It became so deep that it covered the highest mountains; 
GEN.7.20	it went on rising until it was about twenty-five feet above the tops of the mountains. 
GEN.7.21	Every living being on the earth died—every bird, every animal, and every person. 
GEN.7.22	Everything on earth that breathed died. 
GEN.7.23	The 
GEN.7.24	The water did not start going down for a hundred and fifty days.
GEN.8.1	God had not forgotten Noah and all the animals with him in the boat; he caused a wind to blow, and the water started going down. 
GEN.8.2	The outlets of the water beneath the earth and the floodgates of the sky were closed. The rain stopped, 
GEN.8.3	and the water gradually went down for 150 days. 
GEN.8.4	On the seventeenth day of the seventh month the boat came to rest on a mountain in the Ararat range. 
GEN.8.5	The water kept going down, and on the first day of the tenth month the tops of the mountains appeared.
GEN.8.6	After forty days Noah opened a window 
GEN.8.7	and sent out a raven. It did not come back, but kept flying around until the water was completely gone. 
GEN.8.8	Meanwhile, Noah sent out a dove to see if the water had gone down, 
GEN.8.9	but since the water still covered all the land, the dove did not find a place to light. It flew back to the boat, and Noah reached out and took it in. 
GEN.8.10	He waited another seven days and sent out the dove again. 
GEN.8.11	It returned to him in the evening with a fresh olive leaf in its beak. So Noah knew that the water had gone down. 
GEN.8.12	Then he waited another seven days and sent out the dove once more; this time it did not come back.
GEN.8.13	When Noah was 601 years old, on the first day of the first month, the water was gone. Noah removed the covering of the boat, looked around, and saw that the ground was getting dry. 
GEN.8.14	By the twenty-seventh day of the second month the earth was completely dry.
GEN.8.15	God said to Noah, 
GEN.8.16	“Go out of the boat with your wife, your sons, and their wives. 
GEN.8.17	Take all the birds and animals out with you, so that they may reproduce and spread over all the earth.” 
GEN.8.18	So Noah went out of the boat with his wife, his sons, and their wives. 
GEN.8.19	All the animals and birds went out of the boat in groups of their own kind.
GEN.8.20	Noah built an altar to the 
GEN.8.21	The odor of the sacrifice pleased the 
GEN.8.22	As long as the world exists, there will be a time for planting and a time for harvest. There will always be cold and heat, summer and winter, day and night.”
GEN.9.2	All the animals, birds, and fish will live in fear of you. They are all placed under your power. 
GEN.9.3	Now you can eat them, as well as green plants; I give them all to you for food. 
GEN.9.4	 The one thing you must not eat is meat with blood still in it; I forbid this because the life is in the blood. 
GEN.9.5	If anyone takes human life, he will be punished. I will punish with death any animal that takes a human life. 
GEN.9.6	 Human beings were made like God, so whoever murders one of them will be killed by someone else.
GEN.9.8	God said to Noah and his sons, 
GEN.9.9	“I am now making my covenant with you and with your descendants, 
GEN.9.10	and with all living beings—all birds and all animals—everything that came out of the boat with you. 
GEN.9.11	With these words I make my covenant with you: I promise that never again will all living beings be destroyed by a flood; never again will a flood destroy the earth. 
GEN.9.12	As a sign of this everlasting covenant which I am making with you and with all living beings, 
GEN.9.13	I am putting my bow in the clouds. It will be the sign of my covenant with the world. 
GEN.9.14	Whenever I cover the sky with clouds and the rainbow appears, 
GEN.9.15	I will remember my promise to you and to all the animals that a flood will never again destroy all living beings. 
GEN.9.16	When the rainbow appears in the clouds, I will see it and remember the everlasting covenant between me and all living beings on earth. 
GEN.9.17	That is the sign of the promise which I am making to all living beings.”
GEN.9.18	The sons of Noah who went out of the boat were Shem, Ham, and Japheth. (Ham was the father of Canaan.) 
GEN.9.19	These three sons of Noah were the ancestors of all the people on earth.
GEN.9.20	Noah, who was a farmer, was the first man to plant a vineyard. 
GEN.9.21	After he drank some of the wine, he became drunk, took off his clothes, and lay naked in his tent. 
GEN.9.22	When Ham, the father of Canaan, saw that his father was naked, he went out and told his two brothers. 
GEN.9.23	Then Shem and Japheth took a robe and held it behind them on their shoulders. They walked backward into the tent and covered their father, keeping their faces turned away so as not to see him naked. 
GEN.9.24	When Noah sobered up and learned what his youngest son had done to him, 
GEN.9.25	he said,
GEN.9.25	“A curse on Canaan!
GEN.9.25	He will be a slave to his brothers.
GEN.9.26	Give praise to the 
GEN.9.26	Canaan will be the slave of Shem.
GEN.9.27	May God cause Japheth
GEN.9.27	May his descendants live with the people of Shem!
GEN.9.27	Canaan will be the slave of Japheth.”
GEN.9.28	After the flood Noah lived 350 years 
GEN.9.29	and died at the age of 950.
GEN.10.1	These are the descendants of Noah's sons, Shem, Ham, and Japheth. These three had sons after the flood.
GEN.10.2	The sons of Japheth—Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras—were the ancestors of the peoples who bear their names. 
GEN.10.3	The descendants of Gomer were the people of Ashkenaz, Riphath, and Togarmah. 
GEN.10.4	The descendants of Javan were the people of Elishah, Spain, Cyprus, and Rhodes; 
GEN.10.5	they were the ancestors of the people who live along the coast and on the islands. These are the descendants of Japheth, living in their different tribes and countries, each group speaking its own language.
GEN.10.6	The sons of Ham—Cush, Egypt, Libya, and Canaan—were the ancestors of the peoples who bear their names. 
GEN.10.7	The descendants of Cush were the people of Seba, Havilah, Sabtah, Raamah, and Sabteca. The descendants of Raamah were the people of Sheba and Dedan. 
GEN.10.8	Cush had a son named Nimrod, who became the world's first great conqueror. 
GEN.10.9	By the 
GEN.10.10	At first his kingdom included Babylon, Erech, and Accad, all three of them in Babylonia. 
GEN.10.11	From that land he went to Assyria and built the cities of Nineveh, Rehoboth Ir, Calah, 
GEN.10.12	and Resen, which is between Nineveh and the great city of Calah.
GEN.10.13	The descendants of Egypt were the people of Lydia, Anam, Lehab, Naphtuh, 
GEN.10.14	Pathrus, Casluh, and of Crete, from whom the Philistines are descended.
GEN.10.15	Canaan's sons—Sidon, the oldest, and Heth—were the ancestors of the peoples who bear their names. 
GEN.10.16	Canaan was also the ancestor of the Jebusites, the Amorites, the Girgashites, 
GEN.10.17	the Hivites, the Arkites, the Sinites, 
GEN.10.18	the Arvadites, the Zemarites, and the Hamathites. The different tribes of the Canaanites spread out, 
GEN.10.19	until the Canaanite borders reached from Sidon southward to Gerar near Gaza, and eastward to Sodom, Gomorrah, Admah, and Zeboiim near Lasha. 
GEN.10.20	These are the descendants of Ham, living in their different tribes and countries, each group speaking its own language.
GEN.10.21	Shem, the older brother of Japheth, was the ancestor of all the Hebrews. 
GEN.10.22	Shem's sons—Elam, Asshur, Arpachshad, Lud, and Aram—were the ancestors of the peoples who bear their names. 
GEN.10.23	The descendants of Aram were the people of Uz, Hul, Gether, and Meshek. 
GEN.10.24	Arpachshad was the father of Shelah, who was the father of Eber. 
GEN.10.25	Eber had two sons: one was named Peleg,
GEN.10.26	The descendants of Joktan were the people of Almodad, Sheleph, Hazarmaveth, Jerah, 
GEN.10.27	Hadoram, Uzal, Diklah, 
GEN.10.28	Obal, Abimael, Sheba, 
GEN.10.29	Ophir, Havilah, and Jobab. All of them were descended from Joktan. 
GEN.10.30	The land in which they lived extended from Mesha to Sephar in the eastern hill country. 
GEN.10.31	These are the descendants of Shem, living in their different tribes and countries, each group speaking its own language.
GEN.10.32	All these peoples are the descendants of Noah, nation by nation, according to their different lines of descent. After the flood all the nations of the earth were descended from the sons of Noah.
GEN.11.1	At first, the people of the whole world had only one language and used the same words. 
GEN.11.2	As they wandered about in the East, they came to a plain in Babylonia and settled there. 
GEN.11.3	They said to one another, “Come on! Let's make bricks and bake them hard.” So they had bricks to build with and tar to hold them together. 
GEN.11.4	They said, “Now let's build a city with a tower that reaches the sky, so that we can make a name for ourselves and not be scattered all over the earth.”
GEN.11.5	Then the 
GEN.11.6	and he said, “Now then, these are all one people and they speak one language; this is just the beginning of what they are going to do. Soon they will be able to do anything they want! 
GEN.11.7	Let us go down and mix up their language so that they will not understand each other.” 
GEN.11.8	So the 
GEN.11.9	The city was called Babylon,
GEN.11.10	These are the descendants of Shem. Two years after the flood, when Shem was 100 years old, he had a son, Arpachshad. 
GEN.11.11	After that, he lived another 500 years and had other children.
