GEN.1.1	 In the beginning God created heaven and earth.
GEN.1.2	 The earth was formless and empty, and darkness covered the deep water. The Spirit of God was hovering over the water.
GEN.1.3	 Then God said, “Let there be light!” So there was light. 
GEN.1.4	 God saw the light was good. So God separated the light from the darkness. 
GEN.1.5	 God named the light 
GEN.1.6	 Then God said, “Let there be a horizon in the middle of the water in order to separate the water.” 
GEN.1.7	 So God made the horizon and separated the water above and below the horizon. And so it was. 
GEN.1.8	 God named ⌊what was above⌋ the horizon 
GEN.1.9	 Then God said, “Let the water under the sky come together in one area, and let the dry land appear.” And so it was. 
GEN.1.10	 God named the dry land 
GEN.1.11	 Then God said, “Let the earth produce vegetation: plants bearing seeds, each according to its own type, and fruit trees bearing fruit with seeds, each according to its own type.” And so it was. 
GEN.1.12	 The earth produced vegetation: plants bearing seeds, each according to its own type, and trees bearing fruit with seeds, each according to its own type. God saw that they were good. 
GEN.1.13	 There was evening, then morning—a third day.
GEN.1.14	 Then God said, “Let there be lights in the sky to separate the day from the night. They will be signs and will mark religious festivals, days, and years. 
GEN.1.15	 They will be lights in the sky to shine on the earth.” And so it was. 
GEN.1.16	 God made the two bright lights: the larger light to rule the day and the smaller light to rule the night. He also made the stars. 
GEN.1.17	 God put them in the sky to give light to the earth, 
GEN.1.18	 to dominate the day and the night, and to separate the light from the darkness. God saw that it was good. 
GEN.1.19	 There was evening, then morning—a fourth day.
GEN.1.20	 Then God said, “Let the water swarm with swimming creatures, and let birds fly through the sky over the earth.” 
GEN.1.21	 So God created the large sea creatures, every type of creature that swims around in the water and every type of flying bird. God saw that they were good. 
GEN.1.22	 God blessed them and said, “Be fertile, increase in number, fill the sea, and let there be many birds on the earth.” 
GEN.1.23	 There was evening, then morning—a fifth day.
GEN.1.24	 Then God said, “Let the earth produce every type of living creature: every type of domestic animal, crawling animal, and wild animal.” And so it was. 
GEN.1.25	 God made every type of wild animal, every type of domestic animal, and every type of creature that crawls on the ground. God saw that they were good.
GEN.1.26	 Then God said, “Let us make humans in our image, in our likeness. Let them rule the fish in the sea, the birds in the sky, the domestic animals all over the earth, and all the animals that crawl on the earth.”
GEN.1.27	 So God created humans in his image.
GEN.1.27	In the image of God he created them.
GEN.1.27	He created them male and female.
GEN.1.28	 God blessed them and said, “Be fertile, increase in number, fill the earth, and be its master. Rule the fish in the sea, the birds in the sky, and all the animals that crawl on the earth.”
GEN.1.29	 God said, “I have given you every plant with seeds on the face of the earth and every tree that has fruit with seeds. This will be your food. 
GEN.1.30	 I have given all green plants as food to every land animal, every bird in the sky, and every animal that crawls on the earth—every living, breathing animal.” And so it was.
GEN.1.31	 And God saw everything that he had made and that it was very good. There was evening, then morning—the sixth day.
GEN.2.1	 Heaven and earth and everything in them were finished. 
GEN.2.2	 By the seventh day God had finished the work he had been doing. On the seventh day he stopped the work he had been doing. 
GEN.2.3	 Then God blessed the seventh day and set it apart as holy, because on that day he stopped all his work of creation.
GEN.2.4	 This is the account of heaven and earth when they were created, at the time when the L
GEN.2.5	 Wild bushes and plants were not on the earth yet because the L
GEN.2.6	 Instead, underground water would come up from the earth and water the entire surface of the ground.
GEN.2.7	 Then the L
GEN.2.8	 The L
GEN.2.9	 The L
GEN.2.10	 A river flowed from Eden to water the garden. Outside the garden it divided into four rivers. 
GEN.2.11	 The name of the first river is Pishon. This is the one that winds throughout Havilah, where there is gold. 
GEN.2.12	 (The gold of that land is pure. Bdellium 
GEN.2.13	 The name of the second river is Gihon. This is the one that winds throughout Sudan. 
GEN.2.14	 The name of the third river is Tigris. This is the one that flows east of Assyria. The fourth river is the Euphrates.
GEN.2.15	 Then the L
GEN.2.16	 The L
GEN.2.17	 But you must never eat from the tree of the knowledge of good and evil because when you eat from it, you will certainly die.”
GEN.2.18	 Then the L
GEN.2.19	 The L
GEN.2.20	 So the man named all the domestic animals, all the birds, and all the wild animals.
GEN.2.20	But the man found no helper who was right for him. 
GEN.2.21	 So the L
GEN.2.22	 Then the L
GEN.2.23	 The man said,
GEN.2.23	“This is now bone of my bones and flesh of my flesh.
GEN.2.23	She will be named 
GEN.2.23	because she was taken from man.”
GEN.2.24	 That is why a man will leave his father and mother and will be united with his wife, and they will become one flesh. 
GEN.2.25	 The man and his wife were both naked, but they weren’t ashamed of it.
GEN.3.1	 The snake was more clever than all the wild animals the L
GEN.3.2	 The woman answered the snake, “We’re allowed to eat the fruit from any tree in the garden 
GEN.3.3	 except the tree in the middle of the garden. God said, ‘You must never eat it or touch it. If you do, you will die!’ ”
GEN.3.4	 “You certainly won’t die!” the snake told the woman. 
GEN.3.5	 “God knows that when you eat it your eyes will be opened. You’ll be like God, knowing good and evil.”
