GEN.1.1	Nutem etellrani Agayutem ellarpak nuna-llu piliaqellruak. 
GEN.1.2	Nuna-llu eluciinani, imaunani-llu. Tan'gerem mer'em-llu caqumaluku. Agayutem-llu anernera pekluni mer'em qaingakun. 
GEN.1.3	Tua-llu Agayun alerquiguq, “Tanqigtangli” —tanqik-llu piurrluni. 
GEN.1.4	Agayutem-llu tanqik tangrramiu assikaa. Elliin-llu avtak tanqik tan'geq-llu. 
GEN.1.5	Aciraa-llu tanqik “Ernermek” tan'geq-llu “Unugmek.” Atakuq pelluggaartelluku unuakurtuq —tua-i tauna erenret ciuqliat.
GEN.1.6+GEN.1.7	Tuamta-llu Agayun qanertuq, “Qilakutartangli tumarnermek mer'ek akuliik, avvlukek malruurrlukek mer'ek” —tuaten-llu ellirluni. Agayutem-llu piliaqaa qilakutaq mer'ek avvlukek, aipaa qilakutam acianun, aipaa-llu quliinun. 
GEN.1.8	Pagna-llu qilakutaq piliaqellni aciraa “Qilagmek.” Atakuq pelluggaartelluku unuakurtuq —waniwa erenrem aipaa.
GEN.1.9	Tuamta-llu Agayun qanertuq, “Mer'et quyurrlit mer'em aciani ataucimun kinertellria-llu alairli” —tuaten-llu ellirluni. 
GEN.1.10	Kinertellria-llu aciraa “Nunamek.” Mer'et-llu quyungqalriit acirluki “Imarpignek.” Agayutem-llu tangrraa assirluni. 
GEN.1.11	Tua-llu Agayun qanertuq, “Nuna naugili, ayuqenrilngurnek naugiluni, naunrarnek naucetaarkalegnek, napanek atsangtulinek atsait qumilegnek naucetaarkameggnek, ayuqmeggnek naugiarkauluteng nunami” —tuaten-llu ellirluni. 
GEN.1.12	Nuna-llu naugiuq naunrarnek, napanek atsangtulinek naucetaarkalegnek ayuqmeggnek naugiarkauluteng. Agayutem-llu tangrraa assirluni. 
GEN.1.13	Atakuq pelluggaartelluku unuakurtuq —waniwa erenret pingayuat.
GEN.1.14	Tuamta-llu Agayun qanertuq, “Qilak tanqigcetellrianek pitangli avegluku erneq unugmek. Nallunailkutaukilit uksumun, kiagmun, ernernun, allrakunun, yuut-llu ukvemeggnun cayaraita nallaitnun. 
GEN.1.15	Tanqiulit pagaani, nuna tanqigmek ciqinqerluku.” Tuaten-llu ellirluni. 
