MAT.1.1	Ḿfa nâ ane ndə́p-i-njû Jisos Krayis nnyo eyábhé-mmon í Debhit. Debhit a ri eyábhé-mmon Abraham.
MAT.1.2	Abraham nâ a ri ńsé Isak, Isak ńsé Jakop, Jakop ńsé Juda na abhon-í-nnyen abhê. 
MAT.1.3	Juda a ri ńsé Peres na Sera. Nnyen ábho a ri Tama. Peres a ri ńsé Esron, Esron ńsé Ram. 
MAT.1.4	Ram ńsé Aminadap, Aminadap ńsé Nason, Nason ńsé Saramun, 
MAT.1.5	Saramun ńsé Boyas. Nnyen i Boyas a ri Rayap. Boyas a ri ńsé Obet. Nnyen Obet a ri Rut. Obet a ri ńsé Jesi. 
MAT.1.6	Jesi ńsé ntûfâm i Debhit.
MAT.1.6	Debhit a ri ńsé Soromon. Nnyen i Soromon a râŋ mbá a jóe nkáé Uraya. 
MAT.1.7	Soromon a ri ńsé Reyoboyam, Reyoboyam ńsé Abija, Abija ńsé Asa. 
MAT.1.8	Asa a ri ńsé Jeyosafat, Jeyosafat ńsé Jeyoram, Jeyoram ńsé Usaya, 
MAT.1.9	Usaya ńsé Jotam, Jotam ńsé Ayas, Ayas ńsé Esekaya, 
MAT.1.10	Esekaya ńsé Manase, Manase ńsé Amon, Amon ńsé Josaya. 
MAT.1.11	Josaya nâ a ri ńsé Jekonaya na abhon-í-nnyen abhê. Nâ ebhú á fíi ane Isrel noŋ asʉ́ŋ á jak nnyi Babiron.
MAT.1.12	Kən ábho á kpó to á mân ka osʉ́ŋ mbí, Jekonaya a jóe ńsé Seyatiye, Seyatiye ńsé Serubabe, 
MAT.1.13	Serubabe ńsé Abiyut, Abiyut ńsé Irayakim, Irayakim ńsé Aso, 
MAT.1.14	Aso ńsé Sadok, Sadok ńsé Akim, Akim ńsé Erayut, 
MAT.1.15	Erayut ńsé Eriyesa, Eriyesa ńsé Matan, Matan ńsé Jakop, 
MAT.1.16	Jakop ńsé Jusep nnyo ndûm i Meri. A ri Meri nnyó nâ a jíi Jisos nnyo á kamá se Krayis, nne nnyo Obhasi a túmi se a yim ngun á sém.
MAT.1.17	Nâ é rî sê ndaŋa-mbá, é róghé ka ebhú Abraham ta o sî ebhú Debhit, mfan i ńgyímí ásé na abhon a ri ófó na énî. Osúí ébháe, é róghé ka ebhú Debhit ta o sî ebhú á fíi ane Isrel á jak nnyi Babiron, mfan i ńgyímí a ri fə́ne ófó na énî. Ejeghé a ri ka ebhú á fíi ane Isrel ta o sî ebhú á jíi Krayis, nne nnyo Obhasi a túmi se a yim ngun á sém, mfan i ńgyímí ásé na abhon a ri ófó na énî.
MAT.1.18	Ńgyê noŋ á jíi Jisos Krayis. Nnyen owe Meri a ri nkáé nnyo Jusep a gyée. Kən kpe atem á ká məŋé, Meri a fôn oya. Oya mbí ó dʉ̂ ka ikom Obhasi Ebhare Ntʉgantʉ,
