GEN.1.1	Hasieran, Jainkoak zeru-lurrak egin zituen
GEN.1.2	Lurra nahas-mahas hutsa zen: leize handiaren gain ilunpea. Jainkoaren arnasa
GEN.1.3	Eta Jainkoak esan zuen: «Izan bedi argia».
GEN.1.3	Eta izan zen argia.
GEN.1.4	Ikusi zuen Jainkoak argia ona zela
GEN.1.5	argiari «egun» eman zion izen eta ilunpeei «gau». Honela, lehen eguna burutu zen
GEN.1.6	Jainkoak esan zuen: «Izan bedi sabaia
GEN.1.6	Eta hala izan zen. 
GEN.1.7	Jainkoak sabaia egin zuen eta sabai azpiko urak sabai gainekoetatik bereizi zituen. 
GEN.1.8	Jainkoak sabaiari «zeru» eman zion izen. Honela, bigarren eguna burutu zen.
GEN.1.9	Jainkoak esan zuen: «Bil bitez multzoan
GEN.1.9	Eta hala izan zen. 
GEN.1.10	Lehorrari «lur» eman zion izen eta ur-multzoari «itsaso». Eta Jainkoak ona zela ikusi zuen.
GEN.1.11	Jainkoak esan zuen: «Eman bitza lurrak belar hezea, hazidun landareak eta orotariko fruta-arbolak beren hazi eta guzti».
GEN.1.11	Eta hala izan zen. 
GEN.1.12	Eta lurrak orotariko hazidun landareak eta fruta-arbolak beren hazi eta guzti eman zituen. Eta Jainkoak ona zela ikusi zuen. 
GEN.1.13	Honela, hirugarren eguna burutu zen.
GEN.1.14	Jainkoak esan zuen: «Izan bitez argizagiak
GEN.1.15	Izan bitez zeru-sabaian lurrari argi egiteko».
GEN.1.15	Eta hala izan zen. 
GEN.1.16	Jainkoak bi argizagi handi egin zituen: handiena egunaren gain jartzeko eta txikiena gauaren gain. Eta izarrak ere egin zituen.
GEN.1.17	Zeru-sabaian ezarri zituen lurrari argi egiteko, 
GEN.1.18	egunaren eta gauaren gain jartzeko, argia eta ilunpea bereizteko. Eta Jainkoak ona zela ikusi zuen. 
GEN.1.19	Honela, laugarren eguna burutu zen.
GEN.1.20	Jainkoak esan zuen: «Egin bezate urek borbor bizidunez; egin bezate hegan hegaztiek lurraren gainean, airean».
GEN.1.21	Jainkoak itsas arraintzarrak sortu zituen, uretan borbor dabiltzan orotariko bizidunak eta orotariko hegaztiak. Eta Jainkoak ona zela ikusi zuen. 
GEN.1.22	Eta bedeinkatu egin zituen
GEN.1.23	Honela, bosgarren eguna burutu zen.
GEN.1.24	Jainkoak esan zuen: «Eman bitza lurrak orotariko bizidunak: abereak, piztiak eta narrastiak».
GEN.1.24	Eta hala izan zen. 
GEN.1.25	Jainkoak orotariko bizidunak sortu zituen: abereak, piztiak eta narrastiak. Eta Jainkoak ona zela ikusi zuen.
GEN.1.26	Jainkoak esan zuen: «Egin dezagun gizakia; izan bedi gure irudiko, gure antzeko; mendera ditzala itsasoko arrainak, zeruko hegaztiak, abereak, basapiztiak
GEN.1.27	Jainkoak, beraz, bere antzeko egin zuen gizakia, Jainkoaren beraren irudira egin zuen; ar eta eme egin zituen.
GEN.1.28	Eta bedeinkatu egin zituen, esanez: «Sor itzazue umeak eta ugaldu, bete lurra eta izan haren nagusi; mendera itzazue itsasoko arrainak, zeruko hegaztiak eta lurrean narraska dabiltzan piztia guztiak».
GEN.1.29	Jainkoak esan zien: «Hara, zeuei ematen dizkizuet lurrazalean diren hazidun landare guztiak eta hazidun fruta-arbola guztiak; horiek izango dituzue janari. 
GEN.1.30	Abere, zeruko hegazti eta lurrean narraska dabiltzan bizidun guztiei, berriz, belar hezea ematen diet janari».
GEN.1.30	Eta hala izan zen. 
GEN.1.31	Eta egin zuen guztia oso ona zela ikusi zuen Jainkoak. Honela, seigarren eguna burutu zen.
GEN.2.1	Honela burutu zituen Jainkoak zeru-lurrak, berauetan dagoen guztiarekin. 
GEN.2.2	Zazpigarren egunerako burutu zuen Jainkoak berak eginiko lana eta zazpigarren egunean lanari utzi zion.
GEN.2.3	Eta bedeinkatu egin zuen zazpigarren eguna
GEN.2.4	Hau da zeru-lurren kreazioaren historia
GEN.2.4	Jainko Jaunak zeru-lurrak egin zituenean, 
GEN.2.5	ez zegoen oraindik landarerik lurrean, ezta belarrik ere erneta, Jainko Jaunak ez baitzion oraindik lurrari euririk eman, eta ez baitzen lurra lantzeko gizakirik. 
GEN.2.6	Hala ere, lurrazala hezetzen zuen lurrina zerion lurrari.
GEN.2.7	Orduan, Jainko Jaunak lur-hautsez gizona moldatu zuen; sudur-zuloetan bizi-arnasa putz egin zion, eta gizona bizidun bilakatu zen.
GEN.2.8	Ondoren, Jainko Jaunak baratzea landatu zuen Edenen
