MAT.1.1	Yesu Kristo enye Abraham kple Fia David ƒe dzidzimevi, eƒe dzidzime lae nye esi.
MAT.1.2	Abraham dzi Isak, Isak dzi Yakɔb eye Yakɔb dzi Yuda kple nɔviawo.
MAT.1.3	Yuda dzi Perez kple Zera ame siawo dadae nye Temar, Hezrɔn fofoe nye Perez, Hezrɔn hã dzi Ram
MAT.1.4	Ram dzi Aminadab, Aminadab dzi Nahesɔn, Nahesɔn dzi Salmo,
MAT.1.5	Salmon hã dzi Boaz ame si dadae nye Rahab. Boaz dzi Obed, eye Obed dadae nye Rut, Obed dzi Yese.
MAT.1.6	Yese dzi Fia David, David dzi Salomo, Salomo dadae nye Batseba ame si nye Uria srɔ̃ kpɔ,
MAT.1.7	Salomo dzi Rehoboam, Rehoboam dzi Abiya, eye Abiya hã dzi Asa,
MAT.1.8	Asa dzi Yehosafat, Yehosafat dzi Yoram, Yoram dzi Uzia,
MAT.1.9	Uzia dzi Yotam, Yotam dzi Ahaz, Ahaz dzi Hezekia, 
MAT.1.10	Hezekia dzi Manase, Manase dzi Amɔn, Amɔn dzi Yosia,
MAT.1.11	Yosia dzi Yekonia kple nɔviawo. Wodzi ame siawo le esime woɖe aboyo Israel dukɔa yi Babilonia.
MAT.1.12	Esi aboyomenɔlawo trɔ gbɔ va aƒe la, Yekonia dzi Sealtiel, Sealtiel dzi Zerubabel,
MAT.1.13	Zerubabel hã dzi Abihud, Abihud dzi Eliakim, eye Eliakim dzi Azɔ,
MAT.1.14	Azɔ dzi Zadɔk, Zadɔk dzi Akim, Akim dzi Elihud,
MAT.1.15	Elihud dzi Eleaza, Eleaza dzi Matan, Matan hã dzi Yakɔb,
MAT.1.16	eye Yakɔb dzi Yosef. Yosef sia nye Maria Yesu Kristo dadaa srɔ̃.
MAT.1.17	Dzidzimeawo katã, tso Abraham dzi va se ɖe Fia David dzi ƒe xexlẽme le wuiene, eye tso Fia David ŋɔli va se ɖe esi woɖe aboyo Israel la le dzidzime wuiene, nenema ke tso aboyomenɔŋɔli va se ɖe Yesu dzidzi hã le dzidzime wuiene.
MAT.1.18	Yesu ƒe dzidzi va yi ale: Wodo ŋugbe na Yosef be woatsɔ Yesu dadaa Maria nɛ wòaɖe. Ke togbɔ be menya ŋutsu o hã la, Maria fɔ fu xoxo to Gbɔgbɔ Kɔkɔe la dzi.
MAT.1.19	Azɔ Yosef ame si wodo eƒe ŋugbe na la nye ame ɖɔʋu aɖe, eya ta eɖoe be yeagbe Maria le bebeme, elabena medi be yeado ŋukpee le dutoƒo o.
MAT.1.20	Esi wònɔ nu siawo ŋu bum la, mawudɔla aɖe ɖe eɖokui fiae le drɔ̃eƒe, yɔe gblɔ nɛ be, “Yosef, David vi, mẽgahe ɖe megbe le srɔ̃wo Maria ŋu o, kplɔe wòava nɔ gbɔwò. Elabena vi si le dɔme nɛ la, Gbɔgbɔ Kɔkɔe la mee wòtso. 
MAT.1.21	Adzi ŋutsuvi eye nàna ŋkɔe be Yesu, esi gɔmee nye ‘Ɖela’, elabena eyae aɖe eƒe dukɔmeviwo tso woƒe nu vɔ̃wo me.”
MAT.1.22	Esiawo katã ava eme be woawu Aƒetɔ ƒe nya si wògblɔ ɖi to nyagblɔɖila dzi nu bena, 
MAT.1.23	“Miɖo to miase nya sia, ɖetugbi dzadzɛ la afɔ fu adzi ŋutsuvi. Woana ŋkɔe be, ‘Imanuel’ ” si gɔmee nye, “Mawu li kpli mí.”
MAT.1.24	Esi Yosef nyɔ la, ewɔ ɖe mawudɔla la ƒe gbe dzi, eye wòyi ɖakplɔ Maria va eƒe aƒe mee abe srɔ̃a ene. 
MAT.1.25	Ke Yosef mede asi eŋu o va se ɖe esime wòdzi via ŋutsuvi la eye wòna ŋkɔe be “Yesu.”
MAT.2.1	Wodzi Yesu le Betlehem le Yudea, le Fia Herodes ŋɔli. Le ɣemaɣi la, ɣletivimenunyala aɖewo tso ɣedzeƒe lɔƒo va Yerusalem, eye wonɔ amewo biam bena, 
MAT.2.2	“Afi kae Yudatɔwo ƒe Fia yeye si wodzi la le? Míekpɔ eƒe ɣletivi le ɣedzeƒe lɔƒo ke ale mieva be miasubɔe.”
MAT.2.3	Esi Fia Herodes se nya sia la dzika tso eya kple Yerusalem dua me nɔlawo katã ƒo. 
MAT.2.4	Le esia ta Fia Herodes yɔ Yudatɔwo ƒe Osɔfogãwo kple agbalẽfialawo katã ƒo ƒui eye wòbia wo be, “Ɖe nyagblɔɖilawo gblɔ afi si wole Mesia la dzi ge le la na mí da ɖia?”
MAT.2.5	Woɖo eŋu nɛ be, “Ẽ, wogblɔ be woadzi Mesia la le Betlehem.” Nyagblɔɖila Mika ŋlɔe da ɖi be, 
MAT.2.6	“O, wò Betlehem du sue la, menye Yudatɔwo ƒe du sue maxɔŋkɔ aɖe ko nènye o, ke boŋ èxɔ ŋkɔ ŋutɔ, elabena wò mee Fia si le nye dukɔ Israel dzi ɖu ge la ado tso.”
MAT.2.7	Le esia megbe la, Herodes dɔ ame ɖo ɖe ɣletivimenunyala siawo dzaa bena woava kpɔ ye. Esi wova la ebia wo be woagblɔ ɣeyiɣi si tututu wokpɔ ɣletivi la zi gbãtɔ la na ye eye wogblɔe nɛ. Ale wòdɔ wo kple gbedeasi sia bena, 
MAT.2.8	“Miyi Betlehem ne miadi ɖevi la, eye ne mieke ɖe eŋu la, mitrɔ va gblɔe nam bena nye hã mayi aɖasubɔe!”
MAT.2.9	Esi wowu takpekpea nu la, ɣletivimenunyalawo gayi woƒe mɔzɔzɔ dzi. Kasia ɣletivi la gadze wo ŋgɔ heyi ɖatɔ ɖe Betlehem dua tame tututu. 
MAT.2.10	Nyateƒe, dzi dzɔ wo ŋutɔ, ŋutɔ.
MAT.2.11	Woge ɖe aƒe si me Maria kple ɖevia nɔ me eye woyi ɖadze klo ɖe egbɔ enumake hede ta agu nɛ. Woʋu nu le woƒe nunanawo nu, eye wotsɔ sika, kotoklobo kple lifi nɛ. 
MAT.2.12	Emegbe wotrɔ dze aƒe mɔ dzi tẽe eye womegato Yerusalem yi ɖagblɔ nya aɖeke na Herodes o, elabena Mawu xlɔ̃ nu wo le drɔ̃eƒe bena woato mɔ bubu ayi aƒe.
MAT.2.13	Esi ɣletivimenunyalawo dzo vɔ la, mawudɔla aɖe ɖe eɖokui fia Yosef le drɔ̃eƒe. Egblɔ nɛ bena, “Tso kpla ne nàsi kple ɖevia kpakple dadaa ayi Egipte, eye nànɔ afi ma va se ɖe esime magblɔ na wò be nàtrɔ gbɔ. Elabena Fia Herodes le nu sia nu si wòate ŋui la wɔ ge bena yeawu ɖevia.” 
MAT.2.14	Le zã ma me ke Yosef si kple ɖevia kpakple dadaa yi Egipte, 
MAT.2.15	eye wonɔ afi ma va se ɖe esime Fia Herodes ku. Nu sia wu nyagblɔɖi sia nu be, “Egiptee meyɔ vinye la tsoe.”
MAT.2.16	Herodes kpɔe be ɣletivimenunyalawo flu ye. Dɔme vee ale gbegbe be wòdɔ asrafowo ɖo ɖe Betlehem kple eƒe nutowo me be woaɖawu ŋutsuvi siwo katã xɔ ƒe eve kple esiwo mexɔ nenema haɖe o. Herodes wɔ esia elabena ɣletivimenunyalawo gblɔ nɛ be yewokpɔ ɣletivi la anye ƒe evee nye ma. 
MAT.2.17	Herodes ƒe tamesesenu si wòwɔ la wu Yeremia ƒe nyagblɔɖi siawo nu bena, 
MAT.2.18	“Vevesese ƒe ɣli ɖi tso Rama nutowo me, avifafa kple nublanuiɣli ɖi bobobo; Rahel nɔ avi dzi hehehe le viawo ta eye naneke mate ŋu afa akɔ nɛ o, elabena viawo katã tsi yi nu.”
MAT.2.19	Esi Herodes ku la, mawudɔla aɖe va ɖe eɖokui fia Yosef le drɔ̃eƒe le Egipte. Egblɔ nɛ be, 
MAT.2.20	“Tso nàkplɔ ɖevia kple dadaa trɔ yi Israel, elabena ame siwo le ɖevia ƒe agbe yome tim la ku!”
MAT.2.21	Ale Yosef tso enumake eye wòkplɔ Yesu kple dadaa trɔ yi Israel. 
MAT.2.22	Ke esi wòse be Arkelao nɔ dzi ɖum le Yudea ɖe fofoa Herodes teƒe la evɔ̃ na afi ma yiyi. Woɖee fiae hã le drɔ̃eƒe eya ta eyi Galilea nutome, 
MAT.2.23	ale woyi ɖanɔ Nazaret. Esia wu nyagblɔɖilawo ƒe nya sia nu be, “Woayɔe be Nazaretitɔ.”
MAT.3.1	Le esime Yesu kple edzilawo nɔ Nazaret la, Yohanes Mawutsidetanamela dze mawunya gbɔgblɔ gɔme le Yudea gbedzi. Nyati si dzi wòtu eƒe mawunyawo ɖo lae nye be, 
MAT.3.2	“Midzudzɔ nu vɔ̃ wɔwɔ, mitrɔ ɖe Mawu ŋuti elabena dziƒofiaɖuƒe la gogo vɔ.” 
