MAT.1.1	Kalara
MAT.1.2	Abraham abye Isaak, Isaak ny'abye Yakòb, Yakòb abye Yuda ai babënyaṅ, 
MAT.1.3	Yuda abye Farès ban Zara, ai Tamar, Farès abye Esrom, Esrom abye Aram, 
MAT.1.4	Aram abye Aminadab, Aminadab abye Naason, Naason abye Salmon, 
MAT.1.5	Salmon abye Boaz ai Rahab, Boaz abye Yobèd ai Ruth, Yobèd abye Yesse, 
MAT.1.6	Yesse nyè abye nkukuma David. David abye Salomon ai mininga Uria, 
MAT.1.7	Salomon abye Roboam, Roboam abye Abia, Abia abye Asaf. 
MAT.1.8	Asaf abye Yosafat, Yosafat abye Yoram, Yoram abye Ozia, 
MAT.1.9	Ozia abye Yoatam, Yoatam abye Akas, Akas abye Ezekias, 
MAT.1.10	Ezekias abye Manasse, Manasse abye Amos, Amos abye Yosia, 
MAT.1.11	Yosia abye Yekonia ai babënyaṅ abog mëkaban a Babilon. 
MAT.1.12	A mvus mëkaban ya Babilon, Yekonia abye Salatiel, Salatiel abye Zorobabel, 
MAT.1.13	Zorobabel abye Abiud, Abiud abye Eliakim, Eliakim abye Azor, 
MAT.1.14	Azor abye Sadok, Sadok abye Ahim, Ahim abye Eliud, 
MAT.1.15	Eliud abye Eleazar, Eliazar abye Mattan, Mattan abye Yakòb, 
MAT.1.16	Yakòb abye Yosef
MAT.1.17	Ngongo bod esë atarigi abë Abraham azaag kui abë David: Ngongo bod awom ai enyii
MAT.1.18	Eyë a hm fò abyali Yesus Kristus angabò na: Maria nyia woe angabë bëlë mëtiṅ më alug ai Yosef; Osusua yë na batòbò fufulu, lëntoa na anë abum abë Mfufub Nsisim. 
MAT.1.19	Dzam da, mbol nnom woe Yosef angabë sosoo, tègè yi na asòman nyè, angadzëṅ na asoe nyè a mësoe. 
MAT.1.20	Hala angëlë atsogo nala a nnëm, ndò englès Nti angayene nyè a nlo, nyè na: A Yosef, man David, obë mbara nòṅ Maria nyò ngal; E dzi yabyali abë nyè dzili, yasò abë Mfufub Nsisim. 
MAT.1.21	Ayi bye mòn, oyolëge nyè dzoe na Yesus
MAT.1.22	E dzam asë dili angabòban, asu yë na e dzam Nti angakòbò a anyu profèt atoban na: 
MAT.1.23	Yënë sik, Ntud ngòn mininga wayi nòṅ abum, abye mòn, bëyole nyè dzoe na Emmanuel, nala watyan na Zamba anë ai bia
MAT.1.24	Avëbë Yosef angavëbë a oyò, ndò angabò mbol englès Nti angabende nyè, ndò anganòṅ ngal, 
MAT.1.25	hë da tègè nyè yëm akui anë angabye mòn
MAT.2.1	Abyali hm Yesus angabyali a Betleem, a nnam Yudea, hala Herodès atoa nkukuma, ndò bëyëm bësòò a nnam kidi bëngasuan a Yerusalem
MAT.2.2	bò na: «Nkukuma Yuden ondëm byali onë ve? Biayen otitie woe a nnam kidi, ndò bisò nyè lugu.» 
MAT.2.3	Nkukuma Herodès angayi wog nala, wòṅ obii nyè, ai nguma edzëdzala Yerusalem fufulu ai nyè, 
MAT.2.4	ndò hm azu koan bëfada bënen ai bësaṅa bëkalara bësë ya nnam, angasili bò e hom Kristus angabë na abyali. 
MAT.2.5	Ndò hm bazu nyè kad na: A Betleem ya Yudea. Amu anë ntilan abë profèt na: 
MAT.2.6	Mfa woe, a Betleem, si Yuda, wasëki ntòg a minlo mi bod ya Yuda, amu abë wa ngò ndzoe ayi byali, ṅnyè ayi baala ayòṅ dama Israel
MAT.2.7	Ndò hm Herodès azu loe bëyëm a omomoa, angatoan bò sili abog otitie ongayenëban, 
MAT.2.8	alomo bò a Betleem, nyè ai bò na: «Kaṅan, mitoan yëm dzam ya abë mòngò te.» Nyè na: «Eyòṅ miyen ya nyè, mibòò na ma fë mëyëm, asu yë na ma mëkë nyè lugu.» 
MAT.2.9	Amana bëngamana wog nkòbò nkukuma, mbò bakë ba; antëm na, otitie ya bëngayen a nnam kidi ongawulu bò osu, akële kui anë wazu kom etoa e hom mòngò angabë a yob. 
MAT.2.10	Ayen bëngayen otitie ndò bëngatag eyëgan. 
MAT.2.11	Ndò bazu nyian a nda, bëntala mòngò ai Maria nyia woe, ndò bëngalaban a si, bëngalugu nyè, bëyaa mimfëg miaban, bëngavë nyè bifaè: mvòd ai otu ai mbòn mira. 
MAT.2.12	Ndò bëngayen a nlo ai alu na të badugan abë Herodès, ndò hm bëngadugan a nnam waban ai zen fë.
MAT.2.13	Adugan bëngadugan, ndò englès Nti angayene Yosef a nlo nyè na: «kodogo a si, onòṅ mòngò ai nyia otub a Egipten, otòbò we akui anë mayi wa kad; amu Herodès ayi dzëṅ mòngò na awoe nyè.» 
MAT.2.14	Akodo fò a si, anòṅò mòngò ai nyia ai alu, ndò akë a Egipten, 
MAT.2.15	ndò angatòbò we akui a awu Herodès; asu yë na ebug Nti ya anyu profet etoban na: «Mëngaloe mòn wama a Egipten.»
MAT.2.16	Ndò Herodès azu yen na bëyëm bëngadug nyè, awogo hm olun eyëgan, ndò azu lom na bëwoe bibòbòg bi bòn bisë ya Betleem ai minkol misë ya ngòdò te, atarigi a mimbu mibè a siigi, akyaè abog angasili bëyëm. 
MAT.2.17	Eyë hm ebug profèt Yeremias engatoban nala na: 
MAT.2.18	Bawog kiṅa Rama, miṅyon ai mëlunga eyëgan; Rashel ayon bòn boe, të yi na bëfolo nyè, amu basëki fë
MAT.2.19	Awu Herodès angawu, ndò englès Nti angayene Yosef a nlo a nnam Egipten 
MAT.2.20	nyè na: «Kodogo a si, onòṅ mòngò ai nyia woe okë a si Israel: Amu e ba bëmbë dzëṅë enyiṅ
MAT.2.21	Ndò angakodo a si, anòṅò mòngò ai nyia, akëlë a si Israel. 
MAT.2.22	Eyòṅ angawog na Arkelaus adzoe Yudea a mëyian më esya Herodès, ndò angambara kë we. Bëkada hm fë nyè a biyëyëm, ndò angakë a ngòdò Galilea 
MAT.2.23	akë tòbò e dzal anë dzoe na Nazaret, asu yë na ebug bëprofèt etoban na: «Ayi loeban na man Nazara».
MAT.3.1	Mëlu mëte, ndò Yohannes Ndu-bodo angasò, angayedan Mbëmbë Foe a nkod-nnam ya Yudea 
MAT.3.2	na: «Vëṅan, edzoe ya yob esubu ya babi.» 
MAT.3.3	Amu ṅnyè anë e nyò profet Isaias angadzo na: «Kiṅ e nyò ayëdan a nkod-nnam; Komëzan zen Nti, limëṅan mindzòṅ mie.»
MAT.3.4	Yohannes te angabë abëlë ewòman mimvòd mi kamele, ai kanda ekob atii nyè a angëdëg, bidi bie bitoa bëmbasana ai woe mëfan
MAT.3.5	Ndò fò tisòn Yerusalem ai Yudea asë ai sug nnam esë ya Yordan engabë zaag abë nyè, 
MAT.3.6	ndò bëngabë bëduuban a osoe Yordan abë nyè, bëmëmë minsëm miaban. 
MAT.3.7	Ayen angayen abui bëfarisea ai bësadukea bëzaa asu ṅduan woe, ndò adzo ai bò na: «A mvòṅ nyòò nyi, za alëb mina na mitub olun wazu
MAT.3.8	Wuman hm mbëmbë ebuma efòl-minnëm. 
MAT.3.9	Mibë kë miadzo a minnëm mian na: «Bibëlë esya, Abraham.» Amu madzo ai mina na, Zamba anë ngul ya abò na bòn bëbyali Abraham e ngòg nyi. 
MAT.3.10	Obaè ontoa ya a tin ele. Ele esë yawum ki mbëmbë ebuma yayi tsigëban, ewoaban a ndoan. 
MAT.3.11	Ma madu mina a mëndim asu avëṅan, e nyò azu ma a mvus anë ngul alodo ma; masëki nyè dzam tii bësilfas a mëkol. Ṅnyè ayi mina du a Mfufub Nsisim ai ndoan. 
MAT.3.12	Abëlë esòbòlò a mò, akë a sëgzë ngëṅ, akoan mëkoe moe a angunda. Bivula mbiè ayi tumi e ndoan enë tègè dim.
MAT.3.13	Ndò Yesus angasò a Galilea, asòò abë Yohannes a Yordan na aduban abë nyè. 
MAT.3.14	Yohannes angadzègè nyè, nyè na: «Ma mayaṅan na maduban abë wa, wa ongazu ki abë ma nga?» 
MAT.3.15	Ndò Yesus afèd, nyè ai nyè na: «Dzoge të, amu eyë biayean dzala sosoo asë nala.» Ndò angadzoge nyè. 
MAT.3.16	Eyòṅ Yesus angaduuban, ndò angabed a kindig etye etye. Antëm na, ndò bibas bi yob bingayaèban nyè, antala Nsisim Zamba osusu anë obëṅ, osò nyè kui a nyòl. 
MAT.3.17	Ndò kiṅ yasò a bibas bi yob edzoo na: E nyòlò anë mbaṅ mòn wama ya mafuu nnëm
MAT.4.1	Ndò hm Nsisim ongakë ai Yesus a nkod-nnam asu yë na Satan abobolo nyè. 
MAT.4.2	Angatòbò tègè di mëlu mëwom mënyii ai mëmos mëwom mënyii. A mvus hala, ndò hm azu wog zie. 
MAT.4.3	Ndò mbobëlo azu dzo ai nyè na: Ngë onë mòn Zamba, dzoo na e ngòg nyi evëṅan bëmbaṅëla. 
MAT.4.4	Ndò afèd, nyè na: «Anë ntilan na
MAT.4.5	Ndò Satan angakë ai nyè a mfufub tisòn, atëlë nyè a ndil tempel 
MAT.4.6	nyè ai nyè na: Ngë onë man Zamba, suman a si. Amu anë ntilan na: Ayi vë benglès boe tëbëga asu doe; bayi wa bëgë a mò asu yë na të akol doe lakë tobe a ngòg
MAT.4.7	Yesus nyè ai nyè na: «Anë fë ntilan na: Të wabobolo Nti Zamba woe» 
MAT.4.8	Satan adugan fë nyè nòṅ, akëlë ai nyè a mod nkol a yob, ndò alëdë nyè bidzoe bisë ya si ai duma ya ete 
MAT.4.9	nyè ai nyè na: «Mayi wa vë e byem bisë bi, ngë walaban a si, olugu ma.» 
MAT.4.10	Ndò Yesus adzo ai nyè na: «Kodogo ma va, a Satan, amu anë ntilan na: Nti Zamba woe ṅnyè olugu, ṅnyè etam osye
MAT.4.11	Ndò Satan angadzoge nyè, benglès bëhama, bëngasye nyè.
MAT.4.12	Awog angawog na bëkab ya Yohannes, ndò akë a Galilea. 
MAT.4.13	Aligi dzal die Nazaret, ndò azu loṅ mvog a Kafarnao, a ntsag maṅ, a minkol mi Zebulon ai Neftali
MAT.4.14	Asu yë na ebug profèt Isaias etoban na: 
MAT.4.15	A si Zebulon ai Neftali, zen maṅ, nnam Yordan ayat, Galilea efulu mëyòṅ. 
MAT.4.16	Ayòṅ lëmbë toa a dibi, lëyen mfyè nen. Eba bëmbë toa a nnam nkut awu, mfyè otole bò a mis
MAT.4.17	Atarigi hala, ndò Yesus azu tari na ayedan na: «Tsendëgan enyiṅ amu edzoe ya yob
MAT.4.18	Akëlë awulu a ntsag maṅ më Galilea, ndò ayen babënyaṅ bëbè, Simun, ya bëloege na Petrus ai Andreas manyaṅ woe, bëwoaga mvunda a maṅ: bëngabë bëlòb bë kòs. 
MAT.4.19	Nyè ai bò na: Zaan miatoṅ ma, mayi bò na mivëṅan bëlòb bë bod. 
MAT.4.20	Etye etye te, ndò bëngadzoge mëvòd maban, bëngatoṅ nyè. 
