MAT.1.1	Dammbe Iisaa 
MAT.1.2	Ibarahiima rimi Isiyaaka,
MAT.1.2	Isiyaaka rimi Yaakuuba,
MAT.1.2	Yaakuuba rimi Yahuuda e miɲiraaɓe mum,
MAT.1.3	Yahuuda rimi Fares e Sera, ɓee ngoni ɓe o rimdi e Tamara,
MAT.1.3	Fares rimi Hisuruuna,
MAT.1.3	Hisuruuna rimi Aram,
MAT.1.4	Aram rimi Aminadaabu,
MAT.1.4	Aminadaabu rimi Nasuuna,
MAT.1.4	Nasuuna rimi Salmon,
MAT.1.5	Salmon rimi Bo'es, oo woni mo o rimdi e Rahab,
MAT.1.5	Bo'es rimi Obed, oo woni mo o rimdi e Ruut,
MAT.1.5	Obed rimi Yessa,
MAT.1.6	Yessa rimi Daawuuda kaananke oo.
MAT.1.6	Daawuuda rimi Suleymaana, oo woni mo o rimdi e debbo ɗalaaɗo Uriya,
MAT.1.7	Suleymaana rimi Robo'am,
MAT.1.7	Robo'am rimi Abiya,
MAT.1.7	Abiya rimi Asa,
MAT.1.8	Asa rimi Yusafat,
MAT.1.8	Yusafat rimi Yoram,
MAT.1.8	Yoram rimi Ujiya,
MAT.1.9	Ujiya rimi Yotam,
MAT.1.9	Yotam rimi Akas,
MAT.1.9	Akas rimi Hejekiya,
MAT.1.10	Hejekiya rimi Manaasa,
MAT.1.10	Manaasa rimi Amon,
MAT.1.10	Amon rimi Yusiya,
MAT.1.11	Yusiya rimi Yekuniya e miɲiraaɓe mum.
MAT.1.11	Ɗum hawrii e jamaanu nde Yahuudiyankooɓe konaa so naɓiraa Baabila ndee.
MAT.1.12	Caggal ɓe konaama ɓe naɓaama Baabila,
MAT.1.12	Yekuniya rimi Salaatiyel,
MAT.1.12	Salaatiyel rimi Jorobaabel,
MAT.1.13	Jorobaabel rimi Abihuda,
MAT.1.13	Abihuda rimi Eliyakim,
MAT.1.13	Eliyakim rimi Ajora,
MAT.1.14	Ajora rimi Sadok,
MAT.1.14	Sadok rimi Akim,
MAT.1.14	Akim rimi Eliyuda,
MAT.1.15	Eliyuda rimi Eliyaajaru,
MAT.1.15	Eliyaajaru rimi Mattan,
MAT.1.15	Mattan rimi Yaakuuba,
MAT.1.16	Yaakuuba rimi Yuusufu, jom suudu Mariyama,
MAT.1.16	Mariyama woni inna Iisaa noddirteeɗo Almasiihu oo.
MAT.1.17	No dammbe ɗee njokkondirta iwde Ibarahiima faa yottii Daawuuda, jamaanuuji sappo e nay hawrata, iwde Daawuuda faa yottii nde 
MAT.1.18	No Iisaa 
MAT.1.19	Yuusufu cabbuɗo mo oo yo neɗɗo pooccitiiɗo, ana waɲi hersa makko, miili yaltude e cabbugal ngal e cuucuukka. 
MAT.1.20	Nde o miili ɗum ndee, 
MAT.1.20	—Aan Yuusufu, taanii Daawuuda, pati hul ɓamde Mariyama, sabi ɓinngel o saawi ngel e Ruuhu Ceniiɗo iwi. 
MAT.1.21	O riman ɓiɗɗo gorko, inndiraa mo Iisaa. Sabi oon hisinan yimɓe mum e luutti mum'en ɗii.
MAT.1.22	Ɗum fuu, ɗum waɗii yalla haala ka Laamɗo yottiniri annabaajo oo kaa ana tabita nde oon wii:
MAT.1.23	«Surba oo ɓaman reedu,
MAT.1.23	rima ɓiɗɗo gorko,
MAT.1.23	oon inndirte Immaanuwel.»
MAT.1.23	Maanaa innde ndee yo: «Laamɗo ana wondi e meeɗen».
MAT.1.24	Nde Yuusufu fini ndee, waɗiri no malaa'ika Joomiraaɗo oo wiirunoo ɗum nii. O ɓami Mariyama, 
MAT.1.25	kaa o reentaali e mum faa ɓeyni ɓiɗɗo gorko. Yuusufu inndiri oon Iisaa.
MAT.2.1	Iisaa fini Baytilaama ley leydi 
MAT.2.2	Nde ɓe ngari ndee, ɓe mbii:
MAT.2.2	—Hoto kaananke 
MAT.2.3	Oon kabaaru jiiɓi hakkille Hirudus, kaɲum e Urusaliimankooɓe fuu. 
MAT.2.4	O noddi hooreeɓe 
MAT.2.5	Ɓe njaabii mo, ɓe mbii:
MAT.2.5	—Baytilaama ley leydi Yahuudiya, sabi ko annabaajo oo winndunoo koo annii:
MAT.2.6	«Aan, Baytilaama, leydi Yahuudiya,
MAT.2.6	taƴoral a wanaa ngeenndi pamardi barke e geelle Yahuuda mawɗe ɗee.
MAT.2.6	Sabi ardotooɗo iwan e maa,
MAT.2.6	garoowo durde 
MAT.2.7	E ley ɗum, Hirudus noddi jom'en annde ɓee e cuucuukka, lamndii ɓe wakkati mo hoodere ndee ɓanngi oo. Ɓeen pammini mo. 
MAT.2.8	Caggal mum, o neli ɓe Baytilaama, o wii ɓe:
MAT.2.8	—Njehee, kumpitoyo-ɗon kabaaru cukalel ngel faa taƴoron. So on njii ngel, kumpitee kam yalla miɗo yaha miin duu, mi sujidanoya ngel.
MAT.2.9+MAT.2.10	Nde ɓe nani ko kaananke oo haali koo ndee, ɓe mbitti. Non ɓe coynii hoodere nde ɓe njiinoo funnaange ndee. Ko ɓe njii nde koo, ɓe ceyii seyo manngo sanne. Nde ardii ɓe yaade. Nde nde yottii ɗo cukalel ngel woni ɗoo ndee, nde darii. 
MAT.2.11	Ɓe naati ley galle oo, ɓe njii cukalel ngel e inna mum Mariyama. Ɓe korfii, ɓe cujidani ngel, ɓe kumti gineeji maɓɓe, ɓe teddiniri ngel kaŋŋe e gowe e ɗacce uurooje biyeteeɗe miiri. 
MAT.2.12	Caggal ɗum, Laamɗo daalii ɓe ley koyɗol pati ɓe mbirfitoo to Hirudus, ɓe kootiri leydi maɓɓe laawol gonngol.
MAT.2.13	Nde ɓe mbitti ndee, 
MAT.2.13	—Imma, ɓam cukalel ngel e inna mum, dogu njahaa Misira, keddo-ɗaa ton faa nde mbii-maa-mi ngartaa. Sabi 
MAT.2.14	Yuusufu immii jemma, naɓi cukalel ngel e inna maggel Misira. 
MAT.2.15	O heddii ton faa Hirudus maayi, yalla haala ka Laamɗo yottinirnoo annabaajo oo kaa ana tabita nde oon wii:
MAT.2.15	«Mi noddii ɓiyam gonɗo Misira.»
MAT.2.16	Nde 
MAT.2.17	Ɗum tabitirii haala ka Laamɗo yottiniri annabi Yeremiya kaa nde oon wii:
MAT.2.18	«Wullaango nanaama ley ngeenndi Rama,
MAT.2.18	kaɲum e bojji e boytaali:
MAT.2.18	Ɗum Rahiilu
MAT.2.18	O jaɓaali waaltineede, sabi koy keddaaki.»
MAT.2.19	Caggal maayde 
MAT.2.20	wii ɗum:
MAT.2.20	—Imma, wirfintin cukalel ngel e inna mum leydi 
MAT.2.21	Yuusufu immii, naɓti cukalel ngel e inna mum leydi Israa'iila. 
MAT.2.22	Kaa o nanii Arikilawus loomtiima baam mum Hirudus laatike kaananke 
MAT.2.23	o hoɗoyi ngeenndi mbiyeteendi Nasaraatu. Non ɗum laatorii so ɗum tabintini ko annabaaɓe ɓee mbiinoo koo: «O wiyete Nasaraatunke.»
MAT.3.1	E oon jamaanu, 
MAT.3.2	—Tuubee, sabi 
MAT.3.3	Oo woni mo annabi 
MAT.3.3	«Neɗɗo ana ooynoo ley ladde jeereende, ana wiya:
MAT.3.3	Moƴƴinee laawol Joomiraaɗo ngol,
MAT.3.3	ndartinee ɗati makko!»
MAT.3.4	Kaddungal Yaayaa yo caɲiraangal leeɓi ngelooba, omo humii nguruwol. Nguure makko yo buureeti e njuumri ladde. 
MAT.3.5	Yimɓe iwri 
MAT.3.6	Eɓe njaadira luutti maɓɓe, Yaayaa looti ɓe lootogal batisima ley maayo Urdun.
MAT.3.7	Nde o yii 
MAT.3.7	—Ɓiɓɓe bolle! Homo jeertini on ndogon jukkungo waroowo? 
MAT.3.8	Ngollee golleeji kawrooji e tuubal. 
MAT.3.9	Pati miilee e ɓerɗe mon: «Minen, min taaniraaɓe Ibarahiima.» Sabi miɗo wiya on: Laamɗo ana waawi waylitinde ɗee kaaƴe laatoo ɓiɓɓe Ibarahiima! 
