MAT.1.1	Antuyawino neturakkanneno gagginafuwera i Jesu Kristo a gaka i Ari David a gaka kappayi Abraham. 
MAT.1.2	I Abrahamino ama i Isaac a ama i Jacob a ama payi Juda andino kakkolaꞌngera. 
MAT.1.3	I Judeno amara Fares anni Zara, e i Tamarino inara. I Faresino ama i Esrom a ama i Aram. 
MAT.1.4	I Aramino ama i Aminadab a ama i Naason a ama i Salmon. 
MAT.1.5	I Salmonino ama i Boaz, e i Rahabino inana. I Boazino ama i Obed, e i Ruth ino inana. I Obedino ama i Jesse, 
MAT.1.6	e i Jesse ino ama i Ari David.
MAT.1.6	I David ino ama i Solomon, e ino inana, atawa i Urias a inatawa i David. 
MAT.1.7	I Solomonino ama i Roboam a ama i Abias a ama payi Asa. 
MAT.1.8	I Aseno ama i Josafat a ama i Joram a ama i Ozias. 
MAT.1.9	I Oziasino ama i Joatam a ama i Acaz a ama payi Ezekias. 
MAT.1.10	I Ezekiasino ama i Manases a ama i Amon a ama payi Josias. 
MAT.1.11	I Josiasino ama i Jeconias andino kakkolaꞌngera sin neyangnganino Judyuwera sey Babilonia ta mearipannira.
MAT.1.12	Wasin nasinduweno inanawanino Judyuwera sino lubbunda, neyanaki Salatiel a i Jeconiasino amana. I Salatielino ama i Zorobabel. 
MAT.1.13	I Zorobabelino ama i Abiud a ama i Eliakim a ama payi Azor. 
MAT.1.14	I Azorino ama i Sadoc a ama i Akim a ama payi Eliud. 
MAT.1.15	I Eliud ino ama i Eleazar a ama i Matan a ama payi Jacob. 
MAT.1.16	I Jacob ino ama i Jose, e i Jose ino atawa i Maria a ina i Jesus a maingnganan si Kristo.
MAT.1.17	Kunnantu, karaꞌappatira a gagginafuwi Jesu Kristo mangiyafu ki Abraham makkiyad ki Ari David. Karaꞌappatira kappay mangiyafu ki Ari David makkiyad sino inanawanino Judyuwera sino lubbunda ta mearipannira sey Babilonia. Karaꞌappatira kappay mangiyafu sino inanawanda sino lubbunda makkiyad sino neyanakanino maingnganan si Kristo.
MAT.1.18	Antuyawino istoriyeno neyanakani Jesu Kristo. Neturatuwi Maria a inana a meatawa ki Jose, udde sin liyera a matawa, naammuwan si mabussitin gafu sino pannakadameno Espirituwi Dios. 
MAT.1.19	I Jose a mangatawana sikwana, minakkurug sino lintiyi Moises, udde ammena anggamma meyatatalli Maria. Antuweno dinandamma si ikatwena a awana makaammu.
MAT.1.20	Wasin aggadandammannenay, agyanino angheli Afu Dios a nappadda sikwana si tenap, e nassapit si, “Jose a gaka i David, ammeka mattalawa mangatawa ki Maria, se ino nabussitanna, naggabwat sino pannakadameno Espirituwi Dios. 
MAT.1.21	Lalakineno iyanaꞌnga, e ingnganannuna si Jesus, se antuneno misalak sino tolenera sino liwaꞌda.”
MAT.1.22	Nakwa ammin yaw takesi meyakkuruwino nepasapiti Afu Dios sino tata a gumalabbunna a kunna si, 
MAT.1.23	“Mabussiꞌneno tata a balatanga ammena kepay nasengged, e miyanaꞌnga si lalakiya maingnganan si Emmanuel,”
MAT.1.24	Wasin nafati Jose, kinurungngeno sinapitino anghel e inatawana i Maria, 
MAT.1.25	udde ammena dinuruwi Maria kiyad si ammena neyanakino abbingnga. E wasin neyanak, nginani Jose si Jesus.
MAT.2.1	Neyanaki Jesus sey Betlehem a lubbunna Judea sin natturayani Ari Herodes. Wasinoy, agyanino inangngira sey Jerusalem a naggabwat sino lattakanna sinag a nalalaingira a mituldu nu sanneno anggamma sapitannino bitunira. 
MAT.2.2	Wasin ginamwangira sinay, nabbebutira a nassapit si, “Sintawino agyananino bawuwa neyanaka ariyeno Judyuwera? Se initamiyeno nappaddanino bituna senyalneno neyanakanna, e antuweno inangkami sitawa maddayaw sikwana.”
MAT.2.3	Wasin diningngaggi Herodes inay, nappelalotino dararanna, kunna kappayino korwanira a tolay sey Jerusalem. 
MAT.2.4	Antu gafuna, nepaayangngeno pangafuwanirana padi andino mammesturuwerana lintig, e nebebuꞌna sikwara nu sintawino keyanakanino Kristo. 
MAT.2.5	“Sey Betlehem sito probinsiya a Judea,” nesombaꞌda. “Se antuweno nepeturakki Dios sino gumalabbunna siꞌina kunna si,
MAT.2.6	‘Ino Betlehem a sakoꞌma Judea, antuweno kapapatiyan sino madayawira a lubbunna Judea, se antuneno paggabwatanino matturaya mifuyut anna mimut sino tolekira a gakagaka i Israel.’”
MAT.2.7	Wasinoy, nepaayi Herodes inayira a nalalainga mituldu sino anggamma sapitannino bitunira takesi tatabbannera a ira pelang, e naammuwanna sikwareno fustuwa tiyemponeno nappaddanino bitun. 
