MRK.1.1	Seo mar a tha an Deagh Sgeul mu Iosa Crìosd, Mac Dhè, a' tòiseachadh. 
MRK.1.2	Tha e air a sgrìobhadh ann an leabhar Isaiah am fàidh:
MRK.1.2	“Seall, seo agad am fear a tha mi a' cur air thoiseach ort,
MRK.1.2	agus nì e an rathad rèidh romhad.
MRK.1.3	‘Cuiribh slighe an Tighearna air dòigh,
MRK.1.3	dèanaibh an rathad dìreach air a shon’.”
MRK.1.4	Bha Eòin a' baisteadh anns an fhàsach 's ag ràdh, “Dèanaibh aithreachas agus bithibh air bhur baisteadh, is bheir Dia mathanas dhuibh.” 
MRK.1.5	Chaidh a h‑uile duine ann an Iudèa 's ann an Ierusalem a‑mach far an robh e; bha iad ag aideachadh am peacaidhean 's bha esan gam baisteadh ann an abhainn Iòrdain.
MRK.1.7	Seo mar a thubhairt e: “Tha fear a' tighinn ás mo dhèidh a tha nas cumhachdaiche na mise. Chan eil mise airidh air cromadh gu barriall a bhrògan fhosgladh. 
MRK.1.8	Bhaist mise sibh le uisge, ach baistidh esan sibh leis an Spiorad Naomh.”
MRK.1.9	Man àm sin, thàinig Iosa bho Nàsaret an Galile, agus bhaist Eòin e ann an abhainn Iòrdain. 
MRK.1.10	Cho luath 's a thàinig e a‑mach ás an uisge, chunnaic e na speuran a' fosgladh agus an Spiorad a' laighe air mar chalman. 
MRK.1.11	Thàinig guth bho nèamh an‑uairsin, ag ràdh, “'S tu Mac mo ghràidh agus 's mòr an toileachadh a tha thu a' toirt dhomh.”
MRK.1.12	Agus anns a' bhad, rinn an Spiorad a ruagadh a‑mach dhan fhàsach. 
MRK.1.13	Bha e ann an sin ga fheuchainn aig an t‑Sàtan fad dà fhichead là. Cha robh còmhla ris ach beathaichean fiadhaich, ach bha na h‑ainglean a' frithealadh dha.
MRK.1.14	Nuair a chuir iad Eòin sa phrìosan, thàinig Iosa a Ghalile ag innse dhaibh mu Dheagh Sgeul Dhè. 
MRK.1.15	Thuirt e, “Seo a‑nis an t‑àm, tha rìoghachd Dhè air tighinn dlùth. Dèanaibh aithreachas, agus creidibh an Deagh Sgeul.”
MRK.1.16	Aʼ dol seachad ri taobh Loch Ghalile, chunnaic e Sìmon agus Anndra a bhràthair a' cur lìon anns an loch, oir 'se iasgairean a bh'annta. 
MRK.1.17	Thuirt e riu, “Thigibh còmhla riumsa, agus ionnsaichidh mise dhuibh daoine a ghlacadh 's chan e iasg.” 
MRK.1.18	Dh'fhàg iad na linn sa mhionaid, agus dh'fhalbh iad còmhla ris.
MRK.1.19	Nuair a chaidh e beagan na b'fhaide, chunnaic e Seumas mac Shebede agus Eòin a bhràthair a' càradh an cuid lìon sa bhàta. 
MRK.1.20	Dh'eubh e riusan cuideachd. Dh'fhàg iad an athair Sebede sa bhàta còmhla ris an sgioba is thog iad orra ás a dhèidh.
MRK.1.21	Ghabh iad a‑steach a Chapernàum. Air an ath Shàbaid, chaidh Iosa dhan t‑sionagog agus thòisich e air teagasg. 
MRK.1.22	Chuir e ioghnadh anabarrach air an t‑sluagh nuair a chuala iad e, oir bha ùghdarras na theagasg nach robh idir aig na sgrìobhaichean.
MRK.1.23	Dh'èirich am fear a bha seo, 's e fo bhuaidh droch spioraid, agus leig e eubh ás: 
MRK.1.24	“Dè an gnothach a th'agadsa ruinne, Iosa o Nàsaret? An tàinig thu a chur ás dhuinn? 'S math as aithne dhomh cò thu — duine naomh Dhè.”
MRK.1.25	Thug Iosa òrdugh teann dhan droch spiorad, 's thuirt e ris, “Bi thusa sàmhach, 's thig a‑mach ás.”
MRK.1.26	Siod an spiorad ga riasladh, 's a' falbh ás le sgriach. 
MRK.1.27	Chuir seo ioghnadh eagalach air na bh'ann, 's bha iad a' faighneachd de chach-a‑chèile, “Dè tha seo? Teagasg ùr dha-rìribh, agus cumhachd còmhla ris! Tha e a' toirt òrdugh dha na droch spioradan fhèin 's tha iad a' toirt feairt air!”
MRK.1.28	Sgaoil a chliù fad is farsaing air feadh Ghalile.
MRK.1.29	An‑uairsin, cho luath 's a thàinig iad a‑mach ás an t‑sionagog, chaidh iad dhan taigh aig Sìmon is Anndra, 's bha Seumas is Eòin còmhla riu. 
MRK.1.30	Bha màthair-chèile Shìmoin na laighe le fiabhras, 's chaidh innse do dh'Iosa ma deidhinn. 
MRK.1.31	Thàinig e far an robh i, rug e air làimh oirre, 's thog e suas i. Dh'fhàg am fiabhras i anns a' bhad, 's dheasaich i biadh dhaibh.
MRK.1.32	Am beul an anmoich, nuair a chaidh a' ghrian fodha, bha iad a' tighinn thuige le daoine a bha tinn, 's le feadhainn a bha fo bhuaidh dheamhan. 
MRK.1.33	Bha a h‑uile duine sa bhaile air cruinn-eachadh man doras. 
MRK.1.34	Leighis e mòran air an robh iomadh droch thinneas, 's chuir e iomadh deamhan air theicheadh. Cha cheadaicheadh e dha na deamhain guth a ràdh, a chionns gum b'aithne dhaibh cò bh'ann.
MRK.1.35	An ath mhadainn, fada mus d'èirich a' ghrian, thog Iosa air, 's chaidh e a‑mach a dh'àite uaigneach, 's thòisich e air ùrnaigh. 
MRK.1.36	Chaidh Sìmon agus a chompanaich air a thòir, 
MRK.1.37	's nuair a lorg iad e, thuirt iad ris, “Tha a h‑uile duine gad iarraidh.”
MRK.1.38	Thuirt esan riusan, “Falbhamaid dha na bailtean as fhaisge dhuinn; feumaidh mi searmonachadh annta sin cuideachd, oir 'sann air a shon sin a thàinig mi.”
MRK.1.39	Chaidh e a‑mach air feadh Ghalile uile, a' searmonachadh sna sionagogan, 's a' tilgeil a‑mach dheamhan.
MRK.1.40	Thàinig lobhar far an robh Iosa. Chaidh e air a ghlùinean, 's thuirt e ris, “Mas math leat, tha e nad chomas mise a ghlanadh.”
MRK.1.41	Bha truas mòr aig Iosa ris. Shìn e a‑mach a làmh, bhean e dha, 's thuirt e ris, “Is math leam dha-rìribh; bi nise slàn.” 
MRK.1.42	Dh'fhàg an luibhre e sa mhionaid 's chaidh a shlànachadh. 
MRK.1.43	Chuir Iosa an sin air falbh e, 's e a' sparradh air, 
MRK.1.44	“Feuch nach can thu guth ri duine, ach falbh 's seall thu-fhèin dhan t‑sagart. Dèan ìobairt mar a dh'iarr Maois, a dhearbhadh dhan t‑sluagh gu bheil thu air do ghlanadh.”
MRK.1.45	Ach dh'fhalbh esan, 's cha robh tosd a' dol air ach ag innse fad is farsaing mar a thachair dha. Mar sin cha b'urrainn do dh'Iosa tadhal sna bailtean, ach dh'fhan e a‑muigh air an dùthaich. Ann an sin fhèin, bha feadhainn ga ruighinn ás gach àite.
MRK.2.1	Beagan làithean an dèidh sin, nuair a thill e a Chapernàum, chaidh an naidheachd ma sgaoil gun robh e aig an taigh. 
MRK.2.2	Chruinnich urad a dhaoine 's nach robh àite ann dhan chòrr, fiù 's man doras. Nuair a bha e a' toirt dhaibh a theachdaireachd, 
MRK.2.3	siod feadhainn a' tighinn thuige le crioplach agus ceathrar ga ghiùlan. 
MRK.2.4	A chionns nach b'urrainn dhaibh Iosa a ruighinn leis cho dùmhail 's a bha an sluagh, dh'fhosgail iad mullach an taighe os a chionn, 's nuair a rinn iad toll, leig iad sìos an leabaidh air an robh an crioplach na laighe. 
MRK.2.5	Nuair a chunnaic Iosa cho làidir 's a bha an creideamh, thuirt e ris a' chrioplach, “A mhic, tha do pheacaidhean air am mathadh.”
MRK.2.6	A‑nis, bha feadhainn dhe na sgrìobhaichean nan suidhe ann an siod 's ag ràdh riu fhèin, 
MRK.2.7	“Dè 's ciall dhan fhear seo a bhith a' bruidhinn mar seo? 'Se toibheum a th'aige! Cò as urrainn peacaidhean a mhathadh ach Dia a‑mhàin?”
MRK.2.8	Anns a' mhionaid, dh'aithnich Iosa na spiorad fhèin dè bha iad a' smaoineachadh, 's thuirt e riu, “Carson a tha na beachdan sin agaibh? 
MRK.2.9	Bheil e nas fhasa a ràdh ris a' chrioplach seo, ‘Tha do pheacaidhean air am mathadh’ na tha e a ràdh, ‘Eirich, tog leat do leabaidh agus coisich’? 
MRK.2.10	Dearbhaidh mise dhuibh gu bheil ùghdarras aig Mac an Duine peacaidhean a mhathadh air an talamh. 
MRK.2.11	Eirich air do chasan,” ars esan an‑uairsin ris a' chrioplach, “tog do leabaidh 's bi a' falbh dhachaigh.”
MRK.2.12	Dh'èirich e anns a' bhad, thog e an leabaidh, 's choisich e a‑mach an sealladh an t‑sluaigh uile. Chuir seo ioghnadh anabarrach orra, 's thug iad moladh do Dhia, ag ràdh, “Chan fhaca sinn a leithid seo riamh.”
MRK.2.13	Turas eile chaidh e a‑mach ri taobh an loch. Bha mòran dhaoine a' tighinn thuige gun sgur, 's bha esan gan teagasg. 
MRK.2.14	Nuair a bha e a' gabhail an rathaid, chunnaic e Lèbhi mac Alphèuis na shuidhe anns an taigh-chusbainn. Thuirt e ris, “Thig còmhla riumsa.” Dh'èirich esan 's dh'fhalbh e còmhla ris.
MRK.2.15	Nuair a bha Iosa 's a dheisciobail a' gabhail bìdh ann an taigh Lèbhi, bha mòran a luchd-cìse agus a “pheacaich” eile ag ithe còmhla riu, oir bha mòran ga leantainn. 
MRK.2.16	Nuair a chunnaic sgrìobhaichean nam Pharasach gun robh e a' gabhail bìdh còmhla ri peacaich agus luchd-cìse, thuirt iad ri a dheisdobail, “Carson a tha e ag ithe còmhla ri luchd-cìse agus ri peacaich?”
MRK.2.17	Chuala Iosa seo, agus thuirt e riu, “Chan e an fheadhainn a tha slàn a tha a' cur feum air an dotair, ach an fheadhainn a tha tinn. Cha tàinig mise a thoirt cuiridh dha na fìrein, ach dha na peacaich.”
MRK.2.18	Bha deisciobail Eòin agus na Pharasaich aig an àm ud a' trasgadh. Thàinig daoine gu Iosa 's thuirt iad ris, “Carson a tha deisciobail Eòin agus deisciobail nam Pharasach a' trasgadh, 's nach eil na deisciobail agadsa?”
MRK.2.19	Thuirt Iosa riu, “'S cinnteach nach urrainn dha na fleasgaich a tha a' cuideachadh fear-na‑bainnse trasgadh nuair a tha esan còmhla riu? Fhad 's a tha fear-na‑bainnse còmhla riu, chan urrainn dhaibh trasgadh. 
MRK.2.20	Ach thig an t‑àm nuair a bhios fear-na‑bainnse air a thoirt bhuapa, agus traisgidh iad an‑uairsin.
MRK.2.21	“Cha chàirich duine sam bith toll air seann aodach le brèid ùr nodha. Ma nì e sin, tarraingidh am brèid ùr an seann aodach, 's bidh an toll nas mò buileach. 
MRK.2.22	'S cha chuir neach sam bith fìon ùr ann an seann bhotaill-chraicinn. Ma nì e sin, sracaidh am fìon na craicinn, 's thèid an dà chuid am fìon 's na craicinn a dholaidh. Feumaidh fìon ùr craicinn ùra.”
MRK.2.24	Thuirt na Pharasaich ris, “Seall seo! Carson a tha iad a' dèanamh rud nach eil an Lagh a' ceadachadh air an t‑Sàbaid?”
MRK.2.26	Ghabh e a‑steach a thaigh Dhè nuair a bha Abiàtar na àrd-shagart, 's dh'ith e Aran na Fianais nach fhaod duine sam bith ithe ach na sagairt a‑mhàin, 's thug e cuid dheth dhan fheadhainn a bha còmhla ris.”
MRK.2.27	Thuirt e riu, “'Sann air sgàth an duine a rinneadh an t‑Sàbaid, 's chan ann air sgàth na Sàbaid a rinneadh an duine. 
MRK.2.28	Mar sin tha an t‑Sàbaid, mar gach nì eile, fo riaghladh Mhic an Duine.”
MRK.3.1	Turas eile chaidh e dhan t‑sionagog, 's bha fear ann an sin air an robh làmh sheargte. 
MRK.3.2	Bha iad a' cumail sùil air, gun fhios nach leighiseadh e air an t‑Sàbaid e, 's gum biodh cothrom aca gearan a thogail na aghaidh. 
MRK.3.3	Thuirt esan ris an duine aig an robh an làmh sheargte, “Seas am meadhon an làir.” 
MRK.3.4	Is thuirt e ris a' chòrr, “Dè as còir a dhèanamh air an t‑Sàbaid, math no olc; beatha a shàbhaladh, no duine a mharbhadh?” Ach cha tuirt iadsan guth.
MRK.3.5	Sheall e orra gu feargach, 's chuir cruas an cridhe mulad air. An sin thuirt e ris an duine, “Sìn a‑mach do làmh.” Shìn e a‑mach i 's bha i air a dèanamh slàn. 
MRK.3.6	Thog na Pharasaich orra, 's chuir iad an comhairle ri muinntir Heroid feuch ciamar a chuireadh iad ás dha.
MRK.3.7	Dh'fhalbh Iosa 's a dheisciobail leo fhèin gu taobh an loch, 's thàinig sluagh mòr a mhuinntir Ghalile às an dèidh. 
MRK.3.8	Nuair a chuala iad na bha e a' dèanamh, thàinig àireamh mhòr dhaoine thuige à Iudèa, à Ierusalem, à Idumèa, bho thaobh thall Iòrdain, 's bhon dùthaich man cuairt air Tìoras agus Sìdon. 
MRK.3.9	Air eagal 's gun teannaicheadh an sluagh air, dh'iarr e air a dheisciobail bàta a bhith deiseil dha; 
MRK.3.10	oir bha e a' leigheas mòran dhaoine, 's bha a h‑uile duine air an robh tinneas ga dhùmhlachadh feuch am beanadh iad ris. 
MRK.3.11	Cha robh uair a chitheadh na droch spioradan e nach robh iad a' tuiteam air a bheulaibh 's a' sgriachail, “'S tusa Mac Dhè.”
MRK.3.12	'S bha esan a' toirt rabhadh cruaidh dhaibh gun innse cò e.
MRK.3.13	Ghabh Iosa suas dhan mhonadh. Ghairm e an fheadhainn a thagh e‑fhèin, 's chaidh iad a‑mach thuige. 
