MAT.1.1	Dawute naa, Abrahaame naa gidida Yesus Kirstoosa yeletetha zarkey hayssafe kaallizayssa;
MAT.1.2	Abrahaamey Yisaaqa yelides; Yisaaqi Yaqoobe yelides; Yaqoobey Yuhudanne iza ishata yelides; 
MAT.1.3	Yuhuday Timaarippe Faareesanne Zaara yelides; Faareesay Esroome yelides; Esroomey Araame yelides; 
MAT.1.4	Araamey Aminadabe yelides; Aminadabey Ne7asoone yelides; Ne7asooney Salomoone yelides; 
MAT.1.5	Salomoonka Bo7eeze Era7aabippe yelides; Bo7eezey Urutippe Iyoobeede yelides; Iyoobeedey Isseye yelides; 
MAT.1.6	Isseyey kawo Dawute yelides; Dawutey Ooriyo macheyfe Solomoone yelides.
MAT.1.7	Solomoonka Robi7aame yelides; Robi7amey Abbiya yelides; Abbiyayka Aasafe yelides; 
MAT.1.8	Aasafey Yoosapixe yelides; Yoosapixey Iyooraame yelides; Iyooraamey Ooziya yelides; 
MAT.1.9	Ooziyaney Iyoo7aatame yelides; Iyoo7aatamey Akaze yelides; Akazey Hiziqaase yelides; 
MAT.1.10	Hiziqaasi Minaase yelides; Minaasey Amoxe yelides; Amoxeykka Yoosiyaasa yelides; 
MAT.1.11	Yoosiyaasi Babiloone di7o layth Ikonyaanenne iza ishata yelides.
MAT.1.12	Babiloone di7oppe guye Ikonyaaney Salatiyaale yelides; Salatiyaaleyka Zerubaabele yelides; 
MAT.1.13	Zerubaabeley Abiyoode yelides; Abiyoodey Eliyaqeeme yelides; Eliyaqeemey Azaare yelides; 
MAT.1.14	Azaarey Saadooqe yelides; Saadooqey Akime yelides; Akimeykka Eliyoode yelides; 
MAT.1.15	Eliyoodey Alazaare yelides; Alazaarey Maataane yelides; Maataaney Yaqoobe yelides; 
MAT.1.16	Yaqoobeyka Kirstoosa geetettidayssa Yesusa yelida Maaramo ekkana giigissida Yoosefe yelides. 
MAT.1.17	Hessa gish Abrahaameppe yiidi Dawute gakkanaas tammanne oyddu yeleteth; qasse Dawuteppe Babiloone di7o wode gakkanaas tammanne oyddu yeleteth; Babiloone di7oppe Kirstoosa yeleteth gakkanaas tammanne oyddu yeleteth gidees.
MAT.1.18	Yesus Kirstoosa yeletetha taarikey hayssafe kaalli dizayssa; iza aaya Maarama Yoosefes giigetta dishin izi izira gayttonta Xillo Ayanan qanthatada beettadus.
MAT.1.19	Izo giigissida Yoosefey xillo as gidida gish Maaramo asaa sinthan qonce kessonta qotara agganas ba woznara qachchides. 
MAT.1.20	Hayssa izi qoppishin Xoossa kiitanchay agumora izas qoncidi “Dawute naa Yoosefe! Ne giigissida Maarama qanthatiday Xillo Ayanan gidida gish izo neso efanaas babbofa. 
MAT.1.21	Iza attuma naa yelana; izi asa nagarappe ashshanadde gidida gish iza sunth ne ‘Yesusa’ ga sunthana” gides.
MAT.1.22+MAT.1.23	Goday nabe Isayaasa duunan “Hekko! Gela7oy qanthatana; attuma naakka yelana; naaza sunthayka Amanu7eela geetettana; hessa birsheththika ‘Xoossi nunara dees’ geetettidi xaafettidayssi polettana mala hayssi wurikka hanides” gides.
MAT.1.24	Yoosefeykka dhiskofe beeggidi Goda kiitanchay iza azazida mala Maaramo baso efides.
MAT.1.25	Gido attin baada iza koyro naaza yelana gakkanaas izo ekibenna. Yeletida guutha naaza suntha “Yesusa” gides.
MAT.2.1	Kawo Herdoosa wode Yesusi Beeteleme Yuhudan yeletidappe guye awa arshey mokkiza baggafe eranchati Yerusalame yiidi 
MAT.2.2	“Yeletida Ayhuda kawoy awan dizee? Awa arshey mokkiza baggara iza xoolinteza beyidi izas goynnana yidos” giidi oychida.
MAT.2.3	Kawo Herdoosi hessa siydi daggammides; Yerusalamen diza asay wuri izara daggammides. 
MAT.2.4	Izikka Qeeseta halaqatanne woga tamarsizayta ubba shiishshidi “Kirstoosi awan yelettanee?” giidi oychides.
MAT.2.5+MAT.2.6	Istika izas “Nabey
MAT.2.5+MAT.2.6	‘Yuhuda biittan dizaare hanne Beeteleme!
MAT.2.5+MAT.2.6	Ta dere Isra7eele naagizadey neeppe kezana gish
MAT.2.5+MAT.2.6	hanko Yuhuda haarizaytappe aazanka guuxakka’
MAT.2.5+MAT.2.6	giidi xaafida gish izi Beeteleme Yuhudan yelettana”
MAT.2.5+MAT.2.6	giidi yootida.
MAT.2.7	Hessafe guye Herdoosi he eranchata geemara xeygisidinne ista hasayssidi xoolintezi istas bettida wodeyo shaakki erides. 
MAT.2.8	Eranchata Beeteleme yeddidi “Biidi guutha naaza koyite, takka baada izas goynnana mala demmida mala ha taakko simmidi izi awan dizaakkon taas yootite” gides.
MAT.2.9	Eranchatikka kawoy istas gidayssa siyidappe guye simmi bida; awa arshey mokkiza baggara istas bettida xoolintey ista kaaleththidi guutha naazi dizaso gaththides. 
MAT.2.10	Isti xoolinteza beyida wode daro ufayetida. 
MAT.2.11	Keeththe gelidi guutha naaza iza aayo Maaramira demmidinne gulbatidi izas goynnida; ba saaxine saaxine dooydi worqa, exaanenne karbe giza miish izas immida.
MAT.2.12	Isti Herdoosakko simmonta mala agumon keehi naagettana mala geetettida gish hara ogera ba dere simmida.
MAT.2.13	Eranchati bidappe guye Goda kiitanchay Yoosefes agumora beettidi “Herdoosi guutha naaza wodhana koyiza gish ne simmana wode ta nena erissana gakkanaas dendada guutha naaza aayeyra ekkada duge Gibxe biitta baqatada heen daashsha” gides.
