MAT.1.1	Abrahamachea puta Davidachea puta, Krista Jezuche he vonxa-vollichi xivddi. 
MAT.1.2	Abraham’ Izakacho bapui; Izak Jakobacho bapui; Jakob Judasacho ani tacheam bhavancho bapui; 
MAT.1.3	Judas Faresacho ani Zaracho bapui (tanchi avoi Tamar); Fares Ezronacho bapui; Ezron Araamacho; 
MAT.1.4	Araam' Aminadabacho; Aminadab Naxonacho bapui; Naxon Salmonacho; 
MAT.1.5	Salmon Boazacho bapui (tachi avoi Rahab); Boaz Obedacho bapui (tachi avoi Ruth); Obed Jes’secho bapui; 
MAT.1.6	Jes’se David razacho bapui. David Solomanvacho bapui (tachi avoi Uriasachi potinn); 
MAT.1.7	Solomanv Roboa-macho bapui; Roboam’ Abijacho; Abija Asacho; 
MAT.1.8	Asa Josafatacho bapui; Josafat Joramacho; Joram’ Uzziahcho; 
MAT.1.9	Uzzziah Jotamacho bapui; Jotam’ Ahazacho; Ahaz Hezekiahcho; 
MAT.1.10	Hezekiah Manas’sesacho bapui; Manas’ses Amosacho; Amos Josiacho 
MAT.1.11	Josia Jekoniacho ani tacheam bhavancho bapui; he Babilioniechea pordesachea kallar zolmole. 
MAT.1.12	Babiloniechea pordesa uprant: Jekonia Salatielacho bapui; Salatiel Zerubabelacho; 
MAT.1.13	Zerubabel Abiudacho; Abiud Eliaki-macho bapui; Eliakim’ Azoracho; 
MAT.1.14	Azor Zadokacho; Zadok Akimacho bapui; Akim’ Eliudacho; 
MAT.1.15	Eliud Eleiazaracho; Eleiazar Mat’thanacho bapui; Mat’than Jakobacho; 
MAT.1.16	Jakob bapui Juzecho; ho Mariecho poti; hinnem Krist mhonntat tea Jezuk zolm dilo.
MAT.1.17	Mhonntôch soglleô pinddka mellun hixôb oso: Abrahama thaun Davida porian chouda pinddka; Davida thaun Babiloniechea pordesa porian chouda; ani Babiloniechea pordesa thaun Krista porian chouda.
MAT.1.18	Kristacho zolm oso zalo: Tachê avoi Mariek ani Juzek lognachem utor zal’lem ; punn tim ektthãi jieunchê adinch, Povitr Atmeachê podven ti gorbest asa mhonn gomun ailem. 
MAT.1.19	Ticho poti Juze nitivont monis aslo ani tichem nanv ubounk taka khuxi nasli, dekhun tika guptim soddun diunk to ievjitalo. 
MAT.1.20	Oxem korunk tannem tharav ghetlo tedna, ovchituch taka sopnant Sorvesporacho êk dut dixtti poddlo. Devdutan sanglem: “Juze, Davidachea puta, Mariek tuji potinn korun gheunk bhie naka; kiteak tichea kusveant gôrb asa to Povitr Atmeachê podven sombhovla. 
MAT.1.21	Ti eka putak zolm diteli ani tum Taka Jezu mhonn nanv ditoloi , kiteak Aplê porjek ticheam patkantli soddoitolo to Toch.” 
MAT.1.22+MAT.1.23	Sorvesporan provadea vorvim oxem sanglelem: “Polleiat, ek ankvar cheddum gorbest zatelem , ani tem eka putak zolm ditelem, ani taka Immanuel (mhonngê ‘Amchê sovem Dev’), oxem nanv ghaltelim.” Hem utor pallon ieunchê khatir hem sogllem ghòddlem.
MAT.1.24	Nhidentlo utthun, Devdutachea hukume pormannem Juzen kelem, ani tika apli potinn korun ghetli; 
MAT.1.25	ani tinnem aplea Putak zolm dii-sôr tannem tichê lagim linga-ekvôtt korunk na . Ani Juzen taka Jezu mhonn nanv dilem.
MAT.2.1	Herod raza razvôtt choloitalo tedna, Judeiachea Bethlehemant Jezu zolmolea uprant ovchituch Udenti thaun kãi vidvan Jeruzaleak aile 
MAT.2.2	ani oxem tãnnim vicharlem: “Zolmola to Judevancho raza khõi asa? Tachem noketr udetanam ami pollelam ani sorpottun taka nomoskar korunk ami aileanv.” 
MAT.2.3	Hem aikun Herod raza ghaborlo ani tachê borabôr akhem Jeruzalem. 
MAT.2.4	Somest mukhel iadnikank ani porjecheam dhormxastreank zomoun, Krist khõi zolmuncho asa tê vixim to tanchê kodde khobor kaddunk laglo. 
MAT.2.5	Tãnnim taka oso zobab dilo: “Judeiachea Bethlehemant, kiteak provadea vorvim oxem boroilelem asa:
