MAT.1.1	Coa co cuatia Jesu Cristo moñemoñajaré ypycue guare. Jaé Davidrejegua, ja Abraamrejegua avei.
MAT.1.2	Abraam omoñemoña Isaácpe: Isaac omoñemoña Jacobpe: Jacob omoñemoña Judape, ja tybyracuerape: 
MAT.1.3	Juda omoñemoña Farespe ja Zarape pe Tamargui: Fares omoñemoña Esrompe: Esrom omoñemoña Arampe: 
MAT.1.4	Aram omoñemoña Aminadabpe: Aminadab omoñemoña Naassónpe: ja Naassón omoñemoña Salmónpe: 
MAT.1.5	ja Salmón omoñemoña Boespe Racabgui: ja Boes omoñemoña Jobedpe Rutgui: ja Obed omoñemoña Jessépe: 
MAT.1.6	ja Jessé omoñemoña pe mburuvicha guasu Davidpe.
MAT.1.6	Pe David omoñemoña Salomónpe pe Urías rembirecocue gui: 
MAT.1.7	ja Salomón omoñemoña Roboampe: ja Roboam omoñemoña Abíape: ja Abía omoñemoña Asape: 
MAT.1.8	ja Asa omoñemoña Josafatpe: ja Josafat omoñemoña Jorampe: ja Joram omoñemoña Ozíaspe: 
MAT.1.9	ja Ozías omoñemoña Joatampe: ja Joatam omoñemoña Akázpe: ja Akáz omoñemoña Ezekíaspe: 
MAT.1.10	ja Ezekías omoñemoña Manaséspe: ja Manasés omoñemoña Amónpe: ja Amón omoñemoña Josíaspe: 
MAT.1.11	ja Josías omoñemoña Jeconíaspe ja tybyracuerape oyereraja rire guare Babiloniape.
MAT.1.12	Upegui oyebyparire pe Babiloniape oyereraja jaguegui pe Jeconías omoñemoña Salatielpe: ja Salatiel omoñemoña Zorobabelpe: 
MAT.1.13	ja Zorobabel omoñemoña Abiudpe: ja Abiud omoñemoña Eliakímpe: ja Eliakím omoñemoña Azorpe: 
MAT.1.14	ja Azor omoñemoña Sadocpe: ja Sadoc omoñemoña Akímpe, ja Akím omoñemoña Eliudpe: 
MAT.1.15	ja Eliud omoñemoña Eleazarpe: ja Eleazar omoñemoña Matánpe: ja Matán omoñemoña Jacobpe: 
MAT.1.16	ja Jacob omoñemoña Josépe, pe María mena: pe María voi Jesús joa jague pe oyee vaecue Cristo.
MAT.1.17	Upeichavó oime umi ñemoñajaré retacue Abraam guive David peve catorce; ja pe David guive oyereraja peve Babiloniape ojupity catorce ñemoñajaré; ja upegui oyeby guive pe Babiloniape oyereraja jaguegui Cristo peve ojupity catorce ñemoñajaré.
MAT.1.18	Ja oyeju coicha oñemoña jaguâ Jesu Cristo. Pe isŷrâ María omeê racaé iñeê Josépe omenda jaguâ jese, ja oico mboyve oñondive yepe, jae oyeyuju jygueguasumajá Espiritu Santogui. 
MAT.1.19	Upei catu imenarâ José, caraí iyojeipyré voí, ndoipotaigui jêrâcuâ vaí jaguâ ichugui, opoiucase ichupe iñeêgui kîrîrîjame. 
MAT.1.20	Upeyave jiâ pype jina ichupe oyapo jaguâ upea, sapya Ñandeyára remimbou yvapegua oyejechauca ichupe ikepe, ja jei ichupe: Nde, José, David raŷ, ani rekyjŷyé reí rerojory jaguâ nerembirecorâ co Maríape: Upe oñemoñáva jyguepe, upeva Espiritu Santoguiguante. 
MAT.1.21	Ja jae imembyráne, ja pe Mitâ cuimbaepe imemby rembojéra vaerâ Jesús. Jae voínte oicone umi oyejegua Repŷjárâ iñangaipágui. 
MAT.1.22	Âmbae voí oyeju vaecue oico jaguâ jecope pe Ñandeyára ñeêngue jeiuca vaecue pe ñemoñeêjaré yururupi: 
MAT.1.23	Maêke! peina oimene cuñatâí imârâŷva jygue guasu vaerâ ja imembyrá vaerâ, ja pe Mitâ cuimbae pe imemby, oñembojérane Ichupe Emmanuel, Tûpâ Ñandeyára ñanendivegua yaemo avañeême. 
MAT.1.24	Upei catu opaŷma rámo José okejágui, oyapo voí pe Ñandeyára remimbou oyapoucá jagueicha ichupe, ja oguerojorŷ jembirecope jogape. 
MAT.1.25	Opaichavévo ndoicoi jendive imembyrá peve. Ja ombojéra pe imemby cuimbaepe Jesús.
MAT.2.1	Uperamo, joarire Jesús isŷgui pe Belén Judea retâmeguape, oico ramo guare mburuvicha guasu ramo Herodes, sapya ôguajê Jerusalempe caraí iñarandúva cuera ou vaecue Orientegui, cuarajy resê coty guivo, oporandúvo: 
MAT.2.2	¿Mamôpa oime cu joa ramôva Judio ruvicha guasurâ? Ore rojecha raé pe yasytata jeseguare (iyestrella) pe Orientepe ja royú rombuetévo Ichupe. 
MAT.2.3	Upei catu ojenduma ramo pe jêrâcuâ pe mburuvicha guasu Herodes, ipya tarová, ja upeicha avei umi Jerusalemŷgua yoa. 
MAT.2.4	Upévareje jae ombyatyucápá umi paiguasupe ja umi iñarandúva upepeguape, ja oporandu ichupecuera mamópanerae oñemoña jaguâ reje Cristo? 
MAT.2.5	Ja jaecuera jei ichupe: Belénpe, Judea retâmeguape, oîjaicha voí Santa Escriturape oyee jagueicha pe ñemoñeêjaré yururupi: 
MAT.2.6	Ja nde, Belén co Judá retâmegua, nde ndajaei pe mîchîetevéva umi Judá ruvichá apytepe: ndejegui voí osê vaerâ peteí mburuvicha guasu, co Cherejegua Israel rerecuárâ jenonderâ.
MAT.2.7	Upei catu Herodes ojenôi ñemijápe umi iñarandúvape cuera, ja oporandu andu ichupecuera aracaépa oyecuaa raé pe yasŷtatá? 
MAT.2.8	Ja jae omondo ichupecuera Belénpe, jeivo: Tapejó amó, ja peporandu andu pe Mitâ reje, ja peyuju rire Ichupe, peyu yeby che momaranduvo, aja jaguâ che avei ambuetévo Ichupe. 
MAT.2.9	Upei catu ojendu ramo jaecuera pe mburuvicha guasu jei vaecue, oyeói, ja pe yasytatá avei ojecha vaecue pe Orientepe, jenonderâ oguata oicovo ôguajê meve pe Mitâ oîjá ári, ja upepe opyta. 
MAT.2.10	Ja ojechama rámo opytámajá pe yasytata jory yoa obyájápe. 
MAT.2.11	Ja oike pypé pe ogape, ojecha pe Mitâme isŷ María ndive, ja oñesû ja ombueté Ichupe ja oipea icarameguá cuera ja oicuameê Ichupe jemimêêmbŷrâ, oro ja incienso, ja mirra. 
MAT.2.12	Uperire oñemo marandú gui Ñandeyára rupi ikepe ani oyeby jaguâ Herodespe, oyeí yeby jetâme ambue tapérupi.
MAT.2.13	Upei catu ojorire jaecuera, oyejechauca Josépe ikepe Ñandeyára remimbou jeivo: Epuâkena, eraja co Mitâme ja isŷpe, ja eroñêguajê águi Egiptope, ja epyta upepe Che jaeuca peve ndeve. Pe Herodes voí ojecaucata jina co Mitâme oyuca potávo Ichupe. 
MAT.2.14	Upei catu jae opaŷ ja opuâ, ja ogueraja pe Mitâme ja isype pyjarépe, ja oyeí Egiptope. 
MAT.2.15	Ja upepe oico omanojápeve Herodes. Upeicha oyeju jecope pe jeiuca vaecue Ñandeyára pe ñemoñeêjaré yuru rupi: Egiptogui voí ajenôi vaecue Che Raŷpe.
MAT.2.16	Upeyavé pe Herodes ojecha ramo oñembojorŷ jague jese umi iñarandúva, ipochŷeté, ja omondo oyucapaite vaerâ umi mitâ cuera Belénpe ja oparupi iyerecuevo oîvaecuepe, umi mitâ cuimbae ombotŷŷvaecue gueteri mocôi roŷ, upe jae ojechacuaa jagueicha umi iñarandúva remimombeucue ichupe. 
MAT.2.17	Uperamo oyeju jecópe pe oyee vaecue pe ñemoñeêjaré Jeremias yuru rupi: 
MAT.2.18	Oñejendu osapucai yoava Ramape, oyajeóva ja tuvicha jasêva yoa! Rakel oyajeo jina umi imembycue reje, ja nda ipyaguapysei, ndiporiveima járeje jaecuera.
MAT.2.19	Uperire omanoma rámo Herodes, pe Ñandeyára remimbou oyejechauca yeby Josépe ikepe oîjape Egiptope, ja jei ichupe: 
MAT.2.20	Epuânte, ja eraja yeby pe Mitâme ja isŷpe, ja terejo neretâ Israelpe. Omanombáma raé voí umi oipease vaecue co Mitâ recove. 
MAT.2.21	Upei catu opuâ voí ja oguerajá pe Mitâme ja isŷpe, ja ou ôguajêvo Israel retâme. 
