GEN.1.1	Kerrngehkenh duninjh God bolkmarnbom rowk, kaddum dja kurorre. 
GEN.1.2	Wanjh minj njale bangmemarnbuyindangimeninj kurorre, dja mak bolklarrkni. Dja kunkak yiman rerrih barrkbom kukku manbu boyoy kanjdji, dja God nuye Namalngmakkaykenh, yiman kunmayorrk rerrih djahdjalrokani kaddum kore kubokehkekeb.
GEN.1.3	Wanjh God yimeng, “Mah, kumwolkayinda.” Wanjh kumwolkayindanj. 
GEN.1.4	Dja God nang manbu kumwolkayindanj, nang kamak rowk. Wanjh nungka welenglarlmey manbu kumhwolkani dja manbu kunkak. 
GEN.1.5	Dja nungka God ngeykurrmeng, manbu kumhwolkani manu wanjh ngeykurrmeng barnangarra, dja manbu kunkak, manu wanjh ngeykurrmeng kumunun. Wanjh kunkak wam, kunkabel kumwam, wanjh kunbarnangarrakudji kunu.
GEN.1.6	God yimeng, “Mah, kunngol kumray kakurrmerren kubulkayh kore kaboyo, ba kabebbehbolarlmang.” 
GEN.1.7	Wanjh God marnbom kunngol dja bebbehbolarlmey, ngalengman manu kaboyo kanjdjikah, dja mak ngalengman manu kaboyo kaddumkah. Wanjh kundjalmekbe yimerranj. 
GEN.1.8	Wanjh God welengngeykurrmeng kunngol. Wanjh kunkak wam, kunkabel kumwam, wanjh kunu kunbarnangarra bokenh.
GEN.1.9	Wanjh God yimeng, “Mah, kukku manbu kaboyo kanjdjikah kore kunngol, wanjh bomornnamiyinda kukudji ba kamrorrebebme.” Wanjh kundjalmekbe yimerranj. 
GEN.1.10	Wanjh God welengngeykurrmeng kunrorre. Dja kukku manbu bomornnamerrinj kukudji, wanjh kunu ngeykurrmeng kurrula. Wanjh God nang kamak rowk.
GEN.1.11	Wanjh God yimeng, “Mah, ngalengman kunrorre bebkemen mankolhdebubuyika, ngalengman manbu kakarrme manmim, dja ngalengman kundulk, kakarrme manbarnem manmim dorrengh, manbebbehbubuyika.” Wanjh kundjalmekbe yimerranj. 
GEN.1.12	Ngalengman kunrorre ngalkeng mankolhdebubuyika, ngalengman manbu kakarrme manmim, manbebbehbubuyika, dja ngalengman kundulk kakarrme manbarnem manmim dorrengh, manbebbehbubuyika. Wanjh God nang kamak rowk. 
GEN.1.13	Wanjh kunkak wam, kunkabel kumwam, wanjh kunu kunbarnangarra danjbik.
GEN.1.14	God yimeng, “Mah, manbu kabirriwolkan birrimbebmerrimen kore kungolbeh ngarre kaddum, ba kabirrilarlmang barnangarra dja kumunun, kabirribukkarren munguyh munguyh ngarre kurrung dja kudjewk, dja mak ngarre kunbarnangarrabubuyika dja mandjewkbubuyika. 
GEN.1.15	Bedda kaluk birriwolka kungol ngarre kaddum ba kabirribolkwolkan kanjdji kurorre.” Wanjh kundjalmekbe yimerranj. 
GEN.1.16	God marnbom mankihkimuk bokenh, manbu manwernhkimuk, manu ngalengman kawolkan kawohrnan barnangarrakenh, dja manbu manwohbirluyahwurd, manu ngalengman kawolkan kawohrnan kumununkenh, dja mankokkarrng warridj kunimarnbom. 
GEN.1.17+GEN.1.18	Wanjh God welengkurrmeng manbu kabirriwolkan, kurrmeng kore kungol ngarre kaddum ba kabirribolkwolkan kanjdji kurorre, dja mak kabenebebbehwohrnan barnangarrakenh dja mak kumununkenh, dja mak kabirribebbehlarlmang kore kahwolkan dja kore kunkak. Wanjh God nang kamak rowk. 
GEN.1.19	Kunkak wam, dja kunkabel kumwam, wanjh kunu kunbarnangarra kunkarrngbakmeng.
GEN.1.20	Wanjh God yimeng, “Mah, nawu kukbubuyika kamimbi wernhmerrimen kore kukku rowk, dja mak nawern nawu welyi birriray kaddumkah kurorre kore kungol ngarre kaddum.” 
GEN.1.21	Wanjh kunu God marnbom nakihkimuk djenj yiman kayime birddurrangkan, mak nadjalbubuyika rowk nawu kamimbi nawu kamirndere kukukku, benmarnbom birribebbehkukbubuyika rowk. Dja mak nadjalwern rowk nawu welyi benmarnbom birribebbehkukbubuyika rowk. Wanjh God nang kamak rowk. 
GEN.1.22	Wanjh God benmarneyimeng kunmak kunwok, yimeng, “Ngurrima nawern yaw, ngurrimirndewernworrimen, barlmirrangimen kore kukku manbowarlahbubuyika, dja mak nawu ngurriwelyi, ngurrimirndewernworrimen kore kurorre.” 
GEN.1.23	Kunkak wam, kunkabel kumwam, wanjh kunu kunbarnangarra five.
GEN.1.24	Wanjh God yimeng, “Mah, kunrorre ngalkemen bebbehkukbubuyika nawu kamimbi, mayh nadjalwern, nawu kelebuk, dja nawu kawake, dja nawu kele, birribebbehkukbubuyika.” Wanjh kundjalmekbe yimerranj. 
GEN.1.25	God benmarnbom mayh kukbubuyika, kele nawu birribebbehkukbubuyika, kelebuk nawu birribebbehkukbubuyika, dja mak nawu kawake kurorre birribebbehkukbubuyika rowk. Wanjh God nang kamak rowk.
GEN.1.26	Wanjh God yimeng, “Kab ngarrbenmarnbu bininj, yiman ngad rerrih karrirohrok
GEN.1.27	Wanjh God benmarnbom bininj, yiman nungka rerrih kabirrirohrok. Yiman God nungan rerrih kabirrirohrok benmarnbom. Benmarnbom bu narahrangem dja ngaldahdaluk.
GEN.1.28	Kaluk benmarneyimeng kunmak kunwok, dja yimeng, “Ngurrima nawern wurdyaw, bininj ngurrimirndewernworrimen, ngurribarlmirrangimen kurorre dja ngurribolkkarrmen. Dja mak ngurrimarnewohrna djenj nawu kare kukukku, mak nawern welyi nawu kare kuwonge, dja mayh rowk nawu kamimbi nawu kahre kurorre.”
GEN.1.29	Wanjh God yimeng, “Ngurrina, ngaye ngokko ngakurrmeng ngudberre bininj mankolhdebubuyika rowk kakarrme manmim, manbu karri kurorre kubolkbubuyika rowk, dja mandulkbubuyika rowk kakarrme manbarnem manmim dorrengh, manmekbe rowk wanjh manme ngudberre ngurringun. 
GEN.1.30	Dja nawu mayh rowk nawu kele, dja mak nadjalwern rowk nawu welyi nawu kare kuwonge, dja mak mayh rowk nawu kawake kurorre, mayh nawarlahkenh rowk nawu kakarrme kunngolek bu kamimbi, bedda wanjh ngabenmarnekurrmeng kabirringun manbu kundalk manbu mandalkkuk, dja manbu kundulk kakarrme manworrkuk.” Wanjh kundjalmekbe yimerranj.
GEN.1.31	Wanjh God nang yehyeng rowk nawu marnbom, nang kamak duninjh. Kunkak wam, kunkabel kumwam, wanjh kunu kunbarnangarra six.
GEN.2.1	Kunu wanjh God yakwong rowk bu bolkmahbolkmarnbuni kaddum dja kurorre, dja mak yehyeng rowk nawu kumekbe karri.
GEN.2.2+GEN.2.3	Wanjh bu kunbarnangarra seven God ngehmeng. Nungka yakwong rowk kore durrkmihdurrkmirri, wanjh ngehmeng dja ngokko yakwong rowk kore durrkmihdurrkmirri bolkmahbolkmarnbuni, kunmekbekenh kunu nungka kukenhmeng kunbarnangarra seven, larlmey, marnbom bu kunbarnangarradjamun nungan nuye. 
GEN.2.4	Wanjh kunih kunu kayolyolme bu kaddum dja kurorre God bolkmahbolkmarnbuni.
GEN.2.4+GEN.2.5+GEN.2.6	Bu Yawey nawu God bolkmarnbom kurorre dja kaddum, minj kundulk bangmediwirrinj kurorre, dja manmim minj bangmebebmeninj, dja Yawey God minj bangmemunkewemeninj mandjewk kore kurorre, dja minj nangale mak diwirrinj bu bolkyilkbuyi. Djal kukku kumbobebmi kurorrebeh bolkdjuhkeyi rowk. 
GEN.2.7	Wanjh Yawey nawu God mey kundjulng kore kurorrebeh
GEN.2.8	Kaluk Yawey nawu God manme dudji kore koyek kabolkngeyyo Eden, wanjh kunmekbe kunu nungka bikurrmeng bininj nawu bimarnbom. 
GEN.2.9	Wanjh nungka Yawey nawu God welengmarnbom kundulk rowk, dangerrinj kurorrebeh, kundulk manbu bininj kanan mandulkmakkaykenh, dja mak manbu kakarrme manme manmakmak. Kumekbe kore manme dudjihdudjindi, kubulkayh, kumekbe dulkdi manbu kahwon bininj kunngolek bu kamimbi munguyh munguyh, dja mak manbadbuyika manbu kahwon kunmayali kore kunmakkenh dja kore kunwarrekenh.
GEN.2.10	Mankabo balboyakbuni kore Eden, djuhkeyi manme manbu dudjihdudjindi. Kaluk bewhkah yungkikah Eden, wanjh kumekbe kunu mankabo kabolarlmilarlmirranj kabomarnburrinj kunkarrngbakmeng. 
GEN.2.11	Mankabo manbu karrokme, kangeyyo Pishon, wanjh manu kabalboborledme kore kubolkwarlah rowk kunred kabolkngeyyo Havilah. 
GEN.2.12	Kumekbe kunred kahyo gold kunwardde nawu namakkaykenh, dja mak manjmakmak perfume yiman kunkalkkid, dja kunwardde kunmakmak duninjh kangeyyo cornelians. 
GEN.2.13	Manbadbuyika mankabo manbu kabolarlmang, manu wanjh Gihon, kabalboborledme kore kunred kubolkwarlah rowk kabolkngeyyo Cush. 
GEN.2.14	Dja mak manbu mankaboberlbuyika manbu karranjbikwon, manu wanjh Tigris, manbu kabalboyakbun koyekkah kunred kubolkwarlah kunbolk Asshur. Wanjh ngalengman manbu kunkarrngbakmeng kabalkabore, manu wanjh kangeyyo Euphrates.
GEN.2.15	Wanjh Yawey nawu God bimey nahni bininj nawu nayungkih dja bikurrmeng kore manme dudjihdudjindi kore kunbolk Eden, ba kabolkyilkbun dja kabolknahnan. 
GEN.2.16	Wanjh Yawey nawu God biwokrayekwong nahni bininj, yimeng, “Ngudda kamak yingun mandjalwern manbubuyika manbarnem kore maninjmanu kundulk rowk kondah kore manme kahdudjindi. 
GEN.2.17	Mandjalkudji manbu kundulk, manbu kahwon kunmayali kore kunmak dja kunwarre, yuwn yingun manmekbe manme. Bu yingun maninjmanu manbarnem, wanjh bonj, yidjalmalngdowen kundjalmekbe kunbarnangarra rerrih.”
GEN.2.18	Wanjh Yawey nawu God yimeng, “Minj kunmak bu nahni bininj kahdjalni nadjalkudji. Ngaye ngamarnbun nawu kabibidyikarrme nawu kamak kabenedjarrkni.”
GEN.2.19	Wanjh Yawey nawu God benmarnbom mayh kukbubuyika rowk kore kurorrebeh, nawu kare kore kabbal, dja mak marnbom nadjalwern kukbubuyika rowk nawu welyi dja kare kuwonge. Nungka benkang kore bininj ba kanan bu baleh kabenbebbehngeykurrme. Kore baleh bininj benngeykurrmi bedda rowk nawu birrimimbi, wanjh kundjalmekbe birringeyyoy. 
GEN.2.20	Wanjh nahni bininj ngeykurrmeng rowk mayh nawu kelebuk, dja mak nawern nawu welyi nawu kare kuwonge, dja mak mayh rowk nawu kare kore kabbal.
GEN.2.20	Dja bininj minj bimarnengalkemeninj nawu bibidyikarrmeninj kamak benedjarrkniwirrinj. 
GEN.2.21	Wanjh Yawey nawu God bikekurrmeng bininj, kerroweng duninjh. Bu nungka keyohkeyoy, God mey kunkudji kunbirrkbirrkmurrng kore bininjbeh biwelengmokbalhmeng kunkulahwi. 
GEN.2.22	Wanjh Yawey nawu God bimarnbom ngalkudji daluk kore kunbirrkbirrkmurrngbeh bininj, wanjh bimarnekang kore bininj. 
GEN.2.23	Wanjh bininj welengyimeng, “Kalukburrk bebmeng nawu kunmurrng wam kore ngayebeh, dja kunburrk bu ngayebeh kunburrk. Ngahli wanjh kangeyyo ngalbininjkobeng, dja ngaleng kunu kumkukmarnbuyindanj bininjbeh.”
GEN.2.24	Kunmekbekenh kunu bininj kabenbenebawon ngalbadjan dja kornkumo, dja kabenebelbmerren ngalbininjkobeng nuye wanjh kabenekudjihmen.
GEN.2.25	Namekbe bininj dja ngalbininjkobeng benekukworrhworrni, kaluk minj beneyemeninj.
GEN.3.1	Kaluk nawu nayin namekbe wanjh djalwernhkurrehkurreni dja mak bendjalwernhyurrhkeyi rowk mayhbubuyika rowk nawu kelekeleh kore Yawey nawu God marnbom. Wanjh namekbe nawu nayin balwokdanj bidjawam daluk, yimeng, “Yiddok woybukkih duninjh God yimeng, ‘Yuwn bu ngunengun manbu manbarnem kore kahdulkdingihdi kondah kore manme kahdudjindi’?” 
GEN.3.2+GEN.3.3	Ngalbu daluk yimeng, “Nganengun rowk manme manbu mandulkbubuyika manbu kondah kahdudjindi, dja God kanbenemarneyimeng, ‘Mandjalkudji manbu kubulkayh kahdulkdi, manmekbe manme yuwn ngunengun, yuwn bu mak ngunekarrme, marndi ngunebaldjaldowen.’”
