MAT.1.1	Jesucristo coyeare panopʉ macainare õ sehe ni yahuihtja yʉhʉ. Jesucristo ñʉchʉno cjiro panopʉ macariro Davi wama tiriro jia tiha. To jihto pano ti ñʉchʉno cjiro Abrahã wama tiriro jia tiha.
MAT.1.2	Abrahã Isaa pʉcʉro jiha.
MAT.1.2	Isaa Jacobo pʉcʉro jiha.
MAT.1.2	Jacobo Juda cʉ̃hʉ pʉcʉro jiha.
MAT.1.3	Juda pohna pʉaro jiha. Fares, Zara jiha. Ti pocoro Tamar wama tiricoro jiha.
MAT.1.3	Fares Esrom pʉcʉro jiha.
MAT.1.3	Esrom Aram pʉcʉro jiha.
MAT.1.4	Aram Aminadab pʉcʉro jiha.
MAT.1.4	Aminadab Naasón pʉcʉro jiha.
MAT.1.4	Naasón Salmón pʉcʉro jiha.
MAT.1.5	Salmón Booz pʉcʉro jiha. Booz pocoro Rahab jiha.
MAT.1.5	Booz Obed pʉcʉro jiha. To pocoro Rut jiha.
MAT.1.5	Obed Jesé pʉcʉro jiha.
MAT.1.6	Jesé Davi pʉcʉro jiha.
MAT.1.6	Davi sehe Israe masa bui pʉhtoro jiha. Tiro Uria wama tiriro cjiro namonore to nʉoari baharo Salomo wama tirirore pohna tiha.
MAT.1.7	Salomo Roboã pʉcʉro jiha.
MAT.1.7	Roboã Abías pʉcʉro jiha.
MAT.1.7	Abías Asa pʉcʉro jiha.
MAT.1.8	Asa Josafat pʉcʉro jiha.
MAT.1.8	Josafat Joram pʉcʉro jiha.
MAT.1.8	Joram Uzías pʉcʉro jiha.
MAT.1.9	Uzías Jotam pʉcʉro jiha.
MAT.1.9	Jotam Acaz pʉcʉro jiha.
MAT.1.9	Acaz Ezequia pʉcʉro jiha.
MAT.1.10	Ezequia Manase pʉcʉro jiha.
MAT.1.10	Manase Amón pʉcʉro jiha.
MAT.1.10	Amón Josia pʉcʉro jiha.
MAT.1.11	Josia Jeconia cʉ̃hʉ pʉcʉro jiha. Tina ti jiri pjare Israe yahpa macainare Babilonia macaina sehe ñaha wahcãha ti ya yahpapʉ.
MAT.1.12	Ã yoa Babilonia yahpai ti sʉri baharo,
MAT.1.12	Jeconia Salatiere pohna tiha.
MAT.1.12	Salatie Zorobabe pʉcʉro jiha.
MAT.1.13	Zorobabe Abiud pʉcʉro jiha.
MAT.1.13	Abiud Eliaquim pʉcʉro jiha.
MAT.1.13	Eliaquim Azor pʉcʉro jiha.
MAT.1.14	Azor Zadoc pʉcʉro jiha.
MAT.1.14	Zadoc Aquim pʉcʉro jiha.
MAT.1.14	Aquim Eliud pʉcʉro jiha.
MAT.1.15	Eliud Eleazar pʉcʉro jiha.
MAT.1.15	Eleazar Matán pʉcʉro jiha.
MAT.1.15	Matán Jacobo pʉcʉro jiha.
MAT.1.16	Jacobo José pʉcʉro jiha. José María manʉno jiha. María sehe Jesu pocoro jire. Jesu sehe masare yʉhdohtiro jiro Cristo ti ni pisuriro jire.
MAT.1.17	Tó sehe jiro Abrahãre mari quihõ mʉhtachʉ, pʉ Davipʉre mari quihõ batoachʉ ahrina jipihtina ti panamana ji turiaina mehne jia, catorce curuari waro jiha. Pari turi Davire mari quihõ mʉhtachʉ, pʉ Babiloniapʉ Israe masare ti naahto pano mari quihõ batoachʉ jipihtina ti panamana ji turiana mehne jia, catorce curuari waro pari turi jiha. Ã yoa tuhsʉ Babiloniapʉ ti sʉri baharo mari quihõ mʉhtachʉ, pʉ Cristo to masa bajuachʉpʉ mari quihõ batoachʉ jipihtina ti panamana ji turiaina mehne jia, catorce curuari waro jiha tjoa.
MAT.1.18	Ã yoa õ sehe Jesucristo masa bajuari jire. To pocoro María sehe José namono cjihto jiri jire. Wiho mejeta ti pʉaro ji dʉcahto pano Espíritu Santo to tuaa mehne wahma nijinocãre bocaro masiha ticoro to basi. 
MAT.1.19	Ã yoa José to manʉno cjihto quihõno yoariro jiro, tíre masino, ticorore cohãno taro nimaha. Masa ti ñʉrocaroi ticorore buhiri tichʉ yoa duaeraro, masa ti tʉhoerasinichʉta yaroca ticorore cohãno taro nimaha. 
MAT.1.20	Tíre to tʉhoturo watoi Cohamacʉ anjo sehe cahãnopʉ Josére bajuaro, õ sehe niha:
MAT.1.20	—José, Davi cjiro panamino, Maríare bʉo tiro marieno namo tiga. Ticoro Espíritu Santo to yoadohoro mehne wahma nijinocãre bocaricoro jira. Ã jicʉ bʉo tiro marieno namo tiga ticorore. 
MAT.1.21	Ticoro pohna tirohca. Tirota to macʉnota to masare, pichacapʉ wahaborinare yʉhdohtiro jirohca. To ã yʉhdohtiro jichʉ ñʉcʉ, Jesu ni wama pisuihca mʉhʉ —niha anjo Josére.
MAT.1.22	Panopʉ macariro Cohamacʉ yare yahu mʉhtariro cjiro “Ã waharohca”, to ni joariro seheta ahri jipihtia ã wahaa tiha. Ahri ã wahahtore õ sehe ni joa dutia tiha Cohamacʉ tirore:
MAT.1.23	“Cʉ̃coro nuhmino, ne mʉno mehne jieraricoro, nijinocãre bocaro pohna tirohca to macʉnocãre.
MAT.1.23	Tirocã Emanuel wama tirohca”,
MAT.1.23	ni joaa tiha Cohamacʉ yare. (Emanuel nino: “Cohamacʉ mari mehneta jira”, nino nica.)
MAT.1.24	Cohamacʉ anjo Josére to ã ni yahuri baharo José sehe wahcã, anjo to dutiriro seheta tiro María mehne wamomaca dʉhteha. 
MAT.1.25	To macʉnocãre to pohna tihto pano José sehe ticoro mehne jiera tiha. Baharo ticoro sehe pohna tia wahaha. Tiro sehe wihãrirocãre Jesu wamoaha.
MAT.2.1	Herode Judea yahpa macaina ti bui pʉhtoro to jiri pja tí yahpai jiri macai Belẽi Jesu masa bajuaha. To ã masa bajuari baharo ñahpichohare buheina ñahpichohare noano masiina sʉ̃ mʉja taro macaina ta, Jerusalẽpʉ wihiha. 
MAT.2.2	Ã wihia, masare tó macainare sinituha:
MAT.2.2	—¿Judio masa ti bui pʉhtoro jihtiro cjihto mipʉre nohopʉ masa bajuacari tiro? Sʉ̃ mʉja taropʉ jina, ñahpichohaca to wahma bajua wahã sʉchʉ ñʉna, “Pʉhtoro masa bajuaro nica”, ni masihi sã. Ã to bajuachʉ ñʉna, sã cʉ̃no mehne tirore ño payona tana tahi õpʉ —ni yahuha buheina masare.
MAT.2.3	Ã yoa paina Herodere tíre yahua tiha. Ti ã yahuchʉ tʉhoro Herode sehe soro tʉhotuha. Ã jia jipihtina Jerusalẽ macaina cʉ̃hʉ to yoaro seheta soro tʉhotuha tina cʉ̃hʉ. 
MAT.2.4	Ã jiro Herode sehe jipihtina sacerdotea pʉhtoare, mari judio masare buheina cʉ̃hʉre to pjirocari baharo ti cahmachu pihtichʉ ñʉno, tinare sinituha tiro:
MAT.2.4	—¿Nohopʉ masa bajuarohcari Cristo sehe mʉsa tʉhotuchʉ? —ni sinitu ñʉha tiro.
MAT.2.5	Õ sehe ni yahuha tirore:
MAT.2.5	—Belẽi, Judea yahpai jiri macai Cristo masa bajuarohca. Õ sehe ni joaa tiha Cohamacʉ yare yahu mʉhtariro cjiro:
MAT.2.6	“Belẽi yʉ yainare Israe masare dutihtiro tarohca.
MAT.2.6	Ã jiro paye macari Judea yahpai jia macari yʉhdoro jira Belẽ”,
MAT.2.6	ni joaa tiha Cohamacʉ yare —ni yahuha tina Herodere.
MAT.2.7	Ti ã ni yahuri baharo Herode masa ti marieno watoi sʉ̃ mʉja taropʉ tarinare pjirocaha. To cahapʉ tina ti sʉchʉ ñʉno, tinare sinitu ñʉha. To ã sinitu ñʉchʉ tʉhoa, ñahpichohacare ti ñʉri dachore yahuha tina. 
MAT.2.8	Ti ã yahuri baharo Herode sehe tinare Belẽpʉ warocaro õ sehe niha tinare:
MAT.2.8	—Tirocãre noano macaga. Tirocãre bocana tjuahna yʉhʉre yahu tjuahga. Yʉhʉ cʉ̃hʉ tirocãre ño payoi wahai tai nija —nimaha tinare Herode.
MAT.2.9	To ã niri baharo, tina wahaa wahaha. Ti ã wahachʉ sʉ̃ mʉja taroi ti ñʉria ñahpichohaca sehe mʉ tãrucuha. Ã yoa wihãrirocã to jiro bui waroi tjua wahã sʉha tia sehe. 
MAT.2.10	Ã jia ñahpichohacare ñʉa, tuaro wahcheha tina. 
MAT.2.11	Wihãrirocã to jiri wʉhʉpʉ sʉ, sãa wahaha tina. Ã sãa sʉa, wihãrirocãre to pocoro mehne jirirocãre ñʉha tina. Ã ñʉa tina na tuhcua caha sʉ, tirocãre ño payoha. Ño payo tuhsʉ ti caa pocare naroca pjõoroca, urure, inciensore, mirra wama tia me sitia cʉ̃hʉre na wio, tíre tirocãre wapa marieno waa tiha. 
MAT.2.12	Tíre wa tuhsʉ carĩa wahaha tina. Ti ã carĩchʉ cahãnopʉ Cohamacʉ yahuha tinare: “Herode cahai tjuaena tjiga”, ni yahuha Cohamacʉ tinare cahãnopʉre. To ã ni yahuri baharo, tina sehe wahcãha. Ti ã wahcãri baharo pa mahapʉ ti ya dihtapʉ tjuaa wahaa tiha.
MAT.2.13	Ti ã wahari baharo Cohamacʉ anjo cahãnopʉ Josére bajuaro, õ sehe niha:
MAT.2.13	—Wahcãga. Herode sehe maharirocãre wajãno taro, macano nina mipʉre. Ã yoa maharirocãre, to pocoro cʉ̃hʉre Egiptopʉ cjero na duhti wahcãa wahaga. Tópʉre yʉ niriro purota jiga —ni yahuha anjo Josére.
MAT.2.14	To ã nichʉ tʉhoro, José sehe ñamiihta wahcã, maharirocãre to pocoro cʉ̃hʉre Egiptopʉ na duhti wahcãa wahaha. 
MAT.2.15	Egiptopʉ sʉa, Herode to catiro puro tópʉre jiha tina. Ã yoaha panopʉ macariro Cohamacʉ yare yahu mʉhtariro cjiro to ni joariro seheta. Tíre tirore Cohamacʉ joa dutia tiha. Õ sehe ni joaa tiha Cohamacʉ yare: “Egiptopʉ jirirore yʉ macʉre pjirocahi”, ni joaa tiha Cohamacʉ yare.
MAT.2.16	Ã yoa ñahpichohare buheina ti duhti yʉhdʉachʉ tʉhoro Herode sehe sua yʉhdʉaha. Ã suaro, Belẽ macainare, tí maca dʉhtʉ caha macaina cʉ̃hʉre ti pohnare mʉa pohnare pʉa cʉhma cjʉainacãre wajã batoa dutiha tiro. Wahmanore ñahpichoha buheina ñahpichohacare ti ñʉri dachore yahuha Herodere. Ti ã nichʉ tʉhoro tiro to wajã duarirocã to masa bajuari dachore masino, “Õpe cʉhmari cjʉara” nino, pʉa cʉhma cjʉainare wajã batoa dutiha. 
MAT.2.17	Panopʉ macariro Jeremía Cohamacʉ yare yahu mʉhtariro cjiro to ni joariro seheta ã wahaha. Õ sehe ni joaa tiha tiro:
MAT.2.18	“Ramá wama tiropʉ bisiro coa tarohca.
MAT.2.18	Tuaro cahyaa mehne tiiro coa tarohca.
MAT.2.18	Raquel panamana numia ji turia numiapʉ Israe masa namosãnumia ti pohnare tuaro tiiahca.
MAT.2.18	Ti pohnare ti wajãchʉ ñʉa, ne cahya duhusi”,
MAT.2.18	ni joaa tiha panopʉ.
MAT.2.19	Ã yoa Herode to yariari baharo Egiptoi jirirore Josére Cohamacʉ yairo anjo cahãnopʉ bajuaha. Ã bajuaro õ sehe niha Josére:
MAT.2.20	—Maharirocãre wajã duaina cjiri yariaa wahahre. Ã jicʉ tirocãre to pocoro mehne Israe yahpapʉ na tjuaa wahaga mʉhʉ —ni yahuha anjo Josére.
MAT.2.21	To ã niri baharo tiro wahcã, maharirocãre to pocoro mehneta Israe yahpapʉ na tjuaa wahaha. 
MAT.2.22	Wiho mejeta Arquelao Herode macʉno sehe to pʉcʉro cohtotariro to jichʉ tʉhoro José sehe Judea yahpai cuiro, tjuaeraha. Ã jiro pari turita cahãnopʉ tirore yahu namoha tjoa. Tirore pari turi Judea yahpare ji dutieraha. To ã ni yahuri baharo, tina Galilea yahpapʉ wahaa wahaha. 
MAT.2.23	Tí yahpapʉre Nazare wama tiri macai jiha tina. Ã yoaha tina Cohamacʉ yare yahu mʉhtaina cjiri ti joariro seheta. Õ sehe ni joaa tiha: “ ‘Cristo Nazare macariro tjira’, niahca masa”, ni joaa tiha Cohamacʉ yare yahu mʉhtaina panopʉ macaina.
MAT.3.1	Ã yoa baharopʉ João masare bautisariro jiha. Judea yahpai masa marienopʉ tiro Cohamacʉ yare yahu dʉcaha masare. 
MAT.3.2	Õ sehe ni yahuha tinare:
MAT.3.2	—Mʉano macariro Cohamacʉ mʉsa pʉhtoro to sʉho jihto mahanocã dʉhsara. Ã jina “Ñano yoaeraja”, mʉsa ni tʉhotumari cjirire duhuga. Mʉsa ñaa buhirire cahya, Cohamacʉ sehere cahmaga mʉsa —ni yahuha tiro tinare.
MAT.3.3	Panopʉ macariro Isaia Cohamacʉ yare yahu mʉhtariro cjiro João to buhehtore õ sehe ni joaa tiha:
MAT.3.3	“Masa marienopʉ cʉ̃iro sañurucu, õ sehe ni buherohca:
MAT.3.3	‘Mari pʉhtoro to tahto pano tirore cahmaeraina cjiri mʉsa tʉhotuare cohtota, tirore cahmaina jiga mʉsa’, ni sañurucu buherohca”,
MAT.3.3	ni joaa tiha Isaia cjiro João cjihtore.
MAT.3.4	Tiro João camello pjoari suhtirore sãariro, wahiquiro cahsaroreta tʉã dihoriro jiha. Poreroare, macaroca macaina miquina mi cʉ̃hʉre chʉa tiha. 
MAT.3.5	Jerusalẽ macaina, jipihtiro Judea yahpai jiina, Jordão wama tiri ma cahai jiina cʉ̃hʉ tirore tʉhoa taha. 
MAT.3.6	Wihi, tirore tʉho, ti ñaa yoarire Cohamacʉre yahuha tina. Ti ã ni yahuchʉ tʉhoro Jordão wama tiri mai João tinare bautisaha.
MAT.3.7	Ã jiro payʉ fariseo curua macaina, saduceo curua macaina cʉ̃hʉ Joãore ti bautisa dutia tachʉ ñʉno tiro tinare õ sehe ni yahuha:
MAT.3.7	—¿Mʉsa cʉ̃hʉ agãa ñima tiina yoaro sehe mʉsa mahñoa buhea mehne masare dojomehneina jina, Cohamacʉ mʉsare to buhiri dahrehto pano tirore cui, duhti masierara mʉsa? 
