MAT.1.1	Lunu niirwo olulyo lwa Yesu Kurisito omwizukulu wa Dawudi, iye eyabbaire omwizukulu wa Ibbulaimu:
MAT.1.2	OIbbulaimu yabbaire iteeye wa Isaka,
MAT.1.2	oIsaka yabbaire iteeye wa Yaakobbo,
MAT.1.2	era oYaakobbo yabbaire iteeye wa Yuda nʼabagandabe.
MAT.1.3	OYuda yabbaire iteeye wa Pereezi nʼoZeera, era ibo omawaabwe yabbaire Tamali.
MAT.1.3	OPereezi yabbaire iteeye wa Kazirooni,
MAT.1.3	era oKazirooni yabbaire iteeye wa Laamu.
MAT.1.4	OLaamu yabbaire iteeye wʼAminadaabbu,
MAT.1.4	Aminadaabbu yabbaire iteeye wa Nasoni,
MAT.1.4	era oNasoni yabbaire iteeye wa Salumooni.
MAT.1.5	OSalumooni yabbaire iteeye wa Bbowaazi, era iye omaaye yabbaire Lakabbu.
MAT.1.5	OBbowaazi yabbaire iteeye wʼObbedi era iye omaaye yabbaire Luusi,
MAT.1.5	era Obbedi yabbaire iteeye wa Yese.
MAT.1.6	OYese yabbaire iteeye wa Dawudi okabaka,
MAT.1.6	era oDawudi yabbaire iteeye wa Sulemaani, oguyabyaire omu muka Wuliya.
MAT.1.7	OSulemaani yabbaire iteeye wa Lekobbwamu,
MAT.1.7	era oLekobbwamu yabbaire iteeye wʼAbbiya,
MAT.1.7	era Abbiya yabbaire iteeye wʼAsafu.
MAT.1.8	Asafu yabbaire iteeye wa Yokosofaati,
MAT.1.8	oYokosofaati yabbaire iteeye wa Yokolaamu,
MAT.1.8	era oYokolaamu yabbaire iteeye wa Wuziya.
MAT.1.9	OWuziya yabbaire iteeye wa Yosamu,
MAT.1.9	oYosamu yabbaire iteeye wʼAkazi,
MAT.1.9	era Akazi yabbaire iteeye wa Kezeekiya.
MAT.1.10	OKezeekiya yabbaire iteeye wa Manase,
MAT.1.10	oManaase yabbaire iteeye wʼAmoni,
MAT.1.10	era Amoni yabbaire iteeye wa Yosiya.
MAT.1.11	OYosiya yabbaire iteeye wa Yekoniya nʼabagandabe. Abo babbairewo mu biseera owebatwaliire abantu bʼe Isirairi omu bugalama e Bbabbulooni.
MAT.1.12	Okuzwera nakimo omu biseera ebibatwaliiremu aBaisirairi omu busibe e Bbabbulooni paka oku kubyala oYesu, olulyo lwabwe niirwo lunu luti: OYekoniya yabbaire iteeye wa Seyalutiyeeri, era oSeyalutiyeeri yabbaire iteeye wa Zerubbabbeeri. 
MAT.1.13	OZerubbabbeeri yabbaire iteeye wʼAbbiwudi, Abbiwudi yabbaire iteeye wʼEryakimu, era Eryakimu yabbaire iteeye wʼAzoli. 
MAT.1.14	Azoli iye yabbaire iteeye wa Zadooki, oZadooki yabbaire iteeye wʼAkimu, era Akimu yabbaire iteeye wʼEriyudi. 
MAT.1.15	Eriyudi yabbaire iteeye wʼEryezaali, Eryezaali yabbaire iteeye wa Matani, era oMatani yabbaire iteeye wa Yaakobbo. 
MAT.1.16	OYaakobbo yabbaire iteeye wa Yusufu oibaaye wa Malyamu, oMalyamu eyabbaire omaaye wa Yesu, iye ogubeeta oKurisito ogubasukireku amafuta.
MAT.1.17	Kale emigigi gyonagyona giri ikumi nʼena, okuzwa okwIbbulaimu okutuuka oku Dawudi. Era tete giri emigigi ikumi nʼeena okuzwa oku Dawudi okutuuka oku kutwala aBaisirairi omu bugalama e Bbabbulooni. Era tete nʼegindi giri emigigi ikumi neena okuzwa oku kubatwala e Bbabbulooni okutuuka oku kubyala oKurisito ogubasukireku amafuta.
MAT.1.18	Atyanu okubyala oYesu Kurisito kwabbaire kuti: OMalyamu omaaye wa Yesu yabbaire ngʼasuubizire oYusufu ati ayaba okumufumbirwa era nga kimanyikaine. Neye ngʼakaali okumufumbirwa, ni kitegerekeka ngʼali kida, neye ngʼoMwoyo oMweru niiye eyamwezeserye okukisuna.
MAT.1.19	Neye olwakubba oYusufu eyabbaire ayaba okubba oibaaye, yabbaire muntu atuukiriire, era nga tataka okumuswaza omu lwatu, nʼaseega kumulekawo mu kyama. 
MAT.1.20	Yabbaire akaali aseega atyo, omalaika wa Musengwa oKibbumba nʼamubonekera omu kirooto nʼamukoba ati, “Yusufu, omwizukulu wa kabaka oDawudi, tiwaatya okutwala oMalyamu okubba omukaliwo olwakubba, ekida ekyali nakyo oMwoyo oMweru niiye eyamwezeserye okukisuna. 
MAT.1.21	Era ayaba okubyala omwana mwisuka, era bamwerula bati, Yesu, olwakubba niiye eyalirokola abantu okuzwa omu bikole byabwe ebibbibibbi.”
MAT.1.22	Era ebyo byonabyona byabbairewo, kaisi oolwo oMusengwa oKibbumba ekiyatumwire ngʼabitira omu naabbi kituukirire ekikoba kiti: 
MAT.1.23	“Muwulisisye! Omwala omuguna yalibba ekida, era yalibyala omwana mwisuka. Era balimwerula eriina bati Manweri,”
