MAT.1_1.1	לפניכם ספר קורות חייו של ישוע המשיח, אשר מוצאו מיוחס לדוד המלך ולאברהם אבינו:
MAT.1_1.2	אברהם היה אביו של יצחק; יצחק היה אביו של יעקב; יעקב היה אביהם של יהודה ואֶחָיו;
MAT.1_1.3	יהודה היה אביהם של פרץ וזרח (אמם הייתה תמר); פרץ היה אביו של חצרון; חצרון היה אביו של רם;
MAT.1_1.4	רם היה אביו של עמינדב; עמינדב היה אביו של נחשון; נחשון היה אביו של שלמון;
MAT.1_1.5	שלמון היה אביו של בועז (אמו הייתה רחב); בועז היה אביו של עובד (אמו הייתה רות); עובד היה אביו של ישי;
MAT.1_1.6	ישי היה אביו של דוד המלך; דוד היה אביו של שלמה (אמו הייתה אלמנתו של אוריה החתי).
MAT.1_1.7	שלמה היה אביו של רחבעם; רחבעם היה אביו של אביה; אביה היה אביו של אסא;
MAT.1_1.8	אסא היה אביו של יהושפט; יהושפט היה אביו של יורם; יורם היה אביו של עוזיה;
MAT.1_1.9	עוזיה היה אביו של יותם; יותם היה אביו של אחז; אחז היה אביו של חזקיה;
MAT.1_1.10	חזקיה היה אביו של מנשה; מנשה היה אביו של אמון; אמון היה אביו של יאשיה;
MAT.1_1.11	יאשיה היה אביהם של יכניה ואחיו (שנולדו בזמן גלות בבל).
MAT.1_1.12	לאחר הגלות לבבל:
MAT.1_1.12	יכניה היה אביו של שאלתיאל; שאלתיאל היה אביו של זרובבל;
MAT.1_1.13	זרובבל היה אביו של אביהוד; אביהוד היה אביו של אליקים; אליקים היה אביו של עזור;
MAT.1_1.14	עזור היה אביו של צדוק; צדוק היה אביו של יכין; יכין היה אביו של אליהוד;
MAT.1_1.15	אליהוד היה אביו של אלעזר; אלעזר היה אביו של מתן; מתן היה אביו של יעקב;
MAT.1_1.16	יעקב היה אביו של יוסף (שהיה בעלה של מרים, אמו של ישוע המשיח).
MAT.1_1.17	אם כן, ארבעה־עשר דורות חלפו מאברהם אבינו ועד דוד המלך, ארבעה־עשר מאז דוד המלך ועד גלות בבל וארבעה־עשר דורות מגלות בבל עד המשיח.
MAT.1_1.18	זהו סיפור הולדתו של ישוע המשיח: אמו מרים הייתה מאורסת ליוסף, אולם עוד כשהייתה בתולה הרתה מרוח הקודש. 
MAT.1_1.19	יוסף ארוסה, שהיה איש ישר וערכי, החליט משום כך לבטל את האירוסין, אולם בחר לעשות זאת בסתר, כי לא רצה לבייש את מרים בציבור.
MAT.1_1.20	לאחר שהחליט יוסף לגרש את מרים נגלה אליו בחלום מלאך ה׳ ואמר: ”יוסף בן־דוד, אל תהסס להתחתן עם מרים, כי התינוק שבבטנה נוצר מרוח הקודש! 
