MAT.1.1	 A Krisztus Jézus származásáról 
MAT.1.2	 Ábrahám Izsákot nemzette, Izsák pedig Jákóbot,
MAT.1.3	 Jákób Júdát és testvéreit, Júda Támártól Fáreszt és Zárát, Fáresz Ezrómot nemzette, Ezróm Arámot nemzette,
MAT.1.4	 Arám Aminádábot nemzette, Aminádáb Naasszont nemzette, Naasszon Szalmónt nemzette,
MAT.1.5	 Szalmón Boázt nemzette Ráhábtól, Boáz Jobédet nemzette Ruttól, Jobéd Izsait nemzette,
MAT.1.6	 Izsai Dávidot nemzette, a királyt. Dávid Salamont nemzette az Uriás asszonyától,
MAT.1.7	 Salamon Roboámot nemzette, Roboám Abiát nemzette, Abia Aszáfot nemzette,
MAT.1.8	 Aszáf Józsafátot nemzette, Józsafát Jórámot nemzette,
MAT.1.9	 Jórám Hóziát nemzette, Hózia Jóatámot nemzette, Jóatám Áházt nemzette, Áház Ezékiást nemzette,
MAT.1.10	 Ezékiás Manasszét nemzette, Manasszé Ámószt nemzette, Ámósz Jósiást nemzette,
MAT.1.11	 Jósiás Jekoniást és annak testvéreit nemzette a babilóni áttelepítéskor.
MAT.1.12	 A babilóni áttelepítés után Jekoniás Szalatiélt nemzette, Szalatiél Zorobábelt nemzette,
MAT.1.13	 Zorobábel Abiudot nemzette, Abiud Eliákimot nemzette, Eliákim Azórt nemzette,
MAT.1.14	 Azór Szádókot nemzette, Szádók Ákimot nemzette, Ákim Eliudot nemzette,
MAT.1.15	 Eliud Eleázárt nemzette, Eleázár Mattánt nemzette, Mattán Jákóbot nemzette,
MAT.1.16	 Jákób Józsefet nemzette, annak a Máriának férjét, akitől Jézus született, akit Krisztusnak mondanak.
MAT.1.17	 Ábrahámtól Dávidig az összes nemzedékek száma tizennégy nemzedék, Dávidtól a babilóni áttelepítésig tizennégy nemzedék és a babilóni áttelepítéstől a Krisztusig tizennégy nemzedék.
MAT.1.18	 A Krisztus Jézus születése így történt: Anyja; Mária, Józseffel volt eljegyezve, de még mielőtt 
MAT.1.19	 Vőlegényében Józsefben, mivel igazságos ember volt s nem akarta őt szégyenbe hozni, az a szándék fogamzott meg, hogy titokban elbocsátja őt.
